Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTOE,RUPA,RWRA,RWRB,T10,x68,x69,x70,x71,x72,STRN,RTIBP,LTHII,RTIBI,
19,0,0,0,0,0.0371091,0.0471409,0,0,0,0.032309,0.0122211,0.0264102,0.00280166,0,0,0.00503461,0,0.017204,0.00367907,0.0480423,0.0288477,0.0270011,0.019186,0.018277,0.0563385,0.0198735,0.0243204,0.0519666,0.0159799,0.0156607,0.00689913,0.0119001,0.0360114,0.0207711,0.00733614,0.00497847,0.0171882,0.01197,0.0390493,0.00397249,0.01524,0,0,0.037251,0,0.0131081,0.0264657,0.0551852,0.0597274,0.0243715,0.0160022,0.0147023,0.0178625,0.00580061,0.0630562,0.0112962,0.0159388,0.0272606,0.00924422,0.0300671,0.0233869,0.0133645,0.0113205,0.0214049,0,0,0,0,0,0.0460822,0.0386571,0.0140978,0.0394867,0
20,0,0,0,0,0.0374492,0.0475577,0,0,0,0.0303692,0.0119326,0.0251744,0.00298842,0,0,0.00509476,0,0.0174014,0.00380881,0.0476565,0.0247645,0.0266177,0.0178568,0.0182121,0.0558888,0.017374,0.0225303,0.0509619,0.0143856,0.0146393,0.00685377,0.0120587,0.0346585,0.0209102,0.00763678,0.00500193,0.0216162,0.0118126,0.0416576,0.004028,0.0155995,0,0,0.0391758,0,0.0134705,0.027963,0.0550532,0.0620026,0.0246493,0.016219,0.0145214,0.0194185,0.00494857,0.0642289,0.0117999,0.0146898,0.0272143,0.00942131,0.0348633,0.0246139,0.0143286,0.0118433,0.0215051,0,0,0,0,0,0.0461339,0.0390118,0.0131653,0.0403716,0
21,0,0,0,0,0.0376501,0.0476995,0,0,0,0.0281621,0.0117969,0.0225079,0.00542126,0,0,0.0052023,0,0.0176131,0.00420753,0.0468908,0.0182356,0.027319,0.016236,0.0156098,0.0552266,0.0149731,0.0193122,0.0508315,0.0137485,0.0148023,0.00818746,0.0111064,0.0322405,0.0209209,0.00774548,0.00512326,0.103654,0.0117297,0.0918417,0.00914451,0.0161343,0,0,0.0400037,0,0.0135971,0.0287414,0.0522475,0.121906,0.0233065,0.0189104,0.0138785,0.020329,0.0184612,0.0693601,0.0155379,0.0214759,0.0338025,0.034149,0.12751,0.0253651,0.0148068,0.0121446,0.0223522,0,0,0,0,0,0.0460283,0.0583669,0.0130479,0.0545385,0
22,0,0,0,0,0.038318,0.0487579,0,0,0,0.00952606,0.0115976,0.0117868,0.00242853,0,0,0.00457383,0,0.0177705,0.00393581,0.0463037,0.0130754,0.0266661,0.0282377,0.0185791,0.0546945,0.0174351,0.0270099,0.050815,0.0194434,0.0209531,0.00996365,0.00779042,0.0188385,0.0200821,0.00777298,0.00516248,0.0292351,0.0109904,0.0470457,0.00347432,0.0165684,0,0,0.0451188,0,0.0141131,0.0319715,0.0555055,0.063955,0.0249503,0.0167844,0.0150079,0.0229953,0.00424745,0.0646435,0.011613,0.0126538,0.0277504,0.00870394,0.0354849,0.0283248,0.0162121,0.0133364,0.0220415,0,0,0,0,0,0.0465102,0.0381047,0.017033,0.0423915,0
23,0,0,0,0,0.0383308,0.0471764,0,0,0,0.0219585,0.0121556,0.013954,0.0105054,0,0,0.00657868,0,0.0173069,0.00465685,0.0462606,0.0107308,0.0285992,0.0130542,0.0121194,0.0537408,0.0120495,0.0133264,0.0521578,0.0161423,0.0168376,0.0106006,0.00813187,0.0252183,0.0214479,0.00753551,0.00529563,0.178264,0.0114889,0.163453,0.0141225,0.0177865,0,0,0.0419182,0,0.0137047,0.0299261,0.0495217,0.220052,0.0200509,0.0215558,0.0121714,0.0216463,0.0273923,0.0820955,0.0192175,0.0348596,0.0633021,0.0670408,0.218189,0.0269471,0.0154041,0.0124622,0.0239037,0,0,0,0,0,0.0445184,0.103096,0.0121305,0.0953781,0
24,0,0,0,0,0.0384559,0.0480969,0,0,0,0.0175795,0.0115498,0.0117604,0.00877952,0,0,0.00530318,0,0.0176997,0.00419683,0.0460711,0.0117968,0.0294025,0.0131588,0.0134465,0.0535441,0.0123971,0.0130892,0.0535978,0.0166135,0.0169729,0.0102173,0.00833707,0.021214,0.0203322,0.00778943,0.00509425,0.150674,0.0109285,0.120949,0.0116162,0.0177278,0,0,0.0453526,0,0.0141181,0.0322191,0.0500633,0.161801,0.0220206,0.0284238,0.0140609,0.0227761,0.0274992,0.0766441,0.0283113,0.028616,0.0344533,0.0473163,0.174212,0.0292453,0.0160577,0.013247,0.0244927,0,0,0,0,0,0.0455824,0.0660779,0.0113919,0.0640962,0
25,0,0,0,0,0.0385804,0.0479525,0,0,0,0.0180247,0.0115103,0.0113211,0.00894406,0,0,0.00551694,0,0.0176897,0.00410729,0.0463063,0.0120661,0.0299817,0.0113404,0.0129494,0.0528265,0.0110869,0.0108896,0.0540049,0.0164356,0.0165735,0.00961949,0.00895423,0.0211622,0.0202234,0.00781435,0.00494805,0.172849,0.0107172,0.133089,0.0126763,0.0182312,0,0,0.0462096,0,0.0142646,0.033026,0.0489591,0.175088,0.0216956,0.030838,0.0141987,0.0232223,0.0310193,0.0800132,0.0323456,0.0320096,0.035325,0.052901,0.195942,0.0301588,0.0160387,0.0135171,0.0255673,0,0,0,0,0,0.045376,0.0705307,0.0100509,0.068987,0
26,0,0,0,0,0.0399112,0.0504178,0,0,0,0.0171689,0.0107195,0.0114102,0.00234707,0,0,0.00545593,0,0.0182735,0.00386629,0.0473221,0.0178355,0.027119,0.0128681,0.0208898,0.0525857,0.00897119,0.0129911,0.05209,0.0148269,0.0159258,0.00854971,0.00949207,0.0254615,0.0184076,0.00804187,0.00473676,0.0353258,0.00961874,0.0324051,0.00816859,0.0178141,0,0,0.0525477,0,0.0152183,0.0375615,0.0639124,0.0505413,0.0285593,0.0141671,0.0191434,0.0271044,0.00817128,0.0590467,0.0116828,0.0144536,0.0214421,0.0264159,0.0328568,0.0332832,0.0177656,0.0153704,0.0244043,0,0,0,0,0,0.0477293,0.03656,0.00876884,0.0337047,0
27,0,0,0,0,0.0400319,0.0495194,0,0,0,0.0158494,0.0111146,0.00995335,0.00368345,0,0,0.00589452,0,0.0180387,0.00402363,0.0464688,0.0150834,0.0295332,0.011923,0.018473,0.0522734,0.00567583,0.00930738,0.0520368,0.0153504,0.0158445,0.00877252,0.00940764,0.0222524,0.018896,0.00789952,0.00463465,0.0885637,0.00978876,0.0613277,0.0040206,0.0185576,0,0,0.0503574,0,0.0149985,0.0365447,0.0548565,0.0906899,0.024348,0.0204425,0.0173415,0.0268663,0.0156401,0.0709349,0.0193003,0.0163591,0.0211546,0.0359875,0.0953082,0.032257,0.0174368,0.0150615,0.0257924,0,0,0,0,0,0.0467821,0.0420921,0.00805621,0.0437634,0
28,0,0,0,0,0.0404686,0.049097,0,0,0,0.0159226,0.0116501,0.00872478,0.000769715,0,0,0.00637062,0,0.0178836,0.00422673,0.0474902,0.0160212,0.0282029,0.0128329,0.0201062,0.0518428,0.00583122,0.0112388,0.0509113,0.0149666,0.0157544,0.00887106,0.00907114,0.023624,0.0191949,0.00773435,0.00466392,0.054454,0.00978203,0.0393015,0.00375441,0.0187925,0,0,0.0502626,0,0.0150562,0.0366074,0.0556878,0.0559312,0.0248435,0.0206387,0.0172973,0.0273443,0.0126418,0.0688138,0.0170799,0.0150128,0.0172741,0.0215283,0.0573757,0.0320709,0.0173037,0.0151139,0.0251721,0,0,0,0,0,0.0459393,0.0307541,0.00895393,0.0358226,0
