Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,x76,x77,
19,0.0138092,0.0126147,0,0,0,0,0,0,0.0369167,0.0216587,0.0335361,0.0110833,0,0,0.00292598,0,0.0180303,0.00106527,0.041767,0.0491477,0.00602631,0.040448,0.0105427,0.00274378,0.0222076,0.0309311,0.0229264,0.00474083,0.0145133,0.0146478,0.0149323,0.0173956,0.0424052,0.00192711,0.0130289,0.00218268,0.015042,0.016542,0.0104595,0.00718816,0.0187972,0,0,0.00875142,0,0.0143498,0.00628958,0.0652115,0.0204423,0.0212784,0.00849557,0.00425713,0.0215185,0.00834848,0.0315041,0.00849124,0.00677398,0.00911712,0.00993212,0.0110721,0.0192585,0.0220894,0.0125481,0.00720997,0.00728877,0.0123111,0.0150762,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0128566,0.0119415,0,0,0,0,0,0,0.0319426,0.0218016,0.0322146,0.0110968,0,0,0.00365223,0,0.0176596,0.00154035,0.0429942,0.048157,0.00563175,0.0433977,0.0109395,0.00293503,0.0243748,0.0344108,0.0248145,0.00526328,0.0154793,0.0162791,0.0151935,0.0168026,0.0346844,0.00261316,0.0128876,0.00240018,0.0153633,0.0168659,0.0105642,0.00738788,0.0177703,0,0,0.00970705,0,0.014786,0.00793068,0.0658292,0.0206723,0.0214447,0.00850226,0.00423753,0.0201263,0.00815298,0.0317133,0.00834733,0.00758014,0.00962915,0.0100945,0.0114805,0.0199381,0.0229384,0.0126567,0.00798199,0.00798829,0.011576,0.0142572,0,0,0,0,0,0,0,0,0,0,0,0
21,0.012565,0.0125131,0,0,0,0,0,0,0.0387957,0.0216637,0.027862,0.00826078,0,0,0.00300672,0,0.0177407,0.00133069,0.0405705,0.039406,0.0089957,0.0210654,0.0119524,0.00285345,0.0132514,0.0158975,0.0119781,0.00454817,0.00512543,0.00858882,0.0116103,0.020567,0.0492954,0.00220028,0.0128819,0.00257742,0.0160001,0.0162532,0.00978077,0.00638501,0.0171595,0,0,0.00694947,0,0.0147641,0.00612081,0.0663966,0.0195935,0.0215162,0.00916479,0.00355988,0.0205385,0.00747198,0.0312584,0.00817193,0.00761163,0.00956649,0.010137,0.0111435,0.0195984,0.023914,0.0111406,0.00752859,0.0073019,0.0123916,0.0137853,0,0,0,0,0,0,0,0,0,0,0,0
22,0.0135056,0.0125416,0,0,0,0,0,0,0.0253592,0.0219391,0.0288721,0.010432,0,0,0.00334773,0,0.0175688,0.00136035,0.0447489,0.0440205,0.00586769,0.0448546,0.0118646,0.00266993,0.0252041,0.0361752,0.0253484,0.00641405,0.0152323,0.0186939,0.0150316,0.0156101,0.02226,0.0022533,0.0128295,0.00261857,0.0168135,0.0167411,0.0104376,0.00705723,0.018499,0,0,0.00885514,0,0.0145755,0.00710272,0.0671103,0.0205153,0.0216898,0.00901793,0.00437716,0.0215131,0.00807501,0.0321918,0.00835756,0.00754699,0.0104302,0.0105001,0.0119322,0.0206293,0.0254577,0.0124818,0.00780614,0.00774842,0.0122731,0.0148598,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0127036,0.0134422,0,0,0,0,0,0,0.0357021,0.0214006,0.0187844,0.00549256,0,0,0.0026179,0,0.0179767,0.00121723,0.0406467,0.0254899,0.0131446,0.00522581,0.0138637,0.00281925,0.00877269,0.00989358,0.00643349,0.00367042,0.00812496,0.00763868,0.0105443,0.0291846,0.0498974,0.00210979,0.0129317,0.00249163,0.017656,0.0153726,0.00875997,0.00589614,0.0169418,0,0,0.00297601,0,0.0146362,0.00343237,0.0682941,0.018723,0.0223508,0.00997005,0.00380053,0.0214817,0.00669046,0.0311823,0.00795019,0.00731961,0.00996831,0.0103988,0.0110707,0.0200573,0.0266661,0.0087138,0.00671393,0.00615606,0.0135004,0.0139237,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0129292,0.0136838,0,0,0,0,0,0,0.0300705,0.0213032,0.0158486,0.00480124,0,0,0.00269835,0,0.0178623,0.00130357,0.0411774,0.0221914,0.0134482,0.00576342,0.0141222,0.00295947,0.00821267,0.0105407,0.00594497,0.00390869,0.00986302,0.00732443,0.00962888,0.0295107,0.0434314,0.00224501,0.0129786,0.0024175,0.0185788,0.0152101,0.00809823,0.00567632,0.0171386,0,0,0.00219187,0,0.0145586,0.00294504,0.0688067,0.0182841,0.0226385,0.0103274,0.00405254,0.0217882,0.00674326,0.0316705,0.00803443,0.00746171,0.010006,0.01102,0.0109207,0.0202527,0.0280938,0.00823776,0.00662043,0.00569744,0.0137553,0.0138417,0,0,0,0,0,0,0,0,0,0,0,0
25,0.0130806,0.0138035,0,0,0,0,0,0,0.0235206,0.0212972,0.0130195,0.00407085,0,0,0.0028499,0,0.017919,0.00145899,0.0417502,0.0190281,0.0135085,0.00646247,0.0141168,0.00307591,0.00771698,0.011459,0.00586184,0.00481366,0.0116105,0.0073294,0.00909795,0.0295556,0.0360073,0.00233139,0.013091,0.00234446,0.0193126,0.0151124,0.00809172,0.00524687,0.0172269,0,0,0.00171147,0,0.0145088,0.00260225,0.0690864,0.018482,0.0229385,0.0105855,0.00432475,0.0219704,0.00678303,0.0321876,0.00799224,0.00778467,0.0104812,0.0113354,0.0112922,0.020878,0.0292623,0.00797639,0.00671666,0.00517061,0.0138987,0.0137879,0,0,0,0,0,0,0,0,0,0,0,0
26,0.012657,0.0134322,0,0,0,0,0,0,0.0166215,0.0212691,0.0104779,0.00363531,0,0,0.00334047,0,0.0180572,0.00181415,0.0423057,0.0158572,0.013797,0.0069119,0.0140566,0.00333587,0.00747268,0.012553,0.006411,0.0062078,0.013521,0.00826343,0.00869566,0.0296007,0.0280638,0.00277093,0.0131037,0.00234598,0.0199889,0.0152453,0.00813307,0.00479523,0.0165355,0,0,0.00307745,0,0.0147693,0.00402915,0.0692187,0.0188284,0.0230132,0.0108521,0.00464696,0.0204979,0.00661502,0.03266,0.00793641,0.00821956,0.0108757,0.0113017,0.0116036,0.0214632,0.0305591,0.00683979,0.00735272,0.00558001,0.0134481,0.0134857,0,0,0,0,0,0,0,0,0,0,0,0
27,0.0129574,0.0136009,0,0,0,0,0,0,0.011489,0.0212332,0.00915544,0.00351858,0,0,0.00365219,0,0.018242,0.0019458,0.0428853,0.0141384,0.0140384,0.00703765,0.0141125,0.00344135,0.00759465,0.0134435,0.00773482,0.00809515,0.0151531,0.00969879,0.0081227,0.0295299,0.0201044,0.00303791,0.0131428,0.00234392,0.0207009,0.0151712,0.00791659,0.00427129,0.0167748,0,0,0.00276762,0,0.0146747,0.00381138,0.0690673,0.0187265,0.0228249,0.0109229,0.00517022,0.0206745,0.00605656,0.0329852,0.00783262,0.00842782,0.0110669,0.0114006,0.0117041,0.0217392,0.0317695,0.00686441,0.00720336,0.00558071,0.0135357,0.0140134,0,0,0,0,0,0,0,0,0,0,0,0
28,0.0132347,0.0137434,0,0,0,0,0,0,0.00951168,0.0211513,0.00903687,0.00372719,0,0,0.00385209,0,0.0183552,0.00203314,0.0435154,0.0126923,0.0143489,0.00708696,0.0142758,0.00344161,0.00820131,0.0144207,0.00969662,0.0101802,0.016595,0.0110119,0.00756255,0.0296912,0.0138529,0.00326926,0.0131696,0.00235954,0.0215477,0.0151759,0.00771971,0.00375892,0.017048,0,0,0.00238771,0,0.0146054,0.00369885,0.0689544,0.0184694,0.0224825,0.0111411,0.0056768,0.0208571,0.00547535,0.0334113,0.0078643,0.00875276,0.0111362,0.0114921,0.011796,0.0219704,0.0330483,0.00697582,0.00717248,0.00570805,0.0136208,0.0142674,0,0,0,0,0,0,0,0,0,0,0,0
