Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHII,LTHIP
70,0.0211839,0.0186018,0,0,0,0,0,0,0.0186685,0.0128747,0.0235268,0.00391906,0,0,0.00899415,0,0.02376,0.00546031,0.0492733,0.0222223,0.0206286,0.00970587,0.0113405,0.00252548,0.00462534,0.0039789,0.00874307,0.0129027,0.0118428,0.0193506,0.0246303,0.00641824,0.014866,0.00529615,0.0175031,0.00453617,0.00824051,0.00463804,0.0278177,0,0,0.015479,0,0.0125859,0.00975088,0.0482878,0.011601,0.0151698,0.00409734,0.00238231,0.0327167,0.00349943,0.0297116,0.00448573,0.0044109,0.00690475,0.00637743,0.00857997,0.0106168,0.0201569,0.0208681,0.00956927,0.00792153,0.0183553,0.0208191,0,0,0,0,0,0,0,0,0.00786278,0.00780707
71,0.0210359,0.0185752,0,0,0,0,0,0,0.0263237,0.0129256,0.0256619,0.00390403,0,0,0.00888779,0,0.0237567,0.00538549,0.0488691,0.0223801,0.0204793,0.00892138,0.01057,0.00234899,0.0044959,0.00416278,0.0101881,0.0144308,0.012511,0.019756,0.0308691,0.00582342,0.0148584,0.00529179,0.0180302,0.00468463,0.0082158,0.0042739,0.0275305,0,0,0.0149649,0,0.0124972,0.00937314,0.0478399,0.0110801,0.0151555,0.00400602,0.00255286,0.0325545,0.00391254,0.0300589,0.00450458,0.00470068,0.00689057,0.0063236,0.00848972,0.0100773,0.020214,0.020466,0.00952321,0.00775355,0.018588,0.0207991,0,0,0,0,0,0,0,0,0.00777403,0.00787773
72,0.020939,0.0185537,0,0,0,0,0,0,0.0341497,0.0130156,0.0287001,0.00414392,0,0,0.00876119,0,0.0236457,0.00525471,0.0482242,0.0245446,0.020121,0.0088666,0.00987416,0.0020302,0.00435328,0.00470127,0.0121013,0.0168683,0.0134486,0.0201209,0.0387292,0.00542683,0.0148011,0.00522616,0.0185998,0.00486888,0.00820199,0.00381111,0.0273642,0,0,0.014449,0,0.0124112,0.00901065,0.0474644,0.0106803,0.0150959,0.00399328,0.00283959,0.0323761,0.00417702,0.0302637,0.00460118,0.00494042,0.00689664,0.00631792,0.00834215,0.00936362,0.0203151,0.0201279,0.00945917,0.00757602,0.0187612,0.0207419,0,0,0,0,0,0,0,0,0.00761584,0.0081231
73,0.0210059,0.0186205,0,0,0,0,0,0,0.0411608,0.0131183,0.0324843,0.0044316,0,0,0.00863917,0,0.0235158,0.00510235,0.0472638,0.0283416,0.0195733,0.00922248,0.00931433,0.00183547,0.00402317,0.00553792,0.0144176,0.0202336,0.0147327,0.0204116,0.0463917,0.00520808,0.0147968,0.00503609,0.0187831,0.00499013,0.00809858,0.00333651,0.0274321,0,0,0.0135144,0,0.0123844,0.00871981,0.0471196,0.0104472,0.0151034,0.00399486,0.003221,0.0324869,0.00442824,0.0304418,0.00449817,0.00514358,0.00686838,0.00638899,0.00806297,0.008609,0.0209159,0.0198001,0.00911503,0.00762392,0.018987,0.0207552,0,0,0,0,0,0,0,0,0.00704431,0.00855347
74,0.0209463,0.0185504,0,0,0,0,0,0,0.0466491,0.0132681,0.0362696,0.00438402,0,0,0.00837434,0,0.0234686,0.00491117,0.0462763,0.03232,0.0191675,0.00967654,0.00885625,0.00169827,0.00399315,0.00699183,0.0167835,0.0239421,0.0162416,0.0208514,0.0527351,0.00492178,0.0147955,0.00474427,0.019716,0.00506393,0.00762805,0.0027777,0.0274278,0,0,0.0133502,0,0.0123598,0.00861028,0.0469176,0.0099813,0.0154193,0.00412599,0.0037304,0.0323019,0.004644,0.0307085,0.00448073,0.00550659,0.00675453,0.00659384,0.00757753,0.00784232,0.0212435,0.0197996,0.00895271,0.00758347,0.0189702,0.0207047,0,0,0,0,0,0,0,0,0.00633941,0.00917887
75,0.0208553,0.0184951,0,0,0,0,0,0,0.0508886,0.0133682,0.0395707,0.00440523,0,0,0.00819206,0,0.0231767,0.00487471,0.0452179,0.0359476,0.0185963,0.00983444,0.00848854,0.00151478,0.00493231,0.00878287,0.018883,0.0275858,0.0176111,0.0212113,0.0574786,0.0045621,0.0145822,0.00463768,0.020679,0.00509624,0.0070664,0.0023765,0.0274179,0,0,0.0135529,0,0.012308,0.0085634,0.0470293,0.00920205,0.0157877,0.00443129,0.00412602,0.0320718,0.00478344,0.0310083,0.00443613,0.00590627,0.00660018,0.00690917,0.00704589,0.00713002,0.0216767,0.0199016,0.00884924,0.00739393,0.0188751,0.0206456,0,0,0,0,0,0,0,0,0.00555707,0.00990956
76,0.0208389,0.0186054,0,0,0,0,0,0,0.0539252,0.0134783,0.0422089,0.00442158,0,0,0.00810999,0,0.0228378,0.00496704,0.0442301,0.039117,0.0179208,0.0102965,0.00828346,0.00143661,0.00640512,0.01025,0.0206289,0.0308235,0.0186618,0.0215313,0.0608613,0.00429581,0.0143994,0.00463898,0.0205709,0.0051187,0.00697002,0.00210378,0.0275295,0,0,0.0138057,0,0.0123028,0.00843505,0.0475318,0.00921576,0.0161582,0.00512162,0.00447211,0.0321098,0.00500326,0.0312383,0.00409884,0.00627285,0.00687359,0.00680767,0.0071146,0.00714904,0.0212604,0.020127,0.00866349,0.0072175,0.0187559,0.0206995,0,0,0,0,0,0,0,0,0.00504885,0.010556
77,0.0208458,0.0187835,0,0,0,0,0,0,0.0558756,0.0136022,0.0439537,0.00444227,0,0,0.00812165,0,0.0225571,0.00506987,0.0433655,0.0414306,0.017343,0.00992841,0.00825986,0.00154726,0.00664032,0.0114378,0.0220254,0.0330976,0.0194083,0.0218234,0.0631984,0.00422367,0.0142891,0.00456468,0.0203578,0.00516941,0.00674217,0.00191502,0.027664,0,0,0.0139831,0,0.0123063,0.0082636,0.0481532,0.00941165,0.01644,0.00555287,0.0048486,0.03218,0.00524368,0.0314242,0.00378884,0.00630966,0.00720398,0.00677568,0.00724963,0.00722487,0.0206644,0.0203502,0.00847371,0.00704504,0.0186611,0.0207903,0,0,0,0,0,0,0,0,0.00462633,0.0110299
78,0.0208648,0.0188953,0,0,0,0,0,0,0.0570893,0.0137407,0.0446116,0.00437495,0,0,0.00817018,0,0.0222942,0.00512653,0.0424845,0.0425694,0.0167791,0.00989266,0.00840704,0.00172221,0.00621354,0.0124296,0.0229186,0.0342577,0.0197306,0.0219796,0.0648439,0.00436756,0.0142011,0.0044422,0.0199765,0.0052837,0.0063677,0.00176293,0.0277423,0,0,0.0140697,0,0.0123362,0.00815669,0.0486518,0.00971821,0.0167406,0.00642018,0.00539202,0.0321731,0.00545768,0.031605,0.0034478,0.00640269,0.00745555,0.00690887,0.00730721,0.00728153,0.0198691,0.0204846,0.00833428,0.00687144,0.0185441,0.0209107,0,0,0,0,0,0,0,0,0.00417361,0.0112826
79,0.0209303,0.0189531,0,0,0,0,0,0,0.057414,0.0138619,0.0441146,0.00422635,0,0,0.00814872,0,0.0220881,0.00515559,0.0414451,0.0424565,0.0161291,0.0107457,0.00851963,0.00194034,0.00568902,0.0133203,0.0232568,0.0343396,0.0194889,0.0218009,0.0657982,0.00459298,0.0141038,0.00436425,0.0191823,0.00543311,0.00619899,0.00168496,0.027814,0,0,0.0141349,0,0.0124053,0.00803394,0.0489829,0.0103575,0.0171098,0.00735362,0.00604579,0.0322177,0.00567079,0.0317371,0.00317602,0.0066379,0.00770141,0.00710477,0.00735283,0.00736113,0.0187004,0.0206019,0.00823451,0.0068032,0.0184969,0.0210677,0,0,0,0,0,0,0,0,0.00355166,0.0108997
