Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,IMUL_R
80,0.00491839,0.00441249,0,0,0,0,0,0.0388687,0.0178599,0.0127951,0.00932248,0,0,0.0269927,0,0.0181984,0.0187038,0.0337551,0.00391367,0.0107269,0.0214246,0.00935681,0.0176432,0.00917958,0.0155351,0.0131214,0.0166059,0.00429316,0.0107073,0.00486657,0.00982167,0.0437167,0.0145106,0.0133757,0.00707954,0.0205004,0.00974584,0.0066676,0.010717,0.00620942,0,0,0.0195273,0,0.0104514,0.0161906,0.0715035,0.0153293,0.0148493,0.0190729,0.0081927,0.0197479,0.00966943,0.0393244,0.019291,0.00980337,0.00298547,0.00416628,0.00596606,0.0160293,0.0280372,0.0156997,0.00804359,0.00475322,0.00441628,0.00383019,0,0,0,0,0,0,0,0,0,0
81,0.00488192,0.00434844,0,0,0,0,0,0.0400398,0.0178407,0.012738,0.00922007,0,0,0.0270972,0,0.0183074,0.0186917,0.0335142,0.00417791,0.011014,0.0211824,0.00919865,0.017479,0.00928226,0.0155807,0.0131762,0.0165002,0.00392637,0.0104852,0.00485466,0.00971016,0.0451384,0.0147396,0.0134111,0.0070091,0.0186012,0.00973618,0.00612835,0.0107566,0.00606654,0,0,0.0194551,0,0.0105159,0.0161363,0.0705095,0.0144772,0.0144599,0.0189772,0.00830707,0.0198419,0.00971597,0.0393567,0.0194634,0.00912612,0.0030965,0.00410899,0.00609174,0.0161554,0.0260591,0.0157376,0.00800366,0.00458703,0.00420374,0.00377232,0,0,0,0,0,0,0,0,0,0
82,0.00477171,0.00433592,0,0,0,0,0,0.0412579,0.0178276,0.0128123,0.00906002,0,0,0.0271552,0,0.0184816,0.0187057,0.0334782,0.00400438,0.0112905,0.0208272,0.00906172,0.0172871,0.00940797,0.0156894,0.0130011,0.0167057,0.00349184,0.0104712,0.00499734,0.00971341,0.046716,0.0149583,0.0134683,0.00690089,0.017513,0.00971793,0.0057959,0.0108273,0.00580406,0,0,0.0194967,0,0.0105942,0.0161684,0.0696429,0.0136988,0.0141272,0.0188288,0.00838341,0.0199543,0.0100105,0.0393201,0.0194496,0.00899681,0.00298726,0.00392278,0.00598506,0.0159061,0.024803,0.0158764,0.00799513,0.00435081,0.00411395,0.00361099,0,0,0,0,0,0,0,0,0,0
83,0.00468166,0.00435694,0,0,0,0,0,0.0423593,0.0178237,0.0130513,0.00886174,0,0,0.0271996,0,0.018649,0.0186794,0.0334689,0.00338016,0.0116128,0.0201503,0.00895013,0.0171603,0.00951891,0.0155966,0.0125548,0.0172369,0.00298041,0.0106366,0.00527136,0.009932,0.048314,0.0150686,0.0134946,0.0067947,0.0170116,0.00969929,0.00548696,0.0110412,0.00550856,0,0,0.019575,0,0.0106567,0.0161949,0.0687177,0.0129048,0.0138013,0.0186189,0.00844284,0.0201615,0.0106241,0.0393292,0.0196228,0.00913521,0.00272008,0.00357341,0.0058112,0.0153419,0.0240054,0.0160632,0.00799842,0.00430863,0.004169,0.0033741,0,0,0,0,0,0,0,0,0,0
84,0.00476096,0.0044016,0,0,0,0,0,0.0431868,0.017839,0.0133128,0.00872688,0,0,0.0270859,0,0.0186835,0.0185556,0.0333107,0.00320582,0.0118741,0.0196304,0.008984,0.0170289,0.00957848,0.0154203,0.0122806,0.0174092,0.00255518,0.0106331,0.00540877,0.00993215,0.0496552,0.0151432,0.013488,0.00665786,0.0170284,0.00970612,0.00502896,0.0113417,0.00530681,0,0,0.0196319,0,0.0107107,0.0162214,0.0677205,0.0119448,0.0135433,0.0184414,0.0085763,0.0203881,0.0111961,0.0394698,0.0198601,0.00935906,0.00252415,0.00305078,0.00566659,0.014531,0.0237696,0.0162625,0.00798493,0.00428952,0.00434485,0.00318493,0,0,0,0,0,0,0,0,0,0
85,0.00484868,0.00447349,0,0,0,0,0,0.0438754,0.0178581,0.0135922,0.00866376,0,0,0.026951,0,0.0186523,0.0184823,0.0330431,0.00341904,0.0120749,0.0191902,0.00914406,0.0168824,0.00949231,0.0152156,0.012155,0.0174466,0.0023044,0.0104713,0.00547303,0.0098646,0.0506477,0.0153101,0.0134313,0.00659421,0.0172456,0.00970061,0.00456074,0.0116534,0.00512643,0,0,0.0196945,0,0.0107558,0.0162136,0.0668005,0.0110148,0.0133487,0.0179233,0.00875685,0.0206363,0.0116094,0.0396248,0.0197965,0.0098222,0.0026744,0.00254031,0.00563689,0.0136338,0.023887,0.016482,0.00801947,0.00428444,0.00462908,0.00303797,0,0,0,0,0,0,0,0,0,0
86,0.00489809,0.00460608,0,0,0,0,0,0.0447267,0.0178494,0.0139256,0.00858844,0,0,0.0268394,0,0.0186269,0.0184343,0.0327803,0.00394996,0.0123882,0.0186962,0.00925119,0.0167472,0.00926855,0.0151288,0.0118369,0.0178202,0.00214182,0.0104063,0.00565029,0.00989638,0.0517153,0.0154975,0.0133973,0.0065793,0.017432,0.00967643,0.00414508,0.0120301,0.00491678,0,0,0.0197816,0,0.0108237,0.0162597,0.0660121,0.0102206,0.0132465,0.0171841,0.00895577,0.020909,0.0117621,0.0397465,0.0194993,0.0105497,0.00318417,0.00210168,0.00562453,0.0127799,0.0240922,0.0167407,0.00806872,0.00434209,0.00493645,0.00284925,0,0,0,0,0,0,0,0,0,0
87,0.00497163,0.00468269,0,0,0,0,0,0.0457602,0.0178799,0.0143881,0.0083972,0,0,0.0267118,0,0.0186062,0.0183734,0.032607,0.00473346,0.0127986,0.0180404,0.00925463,0.0165932,0.00921678,0.0152088,0.0112779,0.018562,0.00210807,0.0105378,0.00591116,0.0100467,0.0531235,0.0155786,0.0134115,0.00657615,0.0176811,0.00967052,0.00393383,0.0122568,0.0046566,0,0,0.0197922,0,0.010845,0.0163123,0.0652815,0.00950944,0.0129536,0.0163868,0.00906165,0.0211284,0.0120781,0.0397636,0.0191253,0.0108856,0.00386769,0.00163482,0.00563448,0.0120498,0.0243489,0.0169224,0.00806025,0.0044538,0.00501633,0.00263078,0,0,0,0,0,0,0,0,0,0
88,0.0051958,0.0045412,0,0,0,0,0,0.0462819,0.0180346,0.0146546,0.00810884,0,0,0.0263005,0,0.0184875,0.0181746,0.0327434,0.00590015,0.0130189,0.0173689,0.00943529,0.016422,0.00920112,0.015223,0.0108889,0.0186378,0.00238318,0.0103872,0.00589612,0.010012,0.054178,0.0152414,0.0133577,0.006487,0.0181321,0.00978556,0.00401132,0.0120925,0.00447466,0,0,0.0195984,0,0.0107549,0.0161702,0.0644901,0.00904281,0.012186,0.0154751,0.00902643,0.0211802,0.0123528,0.0396476,0.0187008,0.0108654,0.00455283,0.00113545,0.00575054,0.0114629,0.024496,0.0169292,0.00804039,0.00447871,0.00470145,0.00253349,0,0,0,0,0,0,0,0,0,0
89,0.00533398,0.00456264,0,0,0,0,0,0.0466361,0.0182174,0.0148234,0.00803739,0,0,0.0260101,0,0.0183739,0.018113,0.0330945,0.00666069,0.0131936,0.0167343,0.00971983,0.0162862,0.00923854,0.0151653,0.0106583,0.0184472,0.0025244,0.0101502,0.00585438,0.00991494,0.0547716,0.014903,0.0133019,0.00647127,0.01868,0.00990431,0.00428726,0.0122879,0.00427708,0,0,0.0194284,0,0.0107192,0.0160519,0.0636516,0.00871138,0.0117276,0.0145212,0.00923664,0.0212723,0.0123558,0.0394655,0.0177504,0.0106819,0.00499298,0.00085195,0.00593566,0.0109361,0.0244329,0.01694,0.00799841,0.00444923,0.00452117,0.00239539,0,0,0,0,0,0,0,0,0,0
