Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_M
19,0.011879,0.00635109,0,0,0,0,0,0.0148438,0.01316,0.00462622,0.00921555,0,0,0.0112153,0,0.0275961,0.00724142,0.0392831,0.0124066,0.0179119,0.00435728,0.00462955,0.00392691,0.00774233,0.00734824,0.00636803,0.0129696,0.00511825,0.00507212,0.00347813,0.020533,0.0209361,0.00755767,0.0163101,0.00363778,0.0169504,0.00807569,0.0117478,0.0146133,0.0168056,0,0,0.00632727,0,0.0146901,0.0102727,0.0751545,0.0164675,0.032916,0.0111253,0.014635,0.0176505,0.00467251,0.0379513,0.00692694,0.00351831,0.00636362,0.000779992,0.00681963,0.00693154,0.0309919,0.00504207,0.00904372,0.0026366,0.0075423,0.0146313,0,0,0,0,0,0,0,0,0
20,0.0120212,0.00634987,0,0,0,0,0,0.0126889,0.0134171,0.00486347,0.00865806,0,0,0.0109028,0,0.0273015,0.00722704,0.0398609,0.0124564,0.0178191,0.00347986,0.00440159,0.00411493,0.00707017,0.00624761,0.00549206,0.0130803,0.00492341,0.00495835,0.00360039,0.0206959,0.0179239,0.00753536,0.0162309,0.00345192,0.0168403,0.00770725,0.0115205,0.0137568,0.0162339,0,0,0.0070908,0,0.0148607,0.0109609,0.0747807,0.0150404,0.032911,0.0121379,0.0146817,0.0183493,0.00471632,0.0375265,0.00732252,0.00470788,0.0064933,0.00107746,0.0063183,0.00557685,0.0309091,0.00515158,0.0093609,0.00297413,0.00749079,0.0141068,0,0,0,0,0,0,0,0,0
21,0.0121401,0.00629417,0,0,0,0,0,0.00947705,0.0137316,0.00525121,0.00797119,0,0,0.0115912,0,0.0272191,0.00713692,0.0403557,0.0124164,0.0176765,0.00283414,0.00397885,0.00356976,0.00629567,0.00552673,0.00484199,0.0131834,0.00471077,0.00479551,0.00387302,0.0207611,0.0143058,0.00820736,0.0161537,0.00310655,0.0163123,0.00734633,0.0113181,0.0126777,0.0156217,0,0,0.00871528,0,0.0151295,0.0116819,0.0742373,0.0138825,0.0328074,0.0126026,0.0144162,0.0183424,0.00477287,0.0369904,0.00772367,0.00588287,0.00680369,0.00159144,0.00591862,0.0047582,0.0309255,0.00378603,0.0101019,0.00331654,0.00730344,0.01352,0,0,0,0,0,0,0,0,0
22,0.0124608,0.00654597,0,0,0,0,0,0.00624696,0.0138963,0.00550262,0.00732113,0,0,0.0103005,0,0.0267283,0.00712029,0.0406674,0.0119042,0.0175225,0.00266609,0.003432,0.00450788,0.00579133,0.00527207,0.00467666,0.0133134,0.00463508,0.00472049,0.00410608,0.0205428,0.0110009,0.00779872,0.0159372,0.0031678,0.0153813,0.00698053,0.0109252,0.0116279,0.0152068,0,0,0.0102737,0,0.0153619,0.012544,0.0736101,0.0134828,0.0327222,0.0134567,0.0141038,0.0188867,0.00463856,0.0363634,0.00850196,0.00706285,0.00714069,0.00203356,0.00550878,0.00447902,0.0311276,0.00333618,0.0107497,0.00349316,0.00743082,0.0130464,0,0,0,0,0,0,0,0,0
23,0.0125766,0.00681109,0,0,0,0,0,0.00410532,0.0141209,0.00553186,0.00688517,0,0,0.00984477,0,0.0264872,0.00689701,0.0407478,0.0109499,0.0173432,0.00287583,0.00321606,0.00464991,0.00579581,0.00540081,0.00476628,0.0133633,0.00463449,0.00473641,0.00412718,0.0201989,0.00850824,0.00794367,0.0158088,0.00299404,0.0144732,0.0066156,0.0101263,0.0108364,0.0148269,0,0,0.0109753,0,0.0155312,0.0131431,0.0732104,0.0140557,0.0326062,0.014645,0.0140969,0.0194957,0.00471271,0.0356167,0.00956592,0.00802209,0.00746366,0.00223671,0.00495547,0.00454166,0.0302386,0.00335828,0.0109412,0.00366659,0.00770061,0.012595,0,0,0,0,0,0,0,0,0
24,0.0126702,0.0071191,0,0,0,0,0,0.00338539,0.0143065,0.00532647,0.00658549,0,0,0.00933418,0,0.0262968,0.00667062,0.0406423,0.00974047,0.0170698,0.00313605,0.00353288,0.0048398,0.00619422,0.00511416,0.00489458,0.0133871,0.00481301,0.00485038,0.00391652,0.0198765,0.00697903,0.00792125,0.0157442,0.0028372,0.0134484,0.00636969,0.00902309,0.0101226,0.0145756,0,0,0.0114172,0,0.0156191,0.0135156,0.0731192,0.0152624,0.0323073,0.0154703,0.0143257,0.0199928,0.00501797,0.0348165,0.0106177,0.00840414,0.00766194,0.00208138,0.00425153,0.00479201,0.0287399,0.00342289,0.0110916,0.00391685,0.00804095,0.0122684,0,0,0,0,0,0,0,0,0
25,0.0126648,0.007398,0,0,0,0,0,0.00411956,0.0144808,0.0052028,0.00644269,0,0,0.00860807,0,0.0260368,0.00653801,0.0405111,0.00877528,0.0168589,0.00306321,0.00392221,0.00512939,0.00668413,0.00482575,0.00488953,0.0133286,0.00506361,0.00489579,0.00374157,0.0196412,0.00642499,0.00767952,0.0156985,0.00277132,0.0135541,0.00627459,0.00801583,0.0094881,0.0143422,0,0,0.0112662,0,0.0156325,0.0136499,0.0733001,0.0160032,0.03196,0.0156845,0.0142277,0.0205303,0.00419785,0.034174,0.011444,0.00896165,0.00783639,0.00180999,0.00375591,0.0054759,0.0261105,0.00380999,0.0108288,0.00416214,0.00830148,0.0119895,0,0,0,0,0,0,0,0,0
26,0.0128082,0.00770291,0,0,0,0,0,0.00510015,0.0146086,0.00520534,0.00638847,0,0,0.00835026,0,0.025939,0.00620997,0.0404584,0.00797024,0.0166528,0.00345591,0.00413317,0.00522464,0.00689974,0.00458092,0.00448435,0.013244,0.00516227,0.00484798,0.00350504,0.0193136,0.00674923,0.00763084,0.0156743,0.00261258,0.0137876,0.00633494,0.00769675,0.00892803,0.01436,0,0,0.0115759,0,0.0155949,0.013678,0.0735607,0.0171091,0.0314107,0.0158458,0.0136256,0.020681,0.00351376,0.0338471,0.0122247,0.00974894,0.00776579,0.00172365,0.00343051,0.0061794,0.023574,0.00360127,0.0108173,0.00411426,0.00853323,0.0118975,0,0,0,0,0,0,0,0,0
27,0.0130178,0.00793576,0,0,0,0,0,0.00638718,0.0147189,0.00533368,0.0063519,0,0,0.00698698,0,0.0255704,0.00587515,0.0403774,0.0072803,0.0164167,0.0041034,0.00432616,0.00572145,0.00665017,0.00485848,0.00413138,0.0131254,0.00500361,0.00468961,0.00333149,0.0189636,0.00763724,0.00650674,0.0155484,0.00259613,0.0153465,0.00658593,0.00838113,0.00836321,0.0143181,0,0,0.0112899,0,0.0155072,0.0132138,0.0735962,0.0185847,0.0307003,0.0166113,0.0129731,0.0206166,0.00296825,0.0339195,0.0133234,0.0101602,0.00745829,0.00204786,0.0028625,0.00662519,0.0200923,0.00337577,0.0106731,0.00386054,0.0086931,0.0117886,0,0,0,0,0,0,0,0,0
28,0.0133611,0.00813391,0,0,0,0,0,0.00778262,0.0150463,0.00555382,0.00615352,0,0,0.00634736,0,0.0252722,0.00560709,0.0401746,0.00684137,0.0161743,0.00464233,0.00450811,0.00597635,0.00637222,0.00499654,0.00439491,0.0129562,0.00475135,0.00452489,0.00331019,0.0186613,0.00860757,0.00591359,0.015422,0.00239166,0.0174061,0.0069115,0.00955871,0.00765612,0.0143576,0,0,0.0104329,0,0.0151456,0.0127334,0.0735578,0.0193393,0.0296894,0.0176046,0.0122992,0.0209522,0.00269432,0.0339315,0.0144212,0.0108037,0.00747195,0.00226633,0.00255825,0.00726259,0.0178167,0.00339055,0.0103906,0.0035813,0.00883787,0.0118169,0,0,0,0,0,0,0,0,0
