Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,
1412,0,0,0,0,0,0,0.0144111,0.0399096,0,0,0,0.0509031,0,0.0375629,0.032479,0,0,0.0122449,0,0,0.0496033,0.0374824,0.038114,0.0190291,0.0265254,0.0341752,0.032677,0.0327881,0.0335633,0.0342413,0.0324632,0.0377189,0.0339572,0.0258542,0.0355269,0.0138955,0.053062,0.0113561,0.0132839,0.0487222,0,0.028165,0.0430075,0.0370063,0,0,0.00800991,0,0,0.0272908,0.050943,0.0411323,0.0109707,0.0208452,0.0319799,0.0434129,0.0424824,0.0627125,0.0501725,0.0337911,0.0673442,0.0455024,0.0489517,0.0761582,0.0284591,0.0404753,0.0150305,0.00913353,0.0500541,0.0662506,0,0,0,0,0,0
1413,0,0,0,0,0,0,0.0144127,0.0398765,0,0,0,0.0508402,0,0.0375586,0.0325138,0,0,0.0122592,0,0,0.0495913,0.0374709,0.0380521,0.0190398,0.0265738,0.0341256,0.0326643,0.03281,0.0336309,0.0341849,0.0324478,0.0377092,0.0339521,0.0258585,0.0355012,0.0138763,0.0530513,0.011404,0.0132515,0.0487387,0,0.0281741,0.0429874,0.0369954,0,0,0.00803491,0,0,0.0272856,0.0509203,0.041087,0.0109855,0.0208419,0.0319818,0.0433797,0.0425131,0.062707,0.0501536,0.0338156,0.0673701,0.0455135,0.0489644,0.0760769,0.0284313,0.040474,0.0150129,0.00906706,0.0500259,0.0662458,0,0,0,0,0,0
1414,0,0,0,0,0,0,0.0143751,0.0398382,0,0,0,0.0507603,0,0.0375517,0.0325513,0,0,0.0122716,0,0,0.0495734,0.0374813,0.0380358,0.0190234,0.0265994,0.0340904,0.0326489,0.0328662,0.0336317,0.0341134,0.0324241,0.0377281,0.0339298,0.0258645,0.0354736,0.0138847,0.0530563,0.0114326,0.0132354,0.0487318,0,0.0281563,0.0429439,0.0370156,0,0,0.0080459,0,0,0.0272936,0.0508477,0.0410288,0.0109881,0.020875,0.0319586,0.0433559,0.0425725,0.0627046,0.0501229,0.0338262,0.0673931,0.0455591,0.048785,0.0761203,0.0283878,0.0404729,0.014969,0.0090662,0.0499924,0.0662958,0,0,0,0,0,0
1415,0,0,0,0,0,0,0.0143663,0.039805,0,0,0,0.0507081,0,0.0375748,0.0325756,0,0,0.012295,0,0,0.0495607,0.0374838,0.0380044,0.0190173,0.0266142,0.034088,0.0326342,0.0329404,0.03353,0.0340434,0.0324408,0.0377278,0.0338882,0.0258285,0.0354511,0.0139128,0.0530559,0.0114182,0.0132282,0.048706,0,0.0281315,0.0429055,0.0370555,0,0,0.00802968,0,0,0.027274,0.0508354,0.0410061,0.0109855,0.0208976,0.0319324,0.0433363,0.0425865,0.062681,0.0501063,0.0338053,0.0674081,0.0455704,0.0487067,0.0762111,0.0283645,0.0404689,0.0148804,0.00907574,0.0499611,0.066326,0,0,0,0,0,0
1416,0,0,0,0,0,0,0.0143378,0.0397588,0,0,0,0.0506758,0,0.0376521,0.0325835,0,0,0.0123352,0,0,0.0495677,0.0374555,0.0379285,0.019012,0.0266478,0.0340861,0.03263,0.033019,0.0332915,0.0339464,0.0324453,0.0376963,0.0338517,0.0257524,0.0354095,0.0138694,0.0530554,0.0114251,0.013242,0.0486997,0,0.0281004,0.0428646,0.0370746,0,0,0.00800254,0,0,0.0272506,0.0508762,0.040989,0.0110085,0.020885,0.0319121,0.043337,0.0426219,0.0626461,0.0500948,0.0338003,0.0674107,0.0455726,0.0487253,0.0761068,0.0283653,0.0404612,0.0148541,0.00904627,0.0499222,0.0662911,0,0,0,0,0,0
1417,0,0,0,0,0,0,0.0143077,0.0396985,0,0,0,0.0505995,0,0.0377123,0.0325535,0,0,0.0123736,0,0,0.0495543,0.0374445,0.0378464,0.0189809,0.0266726,0.0340761,0.0326406,0.0330844,0.0331927,0.0339271,0.0324272,0.0377019,0.0338852,0.0256931,0.0353581,0.0137915,0.0530519,0.0114494,0.013244,0.04869,0,0.0281014,0.0428438,0.0370779,0,0,0.00799814,0,0,0.0272395,0.0509093,0.0409698,0.0109601,0.0208622,0.0319265,0.043339,0.0426558,0.0626384,0.0500836,0.0338094,0.0674281,0.0455847,0.0487428,0.076084,0.0283458,0.0404687,0.014865,0.00901449,0.0498666,0.066258,0,0,0,0,0,0
1418,0,0,0,0,0,0,0.0142911,0.0396584,0,0,0,0.0505399,0,0.0377518,0.0325044,0,0,0.0123822,0,0,0.0495311,0.0374604,0.037792,0.0189602,0.0267585,0.0340338,0.0326421,0.0331681,0.033216,0.0339226,0.032355,0.0377366,0.0338648,0.0256312,0.0353017,0.0137663,0.0530587,0.0114772,0.0132327,0.0486959,0,0.0281318,0.0428308,0.0370571,0,0,0.00797923,0,0,0.0272285,0.0509075,0.0409697,0.0109404,0.0208422,0.0319447,0.0433239,0.0426812,0.062657,0.0500829,0.0338153,0.0674341,0.0455703,0.0487412,0.0761434,0.0283066,0.0405,0.0148867,0.00905631,0.0498124,0.0662244,0,0,0,0,0,0
1419,0,0,0,0,0,0,0.0142594,0.0396057,0,0,0,0.0504804,0,0.0378232,0.0324584,0,0,0.0123826,0,0,0.0494894,0.0374858,0.0377727,0.0189247,0.0268517,0.0340159,0.0326273,0.0332663,0.0333216,0.0338645,0.0322743,0.0377816,0.033823,0.0256227,0.0352635,0.0137706,0.0530757,0.0115387,0.0132289,0.0486676,0,0.0281134,0.0428092,0.0370476,0,0,0.00797524,0,0,0.0272452,0.0509185,0.0409204,0.0109273,0.0208575,0.0319533,0.0433134,0.0427381,0.0626414,0.0500618,0.0338348,0.0674154,0.0455576,0.0487632,0.0760601,0.0282558,0.0405437,0.0149312,0.00916605,0.0497303,0.0662249,0,0,0,0,0,0
1420,0,0,0,0,0,0,0.0142358,0.039558,0,0,0,0.0503851,0,0.0378568,0.0324111,0,0,0.0123887,0,0,0.0494647,0.0375022,0.0377963,0.0189092,0.0269154,0.0340142,0.0326028,0.0334119,0.033492,0.0337801,0.0322537,0.0377805,0.033785,0.0256046,0.0352034,0.0137753,0.0531019,0.0115351,0.0132515,0.048659,0,0.0281209,0.0427975,0.0370614,0,0,0.00799358,0,0,0.0272664,0.0509539,0.0408806,0.0108976,0.0208431,0.0319624,0.043317,0.0427878,0.0626088,0.0500561,0.0338465,0.0674223,0.0455448,0.0487414,0.0759459,0.0282256,0.0405461,0.0150169,0.00916853,0.0496732,0.0662515,0,0,0,0,0,0
1421,0,0,0,0,0,0,0.0142183,0.0395309,0,0,0,0.0502978,0,0.0379386,0.032346,0,0,0.0124195,0,0,0.0494522,0.0374969,0.0377627,0.0189135,0.0269905,0.0340624,0.0326129,0.0335276,0.033558,0.0337164,0.0321626,0.0377643,0.0336871,0.0255614,0.0351538,0.0137952,0.0530993,0.0115387,0.0132636,0.0486765,0,0.0281172,0.0427813,0.0370864,0,0,0.00802041,0,0,0.0272436,0.0509795,0.040869,0.0108731,0.0208192,0.0319962,0.0433346,0.042702,0.0625837,0.0500558,0.033851,0.0674205,0.0455446,0.0487247,0.0759069,0.0281965,0.0405214,0.0150162,0.00909297,0.049626,0.0662603,0,0,0,0,0,0
