Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,x73,x74,LWRB,RTIBP,LASI,RASI,RWRB
19,0,0,0,0,0,0,0.0640116,0.0343152,0,0,0,0.0201153,0,0.0658516,0,0,0.0278859,0,0,0.0418298,0.0553553,0.0475002,0.0461006,0.0176794,0.0905831,0.0294018,0.019682,0.0466912,0.0563932,0.0349108,0.042956,0.0381323,0.0351158,0.0372178,0.0486715,0.0470822,0.00663584,0.0241282,0,0.0553425,0.0606366,0,0,0.0302589,0,0,0.0133528,0.0677123,0.0426392,0.0460053,0.0282059,0.0845909,0.0313132,0.0414148,0,0.0771011,0.044322,0.0700765,0.0434647,0.0381571,0.0411363,0.0431277,0.0111055,0.0632275,0.0402474,0,0,0,0,0,0.0127111,0,0,0,0
20,0,0,0,0,0,0,0.0623544,0.0338393,0,0,0,0.0180617,0,0.0626694,0,0,0.0275113,0,0,0.0420524,0.0546796,0.0430046,0.0433737,0.0178572,0.0877823,0.030256,0.0207601,0.0465076,0.0555118,0.0343873,0.0419466,0.0375127,0.033524,0.0356332,0.0463809,0.0464485,0.00683264,0.0218222,0,0.0525248,0.0593223,0,0,0.0302446,0,0,0.0132897,0.0665393,0.039094,0.0431807,0.028911,0.0821728,0.0320905,0.0410714,0,0.0759893,0.0429504,0.0697014,0.0427691,0.0373012,0.0393376,0.0425718,0.0103004,0.0623005,0.0409204,0,0,0,0,0,0.0126982,0,0,0,0
21,0,0,0,0,0,0,0.0606228,0.0333929,0,0,0,0.01629,0,0.0594344,0,0,0.0269331,0,0,0.0425114,0.0542154,0.0386003,0.0410071,0.0181245,0.0849922,0.03123,0.0218338,0.046441,0.0545539,0.0338774,0.0408752,0.0368164,0.0319835,0.0340375,0.0440421,0.0456901,0.00708126,0.019653,0,0.0497219,0.0578717,0,0,0.0301875,0,0,0.0132572,0.0653115,0.0356579,0.0403775,0.0297722,0.079888,0.0329427,0.0407434,0,0.0748428,0.0414686,0.0690801,0.0420101,0.0363812,0.0378273,0.0421293,0.009441,0.0613491,0.0417436,0,0,0,0,0,0.0129736,0,0,0,0
22,0,0,0,0,0,0,0.0588484,0.0330937,0,0,0,0.0148353,0,0.0560512,0,0,0.0263942,0,0,0.0428597,0.0537517,0.0342737,0.0382299,0.0185833,0.082307,0.0322375,0.0224599,0.0463646,0.0535153,0.0334499,0.0397453,0.0359844,0.0303585,0.0323735,0.0416094,0.0448346,0.00750239,0.0177748,0,0.0469928,0.0563159,0,0,0.0299593,0,0,0.0133204,0.064187,0.0326654,0.0372851,0.0306383,0.077492,0.0338059,0.0405417,0,0.073797,0.0400239,0.0680955,0.0413164,0.0355235,0.0364239,0.0415364,0.00874912,0.0603138,0.0427111,0,0,0,0,0,0.0126878,0,0,0,0
23,0,0,0,0,0,0,0.0581979,0.0336041,0,0,0,0.0165051,0,0.0517035,0,0,0.026381,0,0,0.0425913,0.0520173,0.0296128,0,0.0206261,0.0822276,0.0315517,0.0209284,0.0441264,0.0520527,0.034144,0.037891,0.0351139,0.027573,0.0292976,0.036761,0.0451355,0.00770444,0.0186378,0,0.0458884,0.0554972,0,0,0.029785,0,0,0.0134348,0.0641473,0.0321506,0.0315889,0.0316691,0.0759979,0.0328318,0.0408935,0,0.0733751,0.0389521,0.0674237,0.0399043,0.0348572,0.0337331,0.0418173,0.00928193,0.058988,0.0431253,0,0,0,0,0,0.0128779,0,0,0,0
24,0,0,0,0,0,0,0.0550794,0.0332659,0,0,0,0.0162634,0,0.0509237,0,0,0.0255341,0,0,0.0431032,0.0531154,0.0285237,0.0301984,0.0200458,0.0775139,0.0333317,0.0241697,0.0452251,0.0510187,0.0325273,0.0372678,0.0344692,0.0272327,0.0287864,0.0362011,0.0437245,0.00812384,0.0175147,0,0.0432651,0.0531376,0,0,0.0299592,0,0,0.0134222,0.0622468,0.0302557,0.0308302,0.0328626,0.0735381,0.0349413,0.0404198,0,0.0720413,0.0370419,0.0669821,0.0390552,0.0338972,0.0324366,0.0408674,0.00879982,0.0579897,0.044421,0,0,0,0,0,0.0125793,0,0,0,0
25,0,0,0,0,0,0,0.052693,0.0329363,0,0,0,0.0166166,0,0.0470416,0,0,0.0248962,0,0,0.043454,0.0529719,0.0240153,0.0269966,0.021009,0.0743193,0.0350624,0.0249266,0.0444616,0.0500008,0.0327392,0.0359994,0.0335156,0.025303,0.0268556,0.0333074,0.042626,0.00864019,0.0168039,0,0.039828,0.0513547,0,0,0.0300107,0,0,0.0134099,0.061606,0.0281603,0.0279867,0.034115,0.0708416,0.0363088,0.0401459,0,0.070773,0.0355991,0.0662211,0.0380012,0.0325975,0.0313274,0.0401825,0.00810776,0.0570426,0.0456513,0,0,0,0,0,0.0120549,0,0,0,0
26,0,0,0,0,0,0,0.0505464,0.0324903,0,0,0,0.0180473,0,0.0435178,0,0,0.0244244,0,0,0.0439803,0.0530233,0.0207579,0.0238037,0.0219487,0.0713185,0.0366382,0.0259817,0.0438147,0.0488854,0.0329493,0.0347265,0.0324693,0.023412,0.0251793,0.0307312,0.0414642,0.00915291,0.0171542,0,0.0370014,0.0498964,0,0,0.0301325,0,0,0.0135807,0.0610121,0.0276097,0.0250043,0.0352746,0.0684061,0.0372603,0.0401252,0,0.0695241,0.0340026,0.0654491,0.037004,0.0312693,0.0307253,0.0394129,0.00724921,0.0559,0.0470449,0,0,0,0,0,0.0119141,0,0,0,0
27,0,0,0,0,0,0,0.0485307,0.0320823,0,0,0,0.0194372,0,0.0413049,0,0,0.0242718,0,0,0.0444695,0.0523758,0.0200967,0.0218098,0.0217738,0.0695513,0.0376818,0.0275528,0.0443387,0.0478925,0.0322775,0.0333413,0.0311585,0.0218575,0.0239091,0.0293063,0.0405014,0.00953891,0.0167123,0,0.0346485,0.0487659,0,0,0.0302311,0,0,0.0139333,0.0605883,0.0262831,0.0190101,0.0342886,0.0661307,0.0379491,0,0,0.0714856,0.0341476,0.0654345,0.0371824,0.0316145,0.0308847,0.0386187,0.00653366,0.0544508,0.0485744,0,0,0,0,0,0.0115097,0,0,0,0
28,0,0,0,0,0,0,0.0462495,0.0317082,0,0,0,0.0231203,0,0.0371157,0,0,0.0238465,0,0,0.0450268,0.0533852,0.0185734,0.0179952,0.0239711,0.0662538,0.0395416,0.0281572,0.0425838,0.0466277,0.0334963,0.0318068,0.0302074,0.0195936,0.0220891,0.0266242,0.0396449,0.0102311,0.0199559,0,0.0324953,0.0475356,0,0,0.0295228,0,0,0.0114833,0.0605071,0.0300845,0.0188672,0.0376252,0.0638511,0.0393037,0.0400794,0,0.066637,0.0303871,0.0642181,0.0355001,0.028664,0.0306761,0.0379529,0.00587145,0.0531718,0.0505118,0,0,0,0,0,0.0120041,0,0,0,0
