Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,STRN,T10,x70,x71,x72,x74,LTHI,RTOE,x73,RTHI,RWRB,LASI,RASI,
19,0,0,0,0,0,0,0.0414799,0.0258765,0,0,0,0.0254474,0,0.0370114,0,0,0.0154342,0,0,0.0448392,0.0450164,0.0321931,0.0112969,0.0266999,0.0551739,0.0385369,0.042139,0.0421567,0.0345645,0.0300233,0.0287816,0.0180898,0.0214592,0.0405604,0.0468572,0.0116404,0.01067,0.02856,0,0.0280411,0.0433228,0,0,0.018017,0,0,0.021179,0.0582636,0.0489191,0.00862447,0.042934,0.0551119,0.0503727,0.0620453,0.0562194,0.0222866,0.0563656,0.0349101,0.0374911,0.0715723,0.0369734,0.00684945,0.0445603,0.0653792,0,0,0,0,0.0308907,0.0548647,0,0,0.00392703,0,0,0
20,0,0,0,0,0,0,0.0417048,0.0259281,0,0,0,0.0254835,0,0.03703,0,0,0.0153406,0,0,0.0449376,0.0449495,0.0323179,0.0115355,0.0266055,0.0551401,0.0387502,0.0419435,0.0420658,0.0344268,0.0300283,0.0287498,0.0181917,0.0216207,0.0405931,0.0469599,0.0117614,0.0105422,0.0295532,0,0.0279381,0.0434707,0,0,0.0177257,0,0,0.0212656,0.0581192,0.049091,0.00868491,0.0423871,0.0550326,0.0505406,0.062006,0.0562679,0.0224376,0.0565162,0.0350502,0.0375799,0.0717275,0.0367355,0.00707929,0.044241,0.0654827,0,0,0,0,0.0308713,0.0537544,0,0,0.00381867,0,0,0
21,0,0,0,0,0,0,0.0420135,0.0259755,0,0,0,0.0254908,0,0.0371094,0,0,0.015281,0,0,0.0452684,0.0448117,0.0323647,0.0118711,0.026526,0.0550102,0.03881,0.0417912,0.0419811,0.0342065,0.0300577,0.0287906,0.0183275,0.0217524,0.0407905,0.0471117,0.0116048,0.0106933,0.030085,0,0.0278135,0.043551,0,0,0.0173393,0,0,0.0212525,0.0579582,0.0490829,0.00878123,0.0417852,0.0549641,0.0509294,0.0620089,0.0562431,0.0226349,0.0567723,0.0353784,0.0378101,0.0719343,0.0365722,0.00743909,0.0437935,0.0657132,0,0,0,0,0.0307173,0.0534246,0,0,0.00378326,0,0,0
22,0,0,0,0,0,0,0.0426355,0.0260447,0,0,0,0.0256749,0,0.0368674,0,0,0.0152793,0,0,0.0454934,0.0448586,0.0319049,0.0122305,0.0269435,0.0547021,0.038537,0.0411678,0.0421878,0.0344842,0.0305373,0.0289977,0.0185569,0.0219378,0.0404814,0.0472955,0.0114795,0.010723,0.0305557,0,0.028694,0.0436389,0,0,0.0168987,0,0,0.0212959,0.0579999,0.0505706,0.0106041,0.0424046,0.0552755,0.0512343,0.0600733,0.0553689,0.023178,0.0569634,0.0357583,0.0379565,0.0719369,0.0363943,0.00786968,0.0435884,0.0655248,0,0,0,0,0.0298409,0.0540216,0,0.0281839,0.00391845,0,0,0
23,0,0,0,0,0,0,0.0429605,0.0259791,0,0,0,0.0257538,0,0.0369176,0,0,0.0158824,0,0,0.0364668,0.0446136,0.0319926,0.0126221,0.0267658,0.0547546,0.0377829,0.04124,0.0422922,0.0343005,0.0308222,0.0290037,0.0187117,0.0220902,0.0407871,0.0480474,0.0164357,0,0.0306918,0,0.0286366,0.0430155,0,0,0.0168521,0,0,0.0212791,0.0579037,0.050799,0.0109307,0.0418671,0.0553671,0.0518333,0.0601166,0.0555539,0.023308,0.0573929,0.036139,0.038326,0.072265,0.0358844,0.00810227,0.0429861,0.0656767,0,0,0,0,0.0297369,0.0544635,0,0.028121,0.00382724,0,0,0
24,0,0,0,0,0,0,0.042738,0.0260739,0,0,0,0.0258561,0,0.0369449,0,0,0.0151336,0,0,0.0454986,0.0443863,0.0319615,0.012937,0.0266024,0.0544759,0.0375591,0.0413085,0.0423584,0.0340927,0.0308761,0.0290567,0.0189008,0.022341,0.0409687,0.0472997,0.0113589,0.010544,0.0308698,0,0.0285705,0.0436421,0,0,0.0164451,0,0,0.0212322,0.0577742,0.050913,0.0110515,0.0414852,0.0550704,0.0515738,0.0601999,0.0556697,0.0233712,0.0576569,0.0364599,0.0386193,0.0725898,0.0358435,0.00851836,0.0425448,0.0659067,0,0,0,0,0.0295737,0.0549233,0,0.0281644,0.00383842,0,0,0
25,0,0,0,0,0,0,0.0428232,0.0260091,0,0,0,0.0259709,0,0.0369073,0,0,0.015679,0,0,0.0365099,0.0441331,0.0320312,0.0132061,0.0264337,0.0545661,0.0371666,0.0415305,0.0423783,0.0338896,0.0306637,0.0291429,0.0191308,0.0226288,0.0411149,0.0477442,0.0162951,0,0.030948,0,0.02863,0.0430944,0,0,0.0165896,0,0,0.0211048,0.0576778,0.0510013,0.011402,0.04103,0.0551784,0.0519259,0.0603248,0.0557411,0.0234852,0.0579456,0.0367691,0.0388872,0.0729446,0.0354248,0.00827272,0.0419295,0.065908,0,0,0,0,0.0293369,0.055325,0,0.0282312,0.00364612,0,0,0
26,0,0,0,0,0,0,0.0423716,0.0262408,0,0,0,0.0260756,0,0.0368806,0,0,0.0149654,0,0,0.0454352,0.0440113,0.0320864,0.0134803,0.026268,0.0543253,0.0369862,0.0418925,0.0424697,0.0336793,0.0306556,0.0291696,0.0193791,0.0228147,0.0412654,0.0469061,0.0112556,0.0104269,0.0310218,0,0.0287034,0.0438039,0,0,0.0166532,0,0,0.0210245,0.0575902,0.0511789,0.0114618,0.0404356,0.0549075,0.0515979,0.0603526,0.0556718,0.0235977,0.0582799,0.0370658,0.0390965,0.0732618,0.0355937,0.00804698,0.0416475,0.0659086,0,0,0,0,0.0291553,0.0554254,0,0.0283056,0.00351564,0,0,0
27,0,0,0,0,0,0,0.042315,0.0263848,0,0,0,0.0261492,0,0.0368589,0,0,0.015435,0,0,0.0366779,0.0438537,0.0319904,0.0139007,0.0261727,0.0542878,0.036486,0.0416739,0.0425868,0.0334314,0.0308229,0.0291973,0.019464,0.0229256,0.0414357,0.0473891,0.0162741,0,0.0311348,0,0.0286247,0.0433451,0,0,0.0172947,0,0,0.0209942,0.0575589,0.0512783,0.0117326,0.039734,0.0550001,0.0521616,0.0604119,0.0556219,0.0237319,0.0585954,0.0372444,0.0393617,0.0734455,0.0354506,0.00751125,0.0414809,0.0657168,0,0,0,0,0.0290531,0.0554809,0,0.0283331,0.00340487,0,0,0
28,0,0,0,0,0,0,0.0420816,0.0266349,0,0,0,0.0262061,0,0.0368832,0,0,0.0153158,0,0,0.0369112,0.0437339,0.0319586,0.0143427,0.0260421,0.0538931,0.0359035,0.0415695,0.0426538,0.0331569,0.0312046,0.0292142,0.0195044,0.0230094,0.0415553,0.0472768,0.0162794,0,0.0312607,0,0.0284896,0.043588,0,0,0.0176159,0,0,0.0211525,0.0574274,0.0512398,0.0118294,0.0392559,0.0548794,0.0523132,0.0604631,0.0557524,0.0237931,0.0588833,0.0374109,0.0395696,0.0735232,0.035407,0.00732483,0.0415979,0.0656372,0,0,0,0,0.0290296,0.0555401,0,0.0284327,0.0033566,0,0,0
