Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
164,0.00718141,0.00555415,0,0,0,0.0523984,0.0312592,0.0301978,0.00512541,0,0,0,0,0.00528862,0,0.0144763,0.00307043,0.033299,0.0315626,0.0130667,0.00927049,0,0,0.00182798,0.00695842,0.00844393,0.0143711,0.00777682,0.0283331,0.0129787,0.0180423,0.0117593,0.0183452,0,0.0598167,0,0.00445181,0.022707,0.00196998,0.0113953,0.00788954,0.00325577,0.00271718,0.011577,0,0,0.00385102,0,0.00887417,0.00307973,0.0617147,0.00705025,0.0203462,0.00839576,0.00214532,0.00730736,0.00319235,0.0276403,0.00647865,0.00628128,0.00290325,0.00699536,0.0042229,0.00607788,0.0114806,0.00592408,0.00406665,0.00274452,0.00487917,0.0109959,0,0,0
165,0.00649215,0.00554579,0,0,0,0.05296,0.0313434,0.0303591,0.00519024,0,0,0,0,0.00569466,0,0.0144945,0.00328908,0.0324878,0.0308331,0.0128952,0.00809563,0,0,0.0023374,0.00715281,0.00823857,0.0139758,0.00760845,0.0287469,0.0127908,0.0176085,0.0113751,0.0184224,0,0.0605132,0,0.00489507,0.0224603,0.00191754,0.0102319,0.00765729,0.00321,0.0028024,0.0111188,0,0,0.00242604,0,0.00917325,0.0022234,0.0620346,0.00741848,0.0204917,0.00807122,0.00186342,0.00646468,0.00282281,0.0276198,0.00648418,0.00596825,0.00275539,0.00698012,0.00402559,0.00604535,0.0114797,0.00514064,0.00384485,0.00251434,0.00476646,0.0107154,0,0,0
166,0.00636394,0.00546323,0,0,0,0.053436,0.0312886,0.0299556,0.00500557,0,0,0,0,0.00551662,0,0.0145237,0.00321354,0.0318265,0.0298277,0.0127579,0.0072511,0,0,0.00278981,0.00757173,0.0079034,0.0134615,0.00767223,0.0291168,0.0126333,0.0170967,0.0108323,0.0186579,0,0.0611988,0,0.00475556,0.022456,0.00195434,0.0101255,0.00768826,0.00371432,0.00281992,0.0109464,0,0,0.00243723,0,0.00911239,0.00224467,0.0623396,0.00847201,0.0208367,0.00786622,0.00170909,0.00637036,0.0032308,0.0276004,0.00660748,0.00581166,0.00268416,0.00695592,0.0039572,0.00636518,0.0109466,0.00512939,0.00385517,0.00257215,0.00448411,0.0104873,0,0,0
167,0.00626649,0.00534711,0,0,0,0.0541633,0.031234,0.0293084,0.0048366,0,0,0,0,0.0053458,0,0.0145096,0.00301748,0.0311103,0.0286815,0.0126575,0.00651339,0,0,0.00300415,0.00806448,0.00761729,0.013061,0.00787133,0.0291168,0.0124922,0.0166119,0.0105259,0.0188606,0,0.0624316,0,0.00459103,0.0224157,0.00182146,0.00987324,0.00771986,0.00447151,0.00287372,0.0107705,0,0,0.00264979,0,0.00908105,0.00230033,0.062551,0.00987517,0.0212838,0.00781662,0.00196997,0.0062896,0.0034067,0.0276166,0.00684572,0.00600295,0.00254721,0.00691096,0.00456237,0.00684259,0.010259,0.00505076,0.00383759,0.00262049,0.0041533,0.0102948,0,0,0
168,0.00618308,0.0051985,0,0,0,0.0548597,0.0311358,0.0285357,0.0045699,0,0,0,0,0.00516083,0,0.0145513,0.00285986,0.0302951,0.0273561,0.012608,0.00582126,0,0,0.00315804,0.00858225,0.00751248,0.0128967,0.0079809,0.0293629,0.0123208,0.0160116,0.0101718,0.0190393,0,0.0639982,0,0.00446377,0.0224054,0.00178065,0.00971802,0.0077564,0.00545157,0.00299382,0.0105402,0,0,0.0030839,0,0.0090878,0.00239827,0.0627974,0.0113474,0.0218378,0.00767818,0.00229035,0.00630899,0.00346983,0.0276137,0.00698991,0.00604306,0.00244722,0.00685998,0.005279,0.00770708,0.00969447,0.00515568,0.00379998,0.00263796,0.00381971,0.0100779,0,0,0
169,0.00612515,0.0050236,0,0,0,0.0555611,0.031043,0.0278496,0.0042948,0,0,0,0,0.00492786,0,0.0146227,0.00273146,0.0293743,0.0260328,0.0125544,0.00523721,0,0,0.00336946,0.00910309,0.0075333,0.0127885,0.00814386,0.0299356,0.01206,0.0154082,0.00959303,0.0192798,0,0.0655507,0,0.0046294,0.0223707,0.00168155,0.00969657,0.00782309,0.00648399,0.00325678,0.0103327,0,0,0.00331013,0,0.00912027,0.00249221,0.063132,0.0126629,0.0224524,0.00761506,0.00268515,0.00630893,0.0035984,0.027625,0.00709508,0.00600666,0.00257458,0.00683872,0.00587339,0.00863691,0.00915767,0.00551471,0.00380128,0.00269272,0.00350163,0.00986603,0,0,0
170,0.00604017,0.0048597,0,0,0,0.0561308,0.0310029,0.0272386,0.00414184,0,0,0,0,0.00484812,0,0.0147641,0.00257823,0.0284301,0.024808,0.0124964,0.00466927,0,0,0.00352404,0.00964263,0.0074932,0.0123626,0.00828237,0.0306321,0.0117245,0.0147098,0.00873174,0.0196599,0,0.0668061,0,0.00483302,0.0223585,0.00159326,0.00977632,0.00787428,0.00746612,0.00359542,0.0101979,0,0,0.00377668,0,0.00911591,0.00254186,0.0635178,0.0136718,0.0230613,0.0076925,0.0031054,0.00648446,0.00406336,0.0277095,0.00722035,0.00604358,0.00287056,0.00686077,0.00649256,0.00950391,0.00856637,0.00593289,0.00375745,0.00275359,0.00324589,0.00974412,0,0,0
171,0.00639147,0.00480749,0,0,0,0.0561598,0.0306109,0.0262966,0.00429289,0,0,0,0,0.00475959,0,0.0145014,0.00208235,0.0276687,0.0236651,0.0124271,0.00405341,0,0,0.00395068,0.0105738,0.00739745,0.0118098,0.00847182,0.0310931,0.0116602,0.0139395,0.00774542,0.0202404,0,0.0674218,0,0.00480392,0.0227252,0.00154648,0.0104805,0.00819777,0.00893838,0.00410557,0.010504,0,0,0.004748,0,0.00890534,0.00279724,0.0636576,0.0154418,0.0237121,0.00805493,0.00366303,0.00729615,0.00509519,0.0280558,0.00764584,0.0063641,0.00327995,0.00708866,0.0073871,0.0105913,0.00782009,0.00679527,0.00373494,0.00277227,0.00313361,0.00972129,0,0,0
172,0.00545047,0.00444915,0,0,0,0.056947,0.0308968,0.0262604,0.00414514,0,0,0,0,0.0061662,0,0.0143822,0.00275592,0.0271284,0.0231736,0.0125673,0.00362424,0,0,0.00354422,0.0112652,0.00726961,0.0111201,0.00871419,0.0313709,0.0116081,0.0132761,0.00728611,0.0203792,0,0.0682739,0,0.005667,0.022206,0.00129352,0.00893537,0.00791874,0.00908089,0.00429456,0.0098583,0,0,0.00461443,0,0.00938851,0.00260547,0.0642746,0.0161083,0.0242355,0.00794354,0.00386813,0.00632823,0.00519119,0.0282109,0.00757434,0.00598926,0.00349342,0.00695685,0.007614,0.011081,0.00807882,0.0061174,0.00350014,0.00267761,0.00273831,0.00939087,0,0,0
173,0.00527396,0.00433436,0,0,0,0.0568876,0.0308025,0.0260567,0.00420492,0,0,0,0,0.00615832,0,0.0146192,0.00267435,0.0269172,0.0231244,0.0125807,0.00383967,0,0,0.00297698,0.0116617,0.00737226,0.0105715,0.00895807,0.0317153,0.0116887,0.0126507,0.00674232,0.0207474,0,0.0681774,0,0.00557645,0.0221667,0.00125285,0.00864925,0.00796724,0.00949215,0.00454534,0.0097367,0,0,0.0051384,0,0.00944244,0.00282162,0.0646293,0.0172121,0.0246518,0.00806536,0.00404679,0.00608227,0.00484558,0.028365,0.00766688,0.00575473,0.00382831,0.00698635,0.00813805,0.0118215,0.00761614,0.00602335,0.00343985,0.00269126,0.00249294,0.00934686,0,0,0
