Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBR,RTHI
205,0.00354148,0.00536285,0,0,0,0.0239451,0.0282598,0.0191906,0.00613848,0,0,0,0.0102778,0,0.00431983,0.00421283,0.0368349,0.0170768,0.0130011,0.0136265,0,0,0.00124347,0.0180671,0.00408383,0.00733896,0.0115446,0.0243703,0.00635194,0.00609191,0.00708166,0.0104549,0,0.0321124,0,0.00940327,0.0219294,0.0027781,0.0118327,0.00708222,0.000883921,0.00543322,0.00945794,0,0,0.0113468,0,0.0103812,0.00978478,0.0589815,0.00623688,0.0155233,0.00624238,0.00642399,0.00603223,0.026919,0.0052795,0.00701076,0.00142823,0.00738254,0.0017571,0.00405032,0.0121225,0.00409459,0.00148491,0.00216928,0.00470457,0.0078654,0,0,0,0,0.00373983
206,0.00380248,0.00578772,0,0,0,0.0303445,0.0282425,0.0210178,0.00667524,0,0,0,0.0104554,0,0.00438678,0.00424115,0.0373583,0.0169457,0.012617,0.0132149,0,0,0.00147504,0.0176753,0.0037344,0.00677005,0.0116571,0.0238651,0.00671722,0.00683475,0.00789125,0.0110549,0,0.0372595,0,0.00946848,0.0218932,0.0026909,0.0119032,0.00706492,0.00123565,0.00540092,0.00972478,0,0,0.0118187,0,0.0104492,0.0101002,0.0593013,0.00625963,0.0154917,0.00555836,0.00635034,0.00623656,0.0266128,0.00503268,0.0070765,0.00120177,0.00707645,0.00149515,0.0030071,0.0115406,0.00438111,0.00159975,0.00223416,0.00510582,0.00813898,0,0,0,0,0.0035236
207,0.00368985,0.00592022,0,0,0,0.0374148,0.0282261,0.0226597,0.00699607,0,0,0,0.0102865,0,0.00469276,0.00422964,0.0377436,0.0158781,0.0121037,0.0130171,0,0,0.00165419,0.0177498,0.00350003,0.00664084,0.0116817,0.0236884,0.00698121,0.00759884,0.00836745,0.0119347,0,0.0438531,0,0.00968245,0.0218905,0.00232861,0.0119491,0.00716572,0.00129238,0.00521702,0.00943824,0,0,0.0113882,0,0.010327,0.00982259,0.0600652,0.00622789,0.0155434,0.00531737,0.00623003,0.00635224,0.0267836,0.00447166,0.00694737,0.00206856,0.00688031,0.0013268,0.00206529,0.0106492,0.00411551,0.00158694,0.00227919,0.00526509,0.00799244,0,0,0,0,0.00333975
208,0.00406564,0.00601754,0,0,0,0.0448567,0.0281956,0.0249233,0.00713618,0,0,0,0.010343,0,0.00466519,0.00426879,0.0378616,0.016514,0.0116491,0.0128628,0,0,0.00189298,0.0174302,0.00337966,0.00683983,0.0115096,0.0239726,0.00745465,0.00872117,0.00883386,0.0131326,0,0.0513679,0,0.00939993,0.0218462,0.00199905,0.0116086,0.0072462,0.00123613,0.00492913,0.00954604,0,0,0.0109467,0,0.0101764,0.00945564,0.0609776,0.00642589,0.0157585,0.00551859,0.00604494,0.00637954,0.0271859,0.00396634,0.00689091,0.00264633,0.00674914,0.00150373,0.00219105,0.00985091,0.00377356,0.00149224,0.00239013,0.00545616,0.00829476,0,0,0,0,0.00331165
209,0.00463665,0.00596386,0,0,0,0.051668,0.0281726,0.0281198,0.00718505,0,0,0,0.0101647,0,0.00472108,0.00414901,0.0376797,0.0196321,0.0114105,0.0128029,0,0,0.00260101,0.0171533,0.0035804,0.00719937,0.0114228,0.0246812,0.00864479,0.0104569,0.00976736,0.0146048,0,0.0577113,0,0.00898653,0.0218215,0.00219182,0.0112488,0.0070451,0.00145885,0.00461418,0.00996799,0,0,0.0138843,0,0.0106411,0.0114272,0.0617921,0.00653207,0.0160545,0.00584115,0.00604953,0.00682069,0.0275902,0.00366368,0.00694417,0.00263639,0.00670545,0.0015639,0.00229901,0.00935779,0.00528953,0.00188304,0.00257213,0.00557271,0.00889545,0,0,0,0,0.00343176
210,0.00517568,0.00618892,0,0,0,0.0570161,0.0281379,0.0318361,0.00707626,0,0,0,0.0107487,0,0.00434973,0.00431992,0.0371044,0.0240673,0.0111894,0.0123099,0,0,0.00302699,0.0163597,0.0037794,0.00744523,0.0111087,0.0255131,0.0103058,0.0128774,0.0111002,0.0160504,0,0.0623178,0,0.00835412,0.0217667,0.00227077,0.011081,0.00702437,0.00202782,0.00397658,0.0104872,0,0,0.0109183,0,0.00962655,0.00893771,0.0624709,0.00688312,0.0164814,0.00579088,0.00581543,0.00632491,0.0278771,0.00354052,0.00699661,0.00212409,0.00661683,0.000986144,0.00139833,0.00919711,0.00339469,0.00150888,0.00223889,0.00585958,0.00953487,0,0,0,0,0.00366229
211,0.00509247,0.00632793,0,0,0,0.0601452,0.0281011,0.0353515,0.00698913,0,0,0,0.0104753,0,0.00432239,0.00417302,0.0361963,0.0282555,0.0108212,0.0114001,0,0,0.00356027,0.0160514,0.00412083,0.00763818,0.0106604,0.0262107,0.0118314,0.0154788,0.0122526,0.0172672,0,0.0648178,0,0.00798142,0.0217465,0.00197786,0.0116165,0.00717516,0.0031275,0.00346596,0.0105119,0,0,0.0116311,0,0.00979856,0.00918035,0.0631234,0.00811448,0.0168688,0.00547305,0.00567056,0.00633237,0.0280148,0.00347124,0.00699111,0.00150602,0.00640278,0.000671925,0.00090315,0.00918111,0.00373376,0.00172745,0.0026959,0.00596145,0.00973968,0,0,0,0,0.00381426
212,0.00499566,0.00654593,0,0,0,0.0607661,0.0280743,0.0381832,0.00705888,0,0,0,0.0101455,0,0.00434312,0.00401622,0.034898,0.031808,0.0104483,0.0103503,0,0,0.00401854,0.015688,0.00473116,0.00787422,0.0102623,0.0266499,0.0130027,0.0178145,0.0133915,0.0181234,0,0.065295,0,0.00772975,0.0217274,0.00213492,0.0124611,0.00716292,0.00464934,0.00325353,0.0105424,0,0,0.0117242,0,0.00981492,0.00956942,0.0637684,0.0101493,0.0172985,0.00508343,0.00543562,0.0063589,0.0280764,0.00339713,0.00703558,0.00168447,0.00614674,0.00164223,0.00304031,0.00956141,0.00408576,0.00167783,0.00255287,0.0060651,0.00993916,0,0,0,0,0.00381264
213,0.00501257,0.00679812,0,0,0,0.0594958,0.0280691,0.0399853,0.00727358,0,0,0,0.00978912,0,0.00445355,0.00387524,0.0336203,0.0344728,0.0101431,0.0093751,0,0,0.00435679,0.0152982,0.00534327,0.00813795,0.0101099,0.0268734,0.0137276,0.0192217,0.0142299,0.0186087,0,0.0642388,0,0.00759314,0.0217174,0.00214289,0.0133041,0.00690834,0.00615669,0.00339879,0.0106338,0,0,0.0121323,0,0.00977511,0.0100354,0.0644152,0.0120031,0.0177273,0.00480776,0.00509439,0.00635439,0.0281314,0.00332431,0.00680259,0.00256379,0.00595108,0.00229369,0.00517478,0.0100639,0.00438773,0.00159401,0.00188628,0.0061632,0.0100473,0,0,0,0,0.00368877
214,0.00445415,0.00672302,0,0,0,0.0570781,0.0281084,0.0405618,0.00745872,0,0,0,0.00942703,0,0.00473872,0.00378286,0.0327332,0.0359139,0.00993877,0.00866418,0,0,0.00452848,0.0149715,0.00584412,0.00830253,0.0102305,0.0269489,0.0139653,0.0194626,0.014308,0.0188035,0,0.0620949,0,0.00777868,0.0217636,0.00198132,0.0141954,0.00688595,0.00734845,0.00368439,0.00993066,0,0,0.0124612,0,0.00965023,0.0101264,0.0650323,0.0132885,0.018125,0.00466045,0.00466087,0.00601161,0.0282066,0.00322416,0.00646125,0.0032462,0.00587251,0.0027268,0.00676448,0.0101115,0.00432323,0.00158509,0.00153101,0.00598846,0.00933703,0,0,0,0,0.00356379
215,0.00455903,0.00676903,0,0,0,0.0541044,0.0281232,0.040134,0.00782186,0,0,0,0.00904115,0,0.00492202,0.00363976,0.0320705,0.0364344,0.00978809,0.00845614,0,0,0.00469366,0.01482,0.0063595,0.00835821,0.010717,0.0271052,0.0138334,0.0186,0.0137039,0.0188076,0,0.0591734,0,0.00792803,0.0217429,0.00184137,0.0141358,0.00695938,0.00785078,0.00424899,0.0102784,0,0,0.0140938,0,0.0100322,0.0112001,0.0653879,0.0137834,0.0186056,0.00453575,0.00439224,0.00602931,0.0282788,0.00320491,0.00608077,0.00371246,0.00589779,0.00296337,0.00750912,0.0103589,0.0054447,0.00170559,0.00186917,0.0060113,0.00950651,0,0,0,0,0.00368176
216,0.00433351,0.00637598,0,0,0,0.0510163,0.0280433,0.0389466,0.00860427,0,0,0,0.00962174,0,0.00465731,0.00377481,0.0313874,0.0364988,0.00996014,0.00913302,0,0,0.00491711,0.0152166,0.00725034,0.00870852,0.0117235,0.0275948,0.0136075,0.016792,0.0127681,0.0188715,0,0.0557656,0,0.0083294,0.0216271,0.00132931,0.0139023,0.00737246,0.00750042,0.00552569,0.0105327,0,0,0.0102605,0,0.00928952,0.00889323,0.0652877,0.012942,0.019537,0.00432437,0.00421081,0.00594284,0.0283241,0.00347555,0.0062056,0.00418737,0.00611031,0.00292905,0.00700014,0.0104908,0.00380678,0.00279765,0.00165164,0.00569986,0.00970254,0,0,0,0,0
