Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,LEAR,RTHIA,
582,0.0391108,0.0689403,0,0,0,0,0,0,0.0419889,0,0.0263878,0.0602643,0,0.0309265,0,0,0.0483041,0.0457401,0.0360514,0.0221805,0.0211871,0.0549589,0.0527823,0.0249612,0.0520846,0.0551107,0.0220709,0.0339094,0.0348192,0.0185076,0.0191174,0.0444413,0.0329973,0.0127558,0.0141541,0.0273997,0,0.0152672,0.0697076,0.0268309,0,0,0.0425359,0,0,0.0308493,0.0559976,0.0340027,0.0395932,0.00953515,0.0615822,0.0732005,0.0356836,0.0610846,0.0397985,0.0645079,0.0422838,0.0460747,0.0723499,0.0283435,0.0226994,0.00865705,0.0179931,0.0548193,0.0578135,0,0,0,0,0,0,0,0,0.0708404,0
583,0.0388454,0.0678145,0,0,0,0,0,0,0.0389318,0,0.0268192,0.0600695,0,0.0306542,0,0,0.0480339,0.0459935,0.0362176,0.0225773,0.0213091,0.0557138,0.0531588,0.025156,0.0526386,0.0552979,0.02194,0.0343437,0.0351332,0.0188443,0.0190245,0.0481435,0.0335981,0.0124729,0.0142882,0.0278553,0,0.0154782,0.0698603,0.0265844,0,0,0.0427351,0,0,0.0313273,0.0562255,0.0340761,0.0395056,0.00908425,0.0614952,0.0730619,0.0355743,0.0610039,0.0400096,0.0642918,0.0421256,0.0460514,0.0721236,0.0274707,0.0224355,0.0086151,0.0181643,0.0551024,0.0579833,0,0,0,0,0,0,0,0,0.0710646,0
584,0.038382,0,0,0,0,0,0,0,0.0357087,0,0.0275123,0.0601726,0,0.0295435,0,0,0.0468516,0.0463628,0.0371206,0.0241277,0.0214037,0.0592833,0.0489369,0.0255657,0.0538777,0.0556496,0.0218645,0.0344189,0.0351795,0.0191036,0.0189895,0.0521486,0.033746,0.0120212,0.013673,0.0279009,0,0.0156747,0.0699193,0.0259201,0,0,0.0380383,0,0,0.0303968,0.0564645,0.0341728,0.0413515,0.00845685,0.0644313,0.0685158,0.0356278,0.0611422,0.0402651,0.0637394,0.0417276,0.0458618,0.0716758,0.0270056,0.0245415,0.00724384,0.0178263,0.0618926,0.054271,0,0,0,0,0,0,0,0,0.0714806,0
585,0.0381921,0,0,0,0,0,0,0,0.03249,0,0.0282511,0.0605384,0,0.0294628,0,0,0.0467842,0.0464482,0.0382469,0.024488,0.0217158,0.0595514,0.0490796,0.0257537,0.0545065,0.0556356,0.0216945,0.0345592,0.0353816,0.0197854,0.0193709,0.0554099,0.0338937,0.0120761,0.0137433,0.0279802,0,0.0158693,0.0700597,0.0259475,0,0,0.0376392,0,0,0.0304835,0.056653,0.0340691,0.0411047,0.00799332,0.0641782,0.0683816,0.035539,0.0611338,0.0404181,0.0632187,0.0414203,0.045627,0.071337,0.0262315,0.0246903,0.00743558,0.01768,0.0617985,0.0546114,0,0,0,0,0,0,0,0,0.0713788,0
586,0.0381462,0.068851,0,0,0,0,0,0,0.0298098,0,0.0291091,0.0609321,0,0.03057,0,0,0.0478327,0.0462147,0.0389542,0.0234788,0.0219987,0.0565841,0.0536581,0.0257292,0.0548084,0.0552677,0.021396,0.0353157,0.0357427,0.020732,0.0200437,0.0583024,0.0340699,0.0127296,0.0137884,0.0280197,0,0.0160187,0.0700606,0.0267851,0,0,0.0414213,0,0,0.0316297,0.0566474,0.0338841,0.0385982,0.00772265,0.0607148,0.0726501,0.0354254,0.0609814,0.0403065,0.0629848,0.0413032,0.0454399,0.0712253,0.025323,0.0229223,0.00860267,0.0179645,0.0550382,0.0588671,0,0,0,0,0,0,0,0,0.0708363,0
587,0.0379572,0.0678205,0,0,0,0,0,0,0.0282387,0,0.0299313,0.0617509,0,0.0302237,0,0,0.0478144,0.0462153,0.0397442,0.0239509,0.0222326,0.0568565,0.0536279,0.0259827,0.0556489,0.0551784,0.0211698,0.0358625,0.0358695,0.0215858,0.0205853,0.0619695,0.0345747,0.0128455,0.0137119,0.0281834,0,0.0162193,0.0700157,0.0267839,0,0,0.0409107,0,0,0.0310971,0.0567642,0.0340215,0.0381517,0.00744771,0.0605639,0.0725183,0.0354833,0.061069,0.0403348,0.0626848,0.0410486,0.0451494,0.070949,0.024557,0.0229694,0.00849139,0.017772,0.0548646,0.0591001,0,0,0,0,0,0,0,0,0.0706455,0
588,0.0377984,0.0679649,0,0,0,0,0,0,0.0278106,0,0.030036,0.0621583,0,0.0300122,0,0,0.0480141,0.0463133,0.0399578,0.0244218,0.0223376,0.0571436,0.0535496,0.0260439,0.0558113,0.0552581,0.0210493,0.0362246,0.0361199,0.0223387,0.0210126,0.0649018,0.034661,0.0123789,0.0141129,0.028141,0,0.0163202,0.0700306,0.026898,0,0,0.0400607,0,0,0.0308456,0.0568906,0.0340268,0.0376355,0.00712084,0.0603551,0.0722415,0.0355414,0.0610897,0.0403339,0.0624155,0.040832,0.0449838,0.0707535,0.0242018,0.023243,0.00821369,0.017759,0.0546353,0.0593235,0,0,0,0,0,0,0,0,0.0705967,0
589,0.0375847,0.0679216,0,0,0,0,0,0,0.0276074,0,0.0297367,0.0625521,0,0.0298451,0,0,0.048132,0.0462917,0.0399426,0.0250125,0.0222571,0.0574342,0.0534863,0.026028,0.0557857,0.0553987,0.0209873,0.0365824,0.0364689,0.0229522,0.0212374,0.0667946,0.0347396,0.0122618,0.0142191,0.0283247,0,0.0164873,0.0699295,0.0270284,0,0,0.0392281,0,0,0.0308115,0.0570111,0.0340377,0.0370402,0.00693,0.0601633,0.0718966,0.035584,0.061014,0.0402397,0.062038,0.0405592,0.0447793,0.0703956,0.0236609,0.0235034,0.00810775,0.0176967,0.0544125,0.0594306,0,0,0,0,0,0,0,0,0.0705555,0
590,0.0370528,0.0681399,0,0,0,0,0,0,0.0275762,0,0.0294435,0.062909,0,0.0296367,0,0,0.04818,0.0462524,0.0398495,0.0256324,0.0222727,0.0576293,0.0535972,0.0259491,0.0558064,0.0554179,0.0209685,0.0368699,0.0367326,0.0235039,0.021502,0.0678393,0.0350142,0.0123911,0.0140894,0.0285543,0,0.016706,0.0697814,0.026884,0,0,0.0388861,0,0,0.0309545,0.057104,0.0340835,0.0363065,0.00689336,0.0597752,0.0718174,0.0356247,0.0609004,0.0401199,0.0616094,0.0402198,0.0445786,0.0700857,0.0231529,0.0237064,0.00792855,0.0178142,0.0542337,0.0595694,0,0,0,0,0,0,0,0,0.0704354,0
591,0.0368358,0.068704,0,0,0,0,0,0,0.027757,0,0.029343,0.0631512,0,0.0296016,0,0,0.0481699,0.0461834,0.0396333,0.0262685,0.0221725,0.0577876,0.0537398,0.0257314,0.055758,0.0554355,0.02097,0.0371522,0.0369986,0.0240208,0.0219609,0.0681935,0.0352067,0.0124579,0.0139871,0.0288498,0,0.0169264,0.0695562,0.0268,0,0,0.0387723,0,0,0.0310094,0.057216,0.0342036,0.0355082,0.00702205,0.0594402,0.071719,0.0356327,0.0609041,0.0399972,0.0611708,0.0399126,0.0444509,0.0699351,0.0224674,0.0236664,0.0076863,0.0180001,0.0538778,0.0597507,0,0,0,0,0,0,0,0,0.0702207,0
