Timestep,C7,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,CLAV,,REAR,RASI,LEAR,x74
21,0.0309869,0,0,0,0,0,0,0.0405034,0,0.027902,0.0628498,0,0.0152943,0,0,0.0471445,0.0392281,0.0355902,0.0307434,0.0208712,0.0512652,0.0443971,0.027946,0.0535916,0.0472893,0.0225137,0.032915,0.0335538,0.0214948,0.0279366,0.0232135,0.0406876,0.0124067,0.0149026,0,0,0.0264067,0.0290981,0,0.0317887,0,0,0.0257991,0.0589519,0.0357151,0.0194425,0.0157002,0.0506534,0.0642389,0,0.0672683,0.0624615,0.0405202,0.0547797,0.0350922,0.0396823,0.0631698,0.0142786,0.0263609,0.012548,0,0.0587229,0.064055,0,0,0,0,0,0,0,0.067605,0,0,0.0660694,0,0
22,0.031078,0,0,0,0,0,0,0.0424656,0,0.0277915,0.0637989,0,0.01491,0,0,0.0471615,0.0382861,0.0345308,0.0307956,0.019632,0.0502871,0.0433213,0.0278103,0.0534053,0.0475124,0.0232513,0.0324147,0.0330498,0.0209426,0.0285942,0.0190231,0.0413955,0.0124089,0.0148484,0,0,0.0269784,0.0292944,0,0.0316662,0,0,0.0256038,0.0604761,0.0364722,0.0209234,0.0177666,0.0511061,0.0642939,0,0.0682768,0.0638449,0,0.053143,0.0338132,0.0382612,0.061232,0.0152746,0.0267411,0.0123168,0,0.0589417,0.0636452,0,0,0,0,0,0,0,0.0678163,0,0,0.0667049,0,0
23,0.0311621,0,0,0,0,0,0,0.0430091,0,0.0275418,0.0623949,0,0.0149103,0,0,0.0473565,0.039361,0.0308316,0.0313214,0.0178518,0.0508089,0.0435591,0.0280341,0.0525275,0.0476041,0.025306,0.0324345,0.0336027,0.0202356,0.028739,0.0149396,0.0416817,0.0125092,0.0148446,0.0387785,0,0.0231335,0.0290778,0,0.0312351,0,0,0.0311504,0.05916,0.0339062,0.0187898,0.0178566,0.0499103,0.0639494,0,0.0660406,0.0615633,0.0406813,0.0557633,0.0357539,0.0410372,0.0650301,0.0119767,0.0260097,0.00696944,0.0166972,0.0589121,0.06335,0,0,0,0,0,0,0,0.0678817,0,0,0.0648614,0,0
24,0.0312326,0,0,0,0,0,0,0.0404067,0,0.0271929,0.0626386,0,0.0148816,0,0,0.0472792,0.0391417,0.0285629,0.0321127,0.0166104,0.0502609,0.043222,0.0269821,0.0519695,0.0486165,0.0262725,0.0320017,0.03414,0.0191487,0.0275206,0.0158082,0.0418582,0.0126792,0.0147698,0,0,0.0267498,0.029032,0,0.0308687,0,0,0.0311052,0.0590921,0.0355519,0.0185112,0.0162752,0.0491666,0.0640064,0,0.0663275,0.0613937,0.0404956,0.0549343,0.0351283,0.0393244,0.0632766,0.0142183,0.026396,0.00721781,0.0184237,0.0586438,0.0629537,0,0,0,0,0,0,0,0.0678054,0,0,0.0643813,0,0
25,0.0311144,0,0,0,0,0,0,0.0404082,0,0.0284158,0.0626379,0,0.0149168,0,0,0.0470391,0.0393452,0.0283241,0.0327081,0.0163658,0.0499883,0.0432648,0.0256443,0.0515771,0.0497668,0.0272319,0.0322411,0.035636,0.0189216,0.0265507,0.0200119,0.0419829,0.0127059,0.0146732,0,0,0.0266574,0.028855,0,0.0305504,0,0,0.03095,0.0588796,0.0356197,0.0180506,0.0162726,0.0483726,0.0638623,0,0.0665059,0.0613061,0.0404527,0.0549806,0.0352545,0.0393879,0.063294,0.0142268,0.0268092,0.00726417,0.0184968,0.0582146,0.062671,0,0,0,0,0,0,0,0.0676814,0,0,0.0642188,0,0
26,0.0310076,0,0,0,0,0,0,0.0399744,0,0.0299737,0.062704,0,0.0147949,0,0,0.046648,0.0395817,0.0291825,0.0329472,0.0182188,0.0499042,0.0434316,0.0245659,0.051099,0.0505426,0.027904,0.033154,0.0364091,0.0198587,0.0268841,0.023073,0.0424077,0.0125736,0.0146055,0,0,0.026601,0.0286593,0,0.0302073,0,0,0.030781,0.0588234,0.0358629,0.0172614,0.0162215,0.0478303,0.0634766,0,0.0669345,0.0612363,0.0403197,0.0550712,0.0353395,0.0395982,0.0633702,0.0143487,0.0273502,0.00729989,0.0175382,0.0580069,0.0623876,0,0,0,0,0,0,0,0.0674961,0,0,0.064313,0,0
27,0.0308657,0,0,0,0,0,0,0.0385138,0,0.0299357,0.0628032,0,0.0146494,0,0,0.0462828,0.0400556,0.03043,0.032831,0.0209876,0.0499211,0.0436043,0.0246921,0.0508219,0.0503136,0.0277395,0.0339333,0.0368603,0.0214405,0.0278358,0.024012,0.0428716,0.0124297,0.0145055,0.0380584,0,0.0231406,0.0284171,0,0.029674,0,0,0.0307522,0.0588227,0.0346091,0.0163642,0.0178299,0.0475715,0.0628552,0,0.0668703,0.0611122,0.0402898,0.0558554,0.0358536,0.0415069,0.0650765,0.0121165,0.0278824,0.00716765,0.0173377,0.057851,0.0623216,0,0,0,0,0,0,0,0.0672039,0,0,0.0646938,0,0
28,0.0306116,0,0,0,0,0,0,0.038041,0,0.0293387,0.0626147,0,0.0146235,0,0,0.046046,0.0402885,0.0312283,0.0324997,0.0225495,0.0497114,0.0435697,0.0256601,0.0507353,0.0493648,0.0263848,0.0342917,0.0366641,0.0223322,0.0286127,0.0243959,0.0432292,0.0123315,0.0145166,0.0381447,0,0.0231662,0.0282524,0,0.0291783,0,0,0.0309229,0.0588332,0.0350151,0.0158066,0.0177176,0.047628,0.0622726,0,0.0668821,0.0611226,0.0399811,0.0557043,0.0357198,0.0414604,0.0649941,0.0121743,0.0283508,0.00720121,0.0172035,0.0577013,0.0623707,0,0,0,0,0,0,0,0.066891,0,0,0.0650625,0,0
29,0.0301648,0,0,0,0,0,0,0.0372166,0,0.0291424,0.0623266,0,0.0145881,0,0,0.0458958,0.0399933,0.0312633,0.0321707,0.0223081,0.0492322,0.0435492,0.0261935,0.0511446,0.0484099,0.024847,0.0339362,0.0360009,0.0221739,0.0286033,0.024881,0.043558,0.0121863,0.0146635,0,0,0.0264903,0.0281689,0,0.0285756,0,0,0.0310994,0.0589307,0.0367569,0.0155661,0.0159855,0.047751,0.0619107,0,0.067029,0.0613996,0.0396,0.0548297,0.0351558,0.0395327,0.0631587,0.0148511,0.0289861,0.00720577,0.0169791,0.0574417,0.0624498,0,0,0,0,0,0,0,0.0665514,0,0,0.0653494,0,0
30,0.0295362,0,0,0,0,0,0,0.0364286,0,0.0290695,0.0616641,0,0.0146039,0,0,0.045739,0.0395044,0.0313695,0.031669,0.0210662,0.0488319,0.0435632,0.0265617,0.0512135,0.0475335,0.0241831,0.0333531,0.0354922,0.0215479,0.0284786,0.0246743,0.0440689,0.012148,0.0146638,0,0,0.0264238,0.0280619,0,0.0277978,0,0,0.0309191,0.058931,0.0369048,0.0153088,0.0158544,0.047682,0.061391,0,0.0670644,0.0612749,0.0395347,0.0548788,0.0352179,0.0394483,0.0631616,0.0149398,0.0295243,0.0073857,0.0166357,0.0569834,0.0627657,0,0,0,0,0,0,0,0.0662998,0,0,0.0654833,0,0
