Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75,REAR
957,0.0242128,0.0627369,0,0,0,0,0,0,0.0369852,0,0.0264639,0.0622504,0,0,0.0160479,0,0,0.0420528,0.0416693,0.0307722,0.0308353,0.0200705,0.0465956,0.0366714,0.0252448,0.049161,0.0510062,0.0263901,0.0355029,0.0359471,0.0238043,0.0278125,0.0157612,0.0498213,0.0117009,0.0140174,0.0356461,0,0.0203026,0.0652991,0.0259791,0,0.0235368,0,0,0.0314406,0.0581794,0.031959,0.015417,0.015346,0.0474261,0.0571157,0.035646,0.0637193,0.0597213,0.0397688,0.0596029,0.0389854,0.0439596,0.067894,0.0125349,0.0354352,0.0118282,0.0183391,0.0516116,0.0644815,0,0,0,0,0,0,0,0,0,0
958,0.0239079,0.062559,0,0,0,0,0,0,0.0368614,0,0.0265595,0.0620624,0,0,0.0165749,0,0,0.0416812,0.0415752,0.030794,0.0306108,0.0200879,0.0463058,0.0364656,0.025334,0.0491095,0.0508852,0.0264273,0.035461,0.0359816,0.0238115,0.0277994,0.0157644,0.0502488,0.0118077,0.0138847,0.0356301,0,0.0204249,0.0653639,0.0259151,0,0.02298,0,0,0.0311952,0.0583294,0.0319519,0.014886,0.0156651,0.0472936,0.0564008,0.0357394,0.0635405,0.0596847,0.0397981,0.0595416,0.0389047,0.0439119,0.0680866,0.0126055,0.0358393,0.0121634,0.0181991,0.0518889,0.0646105,0,0,0,0,0,0,0,0,0,0
959,0.0236912,0.0624504,0,0,0,0,0,0,0.0367449,0,0.0267084,0.0621849,0,0,0.0171744,0,0,0.0413136,0.0415612,0.0307821,0.030396,0.0201109,0.0460568,0.0363225,0.0253138,0.0490543,0.0507773,0.0264688,0.0355188,0.0361392,0.023808,0.0278143,0.0156987,0.0505706,0.0119063,0.0137187,0.0356911,0,0.0205696,0.0654264,0.0258641,0,0.0225873,0,0,0.0310081,0.0584983,0.0319123,0.0144855,0.0161462,0.0471776,0.0559095,0.0357749,0.0634276,0.0596633,0.0398575,0.0594892,0.0388657,0.0438764,0.0680951,0.0125796,0.0361005,0.0125358,0.0181017,0.0521325,0.0645397,0,0,0,0,0,0,0,0,0,0
960,0.0235043,0.0623615,0,0,0,0,0,0,0.0366254,0,0.0269109,0.0626787,0,0,0.0178401,0,0,0.04097,0.0415601,0.0307323,0.0302096,0.0201689,0.045835,0.036226,0.0251962,0.0488983,0.0506896,0.0265117,0.0356873,0.0363226,0.0238528,0.0278146,0.0156918,0.0508026,0.0120323,0.0135384,0.0357842,0,0.020656,0.0654587,0.0258356,0,0.0222821,0,0,0.0308908,0.0587085,0.0318669,0.0142159,0.0164795,0.0470179,0.055617,0.0357634,0.0632826,0.059633,0.0399303,0.0594402,0.0388412,0.0438675,0.0679022,0.0124804,0.0362551,0.0129693,0.0179746,0.0523657,0.0644479,0,0,0,0,0,0,0,0,0,0
961,0.0233896,0.0622748,0,0,0,0,0,0,0.0364455,0,0.0270082,0.0630063,0,0,0.0185997,0,0,0.0406863,0.0415517,0.030682,0.0301224,0.0202641,0.0457461,0.0360985,0.0252218,0.0488665,0.0506401,0.0265719,0.0358476,0.036481,0.023912,0.0278539,0.0158198,0.0509865,0.0122229,0.0133222,0.0358847,0,0.0206713,0.0655055,0.0257882,0,0.021995,0,0,0.0307884,0.0588676,0.0318624,0.0139179,0.016597,0.0469235,0.0554001,0.0357243,0.06309,0.0596027,0.0399617,0.0593926,0.0387759,0.0438724,0.0678242,0.0124646,0.0363556,0.0135171,0.017837,0.0525692,0.0643793,0,0,0,0,0,0,0,0,0,0
962,0.0232968,0.062191,0,0,0,0,0,0,0.0363198,0,0.0268769,0.0631428,0,0,0.0194729,0,0,0.0404432,0.0414668,0.030534,0.0300188,0.020383,0.0457254,0.0358999,0.0252893,0.0494324,0.0506189,0.0267665,0.0360295,0.036689,0.0240083,0.0279301,0.015912,0.051108,0.0124079,0.0130978,0.0359765,0,0.0207448,0.0655647,0.0257022,0,0.0217159,0,0,0.0306626,0.05895,0.0318737,0.0136441,0.0167605,0.046865,0.0552515,0.0357328,0.0628524,0.0595627,0.040002,0.0593163,0.0387163,0.0438563,0.06779,0.0124671,0.0364196,0.0141202,0.0177555,0.0526831,0.064337,0,0,0,0,0,0,0,0,0,0
963,0.0232062,0.0621365,0,0,0,0,0,0,0.0363927,0,0.0265591,0.0631387,0,0,0.0206262,0,0,0.0401982,0.0413405,0.030233,0.0298748,0.0204396,0.0457817,0.0355951,0.0250758,0.0503692,0.0505427,0.0271923,0.036262,0.0370924,0.0241011,0.0280665,0.015848,0.0512149,0.0125467,0.0127668,0.0360139,0,0.020862,0.0655849,0.0256212,0,0.0215263,0,0,0.0305005,0.0590087,0.0318541,0.013413,0.016984,0.0468174,0.0551631,0.0357526,0.0626876,0.0594864,0.0400762,0.0592961,0.0387076,0.0438069,0.067756,0.0124509,0.0364031,0.0147636,0.0176225,0.052779,0.0644541,0,0,0,0,0,0,0,0,0,0
964,0.0232004,0.062146,0,0,0,0,0,0,0.0366052,0,0.026419,0.0631935,0,0,0.0246684,0,0,0.0391202,0.0412991,0.0301025,0.0298537,0.0203518,0.0458086,0.0354317,0.0247374,0.0495974,0.0504619,0.0271796,0.0362936,0.037479,0.024042,0.0281265,0.0157583,0.0516312,0.0119158,0.0126522,0.0360693,0,0.0209597,0.0655518,0.0256154,0,0.0214862,0,0,0.0303045,0.0591031,0.0318714,0.0131734,0.0172418,0.0466598,0.0550067,0.0356883,0.0627375,0.0594139,0.0399823,0.0592914,0.0387216,0.0438243,0.0677514,0.0123924,0.036372,0.0153473,0.0174789,0.0528659,0.0647752,0,0,0,0,0,0,0,0,0,0
965,0.0232752,0.0621041,0,0,0,0,0,0,0.0366075,0,0.0264865,0.0631963,0,0,0.0251474,0,0,0.0391021,0.0414344,0.0301299,0.0298464,0.0203389,0.0458727,0.0351223,0.0249152,0.0487807,0.0505187,0.0269465,0.0362503,0.0373728,0.024095,0.0281655,0.0157949,0.0517945,0.0120136,0.0127528,0.0361369,0,0.0210516,0.0655282,0.0256645,0,0.0215931,0,0,0.0301266,0.0591949,0.0318698,0.0129119,0.017452,0.0465629,0.0549021,0.0355045,0.0628952,0.059336,0.0397878,0.0592643,0.0387042,0.0438317,0.067767,0.0122388,0.0362599,0.0158965,0.0173799,0.0528937,0.0646906,0,0,0,0,0,0,0,0,0,0
966,0.0233324,0.0620244,0,0,0,0,0,0,0.0365434,0,0.0266458,0.0631564,0,0,0.0256296,0,0,0.0391477,0.0416588,0.0302501,0.0298191,0.020272,0.0458737,0.0348556,0.0253554,0.0484365,0.0504836,0.0267091,0.0362595,0.03749,0.0242482,0.0282354,0.0158416,0.0519246,0.0121367,0.0127723,0.0366522,0,0.0213642,0.0655134,0.0258007,0,0.0218195,0,0,0.0300009,0.0592658,0.0322009,0.0126385,0.0175661,0.0465138,0.0547609,0.0354411,0.0628536,0.0592835,0.0395963,0.059147,0.038697,0.0436412,0.06754,0.0114852,0.0360739,0.0164255,0.0173613,0.0529223,0.0641712,0,0,0,0,0,0,0,0,0,0
967,0.0234415,0.0619565,0,0,0,0,0,0,0.0363975,0,0.026874,0.0631906,0,0,0.0260931,0,0,0.0391793,0.0418653,0.0304566,0.0298774,0.0200527,0.0457057,0.0346054,0.0257687,0.0483829,0.050466,0.0264796,0.0362293,0.037901,0.0243174,0.0282931,0.0158885,0.0520013,0.0122328,0.0126726,0.0375448,0,0.0218732,0.0655081,0.0259679,0,0.0221813,0,0,0.0299627,0.0593683,0.0327848,0.0123653,0.0176507,0.0464511,0.054562,0.0353507,0.0627254,0.0592358,0.0395297,0.0589608,0.0386069,0.0433398,0.0671557,0.0106417,0.0358539,0.0168592,0.0173925,0.0530412,0.0638762,0,0,0,0,0,0,0,0,0,0
968,0.0236893,0.0615524,0,0,0,0,0,0,0.0356977,0,0.0282403,0,0,0,0.0263135,0,0,0.039324,0.0435603,0.0342943,0.036624,0.0204417,0.0451636,0.0348175,0,0.0525732,0.053894,0.0255675,0.032756,0.0335491,0.0209196,0.0263626,0.0177752,0.0517522,0.0125783,0.0124264,0.04005,0,0.0236176,0.0655482,0.025965,0,0.0226789,0,0,0.0299549,0.062138,0.0348147,0.00919574,0.0186984,0.0471822,0.0544402,0.0357966,0.062035,0.0598926,0.041465,0.0580453,0.0379895,0.0422085,0.0657768,0.00913907,0.035465,0.0170712,0.0176335,0.0531583,0.063553,0,0,0,0,0,0,0,0,0,0
969,0.0237205,0.0617873,0,0,0,0,0,0,0.0366012,0,0.0267667,0.0630959,0,0,0.0265558,0,0,0.0395546,0.041763,0.0302223,0.0297661,0.0196783,0.0452885,0.0342974,0.0256548,0.0487783,0.0504002,0.02619,0.0362685,0.0378709,0.0244635,0.0283303,0.0157608,0.0519318,0.0129113,0.0123236,0.0393021,0,0.0228062,0.0655026,0.0261251,0,0.0227019,0,0,0.0297367,0.0595359,0.0346279,0.0120178,0.018078,0.0464834,0.0540293,0.0355157,0.0625439,0.0591355,0.0394231,0.0586519,0.0385893,0.0428146,0.0664615,0.00962628,0.0353762,0.0172457,0.0176184,0.0531599,0.0638082,0,0,0,0,0,0,0,0,0,0
