Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,
23,0.0546062,0.0461698,0,0,0,0,0,0,0.0354671,0,0.0354616,0.063458,0,0,0.0195006,0,0,0.0457181,0.039538,0.0389755,0.0209965,0.0456726,0.0479453,0.0262093,0.0477267,0.0506276,0.0242446,0.0345009,0.0370899,0.0210328,0.0255706,0.0295724,0.0437233,0.0159999,0.0117338,0.0519725,0,0.0329925,0.0658327,0.0404615,0,0,0.00449324,0,0,0.0240056,0.0608232,0.0467471,0.0114919,0.0268065,0.0422694,0.0809872,0.0311928,0.0625604,0.0613465,0.0393854,0.0684424,0.0485226,0.0491288,0.0714605,0.012704,0.0337152,0.0257881,0.0095001,0.0301231,0.0731126,0,0,0,0,0,0,0,0,0
24,0.0546321,0.0464274,0,0,0,0,0,0,0.035443,0,0.0352329,0.0645784,0,0,0.0195717,0,0,0.0458172,0.0396789,0.0389948,0.0208952,0.0459792,0.0474899,0.0262758,0.0476471,0.0506319,0.0244902,0.0345151,0.0371266,0.0212074,0.0257008,0.0295038,0.0433972,0.0160756,0.011499,0.0521388,0,0.032814,0.0659781,0.040422,0,0,0.00454954,0,0,0.0241678,0.0606173,0.0467411,0.011561,0.0267154,0.0422994,0.0810061,0.0312415,0.0625906,0.0613124,0.0396789,0.0684545,0.0485773,0.0491927,0.0714889,0.0126826,0.0338216,0.0261152,0.00945376,0.0303166,0.0731595,0,0,0,0,0,0,0,0,0
25,0.0544947,0.0463045,0,0,0,0,0,0,0.0349543,0,0.0357907,0,0,0,0.0196192,0,0,0.0459143,0.0415263,0.0450318,0.0201592,0.0467956,0.0470243,0.026335,0.0507509,0.0545529,0.0257155,0.0308499,0.0327568,0.0179147,0.0248618,0.0295921,0.0432275,0.0161049,0.0113336,0.0535273,0,0.0338087,0.0661792,0.0403498,0,0,0.00465562,0,0,0.0244357,0.0641067,0.0474944,0.0079574,0.0282342,0.0441738,0.081648,0.0315102,0.0620019,0.0623052,0.0422663,0.0681735,0.0483225,0.0487219,0.0708214,0.0119459,0.0342851,0.0266002,0.0095728,0.0302747,0.0732797,0,0,0,0,0,0,0,0,0
26,0.0546096,0.0463171,0,0,0,0,0,0,0.0345385,0,0.0356876,0,0,0,0.0194828,0,0,0.0459992,0.0415639,0.0452177,0.0205063,0.0469793,0.0480857,0.0263673,0.0507108,0.0545804,0.0254893,0.0308437,0.0325526,0.017961,0.025052,0.0298317,0.0429916,0.0161302,0.0112715,0.0531596,0,0.0340335,0.0661364,0.040438,0,0,0.00477002,0,0,0.024729,0.0642468,0.0476414,0.00788153,0.0282654,0.0443711,0.0819421,0.0314973,0.062026,0.062362,0.0421129,0.0680695,0.0481531,0.0485465,0.0707111,0.0117589,0.0345806,0.0270251,0.00981952,0.0301878,0.0734226,0,0,0,0,0,0,0,0,0
27,0.0542152,0.0471351,0,0,0,0,0,0,0.0352405,0,0.0338721,0.0636538,0,0,0.0186904,0,0,0.0467292,0.0392122,0.0395396,0.0209205,0.0468183,0.0489728,0.0263795,0.0481758,0.0506964,0.0237358,0.0343884,0.0366943,0.0213544,0.0265075,0.0289472,0.0433091,0.0156827,0.0103852,0.051382,0,0.0340953,0.0659549,0.0401828,0,0,0.00426041,0,0,0.0259689,0.0630918,0.0491869,0.0119521,0.0273583,0.0437716,0.0814476,0.0306769,0.0619743,0.0621664,0.0403095,0.0680269,0.0481852,0.048456,0.0708524,0.0145807,0.0351912,0.0271356,0.00930029,0.0309515,0.0731378,0,0,0,0,0,0,0,0,0
28,0.0549195,0.0462932,0,0,0,0,0,0,0.0346171,0,0.0346076,0,0,0,0.0191718,0,0,0.0461814,0.041282,0.0452782,0.0199083,0.0472202,0.0490971,0.0263388,0.0508453,0.0543959,0.0253975,0.0309079,0.0325359,0.0185175,0.026065,0.0293736,0.0427995,0.016059,0.0114127,0.0528083,0,0.0338654,0.0657857,0.0403503,0,0,0.00514727,0,0,0.0254275,0.06425,0.0476087,0.00801478,0.0280579,0.0444538,0.0826158,0.0316832,0.061912,0.0623995,0.0421642,0.0680401,0.0480959,0.0486398,0.0707182,0.0118413,0.0353141,0.0271622,0.0108106,0.0303145,0.0735975,0,0,0,0,0,0,0,0,0
29,0.0543808,0.0470318,0,0,0,0,0,0,0.0353447,0,0.0330054,0.0633933,0,0,0.0184415,0,0,0.0469966,0.0390523,0.0397099,0.0202386,0.0469566,0.0494629,0.0264221,0.0483029,0.0505659,0.0238841,0.0344201,0.036672,0.0214849,0.0271106,0.0285767,0.0431527,0.0156173,0.0107207,0.0514016,0,0.0339041,0.0657518,0.0399721,0,0,0.004646,0,0,0.0264984,0.0629866,0.0489909,0.0121766,0.0270698,0.0437596,0.0820509,0.0310355,0.0619321,0.0621258,0.0406356,0.0678628,0.0481348,0.0484593,0.0708176,0.0140314,0.0359705,0.0275082,0.0101826,0.0312112,0.0731543,0,0,0,0,0,0,0,0,0
30,0.0544552,0.0470457,0,0,0,0,0,0,0.035311,0,0.0330347,0.0632849,0,0,0.0183995,0,0,0.0469943,0.039064,0.0399506,0.020179,0.0472316,0.0496389,0.0265066,0.0483265,0.050567,0.0242335,0.0343625,0.0365872,0.0212692,0.0270573,0.0285642,0.0430419,0.0155374,0.0107904,0.0513631,0,0.0338264,0.065671,0.039995,0,0,0.00483032,0,0,0.0266468,0.0629792,0.048884,0.0122922,0.027047,0.0439304,0.0820729,0.0310865,0.0618437,0.0620855,0.0403897,0.0678518,0.0480771,0.0484319,0.0708636,0.0137401,0.0361179,0.027598,0.0104448,0.0314513,0.0731026,0,0,0,0,0,0,0,0,0
31,0.0546527,0.0473402,0,0,0,0,0,0,0.0352536,0,0.033183,0.0632338,0,0,0.0183695,0,0,0.0470071,0.0391381,0.0401716,0.0201792,0.0477075,0.0498796,0.0266018,0.0483352,0.050635,0.0243736,0.0342487,0.0364882,0.0211674,0.0269519,0.0286304,0.0428234,0.0154981,0.0108789,0.0510333,0,0.033695,0.0655882,0.0402829,0,0,0.00482117,0,0,0.0267393,0.0630244,0.0489443,0.0125594,0.0270899,0.0442553,0.0816109,0.0311145,0.0619158,0.0621569,0.0403718,0.067868,0.0480588,0.0484668,0.0708426,0.0139503,0.0360135,0.0276502,0.0105111,0.0318059,0.0729548,0,0,0,0,0,0,0,0,0
32,0.0547403,0.0471566,0,0,0,0,0,0,0.0353559,0,0.0331286,0.063219,0,0,0.0189379,0,0,0.0467009,0.0391208,0.0401854,0.0200805,0.0478378,0.0505359,0.0266037,0.0482361,0.0505875,0.0244463,0.0342565,0.0365534,0.0211681,0.0270062,0.0284755,0.0425256,0.0155758,0.00992933,0.0507806,0,0.0335979,0.0655911,0.0403104,0,0,0.00514937,0,0,0.026846,0.0629984,0.0489578,0.0126355,0.0270318,0.0444095,0.0818849,0.0310592,0.0619459,0.06212,0.0405966,0.0678448,0.0481493,0.0485142,0.0708429,0.0140153,0.0360185,0.0280749,0.0102839,0.0316114,0.0731151,0,0,0,0,0,0,0,0,0
33,0.0544578,0.0469448,0,0,0,0,0,0,0.0353029,0,0.0340689,0,0,0,0.0190285,0,0,0.0466282,0.0411808,0.0460016,0.0193614,0.0489232,0.0508922,0.0265921,0.0508728,0.0542983,0.0260844,0.0306667,0.0323604,0.018079,0.0264383,0.0281396,0.0423566,0.0154375,0.00975836,0.0520719,0,0.0345736,0.0658502,0.0400933,0,0,0.00505639,0,0,0.0270242,0.0659467,0.0496705,0.00906178,0.0281919,0.046151,0.082413,0.0313693,0.0614635,0.0628966,0.0427796,0.0675454,0.0478907,0.0480455,0.0702189,0.0133766,0.0364856,0.0279766,0.0102433,0.031563,0.0731833,0,0,0,0,0,0,0,0,0
