Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,
705,0.041811,0,0,0,0,0,0,0,0.0293025,0,0.0277278,0.0671531,0,0,0.0323288,0,0,0.0439984,0.033462,0.0321161,0.0349456,0.022185,0.0586148,0.0390962,0.0192959,0.0447495,0.0500403,0.0249545,0.0343658,0.0364274,0.0204538,0.0257341,0.0213535,0.0337121,0.0198784,0.00980157,0.028222,0,0.0142201,0.0647044,0.0250445,0,0,0.0356046,0,0,0.0202653,0.0622384,0.0371281,0.0343217,0.0123746,0.0619782,0.0782848,0.0379878,0.0768191,0.0662603,0.034715,0.0689222,0.045869,0.0511049,0.0776865,0.0435044,0.0234262,0.00633919,0.0105489,0.0625006,0.0557525,0,0,0,0,0,0,0,0,0
706,0.0416261,0,0,0,0,0,0,0,0.0294479,0,0.0276377,0.067099,0,0,0.0321044,0,0,0.043888,0.0334685,0.0322919,0.0345762,0.0221017,0.0583824,0.0390193,0.0194078,0.0447982,0.0499954,0.0249392,0.034261,0.0362612,0.0202927,0.0257432,0.021257,0.0339296,0.0197873,0.00988649,0.0285041,0,0.0143407,0.0646203,0.0251373,0,0,0.0351884,0,0,0.0201793,0.0621926,0.0369351,0.0344269,0.0122274,0.0619054,0.0783094,0.0378573,0.0765675,0.0661885,0.0346932,0.0690995,0.0458037,0.0508923,0.0776108,0.0428227,0.023475,0.0063863,0.0105443,0.0624901,0.0559186,0,0,0,0,0,0,0,0,0
707,0.0414139,0,0,0,0,0,0,0,0.0295699,0,0.0275121,0.0670326,0,0,0.0319285,0,0,0.0438394,0.033506,0.0325588,0.0342224,0.0220371,0.0581455,0.0389459,0.0195172,0.0448404,0.049914,0.0249651,0.0341479,0.0360922,0.0201886,0.0257899,0.0212011,0.034035,0.0195391,0.00991602,0.0290672,0,0.0142386,0.0646018,0.0252929,0,0,0.0348182,0,0,0.0201613,0.0620987,0.0368274,0.0345687,0.0121135,0.0618831,0.0784272,0.0378089,0.0763202,0.066115,0.0346639,0.0691717,0.045781,0.0507021,0.0776595,0.0420116,0.0233796,0.00640276,0.0105217,0.0623584,0.0561205,0,0,0,0,0,0,0,0,0
708,0.0412791,0,0,0,0,0,0,0,0.0296996,0,0.0274451,0.066947,0,0,0.0314783,0,0,0.0438942,0.0335598,0.0329179,0.033902,0.0219333,0.0579704,0.0388101,0.0196713,0.044939,0.0497763,0.0250208,0.034026,0.0359527,0.0201212,0.0258484,0.0211998,0.0342326,0.0194049,0.00972158,0.0294422,0,0.0141395,0.0646362,0.0255213,0,0,0.0345305,0,0,0.0201036,0.0620139,0.0368016,0.0347384,0.012039,0.0620069,0.0785553,0.0377941,0.076216,0.0660004,0.0345906,0.0689647,0.0457059,0.0507961,0.0777175,0.0415613,0.0232045,0.00635039,0.0104095,0.0622604,0.0563376,0,0,0,0,0,0,0,0,0
709,0.0411051,0,0,0,0,0,0,0,0.0298012,0,0.0273676,0.0668312,0,0,0.0311594,0,0,0.0439657,0.0336056,0.0332103,0.0336058,0.0217862,0.0578057,0.0387714,0.0198353,0.0450338,0.049766,0.0249598,0.0338652,0.0358622,0.0200352,0.0258805,0.0212085,0.0344345,0.0192183,0.00963732,0.029184,0,0.0141322,0.0646608,0.0256688,0,0,0.0342753,0,0,0.0199324,0.0619416,0.0367383,0.0349423,0.0119639,0.0620932,0.07876,0.0377711,0.0760971,0.0659495,0.0344887,0.0686166,0.0457142,0.0508533,0.0776943,0.0416635,0.0231611,0.00616153,0.0102399,0.0620648,0.0565575,0,0,0,0,0,0,0,0,0
710,0.0408685,0,0,0,0,0,0,0,0.0299036,0,0.0272656,0.0667466,0,0,0.031,0,0,0.0440355,0.0336795,0.0334624,0.0333467,0.0216295,0.0576101,0.038821,0.0199575,0.0451175,0.0498759,0.0249048,0.0337079,0.0357457,0.0199538,0.0258859,0.0212747,0.0347484,0.0191547,0.00936068,0.0288941,0,0.0140733,0.0646374,0.0257441,0,0,0.0340731,0,0,0.0196406,0.0618933,0.0367135,0.0351853,0.0117936,0.0620781,0.0791457,0.0378061,0.0760192,0.0659681,0.0344747,0.0685708,0.0457643,0.0508713,0.0777158,0.0422493,0.0233335,0.00591514,0.00991855,0.0617327,0.0567134,0,0,0,0,0,0,0,0,0
711,0.0406355,0,0,0,0,0,0,0,0.0300599,0,0.0271628,0.0667401,0,0,0.0308801,0,0,0.0440951,0.0338089,0.0337511,0.0331122,0.0214696,0.0573891,0.0389245,0.0200679,0.0451578,0.04998,0.0248374,0.0335965,0.0356061,0.0198792,0.0258904,0.0213458,0.0349382,0.0190293,0.00928804,0.0286478,0,0.0137362,0.0646811,0.0258387,0,0,0.033972,0,0,0.0193669,0.0618987,0.0366695,0.0354318,0.0115599,0.0620856,0.0795126,0.0378239,0.0760188,0.0659744,0.0345281,0.0686935,0.0457063,0.0508255,0.0777676,0.0428739,0.023373,0.00591265,0.00957277,0.0612438,0.0568322,0,0,0,0,0,0,0,0,0
712,0.0402594,0.0605499,0,0,0,0,0,0,0.0299519,0,0.0269646,0.0668487,0,0,0.0324765,0,0,0.0457388,0.0336087,0.033828,0.0318691,0.0214371,0.0544013,0.0420246,0.0200829,0.0450654,0.0497839,0.0247655,0.0336013,0.0356705,0.0199152,0.025914,0.0213711,0.0314716,0.0197095,0.00996201,0.0285779,0,0.0135112,0.0647407,0.0272931,0,0,0.0372766,0,0,0.0199809,0.0618738,0.0366326,0.0337804,0.0114047,0.0596886,0.0824247,0.0378848,0.0760366,0.0659503,0.0345968,0.0687119,0.0456694,0.0507814,0.0778237,0.0435653,0.0210768,0.00555684,0.0108565,0.056658,0.0602559,0,0,0,0,0,0,0,0,0
713,0.040194,0.0605108,0,0,0,0,0,0,0.0298824,0,0.026846,0.0668711,0,0,0.0323974,0,0,0.0458387,0.0336715,0.0340509,0.0315844,0.021313,0.0542029,0.0419982,0.020246,0.0451731,0.0496953,0.0248097,0.0334533,0.0355442,0.0197715,0.0258581,0.0215148,0.0315612,0.0195208,0.00986196,0.0282371,0,0.0133298,0.0648924,0.0274107,0,0,0.0370271,0,0,0.0198926,0.0618602,0.0365375,0.0339759,0.0112195,0.0596846,0.082697,0.0378726,0.0760175,0.0659632,0.0346586,0.0686688,0.0457061,0.0509141,0.077779,0.0441588,0.0211109,0.00568536,0.0107772,0.0563324,0.0603833,0,0,0,0,0,0,0,0,0
714,0.0401594,0.0602861,0,0,0,0,0,0,0.0298617,0,0.0266798,0.0669457,0,0,0.0327608,0,0,0.045865,0.0337631,0.0342108,0.0313052,0.0212087,0.0540379,0.0419645,0.0203746,0.0453455,0.0496294,0.0248187,0.033338,0.0354273,0.019648,0.0257946,0.0217298,0.0316593,0.0191606,0.00984669,0.027836,0,0.0131511,0.064986,0.0275647,0,0,0.036692,0,0,0.0198435,0.0618241,0.0364783,0.0341563,0.0110092,0.0597046,0.0828532,0.0379297,0.0760092,0.0659722,0.0346729,0.0686093,0.0460235,0.0509527,0.0776584,0.0446804,0.0210157,0.00573864,0.0106327,0.0561574,0.0605199,0,0,0,0,0,0,0,0,0
715,0.040143,0.0600807,0,0,0,0,0,0,0.0299487,0,0.0265584,0.0670015,0,0,0.0324108,0,0,0.045858,0.0338708,0.0343885,0.031096,0.0211271,0.0539149,0.041776,0.0204559,0.0454709,0.04972,0.024909,0.0332739,0.0353387,0.0195565,0.025703,0.022001,0.0316851,0.0189084,0.00992687,0.0275815,0,0.0130708,0.0650427,0.0278016,0,0,0.0362908,0,0,0.0198596,0.0617521,0.0364112,0.0343407,0.0108031,0.0597193,0.0829582,0.0380148,0.0760152,0.0659163,0.0346838,0.0685641,0.0465978,0.0508636,0.0774968,0.0448684,0.0210525,0.00566891,0.0104649,0.0560295,0.0606451,0,0,0,0,0,0,0,0,0
716,0.040036,0.059788,0,0,0,0,0,0,0.030021,0,0.0264087,0.0669786,0,0,0.032319,0,0,0.0458372,0.0340205,0.0346012,0.0308744,0.0210422,0.0537295,0.0416556,0.0204897,0.0455911,0.0497875,0.0249378,0.0331885,0.0352955,0.0194517,0.0256019,0.022286,0.0318072,0.0184925,0.00993314,0.0274821,0,0.0128733,0.0651669,0.027988,0,0,0.0357853,0,0,0.0198503,0.0617149,0.0363605,0.0344978,0.010514,0.0596942,0.0832082,0.0380779,0.0759592,0.0658534,0.0347031,0.0685335,0.0467118,0.0507248,0.0774921,0.0453318,0.0212758,0.00567444,0.01026,0.0558775,0.0608006,0,0,0,0,0,0,0,0,0
717,0.0399602,0.0594712,0,0,0,0,0,0,0.0300143,0,0.0261801,0.0669415,0,0,0.0321267,0,0,0.0460234,0.03417,0.0347821,0.0306109,0.0209924,0.0534963,0.0415299,0.0205885,0.0456844,0.0498421,0.0249204,0.0331349,0.0353348,0.0193558,0.025474,0.0225869,0.0320305,0.0182154,0.00965575,0.0275694,0,0.0125328,0.0653372,0.0281858,0,0,0.0351528,0,0,0.0197458,0.0617084,0.0361923,0.0346781,0.0100753,0.0596281,0.0834439,0.0381961,0.0758326,0.0658005,0.0348123,0.068433,0.0466381,0.0506346,0.0774783,0.0459033,0.0213712,0.00568076,0.0100384,0.0555547,0.0609408,0,0,0,0,0,0,0,0,0
718,0.03989,0.0591787,0,0,0,0,0,0,0.0299323,0,0.0259421,0.0668667,0,0,0.03194,0,0,0.0461708,0.0343037,0.0349756,0.0303564,0.0209416,0.0532691,0.0414064,0.0205997,0.0456861,0.0498826,0.0248513,0.0330242,0.0354701,0.0192538,0.0253233,0.0229233,0.0323281,0.0182124,0.00936869,0.0275307,0,0.012506,0.0653957,0.0283077,0,0,0.0345714,0,0,0.0194966,0.061618,0.0360651,0.0347318,0.0100207,0.0595188,0.0836308,0.0382428,0.0758086,0.0657277,0.0348551,0.0683332,0.0465264,0.0505185,0.0773955,0.0457574,0.0212855,0.00568566,0.00977579,0.0552035,0.0610704,0,0,0,0,0,0,0,0,0
