Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI,IMU_B
19,0,0,0,0,0.015249,0.014325,0,0,0.0319487,0.022102,0.0205771,0.00682197,0,0,0.0108766,0,0.0147635,0.00736426,0.0453222,0.0272844,0.0199917,0.0112013,0.00458595,0.00746672,0.0123132,0.00891474,0.00922785,0.0345594,0.00606523,0.00485262,0.00344275,0.0110516,0.0324176,0.00580837,0.00386921,0.00347751,0.0277717,0.018492,0.0318262,0.0171981,0.0048634,0,0,0.0342834,0,0.010912,0.0202134,0.0350973,0.0586743,0.0282266,0.0202667,0.00884798,0.0139473,0,0.0283538,0.0184616,0.0256152,0.0187043,0.0214251,0.0355754,0.0543328,0.0175171,0.0117352,0.0108591,0.0165979,0.0116271,0,0,0,0.0228088,0
20,0,0,0,0,0.0150559,0.0143012,0,0,0.0297744,0.0221072,0.0203912,0.00668092,0,0,0.0110134,0,0.014688,0.00747382,0.0447878,0.0256034,0.0197859,0.0107582,0.00476453,0.00730217,0.0103442,0.00745711,0.00827833,0.0332919,0.0061017,0.0047356,0.00346904,0.0104722,0.0304738,0.00581745,0.0038187,0.00342239,0.0258253,0.0184896,0.0331903,0.017072,0.00463067,0,0,0.0342187,0,0.0109489,0.0202046,0.0348004,0.0594664,0.0282477,0.0204172,0.00854896,0.0140384,0,0.0285829,0.0188011,0.0248803,0.019351,0.0219445,0.0350763,0.0538691,0.0176845,0.0117479,0.0107286,0.0166991,0.0117094,0,0,0,0.023053,0
21,0,0,0,0,0.0147607,0.0139845,0,0,0.0256517,0.0221921,0.0179649,0.00621836,0,0,0.0110268,0,0.0145072,0.0074175,0.0437576,0.0230313,0.0203736,0.0118142,0.00502502,0.00686462,0.00809601,0.00695229,0.00830736,0.0324299,0.00541589,0.00507271,0.0039076,0.0102964,0.0269621,0.00570996,0.00383031,0.00331222,0.0244681,0.0185091,0.0403615,0.0156379,0.00469373,0,0,0.0345912,0,0.010959,0.0202582,0.0348229,0.065937,0.027018,0.0280074,0.00837906,0.0141064,0,0.033289,0.0177283,0.0284151,0.0168512,0.0253646,0.0378357,0.0439468,0.0177591,0.0118454,0.0106895,0.016376,0.0120867,0,0,0,0.022607,0
22,0,0,0,0,0.0148682,0.0141811,0,0,0.0228968,0.0221348,0.01571,0.00644985,0,0,0.0113043,0,0.014541,0.00778809,0.0435336,0.0216189,0.0206306,0.0128632,0.00582663,0.00716947,0.00746,0.00847539,0.00989241,0.0331806,0.00416114,0.0057773,0.00517838,0.0106033,0.0243988,0.00579662,0.00388786,0.00337935,0.0241986,0.0183541,0.0325276,0.0165264,0.00459266,0,0,0.0339477,0,0.0110203,0.0202804,0.0343846,0.0555411,0.0281002,0.0192695,0.00711072,0.0144921,0,0.0284271,0.0203062,0.0207286,0.0158361,0.0201475,0.0293839,0.0507328,0.0180661,0.0121605,0.0107036,0.0167947,0.0120381,0,0,0,0.0242491,0
23,0,0,0,0,0.0149278,0.0140602,0,0,0.0205565,0.0221773,0.013947,0.00673019,0,0,0.0114878,0,0.0144951,0.00798546,0.042888,0.0205583,0.0209978,0.0109256,0.00639062,0.00703499,0.0072759,0.0100592,0.0112503,0.0341392,0.00421138,0.00747023,0.00642396,0.0112815,0.0225014,0.00580335,0.00387066,0.00339902,0.0212548,0.0183682,0.0317713,0.0166104,0.00486831,0,0,0.0336395,0,0.0109501,0.0201964,0.0340816,0.0530999,0.0284432,0.0183461,0.00622653,0.0147199,0,0.0277935,0.021559,0.01823,0.0156337,0.0191919,0.0262591,0.0499707,0.0181385,0.0123463,0.0107079,0.0167387,0.0122203,0,0,0,0.0248923,0
24,0,0,0,0,0.0150095,0.01369,0,0,0.0191705,0.0223746,0.0126367,0.00718879,0,0,0.0114288,0,0.0144692,0.0078164,0.0422042,0.01915,0.0209824,0.00746255,0.00661734,0.00670718,0.00694817,0.0110268,0.0114606,0.0346212,0.00506085,0.00913067,0.00695858,0.0114518,0.0212685,0.00575761,0.00381398,0.00324816,0.0184919,0.0184228,0.0300509,0.0163276,0.00533783,0,0,0.0337576,0,0.010893,0.0200284,0.0337612,0.0497895,0.0284378,0.017721,0.00567394,0.0147404,0,0.0279851,0.0234114,0.015263,0.0140824,0.0176871,0.0219507,0.0478391,0.0180177,0.0123477,0.0106914,0.0163197,0.0125765,0,0,0,0.025969,0
25,0,0,0,0,0.0150568,0.0131553,0,0,0.01827,0.0224885,0.0113836,0.00739651,0,0,0.0113234,0,0.0145327,0.00741514,0.0416596,0.0171558,0.0205767,0.0067325,0.00640188,0.00628014,0.00553201,0.011545,0.0101078,0.0339106,0.00541715,0.00997431,0.00661793,0.0107284,0.0201215,0.00573549,0.00375169,0.00302812,0.0158706,0.0184817,0.0293109,0.0158308,0.00575177,0,0,0.0340426,0,0.0108489,0.0198483,0.0334572,0.0472602,0.0283447,0.017074,0.00521415,0.0147342,0,0.0280563,0.0247254,0.012606,0.0141905,0.0166523,0.0192565,0.0460703,0.0177418,0.0123598,0.0106325,0.0157633,0.0130884,0,0,0,0.0265635,0
26,0,0,0,0,0.0151196,0.0126649,0,0,0.0176244,0.0227092,0.0100433,0.00756238,0,0,0.0114405,0,0.0144934,0.00725768,0.041357,0.0147672,0.0200416,0.00753137,0.00569652,0.00591371,0.00397729,0.0123146,0.00812563,0.0324471,0.00514946,0.0100608,0.00571376,0.00946792,0.0192369,0.00574603,0.00363551,0.00293199,0.0129188,0.0185567,0.0286777,0.0156993,0.00601619,0,0,0.034469,0,0.0107939,0.019713,0.0332876,0.044961,0.0286885,0.0166377,0.00494439,0.0145944,0,0,0.0265776,0.00985049,0.0143177,0.0155377,0.0165767,0.0444688,0.0173819,0.012506,0.0105286,0.0153531,0.013565,0,0,0,0.0275981,0
27,0,0,0,0,0.0151357,0.0124241,0,0,0.016765,0.0230155,0.00854175,0.00758538,0,0,0.0117647,0,0.0143663,0.007306,0.0410591,0.0125096,0.0196412,0.00799582,0.00507147,0.00544909,0.00388079,0.0128787,0.00637318,0.030889,0.00479025,0.00990831,0.00489301,0.0084568,0.0183156,0.00584996,0.00351027,0.0029083,0.0104592,0.018645,0.0282868,0.0150692,0.00624218,0,0,0.035189,0,0.0107428,0.0197691,0.033326,0.0428064,0.0287268,0.0163268,0.00489938,0.0143034,0,0,0.0275108,0.0077209,0.014767,0.0147929,0.014758,0.0418372,0.0171288,0.0125246,0.0104718,0.0150217,0.013908,0,0,0,0.0278225,0
28,0,0,0,0,0.0151428,0.0122072,0,0,0.0159401,0.0233842,0.00723424,0.00730108,0,0,0.0120642,0,0.0143109,0.00732068,0.0406507,0.0107154,0.0194129,0.00829689,0.00479007,0.00499212,0.00436333,0.0128924,0.0054274,0.0297381,0.00470709,0.0100631,0.0045021,0.00793051,0.017434,0.00590338,0.00348573,0.00294642,0.00949706,0.0187305,0.0278989,0.0136601,0.00662496,0,0,0.0361481,0,0.0107138,0.0200256,0.0333274,0.0407823,0.0280834,0.0168813,0.00498754,0.0139711,0,0.0276992,0.027262,0.00657958,0.0150295,0.0146593,0.0138986,0.0374424,0.0171319,0.0124845,0.0104707,0.0147209,0.0142279,0,0,0,0.027194,0
