Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIB,LASI,RTIBI
222,0,0,0,0,0.00346257,0.0044136,0,0,0,0.0688344,0.0214745,0.0371169,0,0,0.00216456,0,0.0155301,0.00115967,0.0369403,0.0285073,0.0114134,0.0147751,0.00409449,0.00547163,0.0115775,0.0168074,0.022533,0.0310792,0.004294,0.0118066,0.00799958,0.0161391,0.0805645,0.00190114,0.00427681,0.00114172,0.012786,0.0231755,0.00762746,0.00211424,0.00583593,0,0,0.00227834,0,0.0160368,0.00333502,0.0361664,0.0120302,0.0237154,0.00614885,0.00717817,0.00476273,0.00491586,0.0207304,0.00400465,0.00449242,0.0302819,0.0166653,0.0154089,0.00283098,0.00340725,0.00343081,0.00659958,0.00271297,0,0,0,0.0115716,0.00697246,0.00428342
223,0,0,0,0,0.00230734,0.00409293,0,0,0,0.0722184,0.0211822,0.0334312,0,0,0.00189888,0,0.0156971,0.0009747,0.0373075,0.0153616,0.0142774,0.00841562,0.00245533,0.00518518,0.00936376,0.0208377,0.0171277,0.0284917,0.00935293,0.0235372,0.0114422,0.015591,0.0877503,0.00151282,0.0042597,0.000998452,0.0128738,0.0229213,0.00755336,0.00252444,0.00574895,0,0,0.00288282,0,0.0160176,0.00229993,0.0365155,0.0119447,0.0234913,0.00658022,0.0058386,0.00421183,0.00469819,0.020612,0.00368525,0.0044909,0.0300737,0.0166999,0.0155966,0.00202459,0.00309369,0.00322543,0.0057731,0.00192665,0,0,0,0.0113494,0.00499013,0.00426692
224,0,0,0,0,0.00381107,0.0048422,0,0,0,0.0659532,0.021242,0.0363047,0,0,0.00241983,0,0.0157437,0.00125575,0.0379196,0.0291238,0.0113535,0.0164249,0.00417497,0.00614849,0.0138952,0.0185138,0.0233968,0.029574,0.00452063,0.00987074,0.00645344,0.0157967,0.0769136,0.00216222,0.00434191,0.00122224,0.0137423,0.0232161,0.00778679,0.00297985,0.0057372,0,0,0.00276783,0,0.016265,0.00364576,0.036804,0.0128203,0.022947,0.00803515,0.00832157,0.00533077,0.00493054,0.0205509,0.0032985,0.00454561,0.0295377,0.0166064,0.0172954,0.00307876,0.00372204,0.00380101,0.00705964,0.0030717,0,0,0,0.0116617,0.0070827,0.00402791
225,0,0,0,0,0.00342036,0.00460501,0,0,0,0.0672376,0.0212801,0.0346737,0,0,0.00187367,0,0.0156345,0.00101172,0.0380509,0.0243023,0.0122902,0.00999269,0.00334251,0.00598856,0.011723,0.016845,0.0201398,0.0279163,0.00186707,0.0143044,0.00749526,0.0154894,0.0794124,0.00183324,0.00424892,0.00101389,0.0138983,0.0231916,0.00769607,0.00334371,0.00559459,0,0,0.00326732,0,0.0163374,0.00340413,0.0370066,0.0127644,0.0226505,0.00866796,0.0078416,0.0052576,0.00499757,0.0203897,0.00323986,0.00462703,0.0291973,0.0164162,0.0179229,0.00272312,0.00377718,0.00384341,0.00678641,0.0028421,0,0,0,0.0116037,0.00653026,0.00379292
226,0,0,0,0,0.0038854,0.00455613,0,0,0,0.0642226,0.0214864,0.034683,0,0,0.00166923,0,0.0154155,0.00103325,0.0388034,0.0281902,0.0115966,0.0153657,0.00427417,0.00617537,0.0149549,0.0194211,0.0226738,0.0277733,0.0042157,0.0103789,0.0059482,0.0157964,0.0747799,0.0017794,0.00431242,0.000935955,0.014636,0.0232738,0.007599,0.00378811,0.00561348,0,0,0.00295863,0,0.0163257,0.00374951,0.0372652,0.0128407,0.022188,0.00961357,0.00875826,0.00561853,0.00511961,0.0202593,0.00317781,0.00481974,0.0287092,0.0162355,0.0190955,0.00322624,0.00375402,0.00375484,0.0069891,0.00357771,0,0,0,0.0117059,0.00738154,0.00351213
227,0,0,0,0,0.00413275,0.0044981,0,0,0,0.06178,0.0213697,0.0339119,0,0,0.00175241,0,0.0155284,0.00114207,0.0395854,0.0290563,0.0114945,0.0176041,0.00481367,0.00626442,0.0169092,0.0214133,0.0235919,0.0272952,0.00599219,0.00879658,0.00541233,0.0158576,0.0717645,0.00183517,0.00439146,0.000832265,0.01534,0.0232477,0.00746405,0.00412215,0.0055629,0,0,0.00285288,0,0.0162769,0.00390591,0.0375616,0.0125954,0.0218022,0.0102632,0.00941747,0.00573626,0.00516315,0.0202016,0.00313714,0.0049745,0.0282831,0.0160189,0.0199927,0.00341224,0.00373749,0.0036241,0.00712394,0.00395951,0,0,0,0.0117154,0.00781265,0.00331707
228,0,0,0,0,0.00393156,0.0059398,0,0,0,0.0594421,0.0212727,0.0325279,0,0,0.00240785,0,0.0156928,0.00152356,0.0402729,0.0282367,0.0116371,0.0181433,0.00499459,0.00643101,0.0179177,0.0224369,0.0234288,0.0266801,0.00693605,0.00818441,0.00549296,0.0157207,0.0691092,0.00243652,0.00443221,0.000976676,0.0156214,0.0237817,0.00774702,0.00437027,0.00606759,0,0,0.0111302,0,0.0174313,0.00710017,0.0378915,0.0123223,0.021521,0.0108898,0.00975538,0.0074092,0.00520062,0.020187,0.0030064,0.0049959,0.0279387,0.015839,0.0205025,0.00441506,0.00730427,0.00632883,0.00884972,0.00295117,0,0,0,0.0116766,0.00811736,0.00320638
229,0,0,0,0,0.0044489,0.00429363,0,0,0,0.0563339,0.021053,0.0307312,0,0,0.00178003,0,0.0158778,0.00132765,0.0409338,0.027125,0.0117023,0.0187862,0.00547864,0.00639661,0.0187232,0.0234648,0.0230314,0.0260102,0.00797248,0.00740572,0.00568481,0.0155475,0.0654558,0.00190087,0.00436551,0.000921751,0.0157105,0.0230206,0.00783297,0.00470918,0.00566994,0,0,0.00325773,0,0.0159499,0.00385132,0.0382526,0.0125196,0.021196,0.011496,0.0106171,0.00552351,0.00520191,0.0202125,0.00291003,0.00505337,0.0276124,0.0156924,0.0209403,0.00361431,0.00341069,0.00282979,0.00704425,0.00433283,0,0,0,0.0116999,0.00823034,0.00310499
230,0,0,0,0,0.00440346,0.00425624,0,0,0,0.0523723,0.0210584,0.0284887,0,0,0.00166801,0,0.0158595,0.00122969,0.0415336,0.0256291,0.0117861,0.0192662,0.00576559,0.00637172,0.019302,0.0243279,0.0224079,0.025362,0.00895619,0.00667724,0.0057478,0.0153344,0.0608873,0.00174576,0.00428094,0.00080671,0.015787,0.0230607,0.00772102,0.00486443,0.00580081,0,0,0.00289936,0,0.0159869,0.00377423,0.0385587,0.0127057,0.0209227,0.0120018,0.0109122,0.00533588,0.00492936,0.0203465,0.00292162,0.00514372,0.0273275,0.015555,0.0212733,0.00348841,0.00344433,0.00286827,0.0069924,0.00424075,0,0,0,0.0116512,0.00843133,0.00302379
231,0,0,0,0,0.00433713,0.00420425,0,0,0,0.0474024,0.0210915,0.0258179,0,0,0.00151276,0,0.0158245,0.00111432,0.0421244,0.0240254,0.0119149,0.0196145,0.00607469,0.00628337,0.0196118,0.0249449,0.0214657,0.0247085,0.00989714,0.00610347,0.00577268,0.0150753,0.0551586,0.00157915,0.00426159,0.000599893,0.0160689,0.0230928,0.00787751,0.00494182,0.00594737,0,0,0.00252584,0,0.0160257,0.00364789,0.0388691,0.0125636,0.020641,0.0124738,0.0110414,0.00509542,0.00451895,0.0205053,0.00306385,0.00529715,0.0270497,0.0154784,0.0218142,0.00331263,0.00345631,0.00289461,0.00689328,0.00410311,0,0,0,0.0115145,0.00854637,0.00300511
232,0,0,0,0,0.00425512,0.00419547,0,0,0,0.0414992,0.0210385,0.0229587,0,0,0.00134806,0,0.0158663,0.00103862,0.042836,0.0225568,0.0121076,0.0195664,0.00608347,0.00623005,0.0194933,0.025117,0.0200251,0.0240974,0.0105501,0.005992,0.00588211,0.014825,0.0482019,0.00143052,0.00427907,0.000471109,0.0162804,0.0230961,0.00804475,0.00502457,0.00608826,0,0,0.0022924,0,0.0160729,0.00341853,0.0391999,0.0122832,0.0203548,0.0129152,0.0111603,0.00485082,0.00451493,0.0206572,0.00321949,0.00550667,0.0268179,0.0153432,0.0222012,0.00299601,0.0034281,0.00287723,0.00683373,0.00387777,0,0,0,0.0113896,0.00852704,0.00304956
233,0,0,0,0,0.0041484,0.00417421,0,0,0,0.0344157,0.0209657,0.0197744,0,0,0.00117871,0,0.015911,0.000965987,0.0436335,0.0209747,0.0124385,0.0191633,0.00600664,0.00614898,0.0189659,0.0249374,0.0181765,0.0236325,0.0108854,0.00605155,0.00575608,0.0144581,0.0398375,0.00125849,0.00428474,0.000556472,0.0162359,0.0230747,0.00813135,0.00516187,0.00618607,0,0,0.0023061,0,0.0161009,0.00314883,0.0395521,0.0117983,0.0201693,0.0131768,0.0112833,0.00466864,0,0.0206661,0.00342976,0.00569662,0.0266743,0.0152572,0.0221306,0.00263153,0.00339648,0.00286519,0.00680384,0.00354808,0,0,0,0.0111308,0.00827348,0.00314278
234,0,0,0,0,0.00400646,0.00407163,0,0,0,0.0262484,0.0208907,0.0162843,0,0,0.00102722,0,0.0159304,0.00100531,0.0443917,0.0192965,0.0129096,0.0183985,0.00593204,0.00588001,0.0180073,0.0242756,0.0159939,0.023288,0.0107038,0.00627221,0.00541037,0.0139006,0.0302192,0.00114793,0.00427712,0.000604191,0.0164978,0.022997,0.00818196,0.00525801,0.00599511,0,0,0.00235942,0,0.0161315,0.00297556,0.0398661,0.0116306,0.0200239,0.0137138,0.0112516,0.00457689,0.00453469,0.0208995,0.00380578,0.00585628,0.0264931,0.0153818,0.022519,0.00240607,0.00335984,0.00273072,0.00668162,0.00314047,0,0,0,0.0111599,0.00776594,0.0032895
235,0,0,0,0,0.00393593,0.00380734,0,0,0,0.017703,0.020827,0.012291,0,0,0.000947252,0,0.0159441,0.0010337,0.0449821,0.0172692,0.01351,0.0172018,0.00543398,0.00577666,0.0164835,0.0228253,0.0134195,0.0231994,0.0101086,0.00683873,0.0052973,0.0132052,0.0197211,0.00108993,0.00427246,0.000510181,0.0166444,0.0229717,0.00858534,0.00531452,0.00585087,0,0,0.00224487,0,0.0160725,0.00273098,0.0402018,0.0113253,0.0199144,0.014267,0.011121,0.00425916,0.00452089,0.021017,0.00417108,0.00599087,0.0263685,0.0155414,0.0226841,0.00219018,0.00330237,0.00246989,0.00638654,0.00287374,0,0,0,0.0108783,0.00707642,0.00324701
236,0,0,0,0,0.00375813,0.00353584,0,0,0,0.0109824,0.0207707,0.00857893,0,0,0.000807256,0,0.0159695,0.00101773,0.0453973,0.0144846,0.0142217,0.0157088,0.00494456,0.00570599,0.0142029,0.0205123,0.0105477,0.023482,0.00946163,0.00751698,0.00508487,0.0125469,0.0109613,0.000953058,0.00428033,0.000410462,0.0169921,0.0229234,0.0089733,0.00530058,0.00576899,0,0,0.00227947,0,0.0160022,0.00245191,0.0405364,0.011022,0.0198174,0.0147898,0.0107341,0.00398147,0.00445203,0.0210949,0.00449349,0.00609174,0.0263259,0.0153617,0.0230916,0.00200774,0.00333262,0.00223259,0.00610574,0.00254589,0,0,0,0.0105436,0.00628422,0.0030903
