Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_M,IMU_B,RTHI
30,0,0,0,0,0,0.00361501,0.00444874,0,0.0240289,0.0201252,0.0159639,0.00445769,0,0,0.00254903,0,0.0163075,0.00115699,0.044886,0.022871,0.0198277,0.00707592,0.00170323,0.00359499,0.00675529,0.00304302,0.00842036,0.0262017,0.00370987,0.00298387,0.00509461,0.0144238,0.0245132,0.00369798,0.00394639,0.000891868,0.0613203,0.0204341,0.0179903,0.00469951,0.0118961,0,0,0.00732127,0,0.0132911,0.00626593,0.0492675,0.053307,0.0212974,0.0154308,0.0112587,0.0142694,0.055285,0.0135581,0.02724,0.0311782,0,0.0124306,0.043367,0.0920863,0.00876469,0.00359325,0.00431605,0.00340757,0.0123506,0,0,0,0,0,0
31,0,0,0,0,0,0.0170693,0.0153054,0,0.0224292,0.0201426,0.0156652,0.00469379,0,0,0.0222405,0,0.0178445,0.0138275,0.0442304,0.0235572,0.0210131,0.00672995,0.00374923,0.00768946,0.00902695,0.00498808,0.00930112,0.0281343,0.00333038,0.003639,0.00538036,0.0155954,0.0225229,0.0148192,0.00640992,0.00181343,0.0538354,0.0200114,0.0247278,0.00685717,0.015649,0,0,0.00742013,0,0.0103966,0.0120326,0.0483569,0.0607708,0.023481,0.0170531,0.00859247,0.0205551,0.0563309,0.00904082,0.0269576,0.0344364,0.0176121,0.0165626,0.0464939,0.0846343,0.0116627,0.0102744,0.00875259,0.00799612,0.0156636,0,0,0,0,0,0
32,0,0,0,0,0,0.0204201,0.0187119,0,0.023145,0.0200934,0.0163483,0.00383475,0,0,0.0241606,0,0.018436,0.0154772,0.0445469,0.0234929,0.0210585,0.00789092,0.00636262,0.00971836,0.00934423,0.00656131,0.0103253,0.0284416,0.00402927,0.00465542,0.00559239,0.0154774,0.0231312,0.0162925,0.00745234,0.00125109,0.056693,0.0202053,0.0214586,0.00608009,0.016758,0,0,0.00689864,0,0.0101029,0.0140392,0.0482349,0.0572734,0.0235296,0.0174191,0.00622109,0.0226382,0.0555766,0.00905299,0.0268835,0.0323483,0.0158686,0.0150525,0.0427543,0.0854228,0.0139705,0.0115156,0.00883106,0.0107632,0.0161276,0,0,0,0,0,0
33,0,0,0,0,0,0.00917714,0.00943282,0,0.0195336,0.0196205,0.0160931,0.00473023,0,0,0.00975833,0,0.016756,0.00594112,0.043574,0.023573,0.0218422,0.00833299,0.00383952,0.00638215,0.00945124,0.00796908,0.0107215,0.0283695,0.00423684,0.00520317,0.00654598,0.0157934,0.0222711,0.00590429,0.00448131,0.00157804,0.0462768,0.0189151,0.0358375,0.00691067,0.0131046,0,0,0.00860853,0,0.012146,0.00985163,0.049324,0.0738203,0.0229925,0.0180794,0.00893309,0.0162314,0.0576752,0.0109815,0.0260668,0.0382332,0.0225054,0.0218516,0.0533912,0.082638,0.00924618,0.00872813,0.00843901,0.00308726,0.0140225,0,0,0,0,0,0
34,0,0,0,0,0,0.00769119,0.00843994,0,0.0190716,0.018771,0.0171823,0.00306841,0,0,0.0183504,0,0.0173201,0.0110007,0.043948,0.0250068,0.0213043,0.00940186,0.00840002,0.0116243,0.00935577,0.00875544,0.0107558,0.0278513,0.00465126,0.00600415,0.00694158,0.0154294,0.0219792,0.015303,0.00512381,0.00379204,0.0554661,0.0164285,0.0204247,0.00698153,0.0153978,0,0,0.0117226,0,0.0139655,0.0117272,0.0501991,0.0554401,0.0256501,0.0193047,0.00253411,0.0130534,0.0512695,0.0143629,0.026882,0.0306267,0.0156194,0.0174816,0.0394327,0.0825385,0.012197,0.00812026,0.00848636,0.00617363,0.0165051,0,0,0,0,0,0
35,0,0,0,0,0,0.0107607,0.010817,0,0.020965,0.0195348,0.0180888,0.00437083,0,0,0.0126529,0,0.0168994,0.00773691,0.0432112,0.0245768,0.022089,0.0087353,0.00503339,0.0072448,0.00747508,0.00870142,0.012649,0.0289812,0.00397418,0.00524908,0.00700366,0.0145025,0.0236856,0.00786785,0.00473398,0.00164214,0.0439331,0.0187114,0.0423112,0.00645578,0.0130533,0,0,0.00895985,0,0.0121039,0.0105702,0.0489078,0.0809409,0.0227,0.0180779,0.00801183,0.0163518,0.0584817,0.010809,0.0240531,0.0381301,0.0243021,0.0242118,0.054708,0.0818849,0.00976072,0.00908579,0.0087487,0.00398054,0.0138638,0,0,0,0,0,0
36,0,0,0,0,0,0.00752555,0.00900767,0,0.0210227,0.0186935,0.0180629,0.00269095,0,0,0.0218357,0,0.0173713,0.0133258,0.0435496,0.0241626,0.0211709,0.00854604,0.00976055,0.013118,0.00743156,0.00771815,0.0114881,0.0282238,0.00446694,0.00563264,0.00698787,0.0145559,0.0236465,0.0181455,0.0057107,0.00402598,0.0514007,0.0161822,0.0221169,0.00634629,0.0156973,0,0,0.0123165,0,0.0139531,0.0126605,0.0498281,0.0585356,0.0253126,0.0206192,0.00169775,0.0135652,0.050974,0.0159693,0.0258414,0.0291863,0.0160968,0.0174511,0.0379011,0.0794931,0.0132277,0.00864728,0.00893978,0.00589085,0.0163419,0,0,0,0,0,0
37,0,0,0,0,0,0.00768914,0.00925129,0,0.0221007,0.0187088,0.0174065,0.00270174,0,0,0.0240512,0,0.0174301,0.0147534,0.0433018,0.022334,0.0208691,0.00741137,0.0099873,0.014423,0.00661444,0.00626737,0.0106578,0.0279187,0.00383144,0.00528026,0.00654629,0.014325,0.0245025,0.0202178,0.00618416,0.00429896,0.0487814,0.0161082,0.0228105,0.00624084,0.0159167,0,0,0.0125758,0,0.013838,0.013258,0.0493566,0.0594817,0.0252991,0.021637,0.00140888,0.0137984,0.0508569,0.0168999,0.0254238,0.0281858,0.0163076,0.0171995,0.0365663,0.0772521,0.0137958,0.00905889,0.00918226,0.00580515,0.0162811,0,0,0,0,0,0
38,0,0,0,0,0,0.00782151,0.0095166,0,0.0227669,0.0186928,0.0169324,0.00284797,0,0,0.02647,0,0.0174852,0.0163303,0.0429504,0.0213023,0.0205377,0.00643046,0.0101842,0.0157359,0.00572604,0.00446489,0.00913628,0.0270268,0.00303768,0.00457731,0.00596066,0.0140702,0.0248901,0.0225754,0.00674318,0.00462709,0.0462021,0.0160773,0.0233149,0.00606322,0.0160488,0,0,0.0127772,0,0.0136518,0.0140582,0.0487209,0.0598906,0.025209,0.0229859,0.0010447,0.0141263,0.0506548,0.017898,0.0251554,0.0270954,0.0165599,0.0169041,0.0348732,0.0749134,0.0144313,0.0094995,0.00932796,0.00573348,0.016239,0,0,0,0,0,0
39,0,0,0,0,0,0.00792896,0.00992253,0,0.0230591,0.0186356,0.0172869,0.00296844,0,0,0.0291979,0,0.0176262,0.0180629,0.0424318,0.0216106,0.0202672,0.00573447,0.0105896,0.0170772,0.00542501,0.00275151,0.00760957,0.0257087,0.00273733,0.0038212,0.00568267,0.0138026,0.024754,0.0251616,0.0074919,0.00488968,0.043718,0.016093,0.023282,0.00595816,0.0161369,0,0,0.0129618,0,0.0134502,0.0150574,0.04789,0.0593603,0.0251712,0.0246776,0.000686872,0.0145624,0.050383,0.0191198,0.0250747,0.0258478,0.0169777,0.0164465,0.0325775,0.0725568,0.015192,0.00993496,0.00947735,0.00569163,0.0162644,0,0,0,0,0,0
40,0,0,0,0,0,0.00812693,0.010573,0,0.0224483,0.0186191,0.0178174,0.00307975,0,0,0.0321737,0,0.0177261,0.0200564,0.0418817,0.0225465,0.0201984,0.00577249,0.0114148,0.0184811,0.00578316,0.00207253,0.00707493,0.0244336,0.00332869,0.00390978,0.00586234,0.0137616,0.0239883,0.0279334,0.00835656,0.00501221,0.0418671,0.0161665,0.0224982,0.0059722,0.01626,0,0,0.0131455,0,0.0131924,0.0161745,0.0468476,0.0574197,0.0253228,0.0269161,0.00110608,0.0151571,0.0502946,0.0205164,0.0252499,0.024348,0.0176492,0.0157913,0.0293289,0.0702849,0.0161761,0.0104466,0.00960604,0.0058796,0.016473,0,0,0,0,0,0
41,0,0,0,0,0,0.013208,0.0114362,0,0.0208624,0.0184827,0.0177954,0.00323454,0,0,0.0219287,0,0.0172709,0.0128733,0.0414548,0.0230284,0.0202356,0.00673424,0.0110439,0.0172602,0.00605503,0.00299388,0.00769497,0.0233307,0.00398595,0.00524878,0.00644348,0.013972,0.0225985,0.020268,0.00510178,0.00404373,0.0394252,0.0151489,0.0231033,0.00657544,0.0193122,0,0,0.014296,0,0.0145911,0.0148884,0.0466829,0.0574339,0.0254999,0.0284093,0.00140043,0.0144258,0.0496533,0.0220531,0.0254818,0.0226398,0.018233,0.0150945,0.0270278,0.0687921,0.0162299,0.00876996,0.00973304,0.00869891,0.0189895,0,0,0,0,0,0
42,0,0,0,0,0,0.0216168,0.0211366,0,0.0173152,0.0206713,0.014412,0.0041288,0,0,0.0258964,0,0.0190351,0.0173655,0.0402722,0.0211064,0.0218133,0.00912003,0.0104753,0.012469,0.00434006,0.00558014,0.00958671,0.0244287,0.00462389,0.00540992,0.00589866,0.0134144,0.0193245,0.0188104,0.00956219,0.00430891,0.0640808,0.0188574,0.0457895,0.00409295,0.0167493,0,0,0.00916167,0,0.0108676,0.0166561,0.043192,0.0752318,0.0221685,0.0217893,0.00243012,0.0220362,0.058067,0.0120327,0.0164067,0.01442,0.0217576,0.0144444,0.0299409,0.0898347,0.015848,0.0120242,0.00922864,0.0134142,0.0144999,0,0,0,0,0,0
