Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI,RTIB,RTIBI,IMU_B,
182,0,0,0,0,0.00312231,0.00234974,0,0,0.0358685,0.0211837,0.019,0.00584787,0,0,0.00672941,0,0.0160551,0.00283821,0.0392373,0.0204778,0.0200427,0.00766865,0.00305873,0.00632067,0.00859452,0.00813301,0.00926565,0.0328718,0.00540387,0.0082275,0.00515139,0.00603491,0.0424449,0.00381607,0.00463928,0.00110493,0.0133137,0.0216309,0.0230935,0.0015591,0.00386669,0,0,0.00388648,0,0.0150934,0.000912354,0.0415017,0.0355785,0.0284158,0.0163338,0.0104787,0.00282562,0.0229759,0.0111486,0.00337462,0.036551,0.0660932,0.00873429,0.00345662,0.000663803,0.00138023,0.0054202,0.00454329,0,0,0,0.00576302,0.0500391,0,0,0
183,0,0,0,0,0.00314433,0.0028773,0,0,0.0360648,0.021174,0.0188408,0.00571006,0,0,0.006535,0,0.016044,0.00277995,0.0396777,0.0207184,0.0197881,0.00748878,0.00289786,0.00647614,0.00912646,0.00833985,0.00942979,0.0327299,0.00526146,0.0081022,0.00497937,0.00603714,0.0426816,0.00351494,0.00466308,0.00115316,0.0135409,0.0215405,0.0244618,0.00211502,0.00386517,0,0,0.00396741,0,0.0150458,0.0013539,0.0417596,0.0363882,0.0279023,0.0193312,0.0108236,0.0027787,0.021257,0.0104955,0.00185043,0.0361029,0.066843,0.00776842,0.00323597,0.000906789,0.00157392,0.00601434,0.00439552,0,0,0,0.00324636,0.0487227,0,0,0
184,0,0,0,0,0.00297316,0.00323355,0,0,0.0359796,0.021394,0.0185375,0.00555691,0,0,0.00536262,0,0.0161175,0.00215035,0.0398538,0.0208128,0.0196521,0.00719788,0.00305649,0.00765423,0.00948572,0.00841699,0.00919848,0.032549,0.00517748,0.00807528,0.00482951,0.0059963,0.0426322,0.00292287,0.00466112,0.0013648,0.00585196,0.022042,0.0224638,0.00301806,0.00132706,0,0,0.00574312,0,0.0159582,0.00324355,0.0414834,0.0354446,0.027441,0.0165093,0.0114855,0.00430186,0.0184257,0.00712184,0.0025944,0.0363432,0.0719565,0.0140319,0.00286195,0.00345944,0.00102234,0.00505427,0.00427865,0,0,0,0.00513239,0.048154,0,0,0
185,0,0,0,0,0.0033965,0.00381494,0,0,0.0360309,0.021238,0.0180066,0.00561827,0,0,0.00637271,0,0.0163212,0.00271811,0.0399799,0.0207107,0.0197162,0.00663631,0.00329857,0.0066603,0.00954951,0.00832261,0.00872817,0.0323777,0.00508022,0.00832553,0.00475837,0.00589283,0.0429071,0.00302684,0.00470907,0.001138,0.0159428,0.0213382,0.0260739,0.0035998,0.00394406,0,0,0.00462729,0,0.0148754,0.00219671,0.0409142,0.0384599,0.027125,0.0136969,0.0116399,0.0027054,0.0162815,0.00595458,0.00489137,0.0372408,0.0753994,0.0233918,0.00288923,0.00133969,0.00194458,0.00695176,0.00455522,0,0,0,0.00609112,0.0475785,0,0,0
186,0,0,0,0,0.0033728,0.00392742,0,0,0.0358359,0.0211969,0.0175599,0.00578245,0,0,0.00632867,0,0.0163029,0.00272192,0.0399772,0.0204924,0.0197019,0.00625768,0.00352843,0.00676627,0.0093599,0.00810198,0.008461,0.0322,0.00514355,0.0086507,0.00472432,0.00578259,0.0431271,0.0028578,0.00473993,0.0011345,0.0255302,0.0213614,0.0312762,0.00393298,0.00372648,0,0,0.00454007,0,0.0149147,0.00212549,0.0401606,0.0443755,0.0270038,0.0121995,0.0117379,0.00254293,0.0149719,0.00656689,0.00604907,0.0378787,0.0779594,0.0330372,0.00286415,0.00127863,0.0018385,0.00705493,0.00466934,0,0,0,0.0067262,0.0475738,0,0,0
187,0,0,0,0,0.00337383,0.00391862,0,0,0.035495,0.021196,0.016845,0.00602756,0,0,0.00627997,0,0.01631,0.00277204,0.0398638,0.0202874,0.0196552,0.00592433,0.00380723,0.006821,0.0090094,0.00773309,0.00798558,0.0319794,0.00529852,0.00902881,0.00469347,0.00564671,0.0432459,0.00271328,0.00477011,0.00109851,0.0301393,0.0214001,0.0345638,0.00406165,0.0035985,0,0,0.00444592,0,0.0149618,0.00198673,0.0395792,0.0496742,0.0269671,0.0117146,0.0117982,0.00229488,0.0144722,0.00713624,0.00603663,0.0381139,0.0788323,0.0381099,0.00287705,0.0011914,0.00175937,0.00707383,0.00479986,0,0,0,0.00693299,0.0483453,0,0,0
188,0,0,0,0,0.00343281,0.00384469,0,0,0.0350886,0.0211567,0.0161409,0.00633158,0,0,0.00627882,0,0.016347,0.00284386,0.0396254,0.0201342,0.019706,0.00566685,0.00405861,0.0068859,0.00858008,0.00725797,0.00728736,0.0317635,0.00552164,0.0094285,0.00468547,0.0054825,0.0432328,0.00264513,0.004772,0.00103065,0.029403,0.0214385,0.0346859,0.00389281,0.0034763,0,0,0.00427586,0,0.0150063,0.00192833,0.0395084,0.0520359,0.0271201,0.0117564,0.011828,0.00198558,0.0152853,0.00678838,0.0053025,0.037918,0.0778276,0.0378009,0.00279764,0.0010948,0.00168409,0.00699605,0.00494082,0,0,0,0.00668401,0.0499775,0,0,0
189,0,0,0,0,0.0034719,0.00384054,0,0,0.0346196,0.0211373,0.0155564,0.00656776,0,0,0.00597636,0,0.0163883,0.00275175,0.0393123,0.019958,0.0197559,0.00568675,0.00416466,0.00702749,0.00813781,0.00674331,0.00652247,0.031579,0.00583426,0.0096697,0.00468533,0.00532663,0.0429874,0.00240068,0.00478463,0.00103708,0.0246713,0.02156,0.0324592,0.00369681,0.00274454,0,0,0.00313196,0,0.0152347,0.00183546,0.0396681,0.0513635,0.0273647,0.0122338,0.0119257,0.00190037,0.0169388,0.00617172,0.00407493,0.0376714,0.0754496,0.0330343,0.0023496,0.00121457,0.0012707,0.00678957,0.00499273,0,0,0,0.00605389,0.0520084,0,0,0
190,0,0,0,0,0.00352827,0.00389639,0,0,0.0339976,0.0211045,0.0148968,0.00683381,0,0,0.00581906,0,0.0163444,0.00270698,0.0390169,0.0197869,0.019722,0.00586306,0.00407164,0.00706539,0.00767343,0.00613446,0.0057111,0.0314843,0.00618456,0.00994057,0.00476548,0.00527929,0.0427437,0.00222186,0.00480603,0.00107856,0.0180251,0.0215318,0.0290272,0.00328744,0.00257846,0,0,0.00310161,0,0.0152403,0.00197774,0.0397535,0.0482037,0.0276493,0.0131301,0.0118165,0.00180023,0.0188521,0.00625165,0.00270282,0.037348,0.0724728,0.0257652,0.00214028,0.00121357,0.00130534,0.00683652,0.00502975,0,0,0,0.00564497,0.0536219,0,0,0
191,0,0,0,0,0.00359775,0.00393572,0,0,0.033127,0.0210805,0.0141374,0.0070111,0,0,0.00566233,0,0.0161936,0.00264825,0.0387805,0.0196562,0.0196308,0.00619044,0.00397956,0.0070506,0.0071937,0.00550396,0.00485306,0.0314813,0.00664739,0.0103001,0.00492165,0.00527708,0.0422472,0.00203707,0.00482583,0.00114344,0.0112789,0.0215376,0.0262194,0.00278502,0.00242931,0,0,0.00309356,0,0.015254,0.00208569,0.0398724,0.0444629,0.0280653,0.0140854,0.0115708,0.00164718,0.0208742,0.00743483,0.00205555,0.0370369,0.0691438,0.0177522,0.00196692,0.00121866,0.00140104,0.00683347,0.00500291,0,0,0,0.00563747,0.0547604,0,0,0
