Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI,IMU_B,
188,0,0,0,0,0.0115194,0.0105968,0,0,0.0289958,0.0217003,0.0145567,0.0105671,0,0,0.00206996,0,0.0154348,0.00349902,0.0433778,0.0193955,0.0184789,0.00787338,0.00934014,0.0178102,0.00749183,0.00885021,0.00663487,0.0317823,0.00731815,0.00658679,0.00326069,0.00627955,0.0355382,0.0039751,0.00460886,0.00365148,0.0715899,0.0178933,0.0310585,0.0142074,0.00465331,0,0,0.0334684,0,0.0117769,0.0194743,0.0514677,0.0236856,0.0260688,0.0455557,0.017695,0.0132613,0.0701456,0.0368553,0,0.0404339,0.0429668,0.0333081,0.0324101,0.0823814,0.0159847,0.011219,0.0115808,0.0142867,0.00538986,0,0,0,0,0,0
189,0,0,0,0,0.0121838,0.0110783,0,0,0.0287774,0.0217796,0.0140736,0.0102598,0,0,0.00128443,0,0.0152622,0.00305339,0.0433016,0.019133,0.0179659,0.00761658,0.00758235,0.0191769,0.00714148,0.00801257,0.00605839,0.0321199,0.00754885,0.00702508,0.00341919,0.00621831,0.0360866,0.00436294,0.00443319,0.00348782,0.066453,0.018206,0.0280692,0.0133178,0.00468949,0,0,0.0332074,0,0.0113536,0.0194384,0.0507868,0.0218396,0.0261238,0.0471735,0.0165363,0.0134277,0.0679394,0.0389732,0,0.0401407,0.0410822,0.0310068,0.0327519,0.077847,0.0157896,0.0113692,0.0114804,0.0145601,0.00603421,0,0,0,0,0,0
190,0,0,0,0,0.0121893,0.0111433,0,0,0.0280431,0.0218382,0.0132733,0.0101144,0,0,0.00110797,0,0.0151977,0.00293942,0.0431618,0.0186741,0.0177324,0.00755183,0.00629222,0.0195867,0.00667309,0.00715987,0.00544663,0.032419,0.00778891,0.00750901,0.00365686,0.00613567,0.0358731,0.00463199,0.00437497,0.00349214,0.062997,0.0182699,0.0271987,0.0128722,0.00461992,0,0,0.0328322,0,0.0113089,0.0193814,0.0505131,0.0220876,0.0262,0.0486107,0.0157297,0.0136572,0.0666851,0.0409247,0,0.0396574,0.0406638,0.0297277,0.0327902,0.0743269,0.0156624,0.0113569,0.0114355,0.0145089,0.00642909,0,0,0,0,0,0
191,0,0,0,0,0.0117357,0.0110688,0,0,0.0268368,0.0218489,0.012245,0.0100573,0,0,0.00115902,0,0.0151958,0.00299633,0.0429601,0.0179978,0.0176824,0.00759754,0.00555874,0.0195255,0.00604046,0.0063658,0.00488895,0.0326133,0.00811522,0.00803329,0.00386417,0.00610373,0.0350138,0.00479108,0.00437226,0.0035199,0.0602017,0.0182653,0.0268108,0.0125474,0.00445682,0,0,0.0323649,0,0.0113466,0.0192649,0.0501034,0.0233336,0.0265542,0.0478285,0.0153316,0.0140063,0.067592,0.0410941,0,0.0384927,0.0415563,0.029195,0.0319693,0.070912,0.0155436,0.0112443,0.0113908,0.014461,0.00661277,0,0,0,0.0470313,0,0
192,0,0,0,0,0.0110733,0.00869563,0,0,0.0270703,0.0225581,0.00953174,0.00943973,0,0,0.00418797,0,0.0148576,0.00178981,0.0426422,0.0156708,0.0155948,0.00509635,0.00291423,0.0179525,0.00520707,0.00434047,0.00213498,0.0314682,0.00711653,0.00797647,0.00303605,0.00679918,0.0380394,0.00624558,0.00446494,0.00336896,0.0863711,0.0187053,0.0513352,0.0196327,0.00689037,0,0,0.0348105,0,0.0112038,0.0192649,0.0526116,0.0493157,0.0174707,0.0542415,0.0102434,0.0137437,0.0605904,0.04878,0,0.0479684,0,0.0472402,0.0431048,0.0967884,0.0150676,0.0112965,0.0111933,0.0111926,0.00934012,0,0,0,0,0,0
193,0,0,0,0,0.00992601,0.0100913,0,0,0.0229723,0.0217651,0.0100509,0.0102913,0,0,0.001907,0,0.0153197,0.00342706,0.0426659,0.0167251,0.0173631,0.00786041,0.00528646,0.0171302,0.00438551,0.00500674,0.00424326,0.0324426,0.00854444,0.00829312,0.00428119,0.00612094,0.032782,0.00450382,0.00465233,0.00351607,0.055036,0.017876,0.0248452,0.0130287,0.003987,0,0,0.0317678,0,0.0118032,0.0188066,0.0500126,0.0257094,0.0266334,0.0450662,0.0147175,0.0143766,0.0693601,0.0383585,0,0.0396972,0.0433929,0.0306616,0.0320974,0.0654164,0.0151323,0.0109127,0.0112198,0.0137127,0.00606371,0,0,0,0.0429662,0,0
194,0,0,0,0,0.0102341,0.0105293,0,0,0.0213192,0.021833,0.0100634,0.0104584,0,0,0.00133696,0,0.01524,0.00315642,0.0424697,0.0163919,0.0170163,0.00878545,0.00518421,0.0176673,0.0036067,0.00525806,0.00510317,0.0324147,0.00904584,0.00842552,0.00472364,0.00615343,0.0318767,0.00490197,0.0044925,0.00332845,0.0527266,0.0181333,0.0226729,0.0126346,0.00389144,0,0,0.0312534,0,0.0115161,0.0186434,0.049992,0.0231037,0.0275239,0.0466345,0.0144786,0.0148662,0.0714608,0.0366473,0,0.0416534,0.0441851,0.03101,0.0330851,0.0633285,0.0151794,0.0109114,0.0110904,0.0141062,0.00635679,0,0,0,0.041885,0,0
195,0,0,0,0,0.0104,0.0105807,0,0,0.0198833,0.0219314,0.0103613,0.0103564,0,0,0.00118513,0,0.0151882,0.00281498,0.0420573,0.0159388,0.0166063,0.00946504,0.00466812,0.0175342,0.00267818,0.00568143,0.00638098,0.0324042,0.00944453,0.00864419,0.0054064,0.00619679,0.0312826,0.00521884,0.00440255,0.00321651,0.0502546,0.0182565,0.0219242,0.0122546,0.00393575,0,0,0.0312549,0,0.0113723,0.0185403,0.0489022,0.0226926,0.0273845,0.0483055,0.0134971,0.0153227,0.0716793,0.0345409,0,0.0420387,0.0443013,0.0299471,0.0344337,0.0610219,0.0151149,0.010872,0.0110554,0.0140051,0.006634,0,0,0,0.0401286,0,0
196,0,0,0,0,0.0103568,0.0103921,0,0,0.0189516,0.0220441,0.0110845,0.0101843,0,0,0.00146758,0,0.015123,0.00250601,0.041523,0.0156703,0.0161544,0.0103845,0.00407604,0.0169861,0.00178511,0.00659945,0.00804289,0.0324326,0.00978132,0.00918206,0.00626459,0.00626831,0.0306563,0.00544426,0.0043709,0.00318924,0.048957,0.0183373,0.0228767,0.011748,0.00412498,0,0,0.0311522,0,0.011273,0.018408,0.0469952,0.0240519,0.0269955,0.0498756,0.0122339,0.0157007,0.0708824,0.0340884,0,0.0421474,0.0439973,0.0287318,0.0356687,0.0597464,0.0149004,0.0108565,0.0110283,0.0136151,0.0069666,0,0,0,0.0392517,0,0
197,0,0,0,0,0.0106238,0.00771818,0,0,0.0148324,0.0228653,0.0109976,0.00953415,0,0,0.00536202,0,0.0147202,0.00180726,0.0403976,0.0166809,0.0138373,0.00968507,0.00137572,0.0145365,0.00319412,0.00716518,0.00932329,0.0312965,0.0085023,0.00770363,0.00671666,0.00710027,0.0324662,0.00705272,0.00451787,0.00309779,0.0785108,0.0188477,0.041297,0.0182341,0.00811502,0,0,0.0352098,0,0.0111857,0.0187019,0.0500708,0.0390382,0.0166632,0.0561574,0.00575768,0.0158626,0.0628301,0.0444192,0,0.0492827,0,0.0457077,0.0408962,0.0905895,0.0144488,0.0112972,0.0110266,0.00926442,0.0110652,0,0,0,0.0459301,0,0
