Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI
23,0,0,0,0,0,0.0096154,0.0126104,0,0,0,0.0197308,0.0189282,0.0137772,0.00669531,0,0,0.0190717,0,0.0174199,0.0122589,0.0391533,0.0192783,0.0210128,0.00875854,0.0166098,0.0156368,0.00762609,0.00577563,0.00684582,0.0257462,0.00516111,0.0069356,0.00573072,0.0125136,0.0201957,0.0161481,0.00500588,0.00660135,0.0545796,0.0141669,0.0229188,0.00978758,0.0189279,0,0,0.032846,0,0.0142793,0.0219183,0.0485325,0.05285,0.0257523,0.0303369,0.00731977,0.0247621,0.0400956,0.0317074,0.0353065,0.0245873,0.01884,0.0100306,0.0292002,0.0853366,0.0211078,0.0136098,0.0167626,0.0109931,0.0176019,0,0,0,0
24,0,0,0,0,0,0.00987165,0.0129565,0,0,0,0.0170772,0.0189141,0.0113156,0.00693768,0,0,0.019395,0,0.0174231,0.0123745,0.0386291,0.0182922,0.0212558,0.008376,0.0170958,0.0162504,0.00618651,0.00459091,0.00629388,0.025337,0.00564642,0.00734812,0.00671306,0.0130309,0.0181363,0.0166533,0.005081,0.00668232,0.0509434,0.0140121,0.0247372,0.00932485,0.0196148,0,0,0.0330654,0,0.0143772,0.0221855,0.0490055,0.0558855,0.0251776,0.0304507,0.00756981,0.0254418,0.0391669,0.0332365,0.0361093,0.0245195,0.0184707,0.00977005,0.0297592,0.0825921,0.0218233,0.0137306,0.0168092,0.0112451,0.018149,0,0,0,0
25,0,0,0,0,0,0.0105347,0.0137282,0,0,0,0.0142301,0.0188532,0.00904411,0.00738498,0,0,0.020086,0,0.0174531,0.0127178,0.0380279,0.0177038,0.0219706,0.00734267,0.0181321,0.0174753,0.00480086,0.00404174,0.00555017,0.0253556,0.00678395,0.00793211,0.00737009,0.0137232,0.0159231,0.0176968,0.00516629,0.00684274,0.0515516,0.0138231,0.024658,0.00877717,0.0205038,0,0,0.0333492,0,0.0145152,0.0225571,0.0488055,0.0515695,0.024398,0.0321507,0.00824566,0.0266871,0.0390151,0.0351455,0.0359763,0.0201836,0.0209158,0.0102062,0.0239551,0.0821676,0.0229178,0.013922,0.0170191,0.0118677,0.0191445,0,0,0,0
26,0,0,0,0,0,0.0106169,0.0142679,0,0,0,0.0117249,0.0188251,0.00722309,0.00798611,0,0,0.0204718,0,0.0174607,0.0129498,0.0375743,0.0173967,0.0225132,0.00776796,0.018877,0.0182728,0.00397819,0.00504439,0.0047826,0.0256347,0.00764061,0.00867613,0.00768388,0.0139318,0.0138979,0.0183365,0.00523506,0.00694534,0.0524828,0.0137198,0.0265184,0.00840613,0.0208196,0,0,0.033373,0,0.0146031,0.0226618,0.0483637,0.0474184,0.023755,0.0344206,0.00891583,0.0275832,0.0392928,0.0368684,0.0360696,0.0161707,0.0236663,0.0125336,0.0178931,0.0821562,0.0235576,0.0139827,0.0170735,0.0123584,0.0198623,0,0,0,0
27,0,0,0,0,0,0.00990918,0.0142846,0,0,0,0.010155,0.0189178,0.00602119,0.00852914,0,0,0.020283,0,0.0174249,0.0127843,0.0370682,0.017162,0.0225749,0.0102855,0.0187343,0.0182434,0.00381018,0.00715969,0.00457849,0.0258294,0.00793491,0.00948681,0.00758009,0.0133508,0.0125877,0.0182764,0.00523989,0.00691493,0.051515,0.0138044,0.0297386,0.00819776,0.0204041,0,0,0.0332764,0,0.0145609,0.0224922,0.0480227,0.04673,0.0231979,0.035985,0.0091434,0.0278118,0.0393923,0.0381414,0.0365482,0.014203,0.0249314,0.0138759,0.0150404,0.0813102,0.0235344,0.0138546,0.0168955,0.0124779,0.0199968,0,0,0,0
28,0,0,0,0,0,0.00876183,0.0137333,0,0,0,0.0100463,0.0190777,0.00521605,0.0090058,0,0,0.0194868,0,0.0173871,0.0122324,0.0363619,0.0168885,0.0223808,0.0117915,0.0178443,0.0174979,0.00442867,0.00978198,0.00537028,0.0257478,0.00790633,0.0104199,0.00715857,0.0122291,0.0118524,0.0176046,0.00509674,0.00672315,0.0485593,0.0139597,0.0322225,0.00810864,0.0194536,0,0,0.0333014,0,0.0144228,0.022273,0.0476609,0.0470872,0.0225967,0.0365443,0.00889074,0.02741,0.0390366,0.039009,0.0369738,0.0131446,0.0248822,0.0138946,0.0140556,0.0788219,0.022866,0.0138112,0.0166752,0.0121547,0.0195505,0,0,0,0
29,0,0,0,0,0,0.00775322,0.0129753,0,0,0,0.0107881,0.0192517,0.00451013,0.00946988,0,0,0.0184651,0,0.0173032,0.0115589,0.0353541,0.0166461,0.0223318,0.0116189,0.0167089,0.0164824,0.00573719,0.0121524,0.00650656,0.025529,0.00789698,0.0114338,0.00662733,0.0110442,0.0111949,0.0166617,0.00487668,0.00643848,0.0454756,0.0141202,0.0346315,0.00812121,0.0183453,0,0,0.0335553,0,0.0142772,0.0220169,0.0473713,0.0477101,0.0219855,0.0362571,0.00848845,0.0267783,0.0385027,0.0403053,0.0375573,0.0121281,0.0244427,0.0136453,0.0138176,0.0760971,0.0220075,0.013593,0.0165369,0.0115251,0.0186891,0,0,0,0
30,0,0,0,0,0,0.00669082,0.0120063,0,0,0,0.0114609,0.0195932,0.00376599,0.00983242,0,0,0.0172473,0,0.0170539,0.0107688,0.0344097,0.0168177,0.0223063,0.0107259,0.0153922,0.0152963,0.00709585,0.0135425,0.007184,0.0253588,0.00792897,0.012256,0.00601548,0.0100227,0.0107048,0.0155068,0.00465925,0.00593236,0.0429274,0.0143807,0.0370645,0.00795776,0.0174405,0,0,0.0342636,0,0.0140471,0.0219389,0.04688,0.0483892,0.0212294,0.0349228,0.00808237,0.025933,0.0380859,0.0412403,0.0381382,0.0114362,0.0241121,0.0137029,0.0140519,0.0734997,0.0212483,0.0136206,0.0165656,0.010652,0.0171953,0,0,0,0
31,0,0,0,0,0,0.00581269,0.0107237,0,0,0,0.0123373,0.019756,0.00367382,0.0104559,0,0,0.0159112,0,0.0170945,0.0100632,0.0332038,0.0167522,0.0227122,0.010912,0.0142027,0.0138112,0.00842473,0.0147069,0.00781284,0.0253963,0.00867749,0.0134645,0.00581852,0.00973636,0.0116563,0.0141774,0.00451487,0.00575887,0.040172,0.0146036,0.0388586,0.00822935,0.0162282,0,0,0.0345532,0,0.0140008,0.0214328,0.0469802,0.0488784,0.0206443,0.0338152,0.00820035,0.0250476,0.0379962,0.0419563,0.0391923,0.0120362,0.0235178,0.0132547,0.0145193,0.0704973,0.0202435,0.0133313,0.0162279,0.00921279,0.0158252,0,0,0,0
32,0,0,0,0,0,0.00488171,0.00924732,0,0,0,0.0129816,0.0200296,0.00360091,0.0111178,0,0,0.0143945,0,0.0169495,0.00938103,0.0323613,0.0168635,0.0230334,0.0116419,0.0130466,0.0121495,0.00906287,0.0149319,0.00770913,0.0258582,0.00900602,0.0137729,0.00515751,0.0093989,0.0130345,0.0125866,0.00436399,0.00541438,0.0383747,0.0149259,0.0412127,0.00843142,0.0152096,0,0,0.0351619,0,0.0138153,0.0211687,0.0469634,0.0503543,0.0200121,0.0343885,0.00873853,0.0240267,0.0392818,0.0431125,0.0405511,0.0133057,0.0234248,0.0127502,0.0153329,0.0683964,0.019468,0.0133211,0.0160199,0.00781595,0.0142595,0,0,0,0
