Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBA,RTIBI
91,0,0,0,0,0.0104868,0.0108941,0,0,0,0.0270168,0.0200196,0.0109855,0.0105668,0,0,0.00646401,0,0.0163057,0.00519814,0.0403917,0.0208662,0.0201528,0.00556856,0.0075823,0.0149629,0.0053173,0.00498228,0.00485687,0.0339535,0.00931721,0.00941296,0.00710002,0.00393868,0.0377544,0.00603919,0.00494822,0.00352887,0.0329557,0.0189946,0.0396885,0.00799594,0.00624288,0,0,0.0361675,0,0.010914,0.0201355,0.0378663,0.0545108,0.0340669,0.011067,0.0149118,0.0161015,0.00763527,0.015704,0.0137287,0.0133067,0.024495,0.0359079,0.039822,0.0163405,0.013202,0.00995692,0.0142725,0.00502634,0,0,0,0.0360377,0.0206514
92,0,0,0,0,0.00983085,0.0103399,0,0,0,0.0242996,0.0200392,0.0112995,0.0103167,0,0,0.00657187,0,0.0162743,0.00526378,0.0402157,0.0209556,0.0199772,0.00599636,0.00744508,0.0143913,0.0049703,0.00413742,0.00449695,0.0339769,0.0097563,0.0097732,0.0075699,0.00390902,0.0357462,0.00620504,0.00506451,0.00337757,0.0300111,0.0190774,0.0374922,0.00757426,0.00605561,0,0,0.0364477,0,0.0109147,0.0201172,0.037813,0.0529869,0.0338285,0.0124118,0.0139912,0.016351,0.00923625,0.0153603,0.0161593,0.0164759,0.0236057,0.0344983,0.0375843,0.0159891,0.0129779,0.00980874,0.0138203,0.00439272,0,0,0,0.035835,0.0203317
93,0,0,0,0,0.00926398,0.00974722,0,0,0,0.0217294,0.0200803,0.0121964,0.0101694,0,0,0.00654763,0,0.0162328,0.00522676,0.0399289,0.02091,0.0197098,0.00685456,0.00742104,0.0137056,0.00457665,0.00343551,0.00466422,0.033902,0.0102249,0.0101577,0.00820623,0.00379519,0.0333169,0.00629101,0.00517272,0.00318043,0.0275216,0.0191527,0.0350692,0.00714581,0.00590481,0,0,0.036869,0,0.0108969,0.0197584,0.0374563,0.0507369,0.0335882,0.0122246,0.0129384,0.0165299,0.011408,0.0153246,0.0184113,0.0190935,0.0220271,0.0316864,0.0355658,0.0156624,0.0127455,0.00964934,0.0132903,0.00381122,0,0,0,0.0357897,0.0195347
94,0,0,0,0,0.00884578,0.00912143,0,0,0,0.0198321,0.02015,0.0136952,0.00993946,0,0,0.00651058,0,0.0161837,0.00510226,0.039395,0.0208363,0.0194221,0.00829489,0.00756517,0.0130028,0.00418399,0.00335339,0.00564139,0.0338096,0.0107134,0.0108327,0.00906891,0.00355592,0.0304615,0.00639206,0.00524119,0.00298822,0.0253139,0.0192039,0.0328279,0.00687308,0.00579039,0,0,0.0375476,0,0.0108811,0.0194175,0.0366631,0.0482505,0.033532,0.0115627,0.0120416,0.0168059,0.0130548,0.015631,0.0199959,0.0203145,0.0202862,0.0287877,0.0336541,0.0154279,0.0125149,0.00949236,0.0126445,0.00363647,0,0,0,0.0356545,0.0178102
95,0,0,0,0,0.00856001,0.00858479,0,0,0,0.0194181,0.0202474,0.0158174,0.00957776,0,0,0.00651554,0,0.0161157,0.00492347,0.0387443,0.0206589,0.0191709,0.0100049,0.00763725,0.0123139,0.00384837,0.00446453,0.00734495,0.0337999,0.0112403,0.0122159,0.0101216,0.00329816,0.0274864,0.0065268,0.00528078,0.00281334,0.0237268,0.0192483,0.0309778,0.00665375,0.00570751,0,0,0.0380845,0,0.0108843,0.019281,0.035452,0.0459335,0.0335966,0.0117298,0.0114086,0.0171166,0.0138308,0.0161028,0.0208223,0.0203476,0.018608,0.026725,0.0324549,0.0152594,0.0123622,0.00936017,0.0120315,0.0038478,0,0,0,0.0351664,0.0163054
96,0,0,0,0,0.00839088,0.00811157,0,0,0,0.021206,0.020406,0.0183922,0.00907111,0,0,0.00645854,0,0.0160309,0.00470173,0.0381812,0.0201936,0.0188977,0.0115775,0.00759555,0.0115519,0.00359142,0.00667321,0.00935703,0.0338387,0.0118001,0.0145709,0.0113218,0.00318692,0.0254882,0.00662945,0.00528179,0.00262619,0.023718,0.0192876,0.0301396,0.0064244,0.00571547,0,0,0.0386689,0,0.0108675,0.019215,0.0341348,0.0441428,0.033508,0.0134442,0.0109677,0.0172969,0.0140773,0.0166397,0.0209643,0.0201594,0.0168418,0.025423,0.0328556,0.0150642,0.0122235,0.00922516,0.0114724,0.00390483,0,0,0,0.0343023,0.0153795
97,0,0,0,0,0.00837946,0.00774829,0,0,0,0.0250615,0.0206166,0.0208233,0.00824369,0,0,0.00640049,0,0.0158972,0.0045244,0.0377415,0.019277,0.0186266,0.0133314,0.00742913,0.0108768,0.00338329,0.00965764,0.0113511,0.0338855,0.0125399,0.017762,0.0124351,0.0034887,0.0262506,0.00671738,0.00520844,0.00245194,0.0246329,0.0193009,0.0304015,0.006195,0.00583358,0,0,0.0394131,0,0.010852,0.019381,0.0330785,0.0427725,0.0332048,0.0161854,0.0103997,0.0174359,0.0140509,0.0171997,0.0206139,0.0199597,0.0152778,0.0239323,0.0340285,0.0149199,0.0121726,0.0091747,0.0110324,0.00395638,0,0,0,0.0331722,0.0146849
98,0,0,0,0,0.00835274,0.00742487,0,0,0,0.0304011,0.0208487,0.0226862,0.00717777,0,0,0.00636319,0,0.0157406,0.0043787,0.0374757,0.0181733,0.0184213,0.0152303,0.00728265,0.0101698,0.00343364,0.0132045,0.0132307,0.0340282,0.013628,0.0213835,0.0132041,0.00431253,0.0307641,0.00676976,0.00506299,0.00227415,0.0241671,0.0193143,0.0300738,0.00608025,0.00603207,0,0,0.0399238,0,0.0108409,0.0195201,0.0326659,0.0410307,0.0329724,0.0182604,0.00993693,0.0175264,0.0137328,0.0175471,0.0201203,0.0196755,0.0144892,0.0234124,0.0339589,0.0147386,0.0121936,0.00915288,0.0106292,0.00400912,0,0,0,0.0320221,0.0143719
99,0,0,0,0,0.00838427,0.00716251,0,0,0,0.0365481,0.0211483,0.0243415,0.00610168,0,0,0.00649409,0,0.0155601,0.00435224,0.0373813,0.0176459,0.018214,0.01691,0.00700911,0.0095608,0.00428133,0.0169236,0.0149677,0.0342676,0.0147148,0.024913,0.0136309,0.00554271,0.0373149,0.00679083,0.00479387,0.00210561,0.0234965,0.0192887,0.0298861,0.00626903,0.0061973,0,0,0.0404829,0,0.010829,0.0196928,0.0330417,0.0400124,0.0327857,0.019736,0.00990761,0.0175084,0.013689,0.0175646,0.0205712,0.0202326,0.0151336,0,0.0339074,0.0146323,0.0122704,0.00921849,0.0103472,0.00404454,0,0,0,0.0312758,0.0149472
100,0,0,0,0,0.00830824,0.00694804,0,0,0,0.0428945,0.0214448,0.0259716,0.00547012,0,0,0.00674356,0,0.0154002,0.00436416,0.0373083,0.0188091,0.0179923,0.018429,0.00664561,0.00900682,0.00604977,0.0204856,0.0166294,0.0348982,0.0157165,0.0280908,0.0137745,0.006925,0.0437668,0.00676479,0.00448284,0.00191656,0.0230581,0.0192492,0.0293308,0.00621894,0.00638388,0,0,0.0409989,0,0.0107712,0.0200141,0.0339742,0.0382206,0.0326644,0.0191861,0.00959802,0.0174852,0.0135911,0.0174947,0.0206191,0.0203452,0.0152194,0,0.0336039,0.0145563,0.0123536,0.00929123,0.0101394,0.00416829,0,0,0,0.0307018,0.0155098
