Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIB,RTIBA,
9,0,0,0,0,0.00746766,0.00983112,0,0,0,0.0306686,0.0223026,0.01261,0.00772094,0,0,0.00814225,0,0.0147212,0.00581432,0.0440071,0.00868054,0.0161989,0.0116991,0.0082102,0.00507903,0.0101266,0.0110976,0.00801364,0.0232232,0.0100608,0.0176494,0.0067349,0.0127793,0.0399289,0.00647393,0.00345412,0.00380795,0.033576,0.0183623,0.0271679,0.0101962,0.0105747,0,0,0.0373189,0,0.0105999,0.0182,0.0407026,0.0294164,0.0258633,0.0139203,0.00671405,0.0167207,0.00511907,0.0158011,0.010791,0.00612664,0.0206065,0.031805,0.0325841,0.0126316,0.0121336,0.0109411,0.0117148,0.00996493,0,0,0,0.0253126,0,0
10,0,0,0,0,0.00730237,0.00951865,0,0,0,0.023635,0.0221397,0.0083456,0.00658872,0,0,0.00868083,0,0.0148728,0.00602624,0.0440551,0.00913546,0.0169291,0.0136851,0.00868854,0.00521744,0.00898632,0.0114751,0.00727686,0.0246798,0.0106126,0.0169646,0.00628256,0.0122904,0.0315605,0.00676718,0.00354073,0.00382105,0.0345161,0.0183059,0.0280985,0.0102536,0.0100723,0,0,0.0369045,0,0.01062,0.0181179,0.0412972,0.0298771,0.0258484,0.0137078,0.00660622,0.0165763,0.00537498,0.0155079,0.0110082,0.00625425,0,0.0322496,0.0338329,0.0127413,0.0121324,0.0109336,0.0115927,0.00953651,0,0,0,0.0259042,0,0
11,0,0,0,0,0.00718749,0.00918516,0,0,0,0.0175094,0.0218965,0.00464308,0.00480261,0,0,0.00912671,0,0.0149957,0.00625006,0.0439546,0.0121091,0.0175303,0.015462,0.00920482,0.00532802,0.00935615,0.0131563,0.00870177,0.0267928,0.0110036,0.0160807,0.0061712,0.012278,0.0243377,0.0069822,0.00356116,0.00387588,0.0352032,0.0182541,0.0293263,0.0101623,0.00970117,0,0,0.0364419,0,0.0106178,0.0179616,0.0419097,0.0310145,0.0257564,0.0137279,0.00653015,0.0163737,0.00540426,0.0154766,0.0111851,0.00619354,0,0.0327794,0.0347194,0.0127995,0.0121682,0.010943,0.0114745,0.00919423,0,0,0,0.0264809,0,0
12,0,0,0,0,0.00711423,0.00890873,0,0,0,0.0137501,0.0216896,0.00410499,0.00352929,0,0,0.009647,0,0.0151345,0.00660081,0.0438,0.0156508,0.0181195,0.0169281,0.00993823,0.00552623,0.0113804,0.0153213,0.0110509,0.0292919,0.0114086,0.0154624,0.00654536,0.0128614,0.019434,0.00722793,0.00356137,0.00401591,0.0362485,0.0181958,0.031043,0.0101397,0.00936672,0,0,0.0361838,0,0.0106195,0.0178216,0.0425212,0.0327479,0.0256931,0.0134139,0.00660579,0.0161486,0.00543493,0.0154359,0.0111784,0.00607692,0,0.0335774,0.0360245,0.01291,0.0121521,0.0109614,0.0113006,0.00888968,0,0,0,0.0267874,0,0
13,0,0,0,0,0.00695957,0.00872888,0,0,0,0.0126677,0.0212477,0.00571802,0.00292051,0,0,0.0101471,0,0.0154328,0.00681473,0.0437802,0.0178305,0.0187587,0.0182873,0.0107757,0.00585678,0.0142804,0.0177614,0.013065,0.0316757,0.0119293,0.0154846,0.00727091,0.0139007,0.0171879,0.00748313,0.00372156,0.00408622,0.0376218,0.0181441,0.0332135,0.0101704,0.00908812,0,0,0.0358891,0,0.0106179,0.0178129,0.0430551,0.0350877,0.0255992,0.0131052,0.00680907,0.0160482,0.00545097,0.0153901,0.0112071,0.00595317,0,0.0345507,0.0376767,0.0130275,0.0121236,0.0109702,0.01112,0.00860526,0,0,0,0.027064,0,0
14,0,0,0,0,0.00675926,0.0087126,0,0,0,0.0126799,0.0206219,0.0073761,0.00290365,0,0,0.0105578,0,0.015866,0.00694328,0.0439648,0.0182803,0.0193051,0.0198543,0.0115014,0.0062139,0.0172435,0.0201524,0.0142049,0.0334093,0.0125529,0.0157176,0.00819644,0.0149044,0.0161109,0.00774451,0.00406622,0.00408396,0.0394226,0.0180967,0.0358575,0.0103171,0.00884838,0,0,0.0356683,0,0.0106221,0.0179326,0.0435065,0.0378805,0.0254611,0.0134603,0.00711091,0.0160162,0.00556702,0.015451,0.0113717,0.00586346,0,0.0356679,0.039772,0.0131179,0.0121662,0.0109655,0.0109697,0.00836874,0,0,0,0.0275578,0,0
15,0,0,0,0,0.0067333,0.0088554,0,0,0,0.0121167,0.0206343,0.00872382,0.00386745,0,0,0.0112844,0,0.0159683,0.00739784,0.0442518,0.0183788,0.0198602,0.0220978,0.0123437,0.00678438,0.0195061,0.0221273,0.0146717,0.0343602,0.013486,0.0159039,0.00876917,0.0155262,0.0150098,0.00836584,0.0039526,0.00424332,0.041695,0.0180822,0.0389347,0.010546,0.0085737,0,0,0.0355236,0,0.0106318,0.0179994,0.0438745,0.0413763,0.0253414,0.014341,0.00741784,0.0157225,0.00571377,0.0157211,0.0115648,0.0057811,0,0.036885,0.0423125,0.01323,0.0121787,0.0109911,0.010942,0.00801314,0,0,0,0.0283095,0,0
16,0,0,0,0,0.00667844,0.00874559,0,0,0,0.0129917,0.020627,0.0108155,0.00379995,0,0,0.0122992,0,0.0159637,0.00803398,0.0442987,0.0192444,0.0204354,0.0232508,0.0130729,0.00767929,0.0197826,0.0224609,0.0150151,0.0348516,0.0139225,0.0151383,0.00842923,0.0149429,0.0153375,0.00933097,0.00380095,0.00457101,0.047532,0.017989,0.0445006,0.0110245,0.00801263,0,0,0.035432,0,0.0107164,0.0180262,0.0438927,0.0451888,0.0258559,0.0132196,0.00794193,0.0156824,0.00591677,0.0156781,0.0107492,0.0057732,0.0478527,0.0390374,0.0497388,0.0135118,0.0121153,0.0110065,0.0109347,0.00731277,0,0,0,0.0286538,0,0
17,0,0,0,0,0.00703335,0.00914733,0,0,0,0.0116399,0.0204702,0.0120994,0.00353535,0,0,0.0128708,0,0.0158847,0.00836843,0.0443407,0.022609,0.020751,0.0250623,0.0138061,0.00811996,0.0194458,0.023093,0.0150535,0.0345713,0.0147755,0.0148895,0.00808089,0.015071,0.0138208,0.00980039,0.00369987,0.00465666,0.0539557,0.0180434,0.0503869,0.011658,0.00791801,0,0,0.035451,0,0.0107456,0.017976,0.0438037,0.0494895,0.0256469,0.0116315,0.00823665,0.0151928,0.00551241,0.0158554,0.00962226,0.00516014,0.0321443,0.0415885,0.0575595,0.0137249,0.0120633,0.0109966,0.0111922,0.00735117,0,0,0,0.0294803,0,0
18,0,0,0,0,0.00743382,0.0100336,0,0,0,0.013249,0.0205182,0.0141544,0.00152856,0,0,0.012754,0,0.0156712,0.00838211,0.043516,0.0261506,0.0207169,0.0251793,0.00996826,0.00810667,0.0188502,0.0219241,0.0153258,0.0356052,0.0146279,0.0137401,0.00750647,0.014705,0.0145821,0.0097352,0.00341686,0.00462099,0.0362997,0.0183928,0.0371567,0.0101261,0.00881983,0,0,0.0353383,0,0.0104997,0.01762,0.0422012,0.043329,0.0249855,0.0193379,0.00525996,0.014742,0.00746005,0.02328,0.0106709,0.00935228,0.0204854,0.0309936,0.043208,0.0131097,0.0120997,0.0107948,0.0117572,0.00801418,0,0,0,0.0223818,0.0312329,0
