Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI
141,0,0,0,0,0.0148772,0.0139854,0,0,0,0.0157318,0.022033,0.0122446,0.00302567,0,0,0.00929243,0,0.015056,0.00606582,0.036616,0.0153293,0.0263879,0.0217128,0.017683,0.010641,0.00846792,0.0150666,0.00931959,0.029589,0.0141187,0.0143238,0.00833122,0.00554028,0.0151866,0.00505936,0.00395632,0.00314813,0.0191482,0.0190332,0.0183821,0.00805283,0.00753384,0,0,0.0331386,0,0.0112606,0.0193299,0.0393563,0.0313873,0.020442,0.0282997,0.0164504,0.0159331,0.0147691,0.00956529,0.0143759,0.0235014,0.0132653,0.0198161,0.0303608,0.0321503,0.0151397,0.0120301,0.0123085,0.0168742,0.00763296,0,0,0,0
142,0,0,0,0,0.0150447,0.0143259,0,0,0,0.01446,0.0219396,0.0119346,0.00337606,0,0,0.009721,0,0.0150222,0.00662175,0.0366478,0.0143563,0.0262157,0.0222321,0.0174317,0.011876,0.00840961,0.0151132,0.00964375,0.0298584,0.0142077,0.0145113,0.00831039,0.00483556,0.0137632,0.00542622,0.00392327,0.00324021,0.0223529,0.019063,0.0113339,0.00792293,0.00705159,0,0,0.0327471,0,0.0112658,0.0191385,0.0367111,0.0159168,0.0219979,0.0292226,0.0174461,0.0160597,0,0.0155147,0.0197347,0.0230255,0.0151638,0.0165544,0.025218,0.0298533,0.0150743,0.0118209,0.0121445,0.0173901,0.0070718,0,0,0,0
143,0,0,0,0,0.0150949,0.0139875,0,0,0,0.0129499,0.0221353,0.0111217,0.00278566,0,0,0.00915023,0,0.0149044,0.00639478,0.0367327,0.0132432,0.0258896,0.0222615,0.0168485,0.0118867,0.00829033,0.0149783,0.00974431,0.0296568,0.0142184,0.0145744,0.00828889,0.00472576,0.0122879,0.00514978,0.00390742,0.00318246,0.0183351,0.0192071,0.0176533,0.00957491,0.00735395,0,0,0.0335949,0,0.0112535,0.0191833,0.0388194,0.0265095,0.0202746,0.0312078,0.0165683,0.0158409,0.0155561,0.00909047,0.0162246,0.0233471,0.0129358,0.0199684,0.0288783,0.0282748,0.0149515,0.0117646,0.0121018,0.0169158,0.00719449,0,0,0,0
144,0,0,0,0,0.0152187,0.0136917,0,0,0,0.0113102,0.0222838,0.0105221,0.00276657,0,0,0.00872822,0,0.014855,0.00596241,0.0363022,0.0124577,0.0257107,0.0219899,0.0154278,0.0119879,0.00791485,0.0145035,0.00978564,0.0296493,0.0142384,0.0145092,0.00833639,0.0045179,0.0104102,0.00496394,0.00392008,0.00313809,0.0179872,0.0194001,0.0171775,0.0104506,0.00772858,0,0,0.0345453,0,0.011205,0.019312,0.0385722,0.0223049,0.0184291,0.0345017,0.0147424,0.0157661,0.0216762,0.0127065,0.0197324,0.025278,0.0130194,0.0218672,0.0285215,0.0249248,0.014832,0.0117337,0.0121214,0.0164696,0.00731313,0,0,0,0.0139108
145,0,0,0,0,0.0152821,0.0136599,0,0,0,0.0100193,0.0222266,0.0100893,0.00285445,0,0,0.00874796,0,0.0149459,0.0057321,0.0362239,0.0115274,0.0255045,0.0217172,0.0144651,0.0123478,0.00782538,0.0144954,0.00998669,0.0297588,0.0142586,0.0144576,0.00828225,0.00415976,0.0088304,0.00508588,0.0040154,0.00311348,0.0171471,0.0194786,0.0169105,0.0102077,0.00768632,0,0,0.0348069,0,0.0112226,0.0193518,0.0391612,0.0219741,0.0184723,0.0347684,0.014012,0.0156857,0.0228256,0.0137333,0.0203974,0.0245576,0.0131949,0.022689,0.0273873,0.0225648,0.0147962,0.0116844,0.0121504,0.0164721,0.00720411,0,0,0,0.01455
146,0,0,0,0,0.0154039,0.0137117,0,0,0,0.00893308,0.0221888,0.0099436,0.00313829,0,0,0.00872197,0,0.0149785,0.00572809,0.0361207,0.0108897,0.0254147,0.0214798,0.0136079,0.0128579,0.0077533,0.0144782,0.0101042,0.0299328,0.0142414,0.0142271,0.00819432,0.00382438,0.00729004,0.0051855,0.0040634,0.0031417,0.0158616,0.0195199,0.0169531,0.00971191,0.00760802,0,0,0.0351255,0,0.0112243,0.0194345,0.039889,0.0220526,0.0185617,0.0350132,0.013374,0.0156524,0.0242179,0.0147865,0.0208254,0.0241576,0.0131251,0.0229832,0.0265756,0.0203477,0.0148626,0.0115728,0.0121124,0.0164999,0.00716594,0,0,0,0.0151389
147,0,0,0,0,0.0155655,0.0138274,0,0,0,0.00819593,0.0222071,0.0100427,0.0034208,0,0,0.00867679,0,0.0150044,0.00590886,0.0359972,0.0107423,0.025422,0.0213766,0.0130742,0.013498,0.00774893,0.0145157,0.0101869,0.0301417,0.0142533,0.0139381,0.00815761,0.00353594,0.00597351,0.00524486,0.00404537,0.00325272,0.0149175,0.0195234,0.0171852,0.00921959,0.00746346,0,0,0.0353626,0,0.0112068,0.0195509,0.0404807,0.0226258,0.0187583,0.034997,0.0132095,0.0156264,0.0246741,0.0149667,0.0203914,0.0236322,0.0127728,0.0231552,0.0256822,0.0189214,0.0149305,0.0114745,0.0119898,0.0165668,0.00713704,0,0,0,0.0149505
148,0,0,0,0,0.0157209,0.0139448,0,0,0,0.00770601,0.0221753,0.0101845,0.00368612,0,0,0.00861769,0,0.0150677,0.0059498,0.0359038,0.0108168,0.0254548,0.0213988,0.0128203,0.0142998,0.00782214,0.0145912,0.0103012,0.0303841,0.014288,0.0136784,0.00815864,0.00332608,0.00503151,0.00530407,0.00402023,0.00337947,0.014749,0.0195161,0.0176468,0.0087716,0.0073411,0,0,0.0355794,0,0.0112062,0.019675,0.040975,0.0236487,0.0190539,0.0349316,0.0135311,0.015622,0.0246202,0.0146938,0.0192769,0.023127,0.0124936,0.0235337,0.0248213,0.0186281,0.0150182,0.0114107,0.0120017,0.0167198,0.0070917,0,0,0,0.0142769
149,0,0,0,0,0.0158242,0.0140297,0,0,0,0.00737604,0.0220703,0.0102575,0.00407471,0,0,0.00847889,0,0.0151449,0.00593528,0.0358328,0.0109087,0.0253464,0.0215354,0.0126183,0.0151736,0.00786367,0.014762,0.010437,0.0305997,0.0143357,0.0135122,0.00818245,0.00318579,0.00455982,0.00531519,0.00406599,0.00351546,0.015232,0.0195716,0.0186266,0.00831178,0.00724961,0,0,0.0357235,0,0.0112422,0.0196791,0.0414822,0.0250507,0.0194337,0.0349335,0.0140891,0.0156278,0.0245096,0.0142444,0.0178599,0.0228938,0.012363,0.0238872,0.0246072,0.0191288,0.0150626,0.0112974,0.0120429,0.0168756,0.00702948,0,0,0,0.0137974
150,0,0,0,0,0.0158288,0.0140621,0,0,0,0.00705862,0.0220066,0.0102307,0.00446769,0,0,0.00807803,0,0.0152423,0.00590378,0.0357882,0.0109511,0.0252586,0.0217361,0.0126114,0.0160278,0.00789887,0.015009,0.0106068,0.0307928,0.0143995,0.0134075,0.0082239,0.00307842,0.00437443,0.00520219,0.00415285,0.00361729,0.0163646,0.0195848,0.0201673,0.00792976,0.00712532,0,0,0.0359881,0,0.011249,0.0196805,0.0419147,0.026736,0.01983,0.0350547,0.0148016,0.015638,0.0245027,0.013745,0.0163209,0.0230951,0.0122974,0.0243044,0.0253969,0.0203696,0.0151151,0.0111539,0.0118829,0.0169702,0.00686073,0,0,0,0.0130359
