Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,x70,x71,x72,LTIBP,RWRB,RASI,T10,x73,LILC,LTHIA
103,0,0,0,0,0,0,0.00920484,0.0124403,0,0,0,0.0132207,0.0182289,0.0127851,0,0,0.00210601,0,0.0227727,0.00151615,0.0390178,0.0196713,0.00546639,0.0103742,0.00447526,0.0712628,0.00708216,0.0203097,0.00947259,0.0081989,0.00378123,0.00865181,0.00195906,0.00790672,0.00824719,0.0212887,0.0125021,0.0144035,0,0,0.0066499,0,0.0224996,0.00554695,0.0510645,0.017866,0.0266124,0.0218524,0.00277801,0.0368685,0.00875291,0.0489939,0.0237431,0.0154503,0.00364657,0.00146664,0.00777356,0.0119404,0.00799579,0.016757,0.00492725,0.0143517,0,0,0,0.0186701,0.00157681,0.0283578,0.0111961,0,0.0260701,0
104,0,0,0,0,0,0,0.00916374,0.0124253,0,0,0,0.0134756,0.0182669,0.0133727,0,0,0.00221014,0,0.0227003,0.00146031,0.0393707,0.0196973,0.0054548,0.0108711,0.00458676,0.0714385,0.00705666,0.0201801,0.00968802,0.00857101,0.00400827,0.00941454,0.00213393,0.00785397,0.00850333,0.0212889,0.0128464,0.0144137,0,0,0.0068848,0,0.0224747,0.00558638,0.0492582,0.0181364,0.0259421,0.0220337,0.00255201,0.0367393,0.00971527,0.0494589,0.0245358,0.0162328,0.00386294,0.0020373,0.00800615,0.0115824,0.00618549,0.0170213,0.00509908,0.0144035,0,0,0,0.0183914,0.00141352,0.0277254,0.0112883,0,0.0266409,0
105,0,0,0,0,0,0,0.00905818,0.012381,0,0,0,0.013863,0.0183036,0.0140237,0,0,0.00239956,0,0.0226464,0.00139866,0.0399892,0.0198687,0.00522864,0.0112498,0.00468858,0.0715378,0.0070519,0.0200882,0.00998811,0.00918446,0.00402663,0.0102463,0.00226364,0.0078082,0.00882189,0.0213052,0.0130122,0.0144266,0,0,0.00690189,0,0.0225044,0.00554305,0.0475788,0.0185273,0.0253254,0.0221122,0.00229817,0.0364985,0.0107114,0.0497946,0.0251657,0.0169683,0.00416212,0.00258897,0.00824966,0.0113447,0.00500295,0.0170038,0.00501245,0.0144391,0,0,0,0.0180921,0.0013371,0.0271826,0.0114077,0,0.027172,0
106,0,0,0,0,0,0,0.00893553,0.0124427,0,0,0,0.0145115,0.0183779,0.0147087,0,0,0.00267125,0,0.0226026,0.00136511,0.0407841,0.0200428,0.00497719,0.0115932,0.00479941,0.0716106,0.00707043,0.0200177,0.0103326,0.00982026,0.00378315,0.0111634,0.00210746,0.00774884,0.00896428,0.0213254,0.0133729,0.0144468,0,0,0.00696726,0,0.0225301,0.00553513,0.0460618,0.0188471,0.0247822,0.0221122,0.00207769,0.0363874,0.0116062,0.0500233,0.0256092,0.017572,0.00455874,0.00313133,0.00850254,0.0111916,0.00495202,0.0169807,0.00492146,0.0146007,0,0,0,0.0177995,0.00129792,0.0267861,0.0115003,0,0.027683,0
107,0,0,0,0,0,0,0.00885588,0.0125925,0,0,0,0.0153052,0.0184203,0.0152845,0,0,0.00292707,0,0.0225581,0.00136044,0.0416871,0.0203118,0.00482665,0.0118242,0.0048914,0.0716594,0.00707254,0.0200195,0.0107138,0.0103922,0.00383187,0.0122056,0.00187178,0.00770209,0.00960072,0.0213355,0.0137353,0.0144353,0,0,0.0070402,0,0.0225456,0.00554009,0.0447351,0.0191703,0.0243381,0.0221821,0.00188142,0.0363838,0.0124806,0.0502658,0.026001,0.0181337,0.00494965,0.00361135,0.00869269,0.0109943,0.00474606,0.0169805,0.004915,0.0148087,0,0,0,0.0175305,0.0011897,0.0265287,0.01149,0,0.0281062,0
108,0,0,0,0,0,0,0.00882391,0.0127007,0,0,0,0.0160853,0.0184367,0.0157868,0,0,0.00314202,0,0.0225323,0.00131457,0.0424009,0.0208252,0.00455634,0.0120457,0.00491086,0.0717922,0.00710524,0.0200567,0.0110181,0.0109842,0.00407317,0.013335,0.00188864,0.00768497,0.0105499,0.0213425,0.0141229,0.0144207,0,0,0.00707858,0,0.022562,0.00550533,0.043536,0.019339,0.0240188,0.0222551,0.00174255,0.0363286,0.0132699,0.0505191,0.0263422,0.0186322,0.00533028,0.00405118,0.00897247,0.0108841,0.00520332,0.0169559,0.00483375,0.0148385,0,0,0,0.0172745,0.00108877,0.0263502,0.0114307,0,0.0285074,0
109,0,0,0,0,0,0,0.00878316,0.0127664,0,0,0,0.0167898,0.0184686,0.016198,0,0,0.00330061,0,0.022525,0.00125307,0.0428787,0.0211036,0.00416146,0.0123123,0.00486416,0.071939,0.00706707,0.0200789,0.0113225,0.0116001,0.00445808,0.0144363,0.00196972,0.00769294,0.0116905,0.0213275,0.0145384,0.0143524,0,0,0.00715485,0,0.0225525,0.00550844,0.0424281,0.0195632,0.0237816,0.0223109,0.00173575,0.0362279,0.0139316,0.050763,0.0265755,0.0191008,0.00573066,0.00448092,0.00923875,0.0109296,0.00642913,0.0169631,0.00472912,0.0148643,0,0,0,0.0169868,0.00104982,0.0262291,0.011319,0,0.0289234,0
110,0,0,0,0,0,0,0.00869215,0.0128252,0,0,0,0.0173505,0.0184798,0.0169404,0,0,0.00341181,0,0.0225389,0.00118423,0.0432179,0.0212829,0.00384458,0.0125084,0.00481364,0.0720418,0.00702762,0.0201066,0.0114266,0.0120557,0.0048493,0.015533,0.00201067,0.00769541,0.0132281,0.0213266,0.0150842,0.0142,0,0,0.00713344,0,0.0225531,0.00551984,0.0413465,0.0200636,0.0235841,0.0223096,0.00179592,0.0360421,0.0144998,0.0509783,0.0267492,0.0195485,0.00616023,0.00492518,0.0095561,0.0110592,0.00786324,0.0168892,0.00467443,0.0149084,0,0,0,0.0167064,0.000990958,0.0261767,0.0111396,0,0.0292876,0
111,0,0,0,0,0,0,0.00856445,0.0128811,0,0,0,0.0178968,0.0184546,0.017264,0,0,0.00344429,0,0.0225457,0.00102084,0.0433809,0.0215074,0.00354949,0.0127049,0.00475933,0.0721064,0.00698852,0.0201335,0.0115205,0.0123731,0.00529553,0.0166752,0.00203877,0.00769901,0.0147665,0.0213272,0.0157801,0.013958,0,0,0.00701456,0,0.0225556,0.00547543,0.0402552,0.0207605,0.0233924,0.0222651,0.00189262,0.0358266,0.0149818,0.0511238,0.0268149,0.0199014,0.00656565,0.0053843,0.00988378,0.0111273,0.00925468,0.0167246,0.00467238,0.0148451,0,0,0,0.0164588,0.000921772,0.026141,0.0109317,0,0.0296219,0
112,0,0,0,0,0,0,0.00847106,0.0128595,0,0,0,0.0184354,0.0184081,0.0174469,0,0,0.00338327,0,0.0225703,0.000954509,0.0432604,0.0218238,0.00312549,0.0128556,0.00468755,0.072245,0.00696007,0.0201765,0.0116555,0.0125431,0.00581499,0.0177991,0.00204619,0.00771296,0.0162598,0.021382,0.016535,0.0136293,0,0,0.00623928,0,0.0226854,0.00504537,0.0391213,0.0215186,0.023224,0.0222929,0.00199379,0.0353308,0.0154093,0.0511559,0.0268768,0.0201454,0.00701121,0.00578215,0.0102021,0.0110792,0.0101415,0.0161153,0.00419493,0.0147919,0,0,0,0.0162686,0.00109403,0.0260543,0.0106968,0,0.0299228,0
