Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTOE,LUPA,LWRA,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RWRA,STRN,T10,x71,x72,x70,R5FT,LHEE,L5HD,REAR,RHEE,RFHD,RUPA,LTIBP,LTIBI,LTHI,LWRB
41,0,0,0,0,0,0,0.0433259,0.0366793,0,0,0,0.047403,0.0247915,0.06574,0,0,0.0321129,0,0.0208542,0.010912,0.0413591,0.0116379,0.0132541,0.0358293,0.0246203,0.00926681,0.0146201,0.0102177,0.00344543,0.0120199,0.0534462,0.0284062,0.00744267,0.157106,0.00568003,0.0103849,0.0465611,0,0.162663,0.126478,0.136768,0.0536521,0.0102868,0.00878528,0.0358787,0.0666401,0.00843916,0.0339178,0.00872202,0.00319188,0.00565723,0.00411296,0.00586188,0.00595788,0.00880196,0.111666,0.0409379,0.0406305,0,0,0,0.0101954,0.0189837,0.0191547,0,0.00270536,0,0.1265,0.0162125,0.0064454,0,0
42,0,0,0,0,0,0,0.0438644,0.0369571,0,0,0,0.053669,0.0271407,0.0652023,0,0,0.0324725,0,0.0208211,0.0111889,0.0415399,0.0111409,0.0136609,0.0364958,0.0246997,0.00928262,0.0144812,0.0103066,0.00477516,0.0130424,0.0596867,0.0288592,0.00734704,0.151184,0.00485774,0.0107366,0.0471515,0,0.157682,0.121558,0.13194,0.0547067,0.0104657,0.00836175,0.0358966,0.0673519,0.00803861,0.0344708,0.00827748,0.00291511,0.00561378,0.00405037,0.00557269,0.00580863,0.00809579,0.107617,0.0411499,0.0409754,0,0,0,0.0101722,0.0222869,0.0192523,0,0.00131885,0,0.123236,0.0169315,0.0063677,0,0
43,0,0,0,0,0,0,0.0444197,0.0372026,0,0,0,0.0582416,0.0300495,0.0650158,0,0,0.0328001,0,0.0208067,0.0115826,0.0414203,0.010712,0.0138639,0.0369848,0.0248331,0.00939309,0.0143436,0.0104545,0.00671213,0.0153995,0.0638472,0.0294008,0.00720267,0.145123,0.00417153,0.011463,0.0477338,0,0.152697,0.11653,0.127133,0.0552157,0.0106636,0.00811152,0.0357653,0.0680415,0.00781054,0.0347444,0.0079959,0.00285404,0.00560017,0.0041732,0.00565081,0.00596665,0.00729593,0.103435,0.0413284,0.0413739,0,0,0,0.0100997,0.0260455,0.0194367,0,0.00172362,0,0.119916,0.0175657,0.00718121,0,0
44,0,0,0,0,0,0,0.0450632,0.0374025,0,0,0,0.060409,0.0335572,0.0650225,0,0,0.0332122,0,0.020978,0.0120667,0.0409893,0.0103433,0.0139761,0.0372315,0.0251033,0.00953377,0.0141016,0.0107464,0.00870886,0.018341,0.0657368,0.0298384,0.00710385,0.138932,0.00406663,0.0124582,0.048415,0,0.14757,0.111396,0.122267,0.0553954,0.0108596,0.00806497,0.0354239,0.0687419,0.0074827,0.0347657,0.00791205,0.00296826,0.0058697,0.00439212,0.00604943,0.00659951,0.00694002,0.0992479,0.0414885,0.0418856,0,0,0,0.0101077,0.0297209,0.0197137,0,0.00270899,0,0.116597,0.0181383,0.00852221,0,0
45,0,0,0,0,0,0,0.0458497,0.0375168,0,0,0,0.0608546,0.0367578,0.0647565,0,0,0.0331564,0,0.021087,0.0122361,0.0402266,0.0100277,0.0140733,0.0372247,0.0254375,0.00968623,0.0137022,0.0111338,0.0106033,0.0210787,0.0656016,0.0297371,0.00709994,0.132623,0.00428626,0.0135717,0.0492415,0,0.142375,0.106179,0.117288,0.0555197,0.0111397,0.00816196,0.0348433,0.0692867,0.0076754,0.0347607,0.00803326,0.00315812,0.00627551,0.00454411,0.00635162,0.00728524,0.00652814,0.0949808,0.0416338,0.0425527,0,0,0,0.00995186,0.0334206,0.0197243,0,0.00358013,0,0.113256,0.0185969,0.00989348,0,0
46,0,0,0,0,0,0,0.0466475,0.0376298,0,0,0,0.0603177,0.0391634,0.0646697,0,0,0.0331106,0,0.0211605,0.0123357,0.0391396,0.00975293,0.0141001,0.0370929,0.0257652,0.00984865,0.0131994,0.0114818,0.0122907,0.0233104,0.064115,0.0296889,0.00705576,0.12622,0.00459762,0.0146881,0.0499446,0,0.137209,0.100903,0.112325,0.0556789,0.0115091,0.0082687,0.0341788,0.0701357,0.00772045,0.03484,0.0080245,0.00344059,0.00659644,0.00454742,0.00659107,0.00762913,0.00618301,0.0907329,0.0417977,0.0431738,0,0,0,0.00956976,0.036649,0.019778,0,0.00412069,0,0.109922,0.018874,0.0110916,0,0
47,0,0,0,0,0,0,0.0474674,0.0378317,0,0,0,0.0594207,0.0406642,0.0644407,0,0,0.0329381,0,0.0211593,0.012322,0.0377994,0.00947934,0.0139357,0.0369675,0.0260752,0.00995389,0.0129121,0.0117233,0.0133033,0.0247766,0.0628291,0.0296834,0.00702325,0.119751,0.0047946,0.0157141,0.0504748,0,0.132106,0.0955956,0.107414,0.0557864,0.0118511,0.00828603,0.0335726,0.0712379,0.0073713,0.034998,0.00799119,0.00379002,0.00687967,0.00455479,0.0066107,0.00771015,0.00614366,0.0864432,0.0420048,0.0437205,0,0,0,0.00937348,0.0386534,0.0197872,0,0.00438816,0,0.106555,0.0189629,0.011953,0,0
48,0,0,0,0,0,0,0.0481942,0.0380622,0,0,0,0.0584037,0.0411993,0.0640594,0,0,0.0326006,0,0.0210299,0.012174,0.0363197,0.00923842,0.0134415,0.0368292,0.0263003,0.0100379,0.0128244,0.0118303,0.0133584,0.0253485,0.0617984,0.0296468,0.00697312,0.113201,0.00490634,0.0166062,0.051146,0,0.127128,0.0902297,0.102488,0.0557596,0.0121101,0.00831861,0.033103,0.0723498,0.00717964,0.0350648,0.00809191,0.00376896,0.00699825,0.00445479,0.00650908,0.00762716,0.0061594,0.08218,0.0421882,0.0443573,0,0,0,0.00916426,0.0395886,0.0196878,0,0.00473665,0,0.103257,0.0188625,0.0123824,0,0
49,0,0,0,0,0,0,0.0488064,0.0382878,0,0,0,0.0572946,0.040824,0.0638495,0,0,0.0325273,0,0.0210941,0.0122053,0.0347675,0.0091132,0.0128128,0.0366949,0.0264851,0.0101212,0.0127549,0.0117586,0.013094,0.0252723,0.0610197,0.0297794,0.00699028,0.106653,0.00496223,0.0172995,0.0518804,0,0.122099,0.0849007,0.097614,0.0556281,0.0123646,0.00839486,0.0327875,0.0734996,0.00702405,0.03493,0.00822494,0.00368588,0.0070125,0.00424632,0.00645047,0.00760293,0.00625589,0.0778769,0.0423791,0.044972,0,0,0,0.0090022,0.0395485,0.0197408,0,0.0049742,0,0.100074,0.0186061,0.0125543,0.00384723,0
50,0,0,0,0,0,0,0.0493796,0.0385346,0,0,0,0.0560812,0.0396842,0.0635213,0,0,0.032472,0,0.021136,0.0122382,0.0332699,0.00901495,0.0121712,0.0367322,0.0266423,0.0100198,0.0127506,0.0116689,0.0124655,0.0242478,0.0600128,0.0297556,0.00704865,0.100133,0.00500615,0.017855,0.0526059,0,0.117179,0.079617,0.0927606,0.0555042,0.0127011,0.00841943,0.0325727,0.0745184,0.00682898,0.0347432,0.00833238,0.00373637,0.00708705,0.00413922,0.00667893,0.00785106,0.00631013,0.0736758,0.0425867,0.0454703,0,0,0,0.00904686,0.0388223,0.0196937,0,0.00515002,0,0.0969797,0.0182093,0.0121497,0.00267044,0
