Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LWRB,LILC
20,0,0,0,0,0,0,0.0230411,0.0237357,0,0,0,0.036412,0.0153547,0.0194083,0,0,0.00665732,0,0.0237307,0.00240818,0.0406235,0.0206384,0.00959045,0.0342104,0.00451828,0.0156262,0.0118729,0.00916228,0.0129022,0.0117042,0.0131948,0.00399916,0.0186307,0.0431273,0.00577494,0.00876026,0.0146023,0.0224287,0.0116528,0.0260181,0.0305264,0,0,0.0247416,0,0.0229895,0.017003,0.0482025,0.0196575,0.0140085,0.00763059,0.0112649,0.0677103,0.00170412,0.0409761,0.00361927,0.00102308,0.00944475,0.00851043,0.008128,0.011324,0.0102081,0.0383901,0.015419,0.00396096,0.0258923,0.0252669,0,0,0,0.00151532,0
21,0,0,0,0,0,0,0.0231613,0.0234511,0,0,0,0.0391845,0.0154884,0.0203957,0,0,0.00670733,0,0.0236656,0.00237024,0.041284,0.0227839,0.0101385,0.0332378,0.00450201,0.0135053,0.0126824,0.00906401,0.0129735,0.0127856,0.0143692,0.00406028,0.0188504,0.0479529,0.00588023,0.00867624,0.0148046,0.0224297,0.0117436,0.0258228,0.030667,0,0,0.0247792,0,0.0229587,0.0170168,0.0491001,0.0194327,0.0143095,0.00839925,0.0109199,0.0673508,0.00135652,0.0415941,0.00337108,0.000380062,0.00936153,0.00836995,0.00792424,0.0110225,0.0103382,0.0383489,0.0156932,0.00403194,0.0256409,0.0254134,0,0,0,0.00169009,0
22,0,0,0,0,0,0,0.0232243,0.0231501,0,0,0,0.0411908,0.015608,0.0208837,0,0,0.00669004,0,0.0235773,0.00233378,0.0418046,0.0246559,0.0104299,0.0321138,0.00455523,0.0118029,0.0133625,0.00904708,0.0133483,0.0134576,0.015152,0.00448481,0.0189694,0.0521722,0.0059899,0.00858143,0.0149244,0.0224304,0.0120298,0.0255927,0.0307115,0,0,0.0247769,0,0.0229256,0.0169872,0.0499585,0.0193772,0.0144622,0.00926172,0.0103509,0.0670028,0.00112617,0.0423043,0.0033718,0.000503671,0.00948451,0.00833756,0.00794636,0.010983,0.0106956,0.0382286,0.0159228,0.0043401,0.025644,0.0254954,0,0,0,0.00181179,0
23,0,0,0,0,0,0,0.0233455,0.0229491,0,0,0,0.043021,0.0157289,0.0206316,0,0,0.00669974,0,0.0234822,0.00226349,0.04216,0.0254902,0.0104843,0.0310614,0.00452254,0.0110346,0.014061,0.00914299,0.0138967,0.0137489,0.0154627,0.0043908,0.0190278,0.0557088,0.00579099,0.00850274,0.0151113,0.0224409,0.0124672,0.0255495,0.0307759,0,0,0.0248516,0,0.0229111,0.017022,0.0505015,0.0193971,0.0146158,0.0105193,0.00982818,0.0668088,0.00094771,0.0428165,0.00352755,0.00075785,0.00983369,0.0083937,0.00818554,0.0113212,0.0109967,0.0382357,0.0161173,0.00458767,0.0256632,0.0255772,0,0,0,0.00180188,0
24,0,0,0,0,0,0,0.0234155,0.0228256,0,0,0,0.0444402,0.0158927,0.0200868,0,0,0.00681472,0,0.0234021,0.00220122,0.0423069,0.0251244,0.0109473,0.0301621,0.00445885,0.0115549,0.0149232,0.00929417,0.0141444,0.0139547,0.0154582,0.00480011,0.0190195,0.0582791,0.00575685,0.00840429,0.0152155,0.0224501,0.0128484,0.025645,0.0308519,0,0,0.0250378,0,0.0228893,0.0171461,0.050881,0.0193741,0.0148228,0.0116834,0.0095131,0.0667801,0.000838628,0.0431111,0.00374907,0.0010996,0.0102921,0.00842546,0.00841367,0.0118827,0.011404,0.0384028,0.016348,0.00482524,0.0256451,0.0256181,0,0,0,0.00185885,0
25,0,0,0,0,0,0,0.02334,0.0226444,0,0,0,0.0451397,0.0160431,0.0199009,0,0,0.00694946,0,0.0233279,0.00219557,0.0422467,0.024081,0.0117606,0.0293272,0.00439119,0.0126532,0.0157974,0.00945223,0.0143024,0.0141934,0.0155311,0.00491809,0.018943,0.059693,0.00579578,0.00828999,0.015152,0.0224348,0.0130839,0.0256501,0.0307959,0,0,0.0252146,0,0.0228612,0.0172873,0.0513288,0.019459,0.0150338,0.0123458,0.00938375,0.0666444,0.000706538,0.0433257,0.00410809,0.00148323,0.0108446,0.00834212,0.00856052,0.0125642,0.0122187,0.0386132,0.016522,0.00508883,0.0254632,0.0255344,0,0,0,0.001977,0
26,0,0,0,0,0,0,0.0232384,0.0225405,0,0,0,0.0459188,0.016135,0.0201747,0,0,0.00702328,0,0.0232847,0.00221883,0.042005,0.0232091,0.0123112,0.0285331,0.00439421,0.0133144,0.0166505,0.00960538,0.0145032,0.014562,0.0158761,0.00489266,0.0189707,0.0604943,0.00587594,0.0082069,0.0151024,0.0224576,0.0131516,0.0254929,0.030775,0,0,0.0253108,0,0.0229004,0.0173803,0.0519713,0.0194421,0.0153219,0.0125599,0.00942659,0.0665929,0.000541634,0.043511,0.00453708,0.00180962,0.0113961,0.00817632,0.00866237,0.013274,0.0129707,0.0387997,0.0165712,0.0048643,0.0252966,0.0254789,0,0,0,0.00202005,0
27,0,0,0,0,0,0,0.02315,0.0223696,0,0,0,0.0472565,0.0161903,0.0207135,0,0,0.00706648,0,0.0232729,0.00222761,0.0416278,0.0229418,0.0127555,0.0279141,0.00446917,0.0137648,0.017398,0.00971971,0.0147925,0.0149558,0.01644,0.00486364,0.0191312,0.0617711,0.00598183,0.00815502,0.0151296,0.0225034,0.0132438,0.0253279,0.0307554,0,0,0.0253868,0,0.0229589,0.0174026,0.052653,0.0194865,0.0156253,0.0127423,0.00966231,0.06654,0.00050195,0.043627,0.00491312,0.00207911,0.0119134,0.00805415,0.00874178,0.0139544,0.0138779,0.0389227,0.0165574,0.0047568,0.0251411,0.0254373,0,0,0,0.00202585,0
28,0,0,0,0,0,0,0.0231203,0.0221514,0,0,0,0.0489293,0.0162378,0.0213249,0,0,0.00711489,0,0.0232782,0.0022463,0.0411431,0.023028,0.0130951,0.0275636,0.00454884,0.0142666,0.017896,0.00978171,0.0150399,0.0153314,0.0169814,0.00493266,0.0193783,0.0639819,0.00603986,0.00811991,0.0152504,0.0225319,0.0134456,0.0252189,0.0307455,0,0,0.0254093,0,0.0229972,0.0173836,0.0530579,0.0198837,0.0158695,0.013306,0.010049,0.0663572,0.000684614,0.0435868,0.00526164,0.00242239,0.0124618,0.00799465,0.00889646,0.0146756,0.0149262,0.038935,0.0164431,0.00488941,0.0249068,0.0254353,0,0,0,0.00205676,0
29,0,0,0,0,0,0,0.0231504,0.0219958,0,0,0,0.0504539,0.0163055,0.0219223,0,0,0.0071563,0,0.0232952,0.00225427,0.0405284,0.0230625,0.0130813,0.0274077,0.00467602,0.0145897,0.0180985,0.00983279,0.0151609,0.0158551,0.017669,0.00517667,0.0196704,0.0661072,0.0060642,0.00809635,0.0155166,0.0225434,0.0136338,0.0252237,0.0307934,0,0,0.0253729,0,0.0230045,0.0173412,0.0532086,0.0205335,0.016107,0.0140926,0.0104837,0.0662317,0.000730568,0.0434568,0.00548372,0.00274242,0.0129058,0.00795419,0.00901692,0.0152086,0.0157466,0.0389049,0.0162424,0.00508803,0.0246909,0.0254995,0,0,0,0.0021174,0
