Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x72,x73,LHEE,LILC,LTHI,R5HD,RWRB
55,0,0,0,0,0,0,0.0162863,0.0169105,0,0,0,0.0377221,0.0182084,0.0173643,0,0,0.0114798,0,0.0221113,0.00330377,0.0320687,0.00577178,0.0113287,0.00584889,0.00722635,0.00657056,0.0202607,0.00492735,0.00688177,0.00552354,0.0197451,0.0360852,0.00950366,0.00884852,0.00771273,0.00326455,0.0242427,0,0,0.0433512,0,0.0044771,0.0327323,0.0580032,0.00921123,0.0316763,0.00763924,0.00382503,0.0618321,0.00534278,0.0471723,0.00672158,0.00455058,0.00389878,0.00470316,0.00307619,0.00573106,0.00694773,0.0488747,0.0270992,0.0191493,0.0180029,0,0,0,0.0155331,0.0215539,0.00815399,0,0
56,0,0,0,0,0,0,0.0166367,0.0169568,0,0,0,0.0382111,0.0181988,0.0185168,0,0,0.0113853,0,0.0221489,0.00317664,0.0321449,0.00687974,0.0119064,0.00585742,0.009515,0.00827625,0.0213276,0.00615375,0.0069152,0.0056178,0.0204082,0.0363475,0.00943405,0.00885428,0.00777495,0.00325612,0.0245518,0,0,0.0433792,0,0.00447373,0.0327942,0.0579733,0.00911412,0.0314378,0.0073761,0.00380884,0.0619178,0.00540699,0.0477583,0.0066664,0.00456482,0.00406179,0.00463597,0.00317124,0.00577431,0.00677191,0.0489006,0.0268252,0.0192033,0.0183588,0,0,0,0.0188723,0.0218819,0.00979831,0,0
57,0,0,0,0,0,0,0.0169554,0.0170214,0,0,0,0.0378868,0.0182563,0.0194039,0,0,0.0114024,0,0.0221948,0.00306736,0.0322596,0.00874676,0.0124156,0.00592776,0.0116883,0.0095377,0.0220966,0.00712814,0.00719571,0.00586076,0.0211906,0.0355945,0.00951146,0.00882234,0.00728029,0.0030778,0.0248516,0,0,0.0433975,0,0.00447112,0.032846,0.0580843,0.00874425,0.0312132,0.00708318,0.0038222,0.0620623,0.00553166,0.0483645,0.00665903,0.00457562,0.00390913,0.00444392,0.00307688,0.00554806,0.00623849,0.0489165,0.0265453,0.0193283,0.0187021,0,0,0,0.0210559,0.0222635,0.0116171,0,0
58,0,0,0,0,0,0,0.0172298,0.017176,0,0,0,0.0376061,0.0182883,0.0206377,0,0,0.0113431,0,0.0221924,0.00292459,0.0325401,0.0104658,0.0128583,0.00609236,0.0133215,0.0104838,0.0227601,0.00775988,0.00723338,0.00602396,0.0218149,0.0344309,0.00963515,0.00876742,0.00696998,0.00299789,0.0251836,0,0,0.0433773,0,0.00447206,0.0327727,0.0582825,0.00882083,0.0310141,0.00666117,0.00389828,0.0624267,0.00562912,0.0489544,0.00655381,0.00451565,0.00358413,0.00435909,0.00311817,0.00535634,0.00560137,0.0489255,0.0263681,0.0195358,0.019029,0,0,0,0.0222523,0.0226603,0.0132718,0,0
59,0,0,0,0,0,0,0.0174988,0.0173837,0,0,0,0.035912,0.0183755,0.0214352,0,0,0.0112981,0,0.0221755,0.00282371,0.0328526,0.0122345,0.0131249,0.00640356,0.0148226,0.0110918,0.0229852,0.00841677,0.00724162,0.0060563,0.0226845,0.0321777,0.00983381,0.00869108,0.006866,0.00304743,0.0256031,0,0,0.0430486,0,0.00442688,0.032079,0.0586598,0.00888286,0.0309241,0.00601019,0.00390972,0.0629647,0.00559054,0.049483,0.00635232,0.00431184,0.00345309,0.00428212,0.00329834,0.00533587,0.00510371,0.0489213,0.0286358,0.0198598,0.0193883,0,0,0,0.023829,0.0230613,0.0147025,0,0
60,0,0,0,0,0,0,0.0177596,0.0177012,0,0,0,0.0348803,0.0184778,0.0219704,0,0,0.011379,0,0.0221914,0.00274648,0.0334212,0.0129143,0.013429,0.0068586,0.0154484,0.0120068,0.0233756,0.00826191,0.00682903,0.00606349,0.0230378,0.0305571,0.00996695,0.00861223,0.006515,0.00291476,0.025983,0,0,0.042886,0,0.00440977,0.0318307,0.0591639,0.00860591,0.0309235,0.00531443,0.00399112,0.0635054,0.00564364,0.050066,0.0063234,0.0041428,0.00314239,0.00410795,0.00324308,0.00506137,0.00445536,0.0489385,0.0290995,0.0202829,0.0197386,0,0,0,0.0249035,0.0233293,0.0154484,0,0
61,0,0,0,0,0,0,0.0180406,0.017977,0,0,0,0.0332133,0.0185656,0.021725,0,0,0.0116592,0,0.0222157,0.00265454,0.0339258,0.0139219,0.0134707,0.00726398,0.0152376,0.0124141,0.023429,0.00793598,0.00668892,0.00604693,0.0232593,0.0287243,0.0101967,0.00849577,0.00639416,0.00349068,0.0262963,0,0,0.0425505,0,0.00443818,0.0319548,0.0599086,0.00908431,0.0311133,0.00519315,0.00391386,0.0637022,0.00570361,0.0506156,0.00647242,0.00411746,0.00316339,0.00382406,0.00356672,0.00520955,0.00390025,0.0486665,0.0274734,0.0206577,0.0200336,0,0,0,0.0250308,0.0233145,0.0156785,0,0
62,0,0,0,0,0,0,0.0176458,0.0177661,0,0,0,0.0311763,0.0186881,0.0207679,0,0,0.0119241,0,0.0222,0.00245418,0.0344327,0.0146745,0.013622,0.00787232,0.0146691,0.0123804,0.0232305,0.00737125,0.00649851,0.00590836,0.0233518,0.0263475,0.0105307,0.00843397,0.00632927,0.00413271,0.025761,0,0,0.0422007,0,0.004456,0.0317117,0.060702,0.00988972,0.0312618,0.004915,0.00391207,0.0623155,0.005748,0.0511444,0.00652721,0.0040101,0.00316941,0.00359835,0.00384002,0.00528562,0.00355252,0.0478822,0.0274989,0.0205109,0.01973,0,0,0,0.024678,0.0228567,0.0153714,0,0
63,0,0,0,0,0,0,0.0176377,0.0192846,0,0,0,0.0288079,0.0189341,0.0194764,0,0,0.0121131,0,0.0221659,0.00266187,0.0349526,0.0150089,0.014093,0.00877747,0.0140295,0.011761,0.0227366,0.00673538,0.00644001,0.00565733,0.0233569,0.0237793,0.011051,0.00828734,0.00644893,0.00477663,0.0265869,0,0,0.0240747,0,0.0224072,0.0164515,0.0614295,0.0105616,0.0313005,0.00445737,0.00391295,0.0669856,0.00578932,0.0515754,0.00648891,0.0037745,0.00325156,0.00336605,0.0040847,0.00521328,0.00345771,0.0374941,0.0140052,0.0221624,0.0201799,0,0,0,0.0240159,0.0219779,0.014726,0.0194266,0
64,0,0,0,0,0,0,0.0172976,0.019044,0,0,0,0.0266074,0.0189376,0.018267,0,0,0.0122918,0,0.0220748,0.00265105,0.0353189,0.0148624,0.014005,0.0093355,0.0128728,0.0109014,0.0221556,0.00614936,0.00626389,0.00538431,0.023314,0.0215105,0.0115642,0.00820035,0.00674024,0.00537526,0.0261225,0,0,0.0233447,0,0.0224456,0.0158703,0.0622015,0.0110725,0.0316257,0.00381279,0.00372799,0.0655077,0.00569045,0.0518929,0.00632366,0.00344136,0.00328269,0.00310877,0.00424283,0.00494536,0.00313984,0.0365738,0.0136361,0.0219732,0.0199345,0,0,0,0.0220801,0.0212289,0.0138725,0.0194323,0
