Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LTHI
198,0,0,0,0,0,0,0.0255507,0.0383163,0,0,0,0.0160405,0.0200538,0.0144789,0,0,0.0143185,0,0.0203384,0.00496836,0.040659,0.011585,0.00672575,0.0104469,0.0555348,0.0194356,0.00819486,0.00757244,0.0198774,0.0105101,0.00964083,0.00854509,0.0094348,0.0201722,0.0158637,0.00711713,0.030583,0.0177923,0.0119377,0.0158093,0,0,0.0400269,0,0.0187853,0.0246778,0.0614368,0.0208528,0.0124822,0.0151275,0.050236,0.0346616,0.0128664,0.0419767,0.0198645,0.0158209,0.0083408,0.00558701,0.00973133,0.0145532,0.0377707,0.0381221,0.0135045,0.00887043,0.0414436,0.0158412,0,0,0,0.104646
199,0,0,0,0,0,0,0.0257094,0.0384561,0,0,0,0.0170564,0.0199155,0.0146832,0,0,0.0141821,0,0.0203432,0.00501814,0.0399748,0.0107021,0.00673804,0.0108479,0.0547449,0.0194313,0.00829247,0.00794761,0.0200951,0.0105812,0.00975772,0.00878748,0.00902488,0.021156,0.0159041,0.00716466,0.0313533,0.017703,0.0128383,0.0159802,0,0,0.0397297,0,0.0188121,0.0244702,0.0606648,0.0222418,0.0125763,0.0146106,0.0501934,0.0345964,0.0132341,0.0415551,0.0196005,0.0158977,0.0089287,0.00549662,0.0106109,0.0168002,0.0386183,0.0383008,0.0133513,0.00902508,0.0415755,0.0160088,0,0,0,0.110042
200,0,0,0,0,0,0,0.0258038,0.0385901,0,0,0,0.0179512,0.0198575,0.0149973,0,0,0.0140212,0,0.0203484,0.00504612,0.0395607,0.0102432,0.00676921,0.0112506,0.0539846,0.0194437,0.00858106,0.00840356,0.0204195,0.0107323,0.00999409,0.00905932,0.00862465,0.0222775,0.0159535,0.00716893,0.0309697,0.0176286,0.0133346,0.0161674,0,0,0.0393641,0,0.0188545,0.0241023,0.059864,0.0231965,0.0126174,0.0142177,0.0502134,0.0344969,0.0134353,0.0411383,0.0195864,0.0160866,0.00982656,0.00543282,0.0114726,0.0189103,0.0383657,0.0384663,0.013211,0.00907335,0.0416487,0.0163561,0,0,0,0.115321
201,0,0,0,0,0,0,0.0258376,0.0385817,0,0,0,0.0188239,0.0198975,0.0154664,0,0,0.0137704,0,0.0203656,0.00497149,0.0394093,0.0100362,0.00681382,0.011682,0.0531272,0.0194405,0.00905052,0.00900429,0.0208278,0.0108924,0.010476,0.0093632,0.00825431,0.0235364,0.015822,0.00712734,0.029509,0.0175942,0.0135158,0.0163284,0,0,0.0388237,0,0.0188353,0.0237572,0.0590264,0.023444,0.0126481,0.0138054,0.0501754,0.0342106,0.0135026,0.0407935,0.0193629,0.0163188,0.0101325,0.0054565,0.0122384,0.0203955,0.0371404,0.0381804,0.0131446,0.00890645,0.0415675,0.0164009,0,0,0,0.12057
202,0,0,0,0,0,0,0.025733,0.0383999,0,0,0,0.0200807,0.020015,0.0160008,0,0,0.0133728,0,0.0203509,0.00471986,0.0392849,0.0101243,0.00674757,0.0119827,0.0527046,0.0193826,0.00941395,0.0095805,0.0212471,0.0110554,0.011215,0.00974101,0.00786574,0.025147,0.015583,0.00706303,0.0273392,0.0176282,0.0134433,0.0163159,0,0,0.0382295,0,0.0187964,0.0233927,0.0582618,0.0230361,0.0126578,0.0131426,0.0500893,0.0337878,0.0140627,0.0404777,0.0191337,0.0164346,0.0104252,0.00550224,0.0127815,0.0213505,0.0351776,0.0375647,0.0130961,0.00860354,0.0413739,0.0165574,0,0,0,0.125826
203,0,0,0,0,0,0,0.0255813,0.0381378,0,0,0,0.0216712,0.0200883,0.0166086,0,0,0.0131373,0,0.0203244,0.00460192,0.0393394,0.0104607,0.00673546,0.0124089,0.0524568,0.0193236,0.00990217,0.0100189,0.0216327,0.0111897,0.0119594,0.0101636,0.0074267,0.0267975,0.0154378,0.00701413,0.0250371,0.017625,0.0131568,0.016219,0,0,0.0376259,0,0.0187623,0.0231158,0.0576185,0.0225833,0.0126736,0.0122374,0.0500076,0.0332349,0.0152438,0.0401902,0.0188402,0.0163255,0.0104769,0.00552123,0.0130684,0.0218493,0.03307,0.0368341,0.0130884,0.00857699,0.0410358,0.0163942,0,0,0,0.131055
204,0,0,0,0,0,0,0.0254058,0.037874,0,0,0,0.0232322,0.0201847,0.0172366,0,0,0.0130157,0,0.0202921,0.00459916,0.0395604,0.0107387,0.00679059,0.0129642,0.0520939,0.019161,0.0104084,0.0103249,0.0219697,0.0113141,0.0125855,0.0104551,0.00698977,0.0284424,0.0153139,0.00693824,0.0230109,0.017562,0.0127224,0.0159757,0,0,0.0371289,0,0.0187469,0.0228693,0.057121,0.0216804,0.0125884,0.0113307,0.0500358,0.0326996,0.015246,0.040001,0.0184176,0.0159957,0.0103985,0.0055253,0.0131545,0.0217517,0.0311442,0.0362142,0.0129191,0.0086706,0.0406404,0.0157982,0,0,0,0.136298
205,0,0,0,0,0,0,0.0252632,0.0375635,0,0,0,0.0246603,0.0203059,0.0178583,0,0,0.012966,0,0.0202353,0.00461961,0.0396919,0.0111167,0.00687433,0.0136066,0.0517182,0.0189811,0.010853,0.010668,0.0223237,0.011483,0.0130902,0.0107562,0.00656603,0.0301201,0.0152035,0.00681185,0.0215803,0.0175372,0.0121294,0.0157011,0,0,0.0367164,0,0.0187617,0.0226231,0.0566656,0.0205673,0.01252,0.0105393,0.050119,0.0322148,0.0145244,0.0399366,0.0180541,0.0155496,0.0102765,0.00567099,0.0129444,0.0209717,0.0295923,0.035739,0.0127032,0.00862712,0.0402229,0.015054,0,0,0,0.14143
206,0,0,0,0,0,0,0.0251469,0.0372074,0,0,0,0.026039,0.0204262,0.0184588,0,0,0.0129275,0,0.0201639,0.00468496,0.0396048,0.0115571,0.00704085,0.0143421,0.0513116,0.0188287,0.0113065,0.011061,0.0226256,0.0116973,0.013542,0.011094,0.00613873,0.0317598,0.0151144,0.0066832,0.020639,0.0175354,0.011577,0.0154179,0,0,0.03638,0,0.0187782,0.0221143,0.0560994,0.0190162,0.0125544,0.00992941,0.0500874,0.0317604,0.0153597,0.0398822,0.0177678,0.0149876,0.0103171,0.00582927,0.0127157,0.0197471,0.0286715,0.0353647,0.012476,0.00889882,0.0397698,0.0144612,0,0,0,0.146209
207,0,0,0,0,0,0,0.0249619,0.0367861,0,0,0,0.0274366,0.0205216,0.019089,0,0,0.0128466,0,0.0201029,0.0047364,0.0393467,0.0120865,0.00734232,0.0152361,0.0508602,0.0186529,0.0117809,0.0114136,0.0228845,0.0119049,0.013972,0.0114321,0.00573222,0.0334051,0.0149868,0.00657921,0.0201653,0.0175538,0.0111581,0.0151021,0,0,0.0361582,0,0.0187984,0.0215966,0.0552197,0.0179018,0.01269,0.00967734,0.0499474,0.0312548,0.0160878,0.0398539,0.017522,0.0143949,0.0103932,0.00606553,0.0123571,0.0182557,0.0284024,0.0349584,0.0124869,0.00913537,0.0392488,0.0142202,0,0,0,0.151236
