Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,LTHI,RWRB,LTHIP,LILC
19,0,0,0,0,0,0,0.00911148,0.0101597,0,0,0,0.0279379,0.0193944,0.0190423,0,0,0.00975395,0,0.0213659,0.00595266,0.0389599,0.0336235,0.0244992,0.0203591,0.00546407,0.0236577,0.0155568,0.0212856,0.0251981,0.0109923,0.0163914,0.027911,0.00696224,0.00544937,0.0165326,0.0225747,0.0180998,0.0138159,0,0,0.0306261,0,0.0236059,0.0182999,0.0622091,0.0233087,0.0214874,0.0207982,0.010848,0.0397752,0.00151665,0.0447754,0.00753353,0.00561134,0.0169963,0.00777474,0.0109672,0.0199496,0.0154419,0.0329258,0.0161309,0.010211,0.0111064,0,0,0,0.0213369,0.00612327,0,0
20,0,0,0,0,0,0,0.009275,0.0104374,0,0,0,0.0265989,0.0193365,0.0180583,0,0,0.00917842,0,0.0212542,0.00553041,0.039343,0.0323762,0.0252873,0.0204275,0.00545578,0.0247848,0.0161387,0.0207278,0.0245264,0.0106794,0.0162978,0.0264544,0.00668723,0.00540158,0.0173827,0.0225552,0.0188818,0.0144026,0,0,0.0306316,0,0.0235488,0.0182536,0.0625594,0.02426,0.0215361,0.021923,0.0107991,0.0409271,0.00152485,0.0451459,0.00814631,0.00604371,0.0176844,0.00784117,0.0111831,0.020646,0.0160642,0.0333578,0.0159477,0.0107248,0.0115371,0,0,0,0.0218623,0.00604759,0,0
21,0,0,0,0,0,0,0.00947727,0.0108184,0,0,0,0.0256858,0.0192868,0.0169017,0,0,0.00858108,0,0.0211902,0.00518187,0.0397372,0.0311368,0.0261742,0.0205318,0.00539543,0.025985,0.0161194,0.0203497,0.0239086,0.0104879,0.0162538,0.0251849,0.00632884,0.00541663,0.0182674,0.0225542,0.0197669,0.0150225,0,0,0.0306693,0,0.023502,0.0182076,0.0629922,0.0250752,0.0215794,0.0231467,0.0108213,0.0422156,0.00147464,0.0455997,0.00883821,0.0065153,0.0183788,0.00794545,0.0113236,0.0212999,0.0169976,0.0338603,0.0156108,0.0112431,0.0119909,0,0,0,0.0222759,0.00598873,0,0
22,0,0,0,0,0,0,0.0096842,0.0112073,0,0,0,0.0250545,0.0193056,0.0158122,0,0,0.00829569,0,0.0211396,0.00499377,0.0401297,0.0296463,0.0269547,0.0205954,0.00535732,0.0269937,0.0164568,0.0198338,0.0234704,0.0106328,0.0162038,0.0243413,0.00619161,0.00537393,0.0192069,0.0225743,0.0206903,0.0155775,0,0,0.030748,0,0.0234822,0.0181639,0.0634849,0.025859,0.0216274,0.0242672,0.010902,0.0434124,0.00141503,0.0461139,0.00951139,0.00695371,0.0190265,0.00807698,0.0114702,0.0218951,0.0177911,0.0342675,0.0155061,0.0116415,0.0123859,0,0,0,0.0227206,0.0060381,0,0
23,0,0,0,0,0,0,0.0100477,0.0116527,0,0,0,0.0248055,0.019404,0.0153879,0,0,0.00794416,0,0.0211845,0.00487702,0.0404601,0.0279457,0.0281198,0.0206662,0.00526507,0.0282005,0,0.0197311,0.0234059,0.0108991,0.0162049,0.0246314,0.00589251,0.00534902,0.019954,0.0226289,0.0215267,0.0163326,0,0,0.0308933,0,0.0234956,0.0182288,0.0639895,0.0268098,0.0216381,0.0254135,0.0110035,0.0448449,0.00127227,0.0467615,0.0102854,0.00737721,0.0197662,0.008239,0.0117265,0.0225758,0.0185102,0.0347199,0.015299,0.0120611,0.0129325,0,0,0,0.0234657,0.00624626,0,0
24,0,0,0,0,0,0,0.0101388,0.0118571,0,0,0,0.0239828,0.0195981,0.0145626,0,0,0.00792937,0,0.0212778,0.00498497,0.0406447,0.0262983,0.0273389,0.020557,0.00511822,0.0274645,0.0175978,0.0186895,0.0218182,0.0103588,0.0162357,0.0225369,0.00581888,0.0054037,0.0208807,0.0226219,0.0223268,0.0167082,0,0,0.0308752,0,0.0234528,0.0182525,0.0645632,0.0276302,0.0218511,0.0265763,0.0111364,0.0456881,0.00122941,0.0473397,0.0110891,0.00796012,0.0204226,0.00841206,0.0118165,0.0230869,0.0192166,0.0350292,0.0152954,0.0122486,0.0131561,0,0,0,0.0229265,0.00614559,0,0
25,0,0,0,0,0,0,0.010326,0.0121064,0,0,0,0.0238234,0.0197365,0.0141561,0,0,0.00785819,0,0.0212921,0.00500675,0.0408742,0.0258889,0.0270851,0.0204955,0.00502291,0.0271868,0.0183306,0.0179222,0.0207185,0.00982046,0.0163541,0.0214315,0.00578514,0.00539069,0.0217494,0.0226266,0.0231066,0.0171854,0,0,0.0310268,0,0.0234265,0.0183755,0.0650895,0.0281291,0.0219225,0.0277082,0.0112015,0.0467336,0.00117731,0.0479657,0.0118412,0.0085388,0.020989,0.00863653,0.0118373,0.0234456,0.0199871,0.0355241,0.0152331,0.0124959,0.0134761,0,0,0,0.0227705,0.00584185,0,0
26,0,0,0,0,0,0,0.0109625,0.0116916,0,0,0,0.0248931,0.0197031,0.0148343,0,0,0.00745345,0,0.0213583,0.00477563,0.0387823,0.0265726,0.0276412,0.01648,0.00476929,0.0265085,0.0187827,0.0179328,0.0209002,0.00948576,0.0170635,0.0239606,0.0055597,0.00542409,0.016497,0.0226001,0.0165226,0.0176277,0,0,0.0304618,0,0.0233379,0.0179465,0.0582568,0.029003,0.0256322,0.017783,0.0105167,0.0467789,0.00753177,0.0484181,0.0156461,0.00685225,0.00695125,0.00963889,0.0107415,0.0180215,0.0216945,0.0351516,0.0150199,0.0119226,0.013827,0,0,0,0.021983,0.00561212,0,0
27,0,0,0,0,0,0,0.01117,0.0117886,0,0,0,0.0251011,0.0196088,0.014593,0,0,0.00726566,0,0.0213757,0.00464542,0.0388488,0.0255121,0.0280702,0.0160692,0.0046425,0.0264989,0.01977,0.01762,0.0201106,0.00908393,0.017161,0.0238617,0.0055051,0.00538782,0.0183488,0.0225864,0.0189993,0.0179296,0,0,0.0303877,0,0.0233393,0.0178085,0.0582041,0.0324109,0.025845,0.0205502,0.0104251,0.0474296,0.00820604,0.0498576,0.017485,0.00731949,0.00826463,0.0106167,0.012004,0.0191654,0.0230793,0.0353432,0.0148264,0.0119453,0.0140252,0,0,0,0.0219792,0.00549761,0,0
28,0,0,0,0,0,0,0.0112741,0.0119417,0,0,0,0.0250907,0.0195411,0.0142261,0,0,0.00698367,0,0.0213631,0.00447364,0.039129,0.0249104,0.0286055,0.0159599,0.00450212,0.0266418,0.0210156,0.017448,0.019471,0.00889936,0.0172899,0.0241195,0.00546399,0.00539719,0.0170994,0.0225633,0.0190264,0.0182411,0,0,0.0302985,0,0.0233059,0.0176965,0.0587563,0.0324161,0.0257769,0.0197513,0.0102571,0.0482451,0.00800396,0.0498905,0.0168511,0.00731453,0.00814516,0.00995258,0.0120767,0.0190812,0.0210069,0.0355203,0.0146563,0.0121087,0.014215,0,0,0,0.0222116,0.00537275,0,0
