Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,R5HD,LTHI,x73,LWRB,RASI,RWRB
33,0,0,0,0,0,0,0.0339236,0.0279335,0,0,0,0.039088,0.0187135,0.0197137,0.0661481,0,0,0.0241791,0,0.0203708,0.00472379,0.0343331,0.0106077,0.0111321,0.0135867,0.042833,0.0370434,0.018581,0.0162181,0.017323,0.0136763,0.014475,0.0104763,0.0077159,0.0406775,0.0285949,0.00797386,0.00418594,0.0103671,0.030345,0,0,0.032745,0,0.0161369,0.021561,0.06237,0.0177636,0.0164335,0.0110479,0.0315472,0.0217447,0.0068413,0.0378106,0.00728448,0.0075731,0.0111839,0.00575417,0.0110668,0.0156883,0.0117392,0.0298448,0.023999,0.0282575,0.0316148,0,0,0,0.0162654,0.00962152,0,0.00593983,0.0205204,0
34,0,0,0,0,0,0,0.034151,0.0283856,0,0,0,0.039872,0.0187141,0.0212157,0.0664084,0,0,0.0240948,0,0.0203677,0.00461475,0.0350209,0.0123657,0.0119524,0.0136257,0.0435328,0.0373306,0.0197819,0.0176306,0.018801,0.0141571,0.0147654,0.0104751,0.00818485,0.0413557,0.0285776,0.00797171,0.00393866,0.0106754,0.0306278,0,0,0.0326243,0,0.016106,0.0215302,0.0623897,0.0182408,0.0161829,0.0109195,0.032382,0.0223224,0.00666056,0.0382353,0.00688437,0.00755187,0.0115088,0.0059732,0.0114332,0.0161938,0.0118233,0.0299041,0.0243643,0.0287879,0.0318592,0,0,0,0.0162425,0.011154,0,0.00588591,0.0201468,0
35,0,0,0,0,0,0,0.0343819,0.0288769,0,0,0,0.0403717,0.0186668,0.0226229,0.0667168,0,0,0.0239699,0,0.0203481,0.00447899,0.03568,0.0142683,0.0125605,0.0140342,0.0442485,0.0376231,0.0208519,0.019034,0.020208,0.0145172,0.014904,0.010746,0.00851293,0.0410502,0.0285737,0.00797213,0.00369331,0.0110437,0.030881,0,0,0.0328226,0,0.0161041,0.0216184,0.0625075,0.0190909,0.0159672,0.010759,0.0332101,0.0228085,0.00657094,0.0386349,0.0065501,0.00761192,0.0117847,0.00615849,0.0117734,0.0166999,0.0121195,0.0299952,0.0246488,0.0293187,0.0321202,0,0,0,0.0162713,0.0125947,0,0.00584686,0.0197308,0
36,0,0,0,0,0,0,0.034616,0.0293136,0,0,0,0.040237,0.0186505,0.023617,0.0673041,0,0,0.0237712,0,0.0204713,0.00433481,0.0362748,0.016282,0.0128785,0.0148087,0.0448821,0.0379708,0.0217505,0.0202784,0.0214033,0.014804,0.0148884,0.0109759,0.00871104,0.0397377,0.0286227,0.00800524,0.00362211,0.0114029,0.0311231,0,0,0.033084,0,0.0160897,0.021636,0.0627694,0.0198992,0.0158239,0.0105863,0.0339212,0.0230889,0.00656398,0.0390233,0.00622605,0.00778964,0.01188,0.0061904,0.0119844,0.0171755,0.0126452,0.0300418,0.0247832,0.0297613,0.0324581,0,0,0,0.0163005,0.0138837,0,0.00581456,0.0194494,0
37,0,0,0,0,0,0,0.0348656,0.0297751,0,0,0,0.0394603,0.0186232,0.0243688,0.0676459,0,0,0.0235182,0,0.0205304,0.00412753,0.0367918,0.0167156,0.0131081,0.0157904,0.045585,0.0383826,0.0222257,0.0211218,0.0222613,0.0148873,0.0148297,0.0109795,0.00908522,0.0383363,0.0286599,0.00801348,0.00357846,0.0118595,0.0313462,0,0,0.0328919,0,0.0160687,0.0216651,0.0631804,0.0206255,0.0157308,0.0104149,0.0345286,0.0234283,0.00651426,0.0394451,0.00586717,0.00812784,0.0119224,0.00622123,0.0121676,0.0175777,0.0132312,0.0302047,0.0248958,0.0302342,0.0328546,0,0,0,0.0162875,0.0149352,0,0.00575972,0.019343,0
38,0,0,0,0,0,0,0.035057,0.0301716,0,0,0,0.0377537,0.0186475,0.0245711,0.0680118,0,0,0.0233194,0,0.0205568,0.00394732,0.0373084,0.0171787,0.0131951,0.0165543,0.0462262,0.0388046,0.0221899,0.0213895,0.0226741,0.0147438,0.0146434,0.0110195,0.00942172,0.036401,0.0286903,0.00797335,0.00320872,0.0123652,0.0315176,0,0,0.0327505,0,0.0160567,0.0216243,0.0637555,0.0213105,0.0157773,0.0102601,0.0349052,0.0237966,0.00627714,0.040033,0.00549457,0.008184,0.0120605,0.0065518,0.0124365,0.0178456,0.013322,0.0303805,0.0249891,0.0306633,0.0332202,0,0,0,0.0162759,0.0153285,0,0.00574319,0.0193444,0
39,0,0,0,0,0,0,0.0352138,0.0305093,0,0,0,0.0349429,0.0187153,0.0240444,0.068185,0,0,0.0231387,0,0.0205665,0.00382969,0.0378889,0.0177538,0.0131396,0.0169552,0.0467691,0.0391536,0.0217776,0.0209827,0.0225751,0.0144552,0.0143943,0.011087,0.00955528,0.033392,0.0287148,0.00796042,0.00279244,0.0127318,0.031677,0,0,0.0326475,0,0.0160417,0.0216822,0.0644816,0.0217514,0.0159594,0.0101388,0.0351084,0.0241176,0.00608406,0.0406119,0.00517625,0.00826176,0.0121339,0.00671747,0.0125812,0.0178534,0.0131768,0.030507,0.0250696,0.0310414,0.0335182,0,0,0,0.0162822,0.014866,0,0.00579607,0.0194954,0
40,0,0,0,0,0,0,0.0353252,0.0307618,0,0,0,0.0314188,0.0187607,0.0231212,0.0683176,0,0,0.0229738,0,0.0205646,0.0037417,0.0385774,0.0177035,0.0128592,0.0172248,0.0471463,0.0393995,0.0210854,0.0201284,0.0220712,0.0142062,0.0141943,0.0111035,0.00956241,0.029545,0.028701,0.00792331,0.00242243,0.0130141,0.0318136,0,0,0.0325,0,0.0160158,0.0218897,0.0653155,0.0220053,0.0162613,0.0101409,0.0351337,0.0242921,0.0060425,0.0411207,0.00497543,0.00845153,0.0121987,0.00676232,0.0125893,0.0177123,0.0131485,0.0305266,0.0251073,0.0313171,0.0337257,0,0,0,0.0162928,0.0139043,0,0.00587442,0.0197758,0
41,0,0,0,0,0,0,0.03539,0.0309161,0,0,0,0.027448,0.0187863,0.0221299,0.06823,0,0,0.0227639,0,0.020573,0.00363377,0.039293,0.0172414,0.0125137,0.0170889,0.0474676,0.0395412,0.0201527,0.0191063,0.0213716,0.013933,0.013908,0.0108395,0.00970682,0.0255824,0.0286766,0.00789043,0.00225842,0.0133499,0.0319222,0,0,0.0323923,0,0.0159894,0.0216907,0.0662238,0.022188,0.0166723,0.0102595,0.0350697,0.0243873,0.0060801,0.0415232,0.00485906,0.00867467,0.012323,0.00683775,0.0125541,0.0174821,0.0131628,0.0305393,0.025132,0.031483,0.0338456,0,0,0,0.0162647,0.0129439,0,0.00587089,0.02011,0
42,0,0,0,0,0,0,0.0354186,0.0309133,0,0,0,0.0231783,0.0187985,0.0210062,0.0680112,0,0,0.0225317,0,0.0205797,0.00350442,0.0399031,0.0171865,0.0120409,0.0167246,0.0476266,0.0396275,0.0191173,0.017948,0.0204893,0.0135476,0.0138472,0.010711,0.00977629,0.0217064,0.0287023,0.00787781,0.00227549,0.0137412,0.0319618,0,0,0.0322802,0,0.0159362,0.0215437,0.067207,0.0222899,0.0171189,0.0105007,0.0348553,0.0243575,0.00607364,0.0419456,0.00498236,0.00889711,0.012439,0.00699652,0.0125046,0.0171388,0.0133756,0.0304997,0.0252521,0.0315324,0.0339051,0,0,0,0.016228,0.0120012,0,0.00581548,0.020567,0
43,0,0,0,0,0,0,0.0354264,0.0308105,0,0,0,0.0196968,0.0187699,0.0198478,0.0675549,0,0,0.0222586,0,0.0206061,0.00340855,0.0402526,0.0146384,0.0115108,0.0162837,0.0476233,0.0396374,0.0180598,0.0167559,0.0193744,0.0131658,0.0140688,0.0107147,0.00970905,0.0183039,0.0287738,0.00790043,0.00273261,0.014168,0.0319491,0,0,0.032147,0,0.0158709,0.0215081,0.0682106,0.022244,0.017583,0.0109202,0.0344926,0.0242523,0.00602499,0.0424219,0.00541665,0.00912114,0.0124875,0.00720344,0.0123441,0.0165505,0.013854,0.0304782,0.0254155,0.0314734,0.0339548,0,0,0,0.0161974,0.0111293,0,0.00580461,0.0210863,0
