Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,RHEE,LTHI,R5HD,RWRB
223,0,0,0,0,0,0,0.019614,0.0210151,0,0,0,0.00270929,0.0186431,0.0159144,0,0,0.00791225,0,0.0226294,0.00345813,0.035394,0.0195618,0.0293023,0.0127699,0.00370485,0.00746319,0.0129085,0.0109688,0.0118414,0.00157586,0.00282989,0.00615762,0.0149287,0.0137747,0.00678474,0.00723249,0.01213,0.0113739,0.0332564,0,0,0.0171412,0,0.0229555,0.0118847,0.0434138,0.0235033,0.0210218,0.00476802,0.0723601,0.00556076,0.0421913,0.0123768,0.00970661,0.0112081,0.00774221,0.00559263,0.0114469,0.0196317,0.0348337,0.0081857,0.0240644,0.0250054,0,0,0,0.0143323,0.0116511,0.0202554,0
224,0,0,0,0,0,0,0.0197034,0.0213372,0,0,0,0.00708594,0.0186735,0.0199266,0,0,0.00828491,0,0.0226405,0.00376028,0.0357087,0.0226885,0.0296184,0.0117236,0.0036339,0.00726855,0.0115242,0.01081,0.0117631,0.00236512,0.00524168,0.00668592,0.0156748,0.0129386,0.00644248,0.00721043,0.0116209,0.0103278,0.0335287,0,0,0.0174515,0,0.0231137,0.0120965,0.042111,0.0236281,0.0193116,0.00461734,0.073079,0.00496404,0.0410325,0.0122103,0.00967914,0.0104419,0.00754966,0.00543891,0.0107194,0.0186889,0.0351337,0.00690458,0.0244098,0.0249146,0,0,0,0.0125699,0.0116575,0.0204455,0
225,0,0,0,0,0,0,0.0199158,0.0216617,0,0,0,0.0119875,0.018828,0.0229238,0,0,0.00826764,0,0.0226299,0.00372941,0.0359117,0.0253072,0.0297112,0.0104168,0.00337173,0.00718865,0.0102474,0.0104104,0.0116023,0.00396585,0.007843,0.0070802,0.016385,0.0162337,0.00613174,0.00709182,0.0113449,0.00969266,0.033698,0,0,0.0175834,0,0.0232125,0.012247,0.0416131,0.0239377,0.0175615,0.00468682,0.0738668,0.00439375,0.040442,0.0118891,0.00926321,0.0100548,0.00738188,0.00553168,0.0105892,0.0180803,0.035338,0.0066989,0.0246867,0.0251486,0,0,0,0.0114465,0.0113901,0.0205921,0
226,0,0,0,0,0,0,0.0190857,0.0209845,0,0,0,0.0162741,0.0190028,0.024167,0,0,0.00846049,0,0.0225928,0.00396274,0.036075,0.0265112,0.0295694,0.0092335,0.00308669,0.00699143,0.00913323,0.00994774,0.011408,0.00522808,0.00979737,0.00762598,0.0170217,0.0205589,0.00600142,0.00698221,0.0115646,0.00917757,0.032303,0,0,0.0168283,0,0.02336,0.0118342,0.042132,0.024205,0.0165554,0.00498878,0.0715333,0.00423558,0.040466,0.011272,0.00879618,0.00993037,0.00722421,0.00561355,0.0104901,0.0178728,0.0339388,0.00619291,0.023831,0.024447,0,0,0,0.0109699,0.0108819,0.0206782,0
227,0,0,0,0,0,0,0.0191118,0.0208888,0,0,0,0.0206505,0.0191943,0.0241097,0,0,0.00846304,0,0.0226122,0.00423385,0.0360837,0.0254573,0.0293087,0.00847944,0.00304463,0.00688253,0.00823824,0.00959559,0.0113099,0.00604694,0.0106719,0.00803934,0.0175699,0.0247399,0.00585411,0.0068183,0.0118768,0.00847351,0.0320983,0,0,0.0165845,0,0.02336,0.0115579,0.0433986,0.0244496,0.0160645,0.00527123,0.0710638,0.00445295,0.0408519,0.0106307,0.00862125,0.00954262,0.0070536,0.00548778,0.0101175,0.0175358,0.0334503,0.00594654,0.0236517,0.0246419,0,0,0,0.0102576,0.0101882,0.0207126,0
228,0,0,0,0,0,0,0.0186473,0.0203512,0,0,0,0.02549,0.0194129,0.0239105,0,0,0.00850909,0,0.0225849,0.00468334,0.0358511,0.0235577,0.0288661,0.00820766,0.00306103,0.00683822,0.00757899,0.0094904,0.0113182,0.00667474,0.0106862,0.00766855,0.0180113,0.0296269,0.00573053,0.00663148,0.0120498,0.00758423,0.0314371,0,0,0.0159762,0,0.023426,0.0111344,0.044785,0.0247351,0.0154454,0.00540305,0.0694007,0.00475264,0.0412524,0.0101123,0.00864891,0.0088993,0.00688432,0.00509816,0.00940542,0.0169013,0.0325656,0.00561849,0.0230073,0.0241786,0,0,0,0.00905189,0.00950715,0.0207956,0
229,0,0,0,0,0,0,0.0181374,0.0197255,0,0,0,0.0309364,0.0196646,0.0244668,0,0,0.0085778,0,0.0225488,0.0051184,0.0353521,0.0227545,0.0282779,0.00812828,0.00296976,0.00674726,0.00708879,0.00951738,0.0114078,0.00761059,0.0108852,0.00691456,0.0183671,0.0354325,0.00558736,0.00645739,0.0120666,0.00653854,0.0308989,0,0,0.0153411,0,0.0235325,0.0107159,0.0458161,0.0251275,0.0142893,0.00523315,0.0677468,0.00488747,0.0414685,0.00951133,0.00842665,0.00801533,0.00670096,0.00460669,0.00844404,0.0160037,0.031719,0.00526244,0.022262,0.0237286,0,0,0,0.00753844,0.00949474,0.0208639,0
230,0,0,0,0,0,0,0.0183404,0.0195452,0,0,0,0.0363733,0.0199169,0.0261523,0,0,0.00852116,0,0.0225088,0.00536347,0.0345734,0.0238957,0.027652,0.00800232,0.00272416,0.00661628,0.0067403,0.00957096,0.01164,0.00922433,0.0122755,0.00679005,0.0187097,0.0412146,0.00544563,0.00635713,0.0118932,0.0055836,0.0312096,0,0,0.0148941,0,0.0236098,0.0104336,0.0464066,0.0255731,0.0131669,0.00472876,0.0676599,0.0049391,0.0414914,0.00885884,0.00812733,0.00719214,0.00650119,0.00431813,0.00764707,0.0151947,0.0313768,0.00509699,0.0220587,0.0237943,0,0,0,0.00657037,0.00922819,0.0209225,0
231,0,0,0,0,0,0,0.0184,0.0193364,0,0,0,0.0409784,0.0201514,0.028619,0,0,0.00854896,0,0.022484,0.00552717,0.0336001,0.0265749,0.0270539,0.00797533,0.00243568,0.00646348,0.00657176,0.00953771,0.0119282,0.0112347,0.0147214,0.00790548,0.0191726,0.0462436,0.00553999,0.0062401,0.0118883,0.00484801,0.0312045,0,0,0.014258,0,0.0236724,0.0101194,0.0468265,0.0259881,0.0125232,0.00404857,0.0672924,0.00500522,0.0414663,0.0086185,0.00789643,0.00660436,0.0063185,0.00430343,0.00716664,0.0143398,0.0307737,0.00502241,0.0218143,0.0237364,0,0,0,0.00615031,0.00863654,0.0209715,0
232,0,0,0,0,0,0,0.0180615,0.0190245,0,0,0,0.0445329,0.0203143,0.0314306,0,0,0.00860652,0,0.0224575,0.00557731,0.0328969,0.0302377,0.026431,0.00804966,0.00203866,0.00630244,0.00658665,0.00936962,0.0122537,0.0132707,0.0175849,0.00930638,0.0197453,0.050113,0.00580215,0.00611133,0.0121023,0.00447935,0.0306797,0,0,0.0136692,0,0.0237229,0.00972648,0.0473119,0.0263632,0.0123877,0.00332886,0.0662797,0.00513698,0.0415161,0.00898251,0.00763514,0.00634868,0.00625804,0.00444382,0.00701986,0.0134977,0.0298503,0.00490543,0.0214539,0.0233613,0,0,0,0.00622883,0.00831156,0.0210053,0
