Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RANK,RTHII,IMUL_R,IMUL_M,LASI,IMUR_M
24,0.0512739,0.0385693,0,0,0,0.0438292,0,0.0254914,0,0,0.0206634,0,0,0.0579098,0.0427995,0.0364964,0.0317293,0,0.0563115,0.0308256,0.0364046,0.0565089,0,0.0182903,0.03324,0.034086,0.0278516,0.0267394,0.0308136,0.0475438,0.0154325,0.0221743,0.191555,0,0.0677886,0.0363355,0,0,0.0124926,0,0,0.0176072,0.049598,0.239898,0.0305247,0.0215148,0.0481517,0.0370798,0.0492,0.0828772,0.044967,0.0549376,0.0306819,0.0434374,0.0626971,0.0760313,0.0341411,0.00954251,0.0089794,0.0443094,0.0657356,0,0,0,0,0,0,0,0,0.0228727,0,0,0,0,0
25,0.0512752,0.0387718,0,0,0,0.0400822,0,0.0304049,0,0,0.0211054,0,0,0.0573799,0.0433615,0,0.0363715,0,0.0558593,0.0310088,0.0361785,0.0550141,0,0.0193406,0.0310064,0.0312758,0.0278218,0.0270698,0.0331888,0.0478376,0.0150968,0.0214101,0.193362,0,0.0682754,0.0356012,0,0,0.0118172,0,0,0.0175903,0.050186,0.240126,0.029049,0.0217813,0.0460561,0.035719,0.0490783,0.0811776,0.0451807,0.0548127,0.031206,0.0433066,0.0624463,0.0725164,0.0349665,0.0102885,0.00864826,0.0449355,0.0642372,0,0,0,0,0,0,0,0,0.0235264,0,0,0,0,0
26,0.051161,0.038453,0,0,0,0.042183,0,0.040261,0,0,0.0217472,0,0,0.0570515,0.0428882,0,0.033615,0,0.0553583,0.0311518,0.0363484,0.0538517,0,0.0214328,0.0326766,0.0327375,0,0.0302201,0.027474,0.0476838,0.0146245,0.0210965,0.194641,0,0.0678101,0.036176,0,0,0.0117559,0,0,0.0180653,0.0501729,0.240316,0.0296751,0.0216563,0.0468899,0.0363761,0.0484924,0.0795768,0.0450031,0.0551627,0.0319051,0.0435665,0.0627387,0.0708606,0.0345587,0.00987988,0.00947118,0.0450001,0.0650159,0,0,0,0,0,0,0,0,0.0237139,0,0,0,0,0
27,0.051168,0.0383979,0,0,0,0.041665,0,0,0,0,0.0226821,0,0,0.0565088,0.0419399,0,0.0365737,0,0.0549964,0.0317161,0.0363252,0.0471915,0,0.0193707,0.0336492,0.0323797,0,0.0326367,0.0241358,0.0479156,0.0146503,0.0200055,0.197506,0,0.067618,0.0357224,0,0,0.0110676,0,0,0.0183211,0.0502698,0.240406,0.0290982,0.021675,0.0453939,0.0354207,0.048326,0.0770695,0.0450598,0.0550446,0.0328024,0.043527,0.0624021,0.0656415,0.0350929,0.0102429,0.00964642,0.04633,0.063968,0,0,0,0,0,0,0,0,0.0244405,0,0,0,0,0
28,0.0512849,0.0383012,0,0,0,0.0602209,0,0.107076,0,0,0.0240745,0,0,0.0564233,0.0443459,0,0.0317103,0,0.0553878,0.0329209,0.0400479,0.0496652,0,0,0.0358909,0.0367272,0.028529,0.0308351,0.03039,0.0473012,0.015028,0.0195039,0.199972,0,0.0680607,0.0364612,0,0,0.0112079,0,0,0.0191064,0.0490852,0.240415,0.0301019,0.021478,0.0473038,0.0361806,0.0469351,0.0746272,0.0441552,0.0548326,0.0335258,0.0436305,0.0622231,0.0609268,0.0345152,0.00950817,0.0108427,0.0456555,0.0658467,0,0,0,0,0,0,0,0,0.0247355,0,0,0,0,0
29,0.0511756,0.0382786,0,0,0,0.0662148,0,0.118724,0,0,0.0227921,0,0,0.0566877,0.0443347,0,0.0308666,0,0.0549473,0.0318151,0.0401869,0.0476785,0,0,0.0373985,0.0380339,0.0289468,0.0330896,0.0310636,0.0475659,0.0148343,0.0201055,0.197968,0,0.0677743,0.0367699,0,0,0.0115463,0,0,0.0187947,0.0499668,0.240525,0.0304183,0.0216633,0.0474802,0.0364791,0.0472884,0.0759882,0.0445657,0.0555772,0.0336728,0.044043,0.0626565,0.0664632,0.0342354,0.00942078,0.0102958,0.0449495,0.0659479,0,0,0,0,0,0,0,0,0.0247986,0,0,0,0,0
30,0.0512468,0.0384107,0,0,0,0.0525099,0,0,0,0,0.0207234,0,0,0.0568926,0.0425528,0,0.038201,0,0.0546699,0.0302997,0.0398357,0.0457079,0,0,0.0295978,0.0275601,0.0277551,0.0256753,0.0184198,0.0484551,0.0144631,0.0212325,0.195667,0,0.0686309,0.0357066,0,0,0.0114922,0,0,0.0176917,0.0520469,0.240889,0.0283404,0.0224557,0.0445423,0.0349194,0.0483421,0.0780972,0.0456026,0.0560608,0.0334361,0.04415,0.0627742,0.0718512,0.0351516,0.0104888,0.00836551,0.04579,0.0638216,0,0,0,0,0,0,0,0,0.0252144,0,0,0,0,0
31,0.051107,0.0383928,0,0,0,0.064554,0,0.110237,0,0,0.0205446,0,0,0.0571562,0.0455345,0,0.032843,0,0.0537394,0.0298781,0,0.0466008,0,0,0.0388376,0.0374379,0.0292063,0.0326764,0.0263895,0.0483504,0.0146471,0.0215577,0.19653,0,0.0673237,0.0364384,0,0,0.0120905,0,0,0.0177957,0.0516857,0.241278,0.0305577,0.021888,0.0457355,0.036235,0.0480115,0.0773999,0.0447998,0.0566868,0.0341553,0.0447033,0.063291,0.0707121,0.034429,0.00998554,0.0088333,0.0457954,0.0649356,0,0,0,0,0,0,0,0,0.0249406,0,0,0,0,0
32,0.0511754,0.039161,0,0,0,0.0474663,0,0,0,0,0.0190652,0,0,0.0584026,0.0419404,0,0.0365245,0,0.0526011,0.0282786,0.0351449,0.0425578,0,0.0273506,0.0326939,0.0330641,0,0.0326085,0.0289229,0.0482157,0.0140265,0.0214456,0.191911,0,0.0666557,0.0359557,0,0,0.0120181,0,0,0.01802,0.0536684,0.243496,0.0289279,0.0255232,0.043719,0.036472,0.0466967,0.0751243,0.0452849,0.0605591,0.0388301,0.04909,0.065771,0.0678215,0.0342493,0.00948664,0.00853599,0.0465316,0.0641138,0,0,0,0,0,0,0,0,0.0207053,0,0,0,0,0
33,0.0512245,0.0397223,0,0,0,0.0515696,0,0.0451071,0,0,0.0205406,0,0,0.0580181,0.0424165,0,0.038396,0,0.0521828,0.0294081,0.0386906,0.0443771,0,0.0320642,0.0315446,0.0328767,0.0274075,0.027595,0.031883,0.048207,0.0139327,0.0197485,0.195233,0,0.066703,0.0357816,0,0,0.0112504,0,0,0.0188754,0.0549661,0.243609,0.0280122,0.0253294,0.043107,0.0363076,0.0462834,0.071541,0.0459487,0.0596876,0.0390111,0.048303,0.0646904,0.062144,0.0343332,0.00930894,0.00949221,0.0466901,0.0637648,0,0,0,0,0,0,0,0,0.0216908,0,0,0,0,0
