Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_M,IMUL_M
48,0.050041,0.0400277,0,0,0,0,0.0406556,0,0.0336438,0.0490904,0,0,0.0221833,0,0,0.0616214,0.026361,0.0261023,0.028778,0.0197167,0.047031,0.0297551,0.027833,0.0300036,0.0342146,0.0263028,0.0354485,0.0383721,0.0263473,0.0285668,0.0174851,0.0441866,0.0215247,0.0284463,0.0470697,0,0.0172617,0.0380877,0.0401749,0,0,0.013919,0,0,0.0178975,0.054964,0.0525747,0.0306933,0.0290416,0.0586618,0.0396884,0.0382581,0.0698464,0.0543323,0.0272877,0.0639143,0.0444918,0.0482318,0.0764397,0.0590038,0.0350352,0.0103465,0.00784435,0.0458558,0.0686887,0,0,0,0,0,0,0,0,0,0
49,0.0499979,0.03998,0,0,0,0,0.0407538,0,0.0337659,0.049542,0,0,0.0221226,0,0,0.0614968,0.0265742,0.0266502,0.0284461,0.0196876,0.0464076,0.0296,0.0276929,0.0298674,0.0342482,0.0262898,0.0354976,0.0383484,0.0263889,0.0286428,0.0173991,0.0442682,0.0214196,0.0282399,0.0467807,0,0.0170946,0.0391177,0.0401618,0,0,0.0138508,0,0,0.0178823,0.0548048,0.0522174,0.0315879,0.0267765,0.0589034,0.0396471,0.039133,0.0707991,0.0545593,0.0286422,0.0646543,0.0456807,0.0492275,0.0768725,0.0580547,0.0350769,0.0104172,0.00781625,0.0460247,0.0685026,0,0,0,0,0,0,0,0,0,0
50,0.0499482,0.0399152,0,0,0,0,0.0410683,0,0.0339134,0.0496817,0,0,0.022052,0,0,0.0613517,0.026818,0.0269928,0.0281214,0.0195985,0.0459675,0.0294136,0.0275467,0.029696,0.0342114,0.0263502,0.0356087,0.038296,0.026393,0.0287702,0.0171844,0.0443992,0.021371,0.0279689,0.0464119,0,0.0169179,0.0399474,0.0401919,0,0,0.0137283,0,0,0.0178925,0.0546145,0.0515257,0.0322754,0.0247641,0.0589502,0.0394393,0.0401653,0.0717041,0.0547428,0.0301271,0.0653745,0.04658,0.0496795,0.0775093,0.0566302,0.0351867,0.0105311,0.00777783,0.0462393,0.0683852,0,0,0,0,0,0,0,0,0,0
51,0.0499016,0.0398531,0,0,0,0,0.0416288,0,0.0340293,0.0497759,0,0,0.0219889,0,0,0.0612347,0.0271187,0.027207,0.0278173,0.0198282,0.0456395,0.0292328,0.0274528,0.0294911,0.0341782,0.0265277,0.0356029,0.0382589,0.0263754,0.0288469,0.016883,0.0445812,0.0212601,0.0277731,0.0458365,0,0.0166891,0.0406954,0.0402662,0,0,0.0135691,0,0,0.0179372,0.0543746,0.0502322,0.0328166,0.0228587,0.0588915,0.0391588,0.0411589,0.0724993,0.054857,0.0317687,0.0658779,0.0470271,0.0500929,0.07751,0.0542976,0.0353405,0.0106753,0.00772342,0.0463229,0.0682126,0,0,0,0,0,0,0,0,0,0
52,0.0499039,0.0397626,0,0,0,0,0.0419062,0,0.0340828,0.049922,0,0,0.0219406,0,0,0.0611247,0.0275386,0.0272449,0.0274125,0.0198278,0.04532,0.0290315,0.0276083,0.0293078,0.0341902,0.0268238,0.0356384,0.0383239,0.0263279,0.0289089,0.0166794,0.0446526,0.0210831,0.0276099,0.0451571,0,0.0167095,0.0416027,0.0401638,0,0,0.013421,0,0,0.0179738,0.0541539,0.0488043,0.033337,0.0208509,0.0587283,0.0388787,0.0420364,0.0729841,0.0548699,0.0332436,0.0661764,0.0471044,0.0503186,0.0769839,0.0503388,0.0354811,0.0107774,0.00766125,0.0463303,0.0679881,0,0,0,0,0,0,0,0,0,0
53,0.0498708,0.0396595,0,0,0,0,0.0420391,0,0.0340471,0.049934,0,0,0.0218881,0,0,0.0610243,0.0280363,0.0271806,0.0268437,0.0198723,0.0450251,0.0287479,0.027648,0.0291424,0.0342555,0.027121,0.0356094,0.0383634,0.0261811,0.028919,0.0164032,0.0446847,0.0209372,0.0273913,0.0443386,0,0.0169842,0.0425349,0.0400359,0,0,0.0132775,0,0,0.0180438,0.0539025,0.047603,0.0337933,0.0188353,0.0585153,0.0385617,0.0428332,0.073441,0.054818,0.0345162,0.0664239,0.0470913,0.0504416,0.0763046,0.0457235,0.0354919,0.0108815,0.00762544,0.0463741,0.067745,0,0,0,0,0,0,0,0,0,0
54,0.0497913,0.0395637,0,0,0,0,0.0422726,0,0.03403,0.0497199,0,0,0.0218264,0,0,0.060938,0.0287319,0.0274683,0.0260817,0.0199256,0.04473,0.0285281,0.0277877,0.0288975,0.0343394,0.0274754,0.035662,0.0385014,0.0261083,0.0289463,0.0160056,0.0448654,0.0209818,0.027158,0.0437327,0,0.0174648,0.0433963,0.0399282,0,0,0.0130709,0,0,0.0180407,0.0536589,0.04715,0.034191,0.0170092,0.0582779,0.0383272,0.0435825,0.0736511,0.0546815,0.0357875,0.0664915,0.0470443,0.0506325,0.0759689,0.0402742,0.0355339,0.0109925,0.0075828,0.0464681,0.0675262,0,0,0,0,0,0,0,0,0,0
55,0.0497393,0.0394992,0,0,0,0,0.0426333,0,0.0340778,0.0492649,0,0,0.0217385,0,0,0.0608834,0.0296235,0.0274946,0.0254693,0.0198501,0.0444605,0.0283702,0.0279381,0.0287491,0.0344347,0.0279028,0.0357726,0.0385659,0.0261227,0.0289819,0.0156714,0.0450269,0.0210931,0.0269311,0.0438991,0,0.0181809,0.0442769,0.0397911,0,0,0.0127994,0,0,0.0179178,0.0533338,0.0464874,0.0345745,0.0154217,0.0580372,0.0381632,0.0440979,0.0734644,0.054413,0.0372598,0.066417,0.046982,0.0507943,0.075505,0.0342323,0.035618,0.011149,0.00749296,0.046572,0.067308,0,0,0,0,0,0,0,0,0,0
56,0.0496985,0.0394402,0,0,0,0,0.0428649,0,0.0342074,0.0486869,0,0,0.0216303,0,0,0.0608394,0.0303012,0.0271583,0.0249389,0.0198867,0.0442606,0.0281896,0.0280442,0.0284878,0.0345285,0.0284337,0.0359194,0.0386155,0.0261055,0.0289608,0.0154382,0.0452135,0.0210183,0.0267769,0.0451607,0,0.0192669,0.0452414,0.039648,0,0,0.0126151,0,0,0.0178309,0.0529158,0.0454849,0.0349148,0.0143011,0.0577301,0.0379244,0.0444638,0.0729426,0.0537616,0.0388001,0.066387,0.0469389,0.0512557,0.0751562,0.0289582,0.0357131,0.0114134,0.0073779,0.0467067,0.0670912,0,0,0,0,0,0,0,0,0,0
57,0.0496764,0.0394053,0,0,0,0,0.0430601,0,0.0343959,0.0480228,0,0,0.0215061,0,0,0.0606958,0.0311273,0.0266319,0.0243036,0.0202121,0.0439956,0.0279026,0.0282392,0.0281865,0.0346294,0.0290185,0.0360523,0.038644,0.0260695,0.0289285,0.0152239,0.0455139,0.0210775,0.0265345,0.0467651,0,0.0203873,0.0464244,0.0394734,0,0,0.0126374,0,0,0.0176377,0.0523643,0.0442247,0.0353909,0.0139527,0.0573113,0.0376198,0.0448661,0.0718442,0.0527567,0.0402338,0.0663471,0.0469429,0.0517476,0.0751322,0.025013,0.0357706,0.0116528,0.00712683,0.0468636,0.0667682,0,0,0,0,0,0,0,0,0,0
58,0.0498062,0.0393633,0,0,0,0,0.0433057,0,0.0345787,0.0473207,0,0,0.0214054,0,0,0.0605347,0.0319751,0.0265194,0.0237645,0.0205703,0.0438326,0.0277045,0.0286533,0.027912,0.0345866,0.0295693,0.0362509,0.0388427,0.0260924,0.0289766,0.0150325,0.0459814,0.0212241,0.0262357,0.0487498,0,0.0214273,0.0472447,0.0393137,0,0,0.0125566,0,0,0.0174519,0.0516976,0.0431029,0.035738,0.0147461,0.0569158,0.0372414,0.0451633,0.0702111,0.0521496,0.0414647,0.0664067,0.0471006,0.0520932,0.0753189,0.0228045,0.0358807,0.0118259,0.00681262,0.0469145,0.0664322,0,0,0,0,0,0,0,0,0,0
59,0.0498053,0.0392787,0,0,0,0,0.043927,0,0.0347743,0.0466835,0,0,0.0213308,0,0,0.0604603,0.0328673,0.0266489,0.0231967,0.0206473,0.0437093,0.0275894,0.0287353,0.0274807,0.0344812,0.0301364,0.036397,0.0390029,0.0262358,0.0291436,0.0147595,0.0462453,0.0212834,0.0260286,0.0506348,0,0.0224248,0.0479734,0.0391486,0,0,0.012492,0,0,0.0173092,0.0509541,0.0420007,0.0361831,0.0160941,0.0565871,0.0370313,0.0453888,0.0681181,0.0514603,0.0427156,0.0663906,0.0471945,0.0522434,0.0755689,0.021465,0.0359763,0.0118487,0.00655591,0.0468826,0.0661384,0,0,0,0,0,0,0,0,0,0
60,0.0497164,0.0391937,0,0,0,0,0.0444799,0,0.035042,0.0461746,0,0,0.0212803,0,0,0.0604365,0.0338417,0.0264357,0.0226054,0.0207253,0.0436129,0.0276117,0.0288907,0.0271172,0.0343564,0.0307511,0.0365594,0.0388674,0.0263991,0.0293358,0.0146163,0.0463064,0.0211929,0.0259915,0.051632,0,0.0234398,0.0486261,0.0389339,0,0,0.0125088,0,0,0.0172666,0.0502228,0.0411705,0.0366373,0.0178014,0.0562877,0.0368846,0.0454751,0.0657702,0.0508169,0.0438724,0.0662719,0.0471024,0.0523177,0.0758066,0.0210354,0.0358997,0.0119357,0.00638707,0.0467747,0.0659479,0,0,0,0,0,0,0,0,0,0
61,0.0496538,0.0391922,0,0,0,0,0.0446968,0,0.0351332,0.0456027,0,0,0.0212653,0,0,0.0604496,0.0348565,0.0261297,0.0222601,0.0208377,0.043476,0.0277481,0.0289483,0.0270253,0.0343252,0.0312342,0.0367803,0.0388771,0.0265018,0.0294403,0.0145246,0.0463052,0.0210766,0.0261054,0.0515911,0,0.0244686,0.0491898,0.0388148,0,0,0.0125871,0,0,0.0172505,0.0496355,0.0409981,0.0369678,0.0194255,0.0559302,0.0367205,0.0454451,0.0634478,0.0504959,0.0448162,0.066017,0.046799,0.0522786,0.0758374,0.0210842,0.035869,0.0119785,0.00629522,0.0466818,0.0658557,0,0,0,0,0,0,0,0,0,0
62,0.0496218,0.0392335,0,0,0,0,0.0449633,0,0.0350644,0.0451164,0,0,0.0212093,0,0,0.0604531,0.0355944,0.0261897,0.0221216,0.0209576,0.0433902,0.0278683,0.0288024,0.0269428,0.0343922,0.0316096,0.0369806,0.0390441,0.0264769,0.0294733,0.01434,0.0461594,0.0210374,0.0262274,0.0512657,0,0.025415,0.0495955,0.0387698,0,0,0.0126511,0,0,0.0172401,0.04924,0.041597,0.0372131,0.0204892,0.055618,0.0365804,0.0454807,0.0615293,0.0505222,0.0455569,0.065821,0.0464396,0.0521412,0.0758615,0.0210784,0.0357667,0.0119685,0.00635098,0.0465446,0.0657485,0,0,0,0,0,0,0,0,0,0
63,0.0495832,0.0393082,0,0,0,0,0.0452194,0,0.0351478,0.044915,0,0,0.0211782,0,0,0.060476,0.0360787,0.0260053,0.0219645,0.0210059,0.0433636,0.0280261,0.0291492,0.0267811,0.0345372,0.0319687,0.0370145,0.0391631,0.0264234,0.0294538,0.0141623,0.0460049,0.0209933,0.0263168,0.0510197,0,0.026091,0.0498271,0.0387876,0,0,0.0126795,0,0,0.0172189,0.0489732,0.0426651,0.0374211,0.0210091,0.0554843,0.0365574,0.0456999,0.0603837,0.0506099,0.046228,0.0656955,0.0462588,0.0520386,0.0759695,0.0208326,0.0356187,0.0119358,0.00649408,0.0463711,0.0656698,0,0,0,0,0,0,0,0,0,0
