Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M
19,0.0567377,0.0382732,0,0,0,0,0,0.0473739,0,0.0212491,0.0417422,0,0,0.0197755,0,0,0.0598488,0.0469025,0.0309795,0.0266566,0.00867618,0.0466302,0.0317015,0.0298396,0.0403811,0.0401156,0.0235037,0.0257059,0.0312958,0.0167729,0.0139046,0.0233505,0.0481212,0.0217582,0.0236658,0.0419769,0,0.0196221,0.0549657,0.0344565,0,0,0.0210774,0,0,0.0227006,0.0380844,0.0316828,0.0373243,0.0164354,0.0476566,0.048029,0.0444168,0.0613165,0.0415624,0.0333897,0.0615176,0.0415294,0.0463282,0.070799,0.0250785,0.0257813,0.00477309,0.0163294,0.0470117,0.0674212,0,0,0,0,0,0,0,0,0
20,0.0568159,0.038133,0,0,0,0,0,0.0463682,0,0.0213293,0.0410881,0,0,0.0199091,0,0,0.0601127,0.047767,0.031505,0.0264718,0.00849965,0.0472464,0.0320709,0.0299067,0.0410267,0.0412727,0.0230942,0.0262859,0.0311854,0.0173226,0.0137077,0.027311,0.0478421,0.0218904,0.0240349,0.0414176,0,0.0197084,0.0553772,0.0344242,0,0,0.0214645,0,0,0.0227804,0.0376456,0.0316195,0.0376457,0.0161946,0.0478187,0.0484182,0.0441105,0.0612008,0.0413584,0.0331095,0.0612635,0.0412283,0.0460764,0.07049,0.0253129,0.0255452,0.00468546,0.0166211,0.046784,0.067489,0,0,0,0,0,0,0,0,0
21,0.0569136,0.0378859,0,0,0,0,0,0.0459466,0,0.0213646,0.0406018,0,0,0.0200433,0,0,0.0602733,0.0484666,0.0319876,0.0262629,0.0081943,0.047816,0.0322489,0.0304157,0.0414103,0.0423898,0.0227438,0.0268898,0.0312284,0.0179057,0.0137348,0.0325385,0.0475647,0.0219334,0.0243494,0.0408724,0,0.019867,0.0559398,0.0344188,0,0,0.0217801,0,0,0.0228282,0.0372858,0.0318648,0.0377753,0.0159251,0.0479793,0.0487581,0.0438695,0.0613359,0.0410303,0.032969,0.0609518,0.0409871,0.0458138,0.0702156,0.0255565,0.0254393,0.00464873,0.0169121,0.0464749,0.0679111,0,0,0,0,0,0,0,0,0
22,0.0569721,0.0376747,0,0,0,0,0,0.0455673,0,0.0216956,0.04019,0,0,0.0201643,0,0,0.0603833,0.0489794,0.0324886,0.0260274,0.00786604,0.0484865,0.0323561,0.0315062,0.0418827,0.0433692,0.0225141,0.0274257,0.031891,0.0181632,0.0135023,0.0383704,0.0473449,0.0219487,0.0245502,0.0404938,0,0.020118,0.0564653,0.0345111,0,0,0.0220021,0,0,0.0228244,0.037028,0.0323168,0.0377098,0.015815,0.0480403,0.0489719,0.0436204,0.0615842,0.0408756,0.0329162,0.0606369,0.0407409,0.0455705,0.0697684,0.0258365,0.0252034,0.00463307,0.0171295,0.0460647,0.0684528,0,0,0,0,0,0,0,0,0
23,0.0569932,0.0374938,0,0,0,0,0,0.0436314,0,0.0225398,0.0396927,0,0,0.0202428,0,0,0.0604174,0.0492463,0.0336224,0.025829,0.00761722,0.0491774,0.0325029,0.0315473,0.0422643,0.0440509,0.0224059,0.0280881,0.0326091,0.0185739,0.0131066,0.044528,0.0471704,0.0219345,0.0247016,0.040181,0,0.020419,0.0568214,0.0347431,0,0,0.0222245,0,0,0.0227761,0.0368558,0.0327566,0.0376195,0.0157226,0.048006,0.0491127,0.0433705,0.0618547,0.0406736,0.0331133,0.0602659,0.0404877,0.0453104,0.0693605,0.0261441,0.0248916,0.00460422,0.0172488,0.0456048,0.0685036,0,0,0,0,0,0,0,0,0
24,0.0570262,0.0374067,0,0,0,0,0,0.0402061,0,0.0239398,0.0391311,0,0,0.0203239,0,0,0.0603556,0.0493645,0.0358911,0.0257584,0.00739334,0.0497444,0.0325653,0.0312777,0.0426154,0.0445465,0.0223741,0.0288708,0.0331512,0.0193202,0.013153,0.0506171,0.047025,0.0218734,0.0248654,0.0398623,0,0.0207612,0.0570793,0.0349714,0,0,0.0224048,0,0,0.0228035,0.0368494,0.0332422,0.0375045,0.0156126,0.0478547,0.0492613,0.0433722,0.0620819,0.0404545,0.0333938,0.0599351,0.0402549,0.0450629,0.0690386,0.0262158,0.0247588,0.00457426,0.0173358,0.0452438,0.0686592,0,0,0,0,0,0,0,0,0
25,0.0567853,0.0373857,0,0,0,0,0,0.0367389,0,0.0258798,0.0381016,0,0,0.0202606,0,0,0.0598688,0.0503547,0.038128,0.0253203,0.00713573,0.0495963,0.0320279,0.0315522,0.0433028,0.0452351,0.0225838,0.029562,0.0333774,0.0198727,0.01361,0.0560241,0.0473821,0.021423,0.0244004,0.0393021,0,0.0217638,0.0596225,0.0350491,0,0,0.0223372,0,0,0.0227447,0.0363877,0.0345937,0.0400267,0.0129693,0.0477305,0.0492976,0.045285,0.0648467,0,0.0350096,0.0569899,0.0373229,0.0428851,0.0668965,0.024312,0.024993,0.00462286,0.0172011,0.0452338,0.0682842,0,0,0,0,0,0,0,0,0
26,0.0572423,0.0373802,0,0,0,0,0,0.0351339,0,0.0271768,0.0381201,0,0,0.0203603,0,0,0.060349,0.0494924,0.0390575,0.0259948,0.00733663,0.0502699,0.0328192,0.0309199,0.0432952,0.0454666,0.0223455,0.0303901,0.0338641,0.0204816,0.0147152,0.0611591,0.0468666,0.0219172,0.0252039,0.0395807,0,0.0213535,0.0574329,0.0350568,0,0,0.0224825,0,0,0.022794,0.03726,0.0341221,0.037082,0.0155371,0.0474814,0.0492534,0.0433204,0.0620797,0.0423277,0.0337094,0.0595042,0.0400011,0.0447147,0.0683119,0.0257688,0.0247877,0.00457992,0.0173041,0.0448307,0.0691426,0,0,0,0,0,0,0,0,0
27,0.0570154,0.0373488,0,0,0,0,0,0.035324,0,0.0275891,0.0374147,0,0,0.020127,0,0,0.0599823,0.0504918,0.0389816,0.0255497,0.00739633,0.0497697,0.0322148,0.0308063,0.0437964,0.0464093,0.022578,0.0306881,0.0339921,0.0210205,0.015387,0.0630423,0.0473714,0.0215536,0.0245157,0.0392465,0,0.0220592,0.060234,0.0350424,0,0,0.0220587,0,0,0.0225312,0.0369545,0.0353213,0.039577,0.013189,0.0473099,0.0488191,0.0452029,0.064808,0,0.0353382,0.0564564,0.0370635,0.042583,0.0663695,0.0238505,0.0249406,0.004604,0.0170106,0.0450481,0.0684961,0,0,0,0,0,0,0,0,0
28,0.0574894,0.0373435,0,0,0,0,0,0.0363957,0,0.0276915,0.0374618,0,0,0.0200749,0,0,0.0605581,0.0496598,0.0389041,0.0261466,0.00764898,0.0503567,0.0328789,0.0298968,0.0436213,0.04664,0.0226001,0.0312977,0.0344268,0.0221325,0.016586,0.0649393,0.046998,0.0221261,0.0251581,0.0397004,0,0.0214076,0.0581885,0.0349575,0,0,0.0219697,0,0,0.0224756,0.0378421,0.0348136,0.0364282,0.0156406,0.0469874,0.0485541,0.0432548,0.0618704,0.0432218,0.0338581,0.0588943,0.0400234,0.0447303,0.0681927,0.0253157,0.0248478,0.00457992,0.0169511,0.0447471,0.0694657,0,0,0,0,0,0,0,0,0
