Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII,RTOE,IMUR_M
147,0.0478874,0.0376447,0,0,0,0,0,0.0520246,0,0.0282914,0.050591,0,0,0.0285186,0,0,0.0637633,0.0298818,0.0299766,0.0303983,0.0186232,0.0378318,0.0293239,0.0297722,0.0333613,0.0344246,0.026216,0.0375774,0.0385595,0.0297901,0.0323388,0.017022,0.0342249,0.0169137,0.0295824,0.0484876,0,0.0182449,0.0447408,0.0411478,0,0,0.0116467,0,0,0.0169263,0.0512256,0.0404297,0.0340277,0.0136878,0.0493277,0.0385663,0.0458608,0.0686419,0.039709,0.0680829,0.0488909,0.0539211,0.0767023,0.0351624,0.0145462,0.00813364,0.0425218,0.0680563,0,0,0,0,0,0,0,0,0.0532543,0.023325,0
148,0.0479329,0.0375139,0,0,0,0,0,0.053187,0,0.0282889,0.0499095,0,0,0.0285931,0,0,0.0636969,0.0309081,0.029799,0.0299782,0.0188659,0.0374214,0.0293782,0.0302612,0.0329239,0.0343114,0.0270222,0.0379752,0.0388437,0.0299681,0.0324876,0.017531,0.0341987,0.0169861,0.0292732,0.0510658,0,0.0196145,0.0458128,0.0409007,0,0,0.0114694,0,0,0.0168588,0.0504671,0.0393342,0.0344389,0.0145049,0.0486205,0.0381123,0.0464109,0.0671913,0.0407646,0.067937,0.0486966,0.0539211,0.0764857,0.0353722,0.0147148,0.00796732,0.0423898,0.06787,0,0,0,0,0,0,0,0,0.0528623,0.0209192,0
149,0.0479846,0.0373594,0,0,0,0,0,0.054132,0,0.0284085,0.0491628,0,0,0.0286114,0,0,0.0637108,0.0319302,0.0295993,0.02958,0.0191455,0.0372878,0.029473,0.0305629,0.0324493,0.0342011,0.0277676,0.0383777,0.039188,0.0302287,0.0327658,0.0179393,0.034304,0.0168926,0.0294564,0.0536848,0,0.0207432,0.0469117,0.0406642,0,0,0.0113238,0,0,0.016832,0.0498199,0.0387259,0.0348648,0.0161898,0.0480388,0.0376374,0.0472713,0.0649711,0.0420789,0.0675759,0.048528,0.0538706,0.0765121,0.0355668,0.0149075,0.00782311,0.042267,0.0676676,0,0,0,0,0,0,0,0,0.052478,0.0204637,0
150,0.0480304,0.0371945,0,0,0,0,0,0.0551412,0,0.0285865,0.0483782,0,0,0.02864,0,0,0.0637194,0.0329553,0.0293509,0.0291549,0.0194638,0.0375148,0.0296482,0.0308523,0.0318771,0.0342064,0.0285311,0.0386785,0.0395051,0.0304324,0.0330392,0.0184669,0.0343343,0.016843,0.0296245,0.055594,0,0.0215985,0.0481502,0.0404425,0,0,0.0112197,0,0,0.0168187,0.0493578,0.039028,0.0352961,0.0182337,0.0474319,0.0372152,0.0482129,0.0626034,0.0434526,0.0670669,0.0483644,0.053816,0.0765939,0.0357292,0.0150696,0.0076746,0.0421424,0.0674838,0,0,0,0,0,0,0,0,0.0522916,0.0208047,0
151,0.0480759,0.0370596,0,0,0,0,0,0.0561044,0,0.0287169,0.0477507,0,0,0.0286902,0,0,0.0637392,0.0339575,0.0292176,0.0289296,0.0197714,0.0374687,0.0299332,0.031149,0.0313571,0.0342401,0.0294628,0.0389014,0.0398446,0.0305426,0.033249,0.0190596,0.0343933,0.0168803,0.0297164,0.0562942,0,0.0227178,0.0492818,0.0401977,0,0,0.0111356,0,0,0.0167516,0.0491778,0.0396141,0.0355671,0.0200556,0.046746,0.0368064,0.0487582,0.0602702,0.0446514,0.0664326,0.0481954,0.053691,0.0766252,0.0358697,0.0151999,0.00749205,0.0420482,0.0672915,0,0,0,0,0,0,0,0,0.0522915,0.020926,0
152,0.0481218,0.0369371,0,0,0,0,0,0.0569304,0,0.028743,0.047299,0,0,0.0288225,0,0,0.0638121,0.0347029,0.0292743,0.0288097,0.0200748,0.0371007,0.0303161,0.0314434,0.0309122,0.0342764,0.0302397,0.039118,0.040058,0.0306878,0.0334617,0.0196469,0.034355,0.0170867,0.0297354,0.0563376,0,0.0237657,0.0500912,0.039962,0,0,0.0111091,0,0,0.0167157,0.0493098,0.0405557,0.0356824,0.0214173,0.0461477,0.0364784,0.048641,0.0583555,0.0455889,0.0657629,0.0479464,0.0535562,0.0767745,0.0359743,0.0153441,0.00734822,0.0419412,0.067182,0,0,0,0,0,0,0,0,0.0525036,0.0202545,0
153,0.0481502,0.0368446,0,0,0,0,0,0.0577764,0,0.0288445,0.0471813,0,0,0.0288848,0,0,0.0639482,0.0351686,0.0292904,0.0287098,0.0203075,0.0368858,0.0306251,0.0316618,0.0305395,0.0343117,0.0307339,0.0393208,0.0402274,0.0307586,0.0336229,0.020147,0.0342451,0.0172132,0.0298543,0.0580825,0,0.0250105,0.0505573,0.0397942,0,0,0.0110835,0,0,0.016755,0.0495658,0.0421196,0.0357282,0.0225192,0.0457999,0.0362598,0.0489932,0.0570655,0.0462427,0.0648338,0.0473578,0.0526219,0.0763042,0.0360175,0.0154295,0.00730069,0.0418537,0.0671361,0,0,0,0,0,0,0,0,0.052822,0.021279,0
154,0.0479698,0.0372633,0,0,0,0,0,0.0529192,0,0.0255155,0.0470089,0,0,0.0290795,0,0,0.0643367,0.0352995,0.0270388,0.0284733,0.0218606,0.0358019,0.0308789,0.0318179,0.0286304,0.034613,0.0321014,0.0415755,0.0416815,0.0334814,0.0364361,0.0165797,0.0338473,0.0170957,0.0301488,0.0569791,0,0.0222297,0.0509073,0.0398732,0,0,0.0104326,0,0,0.0176128,0.0496472,0.0407622,0.0362738,0.0246661,0.0446966,0.0367079,0.0478955,0.0549013,0.0461469,0.0674907,0.0512684,0.0551293,0.0773618,0.0358556,0.0149222,0.00738796,0.0423408,0.0670067,0,0,0,0,0,0,0,0,0.0519271,0.0199501,0
155,0.0479293,0.0373126,0,0,0,0,0,0.0534886,0,0.0251735,0.0471937,0,0,0.0290844,0,0,0.0643655,0.0354777,0.0270037,0.0284182,0.0220311,0.0353713,0.0309609,0.0317306,0.0283413,0.03464,0.0319633,0.0417809,0.0417705,0.0334591,0.0365669,0.0164855,0.0337605,0.0169913,0.0301673,0.0589174,0,0.0225886,0.0512171,0.0397632,0,0,0.0101875,0,0,0.0178301,0.0495067,0.0405043,0.0367172,0.0253861,0.044291,0.0367199,0.0476671,0.0545364,0.0462344,0.0682267,0.0522092,0.0555598,0.077332,0.0358492,0.0148409,0.00736403,0.0424792,0.0668287,0,0,0,0,0,0,0,0,0.0515523,0.0210796,0
156,0.0479017,0.0372779,0,0,0,0,0,0.0541094,0,0.0248684,0.0474396,0,0,0.029108,0,0,0.0643767,0.0354765,0.0267847,0.0284114,0.0220891,0.0351637,0.0309994,0.0317295,0.0281129,0.0345722,0.0322474,0.0418026,0.0417944,0.0334728,0.0366411,0.0163422,0.0336882,0.0169516,0.0301765,0.059884,0,0.0224789,0.0512377,0.0396758,0,0,0.0101822,0,0,0.017863,0.0494354,0.0402468,0.0369438,0.0257974,0.0442922,0.0366912,0.0480614,0.0545194,0.0464952,0.0684663,0.0527656,0.0558443,0.0770907,0.0358474,0.014848,0.0073541,0.0425414,0.0666717,0,0,0,0,0,0,0,0,0.0511978,0.0211714,0
