Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,IMUR_M,LTHII,
149,0.0485666,0.0406324,0,0,0,0,0.0361524,0,0.0344983,0.0502069,0,0,0.0265967,0,0,0.0633884,0.0255817,0.0231678,0.0363877,0.0244988,0.0492108,0.0322441,0.0330558,0.0332805,0.0252595,0.0362791,0.0369224,0.0276104,0.0295056,0.0247508,0.0379134,0.0226564,0.0313889,0.043805,0,0.0223478,0.0343912,0.0411272,0,0,0.0150607,0,0,0.0187091,0.0611478,0.0575583,0.0245796,0.04098,0.0504181,0.0379958,0.0320775,0.0600477,0.0552499,0.0246699,0.0602348,0.0388488,0.0447554,0.079147,0.0710856,0.0359181,0.0118533,0.00757198,0.0458632,0.0692631,0,0,0,0,0,0,0,0,0,0,0.0328001,0
150,0.0485251,0.0406233,0,0,0,0,0.0364735,0,0.0344462,0.0505811,0,0,0.0262292,0,0,0.0630135,0.0254762,0.0232528,0.036028,0.024909,0.0484176,0.0316791,0.0327457,0.0328145,0.0249165,0.0363347,0.0369413,0.0278349,0.0296279,0.0243431,0.0383153,0.0226457,0.0306087,0.0434134,0,0.022958,0.0340824,0.0414045,0,0,0.0148921,0,0,0.0188412,0.0605793,0.0589424,0.0248364,0.0413345,0.0497077,0.0377198,0.0315179,0.0599503,0.0552272,0.0245289,0.0604135,0.0387719,0.0451917,0.0793644,0.0720307,0.0363152,0.0121753,0.0072919,0.0461188,0.0694207,0,0,0,0,0,0,0,0,0,0,0.0327424,0
151,0.0484522,0.0406115,0,0,0,0,0.0370482,0,0.0344105,0.0505882,0,0,0.0259801,0,0,0.0626313,0.0255605,0.0233605,0.035721,0.0253081,0.047689,0.0312107,0.0323837,0.0321613,0.0247491,0.0363918,0.0368717,0.0280929,0.0298552,0.0237923,0.038658,0.0225446,0.029921,0.0428865,0,0.023391,0.0340006,0.0415664,0,0,0.014607,0,0,0.0190862,0.0599317,0.0595263,0.0253097,0.0416217,0.0492368,0.0372783,0.0315267,0.0599125,0.0551997,0.0245009,0.0601663,0.0384637,0.0453612,0.0791211,0.0720932,0.0367578,0.0123122,0.00703988,0.0462565,0.0694976,0,0,0,0,0,0,0,0,0,0,0.0326769,0
152,0.0483335,0.0407647,0,0,0,0,0.0382398,0,0.0339433,0.0504277,0,0,0.0257185,0,0,0.0626382,0.025662,0.0234442,0.0356116,0.0248249,0.0467188,0.0305618,0.0317241,0.0318121,0.0249638,0.0363741,0.0369047,0.0281812,0.0299392,0.0237422,0.0389102,0.0221202,0.0292761,0.0424088,0,0.0233582,0.0339095,0.0415765,0,0,0.014198,0,0,0.0193282,0.059406,0.0591983,0.0257722,0.041591,0.048851,0.0368083,0.0315984,0.0600376,0.0551279,0.0247771,0.0598089,0.0381347,0.0450647,0.0790542,0.071305,0.0370917,0.0123838,0.00675619,0.0465475,0.0692902,0,0,0,0,0,0,0,0,0,0,0.0327258,0
153,0.0477416,0.0407124,0,0,0,0,0.0388777,0,0.0331827,0.0507438,0,0,0.0249901,0,0,0.0618444,0.0262906,0.0237018,0.0349582,0.0239347,0.045186,0.0288846,0.031048,0.0317491,0.0252104,0.0363863,0.0368301,0.0283387,0.0303507,0.0241858,0.0403082,0.0209537,0.0276154,0.0417822,0,0.0232782,0.0369237,0.0413609,0,0,0.0138976,0,0,0.0192619,0.0585224,0.0581538,0.0285294,0.0416589,0.0492547,0.0363084,0.0329896,0.0642823,0,0.0258173,0.0588858,0.0359144,0.04399,0.078946,0.0684445,0.0375793,0.012759,0.00665234,0.0472102,0.067852,0,0,0,0,0,0,0,0,0,0,0.0333937,0
154,0.0478526,0.0407081,0,0,0,0,0.0396282,0,0.0325299,0.0508793,0,0,0.0247841,0,0,0.0619364,0.026364,0.0239903,0.0346425,0.0231442,0.0447346,0.0281994,0.0302549,0.0314789,0.0256456,0.0366191,0.0371113,0.0286022,0.0307322,0.0245327,0.0405441,0.0209335,0.0274749,0.0418583,0,0.0230531,0.0374829,0.0411021,0,0,0.0137791,0,0,0.0192822,0.0579976,0.0570446,0.0288848,0.0411877,0.0495317,0.0361537,0.0334893,0.0646682,0,0.0257386,0.0588892,0.036075,0.0440387,0.078733,0.0661327,0.0375723,0.0128055,0.00677059,0.0476724,0.0676394,0,0,0,0,0,0,0,0,0,0,0.0338648,0
155,0.0479435,0.0406552,0,0,0,0,0.0403339,0,0.0320208,0.0509783,0,0,0.0245914,0,0,0.0619111,0.0263456,0.0245151,0.034406,0.0224861,0.0444454,0.0276443,0.0295076,0.0312659,0.0261139,0.0367322,0.0373604,0.0287495,0.031067,0.0250019,0.0406214,0.0209954,0.0272686,0.0418428,0,0.0227117,0.038053,0.0408039,0,0,0.0135359,0,0,0.019169,0.0575158,0.0564128,0.0292649,0.0404702,0.0501823,0.0361499,0.0341861,0.0650975,0,0.0254439,0.0591728,0.0364579,0.0443244,0.0786763,0.0644238,0.0374177,0.012937,0.00704355,0.0480624,0.0673594,0,0,0,0,0,0,0,0,0,0,0.0343333,0
156,0.047958,0.0406349,0,0,0,0,0.0409395,0,0.0316531,0.0511273,0,0,0.0244604,0,0,0.0619523,0.026516,0.0248481,0.0342037,0.021953,0.0442662,0.0271784,0.0285033,0.0311347,0.0263569,0.0368081,0.0374201,0.0288014,0.0313013,0.0254697,0.0406097,0.0209103,0.0272051,0.0417679,0,0.0222887,0.0386781,0.0404995,0,0,0.0133007,0,0,0.019184,0.0570552,0.0561162,0.0296137,0.0395404,0.0510964,0.0362559,0.0347414,0.0655163,0,0.0255592,0.0595506,0.0368681,0.044645,0.0787217,0.0630391,0.0372783,0.0131166,0.00739519,0.0483528,0.0670494,0,0,0,0,0,0,0,0,0,0,0.0347741,0
157,0.0479223,0.040645,0,0,0,0,0.0413878,0,0.0314128,0.0513084,0,0,0.0243579,0,0,0.061959,0.0267697,0.0251508,0.0339159,0.0214321,0.0442622,0.0267423,0.0278114,0.0310087,0.0266807,0.0368675,0.0375509,0.0289291,0.0314897,0.0258443,0.0406906,0.0208211,0.0271269,0.0417408,0,0.022282,0.0392593,0.040231,0,0,0.013149,0,0,0.0192563,0.0565757,0.0559429,0.0300284,0.0383192,0.0518422,0.0364545,0.0352189,0.0659907,0,0.026018,0.0598467,0.0373494,0.0450145,0.0785653,0.0616737,0.0371992,0.0130769,0.00771975,0.0486155,0.0667158,0,0,0,0,0,0,0,0,0,0,0.0353372,0
158,0.0478448,0.0406668,0,0,0,0,0.0416734,0,0.0312102,0.05151,0,0,0.0242241,0,0,0.0619702,0.0270396,0.0259671,0.0335744,0.0208976,0.0443467,0.0263934,0.0275278,0.0309442,0.0270914,0.0370207,0.0377759,0.0291724,0.0318937,0.0260724,0.0407982,0.0207847,0.0270702,0.0416858,0,0.0224683,0.0398968,0.0400506,0,0,0.0130422,0,0,0.0192781,0.0560884,0.0558346,0.0305542,0.0368758,0.0524901,0.0366862,0.0357193,0.0667084,0,0.0265757,0.0600511,0.0377946,0.0453251,0.0783161,0.0604884,0.0371216,0.0128492,0.008019,0.0487712,0.0663576,0,0,0,0,0,0,0,0,0,0,0.0359722,0
