Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTIB,IMUL_R,LASI,RTHII,IMUR_M,IMUL_M
19,0.052702,0.0345361,0,0,0,0.0361221,0,0.0280508,0,0,0.0195711,0,0,0.0553592,0.0466653,0.036805,0.0197504,0,0.0489494,0.0257281,0.0283013,0.041459,0.0466104,0.0261806,0.0338904,0.0255232,0.0213007,0.0563812,0.0501615,0.0148893,0.0209354,0.0448733,0,0.0241622,0.0626651,0.0385308,0,0,0.0121725,0,0,0.0159975,0.0426144,0.0375805,0.0380076,0.0223245,0.0468306,0.0363571,0.0457868,0.057431,0.0375513,0.0557635,0.0416252,0.0471292,0.0682933,0.0212754,0.0362036,0.0115927,0.00577133,0.0404256,0.0715851,0,0,0,0,0,0,0,0,0.0360461,0,0,0,0,0
20,0.0531556,0.0347472,0,0,0,0.0355422,0,0.0278774,0,0,0.0196072,0,0,0.0564262,0.0500661,0.0338646,0.0176028,0,0.048467,0.0268105,0.0308688,0.0529953,0,0,0.0358627,0.0275346,0.0227043,0.0518655,0.0487741,0.0150299,0.0229029,0.0446165,0,0.0233468,0,0.0383674,0,0,0.0125882,0,0,0.0163335,0.0397604,0.0402016,0.0404622,0.0211779,0.0443685,0.0373524,0.0423711,0.0580591,0.0340466,0.0553255,0.0421328,0.0468204,0.0669189,0.0220677,0.0351863,0.0105603,0.00664368,0.0404399,0.0719982,0,0,0,0,0,0,0,0,0,0,0.0340484,0.0488302,0,0
21,0.0527691,0.0344133,0,0,0,0.0349001,0,0.0279501,0,0,0.0190934,0,0,0.0556622,0.0479594,0.0332049,0.0272717,0,0.0508068,0.0262037,0.032917,0,0,0.0105427,0.0360615,0.0280948,0.0226748,0.0526919,0.0503169,0.0147098,0.0218222,0.0459279,0,0.0238168,0.0624383,0.0370666,0,0,0.0120219,0,0,0.0156242,0.0431083,0.0369629,0.0326565,0.0218009,0.0434822,0.0346034,0.0440533,0.0552573,0.035821,0.0583266,0.044211,0.0491576,0.0698804,0.0221432,0.0370429,0.0122199,0.00482511,0.0407258,0.0697312,0,0,0,0,0,0,0,0,0,0,0,0.0460796,0,0
22,0.0535048,0.0341097,0,0,0,0.0350793,0,0.0278213,0,0,0.0201265,0,0,0.0566878,0.0472543,0.0303526,0.0116896,0,0.0511102,0.0268256,0.0337307,0.146219,0,0,0.0422004,0.0344851,0.0298088,0.0552119,0.0483087,0.0154575,0.0233172,0.0451154,0,0.022278,0.059462,0.0402369,0,0,0.0130175,0,0,0.0170173,0.0395448,0.0353048,0.0380163,0.0198367,0.0494476,0.039051,0.043416,0.0532333,0.0330386,0.0592475,0.0449289,0.0502374,0.0713869,0.0221427,0.0341077,0.00961081,0.00813421,0.0381014,0.0750122,0,0,0,0,0,0,0,0,0.0419102,0,0.0279901,0.0448257,0,0
23,0.0528941,0.0341133,0,0,0,0.0414326,0,0.0298234,0,0,0.0193615,0,0,0.056078,0.0460516,0.0434966,0.0239918,0,0.0523684,0.0259872,0.0234254,0,0,0.0819745,0.0291308,0.0246312,0.0235871,0.0546097,0.0498745,0.0156128,0.0220003,0.0456012,0,0.0236101,0.0641716,0.0377484,0,0,0.0121047,0,0,0.0158618,0.0441663,0.0375099,0.0317817,0.0219178,0.0451379,0.0356151,0.0428705,0.0524289,0.0349625,0.057575,0.0437985,0.0488733,0.0697924,0.022463,0.0363107,0.0117077,0.00574088,0.0392672,0.0712851,0,0,0,0,0,0,0,0,0.0293966,0,0,0.0462704,0,0
24,0.0507116,0.0349162,0,0,0,0.0381541,0,0.0282779,0,0,0.0202374,0,0,0.0566686,0.0477522,0.0369279,0.0240806,0.0119169,0.0489801,0.0248495,0.0329471,0,0,0,0.0342471,0.0287152,0.0255131,0.0551887,0.048122,0.0154608,0.0231645,0.0447558,0,0.0230685,0.06351,0.0392894,0,0,0.0114869,0,0,0.015798,0.0417453,0.0379182,0.0349238,0.0212453,0.0418738,0.0366613,0.0443232,0.0555343,0.03461,0.0582928,0.0447113,0.0495882,0.0704799,0.0225036,0.036928,0.0119467,0.00593266,0.0413822,0.0695314,0,0,0,0,0,0,0,0,0.0346383,0,0.0359857,0.0467601,0,0
25,0.0515635,0.0343776,0,0,0,0.0372821,0,0.0290926,0,0,0.0199277,0,0,0.0561768,0.0464737,0.0376898,0.0300247,0,0.0494623,0.0245764,0.0318988,0,0,0,0.0351177,0.029685,0.0259929,0.0601553,0.0492589,0.015449,0.0225696,0.0455222,0,0.0239993,0.0644657,0.0380432,0,0,0.0119483,0,0,0.01543,0.0450037,0.0387148,0.0314616,0.0225778,0.0402276,0.0359455,0.0440315,0.0547903,0.0358866,0.0577211,0.044358,0.0491268,0.0699619,0.0229057,0.0366702,0.011892,0.00539866,0.0410628,0.0683034,0,0,0,0,0,0,0,0,0.0350693,0,0,0.0467941,0,0
26,0.0519777,0.0340001,0,0,0,0,0,0.0206603,0,0,0.0203531,0,0,0.0564452,0.0474048,0.0224265,0.0184591,0,0.0496689,0.0245333,0.0378957,0.0895676,0,0,0.0422137,0.03313,0.0278909,0.0547131,0.0486919,0.0157774,0.0228044,0.0466813,0,0.0229615,0.0608944,0.0397616,0,0,0.0125494,0,0,0.0161711,0.0420178,0.0375313,0.0353228,0.0208754,0.0449628,0.0383117,0.0437846,0.0553733,0.0336373,0.0585951,0.0449219,0.0497203,0.0709379,0.0242669,0.0350038,0.0104214,0.00704186,0.0392813,0.0716259,0,0,0,0,0,0,0,0,0,0,0.0315537,0.0454487,0,0
27,0.051384,0.034104,0,0,0,0,0,0.0190447,0,0,0.0206061,0,0,0.056444,0.0456941,0.0270216,0.0209783,0,0.0486624,0.0238918,0.0341991,0.0908583,0,0,0.0366872,0.0281433,0.0243686,0.05329,0.0484635,0.0156624,0.0226506,0.051489,0,0.0249504,0.0619452,0.0400237,0,0,0.0123837,0,0,0.0161482,0.0449636,0.0393931,0.0333206,0.0221131,0.0434965,0.0384334,0.0438172,0.0547637,0.0350255,0.0573511,0.0438098,0.0478387,0.0690351,0.0276503,0.0352077,0.0106036,0.00700411,0.0398876,0.0708862,0,0,0,0,0,0,0,0,0.0356818,0,0,0.046073,0,0
28,0.0528026,0.0338158,0,0,0,0,0,0.0226831,0,0,0.0192881,0,0,0.0565035,0.0489557,0.0312383,0.0212476,0.0199716,0.0517491,0.0247538,0.0343519,0.0767307,0,0,0.0337175,0.0258838,0.0239723,0.0486108,0.0498006,0.0154803,0.0217738,0.0459465,0,0.0212047,0.0617265,0.0378582,0,0,0.01233,0,0,0.0158829,0.042503,0.0375731,0.0330616,0.0212193,0.0444577,0.0362477,0.0410761,0.053369,0.0316461,0.0607491,0.0475711,0.0517461,0.0718779,0.0232194,0.0355287,0.011047,0.00629764,0.0389913,0.070862,0,0,0,0,0,0,0,0,0.0334022,0,0.032646,0.0441716,0,0
