Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M,IMUR_M,
37,0.0384814,0.044953,0,0,0,0,0.0204377,0,0.0337549,0.0490265,0,0,0.0305789,0,0,0.0581863,0.0142937,0.0132779,0.0317509,0.063622,0.0207391,0.029876,0.024377,0.108422,0.0343762,0.0449978,0.0474956,0.0341236,0.0319655,0.0401934,0.0413193,0.0167867,0.0231866,0.0461246,0,0.0151807,0.0233627,0.0596542,0,0,0.00796638,0,0,0.021101,0.062379,0.050737,0.0385411,0.041213,0.0754927,0.0400554,0.0347698,0.0629179,0,0.0240489,0.0584186,0.0358654,0.0425208,0.07418,0.0650366,0.0462098,0.0147354,0.00815079,0.0486921,0.0799883,0,0,0,0,0,0,0,0,0,0,0
38,0.0391382,0.0446,0,0,0,0,0.0206287,0,0.0336569,0.0492431,0,0,0.0307968,0,0,0.0588542,0.01458,0.0133861,0.031647,0.0640272,0.0212192,0.0300656,0.0245043,0.108543,0.0346204,0.0449381,0.0475543,0.0342238,0.032227,0.0392715,0.0402431,0.0177396,0.02433,0.0466442,0,0.0153531,0.0225817,0.0595478,0,0,0.00806877,0,0,0.0209851,0.0624858,0.0511193,0.0373134,0.040308,0.0758504,0.0400509,0.0339201,0.0586024,0.0474284,0.024251,0.0602283,0.038881,0.0441877,0.0748871,0.0648814,0.045622,0.0144502,0.00820619,0.0483534,0.0806569,0,0,0,0,0,0,0,0,0,0,0
39,0.0390129,0.0445306,0,0,0,0,0.0208206,0,0.0335247,0.0491619,0,0,0.0308038,0,0,0.0587502,0.0148364,0.0138228,0.0311793,0.0643283,0.0211012,0.0298988,0.0248425,0.108867,0.0345886,0.04487,0.0476107,0.0341726,0.0323198,0.0384654,0.0401644,0.0176947,0.0243367,0.046676,0,0.0154943,0.0228927,0.0593887,0,0,0.00813992,0,0,0.020828,0.0620446,0.0513811,0.0380143,0.0397803,0.0767025,0.040227,0.0342696,0.0589526,0.0480592,0.0242781,0.0611022,0.0399471,0.0452636,0.0754029,0.0638517,0.0456389,0.0144378,0.00825827,0.0485083,0.0803332,0,0,0,0,0,0,0,0,0,0,0
40,0.0388159,0.0445129,0,0,0,0,0.021083,0,0.0333884,0.0489764,0,0,0.0308744,0,0,0.0586467,0.0152084,0.0143249,0.0307822,0.0644563,0.0209823,0.0296051,0.0250191,0.109374,0.0345904,0.044824,0.0476554,0.0341359,0.0323246,0.0378565,0.0400998,0.0176154,0.0244446,0.0466589,0,0.0156152,0.023193,0.059318,0,0,0.00804915,0,0,0.0206685,0.0616313,0.0517003,0.0388432,0.0390214,0.0775147,0.0403544,0.0346783,0.0593164,0.0478862,0.0243546,0.0619071,0.0409346,0.0461512,0.0760557,0.0629211,0.0455949,0.014378,0.00829855,0.04859,0.0798133,0,0,0,0,0,0,0,0,0,0,0
41,0.0386117,0.0445745,0,0,0,0,0.0213388,0,0.0332419,0.0489387,0,0,0.0309789,0,0,0.058625,0.0155557,0.0145836,0.0304984,0.0645201,0.0208019,0.0294612,0.0247158,0.109977,0.0346163,0.0447015,0.0476362,0.0341265,0.032295,0.0373634,0.0400102,0.0176042,0.0245313,0.0466523,0,0.0157324,0.0236174,0.0593311,0,0,0.00808026,0,0,0.0206486,0.0612724,0.0521199,0.0397049,0.03819,0.0782254,0.0404817,0.0352117,0.0599215,0.0476838,0.0244097,0.0626298,0.0417693,0.046864,0.0766637,0.0618771,0.0454967,0.0143259,0.00835871,0.0485471,0.0792284,0,0,0,0,0,0,0,0,0,0,0
42,0.0384491,0.0447193,0,0,0,0,0.0215928,0,0.0330746,0.0490746,0,0,0.0310434,0,0,0.0587183,0.0157579,0.014781,0.0303129,0.0643954,0.02062,0.0293195,0.0241541,0.109737,0.0346141,0.0446557,0.0476371,0.0342168,0.0322479,0.0366051,0.0398631,0.017606,0.024578,0.0467576,0,0.0158956,0.0240769,0.0591691,0,0,0.00818234,0,0,0.0205825,0.0609406,0.0526912,0.0405381,0.0371934,0.078829,0.0406091,0.0358589,0.0606847,0.0477279,0.0245929,0.0631801,0.0423666,0.0473699,0.0769523,0.0611542,0.0454872,0.0142843,0.00834924,0.0484601,0.0790062,0,0,0,0,0,0,0,0,0,0,0
43,0.0382965,0.0448004,0,0,0,0,0.0219739,0,0.0329106,0.049232,0,0,0.0311191,0,0,0.0588068,0.0160264,0.0149951,0.0300289,0.0642311,0.0204824,0.0291048,0.0238901,0.109404,0.0346162,0.0446058,0.0477894,0.0341365,0.0322653,0.035795,0.0397998,0.0175949,0.0246248,0.0468713,0,0.0161332,0.02457,0.0590033,0,0,0.00820372,0,0,0.0205025,0.0605674,0.0531351,0.0412806,0.0361462,0.0793414,0.0406989,0.0366993,0.0616236,0.0477978,0.0251333,0.0638515,0.0429796,0.047868,0.0772398,0.060647,0.0454667,0.014256,0.00831473,0.0482914,0.0785003,0,0,0,0,0,0,0,0,0,0,0
44,0.0381532,0.0448358,0,0,0,0,0.0223773,0,0.032763,0.0494251,0,0,0.0311902,0,0,0.0588123,0.0162729,0.0151891,0.0297337,0.0640984,0.0203584,0.0291002,0.0237863,0.10902,0.0345913,0.044526,0.0478243,0.0340361,0.0322342,0.0350746,0.0398394,0.0175807,0.0246727,0.0471175,0,0.0164692,0.0250982,0.0588797,0,0,0.00826009,0,0,0.020614,0.060292,0.0534048,0.0419755,0.0350956,0.0797903,0.0407116,0.0376147,0.0625825,0.0478465,0.0259413,0.0649013,0.043824,0.0485405,0.0776945,0.0603232,0.0453949,0.0143452,0.0083307,0.0480445,0.0780525,0,0,0,0,0,0,0,0,0,0,0
45,0.03806,0.0448546,0,0,0,0,0.0226189,0,0.0325788,0.0496199,0,0,0.0312422,0,0,0.0585694,0.0165191,0.0152991,0.0294208,0.0639222,0.0201898,0.029025,0.0237609,0.108953,0.034602,0.0444622,0.0478205,0.0340437,0.0321462,0.0344693,0.0399481,0.0173897,0.0246917,0.0472475,0,0.0166494,0.025613,0.0587791,0,0,0.00834955,0,0,0.0207128,0.0599313,0.0536017,0.0426751,0.0336123,0.0801961,0.0406778,0.0385599,0.0637091,0.0480801,0.0268453,0.0659978,0.0448099,0.0494865,0.078245,0.0605935,0.0453546,0.0144071,0.00833413,0.0476705,0.0777367,0,0,0,0,0,0,0,0,0,0,0
46,0.0379552,0.0448759,0,0,0,0,0.0227585,0,0.0324322,0.0499017,0,0,0.0312326,0,0,0.058204,0.0168117,0.0154163,0.0290834,0.0636571,0.0199897,0.0286609,0.0236051,0.109045,0.0347459,0.0443476,0.0477721,0.034205,0.0321016,0.0337739,0.0399343,0.0172086,0.02458,0.047256,0,0.0167312,0.0262656,0.0586578,0,0,0.00840291,0,0,0.0207077,0.0598134,0.053604,0.0434,0.0320214,0.0805417,0.0406633,0.0395399,0.0650801,0.0483515,0.0278184,0.0669159,0.0458287,0.0504011,0.0788432,0.0608514,0.04543,0.014452,0.0082842,0.0472027,0.0775215,0,0,0,0,0,0,0,0,0,0,0
