Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,LASI,LKNE,RTIBP,IMUR_M,IMUL_M,LTHII,RTHII
71,0.0473882,0.0386104,0,0,0,0.0490772,0,0.0197335,0,0,0.0248251,0,0,0.0623798,0.0484299,0.0327311,0.021456,0.0475634,0.0364292,0.0325448,0.0477112,0.0213445,0.0305064,0.0327749,0.0194092,0.0159023,0.0342161,0.0394163,0.0189544,0.0252253,0.0439906,0,0.0212297,0.0527079,0.0392379,0,0,0.0178608,0,0,0.019112,0.038202,0.0296005,0.0458121,0.0160584,0.0537913,0.0437065,0.0457817,0.0618882,0.0345974,0.0581644,0.0402999,0.045749,0.0230754,0.0284428,0.00662776,0.0116584,0.0463978,0.0635774,0,0,0,0,0,0,0,0,0,0.0361173,0.00640523,0.0704477,0,0,0.047085,0
72,0.0475436,0.0385343,0,0,0,0.0487482,0,0.0205367,0,0,0.0251075,0,0,0.0624163,0.0491501,0.0334011,0.0210713,0.0487616,0.036709,0.033215,0.0484326,0.0212987,0.0301911,0.0329123,0.0196166,0.0153907,0.0408657,0.0390632,0.0189162,0.0254355,0.0442239,0,0.0216756,0.0532019,0.039444,0,0,0.0181868,0,0,0.0193624,0.0379413,0.030229,0.0457932,0.0159485,0.0538635,0.0442234,0.0455326,0.0618616,0.0344682,0.0581469,0.0402355,0.0458745,0.0234407,0.0281042,0.00646615,0.012101,0.0463628,0.0639424,0,0,0,0,0,0,0,0,0,0.0355134,0.00586281,0.0703078,0,0,0.0482398,0
73,0.0476622,0.0384591,0,0,0,0.0462063,0,0.0217883,0,0,0.025309,0,0,0.0624154,0.0496683,0.0346359,0.0208356,0.0498497,0.0369371,0.0340097,0.0490805,0.0213116,0.0297055,0.0333001,0.020017,0.015126,0.047348,0.0388039,0.0188259,0.025522,0.0445218,0,0.0221795,0.0536025,0.0396859,0,0,0.0184679,0,0,0.0195797,0.0379378,0.0309288,0.0456212,0.0161514,0.0536774,0.0445917,0.045313,0.0615936,0.0346847,0.0582961,0.0402383,0.0458298,0.0238197,0.0278777,0.00632068,0.0124437,0.0461867,0.0642094,0,0,0,0,0,0,0,0,0,0.0350144,0.00529481,0.0702719,0,0,0.0490684,0
74,0.0476924,0.0384065,0,0,0,0.0421579,0,0.0237805,0,0,0.0255293,0,0,0.0624197,0.0499502,0.0365373,0.0207824,0.0506564,0.037167,0.0349863,0.049613,0.021302,0.030393,0.0337604,0.020809,0.0155233,0.0521876,0.038564,0.0186101,0.0256195,0.044733,0,0.0226811,0.0538685,0.0399314,0,0,0.0186568,0,0,0.0197037,0.0381876,0.0315818,0.0453491,0.0165001,0.0533183,0.0447667,0.0450982,0.0612552,0.0350441,0.0582508,0.0402451,0.0457732,0.0239962,0.0277184,0.00618067,0.0126466,0.0459615,0.0644838,0,0,0,0,0,0,0,0,0,0.0345711,0.00479626,0.0699778,0,0,0.0496551,0
75,0.0477614,0.0384421,0,0,0,0.0389685,0,0.0256167,0,0,0.025702,0,0,0.0624417,0.050102,0.0375379,0.0207716,0.0510201,0.0372944,0.0353639,0.0499327,0.0212715,0.03134,0.0340287,0.021799,0.0165007,0.0542508,0.0383507,0.0183827,0.0257242,0.0449068,0,0.0231151,0.0540272,0.0400348,0,0,0.0186922,0,0,0.0196925,0.0385274,0.0321531,0.0450515,0.0168533,0.052869,0.0447324,0.0449125,0.0608166,0.035275,0.057991,0.0401934,0.0457051,0.0240252,0.0276902,0.00619117,0.0127441,0.0458925,0.0647297,0,0,0,0,0,0,0,0,0,0.034067,0.00449502,0.0695047,0,0,0.0501606,0
76,0.0478848,0.0384962,0,0,0,0.0381417,0,0.0262304,0,0,0.0257248,0,0,0.0623584,0.0500282,0.0366895,0.0211114,0.0511512,0.0373934,0.0347404,0.0498099,0.0214074,0.0316217,0.0339479,0.0223941,0.0172842,0.0525906,0.0383134,0.018221,0.025672,0.0450752,0,0.0234239,0.0542631,0.0400049,0,0,0.0185462,0,0,0.0195592,0.0388739,0.0325655,0.0446784,0.0172001,0.052489,0.0444886,0.0447718,0.0605453,0.0352761,0.0577439,0.0401987,0.0457577,0.0240697,0.0278418,0.0062571,0.0125183,0.0459774,0.0648541,0,0,0,0,0,0,0,0,0,0.0335987,0.00416633,0.0692678,0,0,0.0509795,0
77,0.0480451,0.0385736,0,0,0,0.038622,0,0.0263293,0,0,0.0256904,0,0,0.0622513,0.0497785,0.0352057,0.0214614,0.0510908,0.0374572,0.033377,0.0496516,0.0218191,0.0316628,0.0337021,0.0229249,0.0177764,0.0500828,0.0383669,0.0180173,0.0255749,0.0452115,0,0.0236491,0.0546991,0.0399175,0,0,0.018219,0,0,0.0193519,0.0391744,0.0329187,0.0442693,0.0174779,0.0520628,0.0441022,0.0446383,0.0603733,0.0349229,0.057484,0.040161,0.0458175,0.0241488,0.0281986,0.00635068,0.0121344,0.046148,0.0649983,0,0,0,0,0,0,0,0,0,0.0331774,0.00390676,0.0692096,0,0,0.0519969,0
78,0.048222,0.0386505,0,0,0,0.0395316,0,0.0262846,0,0,0.0255591,0,0,0.0621549,0.0493451,0.0338987,0.0215867,0.050911,0.0374204,0.0322164,0.0498082,0.0222261,0.0320551,0.0337084,0.0236378,0.0185218,0.0486282,0.0384593,0.0178879,0.025364,0.0453125,0,0.0235646,0.0552328,0.0398218,0,0,0.0177832,0,0,0.0191754,0.039407,0.0332524,0.0438651,0.0176079,0.0515781,0.0436238,0.0446157,0.0600111,0.0346328,0.0573999,0.040198,0.0458371,0.024236,0.0286572,0.0065609,0.0117172,0.0462249,0.0651752,0,0,0,0,0,0,0,0,0,0.0328121,0.00410745,0.0692025,0,0,0.0526513,0
79,0.048395,0.0386744,0,0,0,0.0402813,0,0.0264358,0,0,0.025402,0,0,0.0620089,0.048809,0.0332755,0.0215986,0.0507456,0.0373278,0.0315422,0.0501321,0.022355,0.0325931,0.0339908,0.0243756,0.0193387,0.047963,0.0385979,0.0178414,0.0250335,0.0453301,0,0.023358,0.0557937,0.0396918,0,0,0.0172966,0,0,0.0190688,0.0397572,0.0335418,0.0434415,0.0175735,0.0509775,0.0431453,0.0444023,0.0596673,0.0345447,0.0574283,0.0402329,0.0458985,0.0243166,0.029122,0.00677215,0.0112459,0.0461762,0.0653621,0,0,0,0,0,0,0,0,0,0.0326069,0.00464032,0.0691592,0,0,0.0529935,0
80,0.0489358,0.0385591,0,0,0,0.0399886,0,0.0270398,0,0,0.0256592,0,0,0.0622899,0.0476188,0.0335437,0.0220413,0.0511546,0.0379134,0.030257,0.0497405,0.0222006,0.0330096,0.0344486,0.0251229,0.0201343,0.0485142,0.0381462,0.018048,0.0254013,0.0453745,0,0.0229161,0.0538515,0.0395158,0,0,0.0169835,0,0,0.018942,0.0408391,0.0319994,0.0402431,0.0176949,0.0500538,0.0426655,0.0426384,0.0571449,0.0332209,0.0597805,0.0425476,0.0479658,0.0241671,0.0292979,0.00679585,0.010913,0.0457499,0.0663691,0,0,0,0,0,0,0,0,0,0.0325403,0.00577578,0.0711192,0,0,0.0527533,0.0473145
