Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
1714,0,0,0,0,0.0167834,0.00728824,0,0,0,0.0199142,0.0145817,0.0106814,0.00358063,0,0,0.00417733,0,0.0258018,0.00206299,0.0449793,0.00854141,0.0158584,0.0105137,0.0115169,0.00462213,0.00605795,0.0055322,0.00832909,0.0285834,0.00485136,0.00307241,0.0020562,0.01458,0.0233261,0.00466867,0.00459702,0.00226261,0.00895779,0.0195742,0.0130411,0.00384559,0.0144311,0,0,0.0101037,0,0.0221148,0.00307205,0.0438822,0.0175292,0.0198134,0.0120964,0.0156842,0.00584528,0.00740906,0.0114678,0.0102672,0.00696733,0.0150037,0.0324872,0.0140707,0.0161034,0.00706569,0.00215132,0.00803811,0.00529785,0.00731238,0.0148299,0,0,0
1715,0,0,0,0,0.0165386,0.00715305,0,0,0,0.019346,0.0145746,0.0101436,0.00351887,0,0,0.00410705,0,0.0258022,0.00202328,0.0450156,0.00791114,0.0157004,0.00957743,0.0113533,0.00454341,0.00536499,0.00530991,0.00770943,0.0282287,0.00436884,0.00315348,0.0019614,0.0147534,0.0227257,0.00458703,0.00457876,0.00220617,0.00933284,0.0195102,0.0128734,0.00402847,0.0145171,0,0,0.00998176,0,0.0220348,0.00285517,0.0435859,0.0169533,0.019753,0.0114376,0.015556,0.00582876,0.00686865,0.0114732,0.0104349,0.00671009,0.0144194,0.032237,0.0135705,0.0148855,0.0077663,0.00211983,0.00796816,0.00524706,0.00731965,0.0148578,0,0,0
1716,0,0,0,0,0.0162782,0.0069835,0,0,0,0.0185799,0.0146388,0.00952583,0.00320833,0,0,0.00407091,0,0.0257195,0.0020124,0.044889,0.00718749,0.015715,0.0091241,0.011848,0.00443761,0.0048484,0.00515719,0.00727474,0.0280613,0.00413045,0.00313903,0.00184581,0.0149032,0.0220555,0.00458307,0.00462585,0.00210365,0.00941641,0.0195461,0.0127483,0.00390048,0.0147,0,0,0.0100188,0,0.0219513,0.0025995,0.0432899,0.016335,0.0198204,0.0115568,0.016003,0.00585892,0.00680066,0.0115515,0.0104047,0.00663768,0.01407,0.0318966,0.0133179,0.013913,0.00772627,0.0019806,0.00779176,0.00514189,0.00712288,0.0148648,0,0,0
1717,0,0,0,0,0.0161161,0.00687089,0,0,0,0.0176896,0.0146614,0.00878113,0.00317997,0,0,0.00396977,0,0.0256771,0.00198826,0.044904,0.00654797,0.0155461,0.00844908,0.0118094,0.00434165,0.00446858,0.00528535,0.00686637,0.0278589,0.00376617,0.00310268,0.00173842,0.0151341,0.0210871,0.00451705,0.00470016,0.00199883,0.00984762,0.0195726,0.0125226,0.00403247,0.0148767,0,0,0.00993321,0,0.0219504,0.00246076,0.0430324,0.0157417,0.0198826,0.010873,0.0159116,0.00579232,0.00661847,0.0117399,0.0105295,0.00646298,0.0135157,0.0316506,0.0129185,0.0131366,0.0087167,0.00188989,0.00785848,0.00497339,0.00725873,0.0148931,0,0,0
1718,0,0,0,0,0.0160635,0.00679455,0,0,0,0.0169098,0.0146895,0.00808323,0.00296379,0,0,0.00392657,0,0.0256258,0.00198481,0.0448953,0.00602841,0.0153344,0.00775147,0.0118138,0.00424998,0.00426371,0.00558011,0.00650692,0.0278035,0.00334976,0.00314521,0.0016753,0.015381,0.0202473,0.00445817,0.00472897,0.00191506,0.0105168,0.0195756,0.0121951,0.00418312,0.0150505,0,0,0.00994064,0,0.0219285,0.00240503,0.0429334,0.0151247,0.0199231,0.0102278,0.0158713,0.00563883,0.00645251,0.0118477,0.0107377,0.00637427,0.0129467,0.0314332,0.0124977,0.0128654,0.010047,0.0018425,0.00783687,0.0048404,0.00734717,0.0149154,0,0,0
1719,0,0,0,0,0.0160398,0.00670762,0,0,0,0.0162301,0.014729,0.00737084,0.00281559,0,0,0.00390046,0,0.0255912,0.00199183,0.0449108,0.00557419,0.0150484,0.00701775,0.0117736,0.00410504,0.00422269,0.00606335,0.00618684,0.0278187,0.00294031,0.00336212,0.00163826,0.0156201,0.0195639,0.00439526,0.00475903,0.00182782,0.0112589,0.0195528,0.011952,0.00439824,0.0151672,0,0,0.0100077,0,0.0218965,0.00243842,0.0429695,0.0145267,0.0199248,0.00932844,0.0158043,0.00559203,0.00635672,0.0118074,0.0110555,0.0064101,0.0123967,0.0312618,0.0120696,0.0125067,0.0114409,0.00162789,0.00767614,0.00477732,0.00731993,0.0149342,0,0,0
1720,0,0,0,0,0.0159509,0.00658475,0,0,0,0.0155696,0.0147561,0.00661779,0.00286074,0,0,0.00385444,0,0.0255689,0.00200897,0.0450007,0.00515512,0.0146869,0.00625784,0.0116336,0.00394047,0.00430092,0.00671171,0.00591582,0.0278116,0.00253708,0.00367944,0.00162514,0.0158344,0.0189197,0.00433345,0.00479835,0.00173522,0.0118858,0.0195613,0.0118201,0.00464106,0.0151923,0,0,0.010072,0,0.0218647,0.00202152,0.0431047,0.0139746,0.019971,0.00868295,0.0155612,0.00545651,0.00635066,0.0117295,0.011224,0.00655992,0.0119338,0.0310745,0.0117043,0.0116478,0.0126956,0.00153305,0.00759409,0.00475513,0.00716128,0.0149216,0,0,0
1721,0,0,0,0,0.0157695,0.00651917,0,0,0,0.0146187,0.0146962,0.00587167,0.00356996,0,0,0.00366415,0,0.0256013,0.00195086,0.0453634,0.00496512,0.0140943,0.00538906,0.0105382,0.00376437,0.00435479,0.00740167,0.00557969,0.0275263,0.00209185,0.00388811,0.00161047,0.0160718,0.0177847,0.00412617,0.00475811,0.00175749,0.0126712,0.0195279,0.0116539,0.00537698,0.0150462,0,0,0.00934936,0,0.0218892,0.00165953,0.0432151,0.0134626,0.0199667,0.00775563,0.0143405,0.00515741,0.00623279,0.0116188,0.0113822,0.00660677,0.01138,0.0308925,0.0111881,0.0102365,0.0144609,0.0013135,0.00776504,0.00477488,0.00727569,0.0148588,0,0,0
1722,0,0,0,0,0.0155872,0.00641108,0,0,0,0.0139473,0.0147358,0.0053368,0.00372385,0,0,0.00367179,0,0.0255132,0.00206913,0.0453713,0.00450867,0.0139267,0.00507914,0.0107635,0.00352341,0.00439813,0.00778615,0.00526876,0.0273746,0.00189668,0.00407863,0.00159109,0.0162099,0.0171895,0.00410631,0.00475923,0.00178101,0.0129985,0.0194872,0.0114809,0.0050393,0.015094,0,0,0.010164,0,0.0218313,0.00168021,0.0431431,0.0128561,0.0200458,0.00798733,0.0143824,0.00507169,0.00645786,0.011612,0.0114719,0.00681335,0.0109772,0.0305407,0.0109382,0.010017,0.0148885,0.00189637,0.00727617,0.00466249,0.0065889,0.0148077,0,0,0
1723,0,0,0,0,0.0153763,0.00636263,0,0,0,0.0131111,0.0147691,0.00483379,0.00403451,0,0,0.00353603,0,0.0255178,0.00206387,0.0455777,0.00423876,0.0136438,0.00450368,0.0101774,0.00327326,0.00435044,0.00812271,0.00480031,0.0269568,0.00154092,0.00420098,0.00151972,0.0164295,0.0162442,0.00395121,0.00478896,0.00183355,0.0135692,0.0194084,0.011204,0.00482154,0.0150027,0,0,0.0101969,0,0.0217963,0.0017153,0.0431723,0.0122318,0.0200079,0.00745084,0.01368,0.00489773,0.00647375,0.0115196,0.0115458,0.00684017,0.0104815,0.0302028,0.0104624,0.00912589,0.0159308,0.00229357,0.00710897,0.00469839,0.00621475,0.0147145,0,0,0
