Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B,,x76
268,0.038456,0.0318103,0,0,0,0,0,0.0332453,0,0.0311847,0.0397671,0,0,0.0236918,0,0,0.0506341,0.0446349,0.038209,0.0127781,0.0239344,0.0499621,0.0277914,0.0349823,0.0562648,0.0506708,0.0197824,0.0358079,0.0374207,0.0230784,0.0279304,0.0437874,0.0518181,0.0109941,0.0140882,0.0333709,0,0.0153666,0.0367333,0.0334255,0,0,0.0165256,0,0,0.0192549,0.0528101,0.0361303,0.0146206,0.01935,0.0516368,0.0434545,0.0384041,0.0725138,0.0763666,0.0495981,0.0683757,0.0459377,0.0508711,0.0775916,0.0212421,0.0280212,0.00842392,0.0081235,0.0374188,0.0786652,0,0,0,0,0,0,0,0,0,0,0
269,0.0386803,0.0316698,0,0,0,0,0,0.0325541,0,0.0312037,0.0398058,0,0,0.0237979,0,0,0.0505595,0.0444855,0.0380545,0.012689,0.0237263,0.0500369,0.0275889,0.0347355,0.056164,0.0508486,0.0197353,0.0356639,0.0368879,0.023013,0.0277041,0.0447798,0.0519078,0.0110736,0.0135057,0.0329263,0,0.01523,0.036733,0.0337239,0,0,0.0165051,0,0,0.0191849,0.0530825,0.0365109,0.0143966,0.0199908,0.0518109,0.0434082,0.038197,0.0722779,0.0763183,0.0493672,0.0683462,0.0459981,0.0509004,0.0775171,0.0220379,0.0280485,0.00840831,0.00799413,0.0372754,0.078826,0,0,0,0,0,0,0,0,0,0,0
270,0.0387811,0.031526,0,0,0,0,0,0.031838,0,0.0311724,0.0400203,0,0,0.0238664,0,0,0.050477,0.0442349,0.0378749,0.0126477,0.0234822,0.0500362,0.0273505,0.0343994,0.0558941,0.0510525,0.0197279,0.0356634,0.0367186,0.0230468,0.0274661,0.0457591,0.0520202,0.0110581,0.013309,0.0326156,0,0.0151087,0.0369768,0.0339244,0,0,0.0164991,0,0,0.0191427,0.0533775,0.0368931,0.0143874,0.0205986,0.0519945,0.0433071,0.0378413,0.072114,0.0762254,0.0491996,0.068356,0.0459859,0.0509436,0.0774744,0.0228019,0.0280904,0.00838487,0.00788025,0.0371743,0.07892,0,0,0,0,0,0,0,0,0,0,0
271,0.0388484,0.0314309,0,0,0,0,0,0.0310459,0,0.0311809,0.0404095,0,0,0.0238657,0,0,0.0503965,0.0440543,0.0377581,0.012643,0.0232384,0.049991,0.0272377,0.0340317,0.0557388,0.0512535,0.0197514,0.0357523,0.0366925,0.0231986,0.0273522,0.0470446,0.0520574,0.0110447,0.0132085,0.0322665,0,0.015098,0.0373192,0.0339031,0,0,0.0164849,0,0,0.0190794,0.0534188,0.0373028,0.0144382,0.0211613,0.0521037,0.0432003,0.0374995,0.0719659,0.0761577,0.049045,0.0681887,0.0459309,0.0507927,0.077504,0.0236194,0.0281717,0.00839603,0.00773921,0.0371003,0.0790809,0,0,0,0,0,0,0,0,0,0,0
272,0.0389223,0.0313664,0,0,0,0,0,0.0301324,0,0.0312546,0.0406796,0,0,0.0238649,0,0,0.0503658,0.0440012,0.0376994,0.0127,0.0230515,0.0499068,0.0272183,0.0339274,0.0555405,0.0514041,0.0197529,0.0359491,0.0366675,0.0233774,0.0272976,0.0485425,0.0521179,0.011006,0.0130816,0.03178,0,0.0151508,0.0377323,0.0340573,0,0,0.0164564,0,0,0.019024,0.0529763,0.0378488,0.0142629,0.0217604,0.0520997,0.043091,0.0371504,0.0717909,0.0761385,0.0489106,0.0681761,0.0458034,0.0506251,0.0775038,0.0246806,0.0282923,0.00843326,0.00751455,0.0370787,0.0792179,0,0,0,0,0,0,0,0,0,0,0
273,0.0389074,0.0312874,0,0,0,0,0,0.029191,0,0.0312752,0.0408096,0,0,0.0238475,0,0,0.0503852,0.0439353,0.0377238,0.0127987,0.0228725,0.0499156,0.0272886,0.0341783,0.0552324,0.0515016,0.0197115,0.0361038,0.0366761,0.023539,0.0271661,0.0501226,0.0521595,0.0109678,0.0129644,0.0313582,0,0.0152743,0.0378447,0.0340544,0,0,0.0164474,0,0,0.0189767,0.0528626,0.0385749,0.0140426,0.0224065,0.052096,0.0429172,0.0369743,0.0715137,0.0760887,0.0486505,0.0680226,0.0456458,0.0505012,0.0776592,0.0257952,0.0283913,0.0084788,0.00723119,0.0370335,0.0793056,0,0,0,0,0,0,0,0,0,0,0
274,0.0388167,0.0312109,0,0,0,0,0,0.0283488,0,0.0312833,0.0408108,0,0,0.0238255,0,0,0.0504656,0.0437591,0.0378597,0.0128366,0.0228637,0.0499878,0.0274025,0.0343596,0.0547123,0.0514938,0.0194987,0.0361714,0.0366655,0.0236812,0.0269969,0.0515912,0.0521907,0.0109718,0.0128975,0.030891,0,0.0154486,0.0376532,0.03382,0,0,0.016407,0,0,0.018879,0.053047,0.0394592,0.0138488,0.0230451,0.0521665,0.0427568,0.0370575,0.0710973,0.075989,0.0481214,0.067861,0.0455977,0.0503025,0.077614,0.0271326,0.0284537,0.00848031,0.0069434,0.0369717,0.0793748,0,0,0,0,0,0,0,0,0,0,0
275,0.0386941,0.0311413,0,0,0,0,0,0.0275904,0,0.0313661,0.0408654,0,0,0.0237946,0,0,0.0505081,0.0435688,0.0380291,0.0127672,0.022974,0.0500718,0.0275452,0.0344331,0.0540612,0.0514594,0.0191511,0.0362495,0.0366862,0.0237327,0.0268217,0.0530581,0.0520648,0.0109661,0.01293,0.0304702,0,0.015674,0.0372776,0.0334648,0,0,0.016395,0,0,0.0187764,0.0533613,0.0403045,0.0136937,0.0236606,0.0523333,0.0425766,0.0375134,0.0705611,0.0758907,0.0476536,0.0676912,0.0455776,0.0501245,0.0775672,0.0285518,0.0284429,0.00849573,0.00663803,0.0369355,0.0794891,0,0,0,0,0,0,0,0,0,0,0
276,0.0386325,0.0311159,0,0,0,0,0,0.0268863,0,0.0315883,0.0410993,0,0,0.0236165,0,0,0.0506524,0.0433324,0.0382267,0.0126977,0.0229978,0.0502011,0.0276248,0.0342757,0.0541873,0.0514407,0.0190043,0.0362724,0.0366298,0.023724,0.0266643,0.0549057,0.0519968,0.0109852,0.0131194,0.0300945,0,0.0158666,0.0368804,0.0332756,0,0,0.0163188,0,0,0.0187628,0.0536612,0.0410099,0.013523,0.024369,0.0526435,0.042377,0.0374956,0.0705538,0.0758474,0.0473222,0.0675696,0.0455048,0.0499292,0.0775239,0.0299394,0.0284556,0.00853603,0.00649424,0.0369227,0.0796995,0,0,0,0,0,0,0,0,0,0,0
277,0.0385965,0.0311207,0,0,0,0,0,0.026444,0,0.031501,0.0412597,0,0,0.0236563,0,0,0.0507347,0.0431929,0.0383967,0.0126452,0.0230537,0.0503877,0.0278163,0.0341669,0.0537312,0.0514345,0.0188359,0.0362222,0.0365856,0.0236978,0.0265138,0.0562891,0.0519225,0.011015,0.0130895,0.0298534,0,0.0159598,0.036467,0.0330316,0,0,0.0162446,0,0,0.0187267,0.0539876,0.0415257,0.0134117,0.025088,0.0529744,0.0422407,0.0370373,0.070703,0.0757722,0.0471397,0.0675716,0.0454411,0.0497465,0.077584,0.0308855,0.0284523,0.00856862,0.00631439,0.0368577,0.0799504,0,0,0,0,0,0,0,0,0,0,0
278,0.0386287,0.0310939,0,0,0,0,0,0.0261389,0,0.0313527,0.0414221,0,0,0.0236724,0,0,0.0507789,0.0430888,0.0386137,0.0126561,0.0231676,0.0505846,0.0280406,0.0341191,0.0530343,0.0514459,0.0185143,0.0362592,0.0365322,0.0237369,0.026414,0.0574814,0.051911,0.0110256,0.0130875,0.0296365,0,0.0159075,0.0359896,0.0330552,0,0,0.0161811,0,0,0.0186947,0.0542854,0.0419415,0.0132866,0.0258135,0.0533028,0.0420263,0.0368127,0.0706367,0.0757527,0.0470475,0.0676991,0.0454573,0.0496369,0.0776541,0.0318165,0.0285092,0.00855884,0.00611939,0.0368476,0.0802649,0,0,0,0,0,0,0,0,0,0,0
279,0.0386859,0.0310038,0,0,0,0,0,0.0257255,0,0.031309,0.0416296,0,0,0.0236681,0,0,0.0507826,0.0429974,0.0388003,0.0126505,0.0232377,0.0508184,0.0283085,0.0340477,0.0530197,0.0514638,0.0183243,0.0362898,0.0364975,0.0238294,0.0263143,0.0588518,0.0519519,0.0110532,0.0130781,0.0293351,0,0.0157738,0.0354553,0.0330083,0,0,0.0161485,0,0,0.0186521,0.0544859,0.042233,0.01311,0.026413,0.0535352,0.0417633,0.0366517,0.0704336,0.0758542,0.0470255,0.0675434,0.0454894,0.049569,0.0775134,0.0328546,0.0286478,0.00855334,0.00595456,0.036813,0.0806162,0,0,0,0,0,0,0,0,0,0,0
280,0.0388445,0.0308869,0,0,0,0,0,0.0251931,0,0.0313725,0.0417291,0,0,0.0236347,0,0,0.050776,0.0429346,0.0390826,0.0126582,0.0232818,0.0510319,0.0285675,0.033823,0.053986,0.0514002,0.0182979,0.0363066,0.0365617,0.023901,0.0263546,0.0602291,0.0520105,0.011076,0.0130117,0.0289856,0,0.0157474,0.0349899,0.0329396,0,0,0.0161212,0,0,0.0185808,0.0546053,0.0425145,0.0129985,0.0268383,0.0536577,0.0414653,0.0365524,0.0702329,0.0761322,0.0469152,0.0673853,0.0454993,0.0493085,0.0774254,0.033804,0.0288144,0.00854614,0.0058319,0.0367358,0.0809656,0,0,0,0,0,0,0,0,0,0,0
