Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHI,IMUR_B,
1722,0.0330218,0.0325844,0,0,0,0,0,0.0449933,0,0.0319154,0.0388314,0,0,0.0215657,0,0,0.0526723,0.0452501,0.0408624,0.0257979,0.0281332,0.037513,0.0252427,0.0485027,0.0475922,0.0279111,0.0458427,0.046847,0.0306922,0.0373221,0.0332672,0.0542821,0.00914824,0.0140119,0.0485922,0,0.0277171,0.0468063,0.0275644,0,0,0.0143198,0,0,0.0202874,0.0471772,0.0421703,0.0211078,0.0268109,0.0344626,0.0420114,0.0371931,0.0633719,0.0709143,0.0505676,0.0735145,0.0525189,0.0548724,0.0792474,0.0138983,0.0306258,0.00991177,0.00991277,0.0390464,0.0678704,0,0,0,0,0,0,0,0,0.033888,0,0
1723,0.0330261,0.0324812,0,0,0,0,0,0.0449977,0,0.0319262,0.0388297,0,0,0.0211573,0,0,0.0529314,0.0452463,0.0407217,0.0257893,0.0281271,0.0375292,0.0248476,0.0485725,0.0476094,0.02792,0.0458327,0.0468637,0.0306299,0.0373289,0.0332175,0.0543622,0.00925077,0.0143506,0.0485089,0,0.0276525,0.0468167,0.0276365,0,0,0.0143819,0,0,0.020258,0.0472083,0.0420679,0.0210349,0.0268087,0.0344888,0.0420038,0.0372005,0.0632388,0.0708623,0.0505817,0.0735362,0.052504,0.0548679,0.079218,0.0137822,0.0305862,0.00999137,0.00983649,0.038945,0.0679013,0,0,0,0,0,0,0,0,0.0339431,0,0
1724,0.033043,0.0324636,0,0,0,0,0,0.0450244,0,0.0318555,0.0387952,0,0,0.0217063,0,0,0.052616,0.0452542,0.0407303,0.0257837,0.0281543,0.0375508,0.0252015,0.0485925,0.0475777,0.027955,0.0458232,0.0468655,0.0306182,0.0373386,0.0331876,0.0543399,0.00904882,0.0139787,0.048462,0,0.0276236,0.0468348,0.0276836,0,0,0.0144294,0,0,0.0202136,0.0472367,0.0419538,0.020935,0.0267726,0.0344647,0.0419492,0.0371616,0.0632723,0.0708261,0.0505252,0.0734164,0.0524667,0.0548578,0.0792015,0.0136899,0.0305978,0.00989956,0.0101701,0.0389077,0.0679973,0,0,0,0,0,0,0,0,0.034018,0,0
1725,0.0331758,0.0323586,0,0,0,0,0,0.0450176,0,0.0318606,0.0386601,0,0,0.0218684,0,0,0.0524273,0.0452878,0.0405287,0.0258133,0.0281916,0.0376346,0.0253299,0.048499,0.0474514,0.0278749,0.045868,0.0469174,0.030668,0.0373617,0.0329745,0.0542565,0.00886914,0.0140101,0.0484064,0,0.0275338,0.0466664,0.027774,0,0,0.0144118,0,0,0.0199186,0.0473061,0.0416898,0.0208295,0.0267618,0.0345713,0.0418682,0.0371829,0.0633454,0.0707632,0.0504303,0.0731722,0.0524673,0.0549085,0.079269,0.0135285,0.0307051,0.00988917,0.0103823,0.0387683,0.068098,0,0,0,0,0,0,0,0,0.0341957,0,0
1726,0.0336812,0.0311736,0,0,0,0,0,0.0463836,0,0.0311676,0.0371219,0,0,0.022709,0,0,0.0516424,0.046435,0.0370381,0.0256134,0.0290308,0.0387072,0.0258754,0.0488795,0.0463987,0.0276769,0.0464684,0.0473703,0.0312739,0.0379701,0.0298166,0.0539414,0.0104822,0.0146869,0.048613,0,0.026733,0.0453625,0.0284004,0,0,0.0140281,0,0,0.0187011,0.0468067,0.0392197,0.0208171,0.0269514,0.0357061,0.0414216,0.0374719,0.0636212,0.0701177,0.0497788,0.0734829,0.0527246,0.0554794,0.0797686,0.0122255,0.0308599,0.0109144,0.0108783,0.0375966,0.0683333,0,0,0,0,0,0,0,0,0.0355196,0,0
1727,0.0333703,0.0322741,0,0,0,0,0,0.0449532,0,0.0319834,0.0384741,0,0,0.0219048,0,0,0.0523027,0.0452593,0.0404192,0.0260181,0.0282951,0.0376384,0.0252195,0.0485155,0.0473572,0.0278003,0.0458608,0.0468655,0.0307044,0.037334,0.0329369,0.0542956,0.00883988,0.0138628,0.0482672,0,0.0274397,0.0465887,0.0279189,0,0,0.0144192,0,0,0.0198307,0.0474191,0.0415037,0.0206582,0.0266809,0.034561,0.0418135,0.037191,0.0634161,0.0707246,0.0503556,0.0730855,0.0523884,0.0549063,0.0792318,0.013389,0.030904,0.00999685,0.0103099,0.0386051,0.0682526,0,0,0,0,0,0,0,0,0.0342921,0,0
1728,0.033408,0.0323587,0,0,0,0,0,0.0450342,0,0.0321658,0.0387737,0,0,0.0217803,0,0,0.0523504,0.0451128,0.0406521,0.0259496,0.0282561,0.0375162,0.0249367,0.048532,0.0474367,0.0278625,0.0457676,0.0467917,0.0306135,0.0372769,0.0329401,0.0543875,0.00903433,0.0137012,0.0482383,0,0.0274379,0.0467529,0.0279402,0,0,0.0142982,0,0,0.0201202,0.0474392,0.0415851,0.0207227,0.0266368,0.0345164,0.0418228,0.0372161,0.0634374,0.0707655,0.0503712,0.0730734,0.0523716,0.0548622,0.0791953,0.0135031,0.0309114,0.0101351,0.00992116,0.0386273,0.0683806,0,0,0,0,0,0,0,0,0.034203,0,0
1729,0.0335092,0.0323269,0,0,0,0,0,0.0449943,0,0.0321648,0.0389457,0,0,0.0219876,0,0,0.0522106,0.0450987,0.0405883,0.0258897,0.0283092,0.0375558,0.0250664,0.0484066,0.0474567,0.0279534,0.0457935,0.0467731,0.0305952,0.0373264,0.0328658,0.05446,0.00927397,0.0133457,0.0481513,0,0.0273757,0.0467925,0.0279501,0,0,0.0143222,0,0,0.0200192,0.0474047,0.0414987,0.0206825,0.0265799,0.0345351,0.0418502,0.0371692,0.0634391,0.0707344,0.050297,0.07311,0.0523938,0.0548974,0.0792608,0.0134238,0.0308437,0.0103606,0.0094882,0.0385367,0.068498,0,0,0,0,0,0,0,0,0.0342167,0,0
1730,0.0335783,0.0322935,0,0,0,0,0,0.04503,0,0.0321691,0.0389148,0,0,0.0220284,0,0,0.0522149,0.0450943,0.0405487,0.0259284,0.0283269,0.037568,0.0250242,0.0481213,0.0474546,0.0279509,0.0457961,0.0467262,0.0305341,0.037307,0.0327139,0.0544762,0.00928282,0.0133163,0.0481114,0,0.0273407,0.0467435,0.0279912,0,0,0.0143251,0,0,0.0199721,0.0474239,0.0414403,0.020654,0.0265607,0.0345673,0.0418431,0.0371684,0.0634533,0.0707028,0.0502935,0.073115,0.0524071,0.0548943,0.0792514,0.0133991,0.0308424,0.0103784,0.00943621,0.038428,0.0684896,0,0,0,0,0,0,0,0,0.0342477,0,0
1731,0.0336732,0.0322199,0,0,0,0,0,0.0450276,0,0.0322089,0.0388547,0,0,0.0219959,0,0,0.0522081,0.0451012,0.0404343,0.0259333,0.028355,0.0376414,0.0250546,0.0479427,0.0474465,0.0279592,0.0457904,0.0467216,0.0305503,0.0373436,0.0326431,0.0544738,0.00931617,0.013335,0.0480459,0,0.0272952,0.0467066,0.028047,0,0,0.0143663,0,0,0.0199128,0.0473966,0.0413213,0.0206047,0.0265506,0.0346171,0.0418429,0.0371569,0.0634749,0.0706554,0.0502784,0.0731558,0.0524328,0.0549186,0.079293,0.0133197,0.0308396,0.0103503,0.00945932,0.0382808,0.06855,0,0,0,0,0,0,0,0,0.0341202,0,0
1732,0.0337186,0.0322482,0,0,0,0,0,0.045159,0,0.0323195,0.0388738,0,0,0.0218857,0,0,0.0521924,0.0450746,0.0404349,0.0260094,0.0283893,0.0376582,0.0250859,0.0479419,0.0474126,0.0278241,0.0456927,0.0466378,0.0305031,0.0372318,0.0325308,0.054456,0.00929414,0.0133498,0.0480746,0,0.0273208,0.0466767,0.0280644,0,0,0.0142936,0,0,0.0199877,0.0473413,0.0413258,0.0206766,0.0265719,0.0346181,0.0418174,0.0372776,0.0635673,0.0706461,0.0502737,0.0731027,0.0524078,0.054857,0.0792042,0.0134027,0.0309037,0.0103316,0.00940772,0.0382551,0.0685677,0,0,0,0,0,0,0,0,0.0340605,0,0
1733,0.0337343,0.0321444,0,0,0,0,0,0.0451408,0,0.0323098,0.0388048,0,0,0.0218425,0,0,0.0521665,0.0450559,0.0403255,0.0259849,0.0284157,0.0377667,0.0251699,0.0478876,0.047445,0.0278236,0.0456545,0.0465913,0.0305243,0.0372309,0.0324675,0.0544022,0.00936241,0.0134068,0.0479599,0,0.0272517,0.0466601,0.0281258,0,0,0.0143281,0,0,0.0199602,0.0473132,0.0412545,0.02064,0.0266315,0.034725,0.0418263,0.0372802,0.0635722,0.0706457,0.0502601,0.0731239,0.0524181,0.0548868,0.0791866,0.0133247,0.0308689,0.0102703,0.00939999,0.0380937,0.0686331,0,0,0,0,0,0,0,0,0.0340756,0,0
1734,0.0337078,0.0320612,0,0,0,0,0,0.0451104,0,0.0322757,0.0386532,0,0,0.0217709,0,0,0.0521885,0.0450793,0.0402556,0.0259452,0.0284219,0.0378632,0.0252409,0.047848,0.0474989,0.0278411,0.0456081,0.0464813,0.0305336,0.0372269,0.0324484,0.054402,0.00940156,0.0134409,0.0478875,0,0.0272047,0.0466416,0.028141,0,0,0.0143412,0,0,0.0199408,0.0472712,0.0411946,0.0206483,0.0265919,0.0348184,0.0418707,0.0372778,0.0635972,0.0706509,0.0502353,0.0730577,0.052408,0.0548892,0.0791891,0.0132647,0.0308471,0.0101923,0.00942239,0.03796,0.0686929,0,0,0,0,0,0,0,0,0.0341441,0,0
1735,0.0337239,0.0319992,0,0,0,0,0,0.045119,0,0.0322829,0.038532,0,0,0.021748,0,0,0.0521793,0.045052,0.0402447,0.0258218,0.0284278,0.0379037,0.0252499,0.0479442,0.0475106,0.027782,0.0455294,0.0464088,0.0305393,0.0371593,0.0323623,0.0543839,0.0094213,0.0134674,0.0477883,0,0.0271596,0.0465737,0.0281826,0,0,0.0143728,0,0,0.0199989,0.0472401,0.0411466,0.020719,0.0266153,0.0349128,0.0419493,0.0373298,0.0637101,0.0706948,0.0501759,0.0729332,0.0524365,0.0548861,0.0791823,0.0132618,0.0308683,0.0102305,0.00946943,0.0378574,0.0686917,0,0,0,0,0,0,0,0,0.0341123,0,0
1736,0.0337631,0.0318512,0,0,0,0,0,0.0450174,0,0.0321953,0.0384864,0,0,0.0217236,0,0,0.0521443,0.0450741,0.0400563,0.0256701,0.0284875,0.0380848,0.0253615,0.0478742,0.0475466,0.0278231,0.0455066,0.0464161,0.0306385,0.0372267,0.0323621,0.0543948,0.00942748,0.0135228,0.0476418,0,0.0270938,0.0465424,0.0282113,0,0,0.014489,0,0,0.0199432,0.0471829,0.041038,0.0206492,0.0265985,0.0350764,0.042057,0.0372704,0.0640109,0.0707276,0.0500301,0.0730305,0.052486,0.0549449,0.0793009,0.0131257,0.0307609,0.0102513,0.00962398,0.0376566,0.0687263,0,0,0,0,0,0,0,0,0.0341094,0,0
