Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBL
23,0.00428201,0.00486518,0,0,0,0.0176512,0.0136568,0.00848568,0.00168798,0,0,0,0.00915754,0,0.0183977,0.00620954,0.0450008,0.0108472,0.0210457,0.00122309,0,0,0.00286501,0.00725504,0.00551962,0.00681686,0.00348131,0.0454432,0.0045515,0.0120632,0.00439656,0.0117568,0,0.0217785,0,0.00273786,0.00919418,0.00307938,0.0359607,0.00893304,0.0102862,0.00506612,0.00475351,0,0,0.0141814,0,0.0130045,0.00691828,0.0606741,0.0201829,0.0206119,0.0117978,0.00229613,0.00454125,0.00515502,0.0492109,0.00720059,0.00904428,0.0178349,0.0184829,0.0065701,0.0199282,0.0451972,0.0102495,0.00277001,0.00475747,0.00585911,0.00545886,0,0,0,0
24,0.00451905,0.0057414,0,0,0,0.0188525,0.0135243,0.00814482,0.00171072,0,0,0,0.0113774,0,0.0187259,0.0082831,0.0447182,0.01132,0.0209816,0.00125158,0,0,0.0030259,0.00742732,0.00588509,0.00708551,0.00334124,0.0452305,0.00468557,0.0122857,0.00434855,0.0115869,0,0.0234739,0,0.00365646,0.00948788,0.00331176,0.0350559,0.00869716,0.0104913,0.00462088,0.00509337,0,0,0.0140601,0,0.013105,0.00855032,0.0606462,0.0210712,0.020464,0.0123744,0.00251334,0.00558557,0.00532432,0.0492303,0.00791438,0.00915795,0.0177434,0.0184911,0.0068495,0.0198427,0.0443199,0.0110244,0.00451934,0.00507181,0.0069383,0.0054211,0,0,0,0
25,0.00447526,0.00587511,0,0,0,0.0197995,0.0135907,0.00763893,0.00176737,0,0,0,0.010405,0,0.0186487,0.00770626,0.0443594,0.0119448,0.02105,0.00141141,0,0,0.00303971,0.00762264,0.00582317,0.00769341,0.0031307,0.0452113,0.00485001,0.012371,0.00425287,0.0114722,0,0.0247953,0,0.00305333,0.00940529,0.00308932,0.0340305,0.00836774,0.0105067,0.00415726,0.00535993,0,0,0.0149567,0,0.0133025,0.00890601,0.060639,0.0214685,0.0203978,0.0127853,0.00258911,0.00552666,0.00569519,0.0494178,0.0086528,0.00936957,0.0174341,0.0184633,0.006928,0.0193405,0.0430544,0.0107483,0.00451292,0.00535048,0.00727856,0.00558094,0,0,0,0
26,0.00449761,0.00603717,0,0,0,0.0207037,0.0136838,0.00707916,0.00192428,0,0,0,0.00946482,0,0.0185923,0.00714582,0.0439623,0.0127122,0.0210888,0.0017947,0,0,0.00319156,0.00788447,0.00603815,0.00843879,0.00290827,0.0453019,0.00497746,0.0125884,0.00415006,0.0113048,0,0.0262263,0,0.00237919,0.00933814,0.00286766,0.0328641,0.00802486,0.0105193,0.00363913,0.00568255,0,0,0.015974,0,0.0134558,0.0093933,0.0606874,0.0218829,0.0203255,0.0133383,0.00254422,0.0056199,0.00617024,0.0496221,0.00930095,0.00961564,0.0171897,0.0181389,0.00717268,0.0187369,0.0415876,0.0105139,0.00473996,0.00562257,0.0076354,0.00582193,0,0,0,0
27,0.00445884,0.00629141,0,0,0,0.0216517,0.0137341,0.0162397,0.00206793,0,0,0,0.00880027,0,0.018537,0.00674797,0.0431092,0.0215366,0.0207387,0.00820794,0,0,0.00248836,0.00829432,0.00415337,0.00869221,0.00671224,0.0453571,0.00765171,0.0127109,0.00975063,0,0,0.0290727,0,0.00194114,0.00925857,0.00270302,0.0312737,0.00759048,0.00985227,0.00341623,0.00625776,0,0,0.0174161,0,0.0137596,0.0103354,0.0604307,0.0222083,0.0203651,0.013297,0.00257805,0.00611535,0.00648625,0.0498786,0.00944122,0.00977969,0.016569,0.01791,0.00741917,0.0179801,0.0398859,0.0106475,0.00517969,0.00612118,0.0081777,0.00610337,0,0,0,0
28,0.00436459,0.00662631,0,0,0,0.0225706,0.0138295,0.00669956,0.0018587,0,0,0,0.00795538,0,0.0183846,0.00629781,0.0430567,0.014854,0.0212785,0.00323559,0,0,0.00354426,0.00863619,0.00672912,0.00993422,0.00274003,0.045646,0.00533201,0.0128545,0.00406542,0.0108649,0,0.029784,0,0.00124494,0.00915786,0.00257205,0.0291753,0.0075346,0.00885969,0.00271066,0.00645887,0,0,0.0177938,0,0.0139311,0.0106099,0.0606003,0.0218268,0.0203258,0.0132633,0.00281334,0.00621253,0.00669784,0.0498449,0.00966002,0.00967611,0.0154847,0.0180855,0.00719002,0.0167227,0.0374675,0.0102589,0.00577569,0.00611642,0.00860774,0.00620138,0,0,0,0
29,0.00430711,0.00697636,0,0,0,0.0233364,0.0139139,0.00655178,0.00182595,0,0,0,0.00723056,0,0.0182822,0.00599752,0.0427067,0.0159736,0.0214871,0.00400569,0,0,0.00372983,0.0089823,0.0073046,0.0104776,0.0029853,0.0458169,0.00550666,0.0130315,0.00399705,0.0106528,0,0.0312187,0,0.000840178,0.00906174,0.00247648,0.027001,0.00741091,0.00796466,0.00228242,0.00679688,0,0,0.0183672,0,0.0142235,0.0110483,0.0605291,0.0209106,0.020542,0.0128471,0.0029594,0.00667488,0.00654564,0.049812,0.00952094,0.0091828,0.01414,0.0183224,0.00685078,0.0152382,0.0349699,0.0101337,0.00639017,0.00626918,0.00911635,0.0064916,0,0,0,0
30,0.00442901,0.00739005,0,0,0,0.0237945,0.0140107,0.00614786,0.00185454,0,0,0,0.00657795,0,0.0182074,0.00578962,0.0423993,0.0170944,0.0216941,0.00456788,0,0,0.00380663,0.00931963,0.00783577,0.0110052,0.00346809,0.0459461,0.00556414,0.0133785,0.0039826,0.0106063,0,0.0323527,0,0.000620308,0.00900625,0.00242375,0.0247671,0.00728333,0.00728285,0.00197217,0.00720949,0,0,0.0188685,0,0.0144533,0.0114099,0.0604974,0.0195593,0.0208966,0.0120269,0.00296976,0.00725363,0.00597208,0.0497937,0.00908312,0.00818952,0.0124003,0.0187814,0.00619435,0.0131964,0.032331,0.00995861,0.0067414,0.00645667,0.00971382,0.00694789,0,0,0,0
31,0.00466439,0.00794096,0,0,0,0.0241708,0.0140764,0.00549099,0.00202286,0,0,0,0.006001,0,0.0181121,0.00559636,0.0421341,0.0184705,0.0220287,0.00523056,0,0,0.00372145,0.00969296,0.00863884,0.011726,0.00406121,0.0460636,0.00566661,0.01366,0.00401656,0.0106998,0,0.0332883,0,0.000826885,0.00895648,0.00240898,0.0222306,0.00714225,0.00634065,0.00174486,0.0077316,0,0,0.0192689,0,0.0146327,0.011792,0.0604597,0.0181046,0.0213342,0.0106283,0.00289445,0.00792995,0.0050257,0.0497186,0.00840248,0.00681703,0.0103823,0.0193424,0.00529285,0.0110785,0.0293927,0.00975346,0.00677847,0.00667461,0.0105284,0.00752088,0,0,0,0
32,0.00482276,0.00915596,0,0,0,0.0246119,0.0139207,0.00555888,0.00178106,0,0,0,0.00930223,0,0.0184565,0.00774223,0.0417168,0.0199252,0.0223059,0.00628793,0,0,0.0035047,0.0101128,0.00975407,0.0129961,0.00512977,0.0461019,0.00582144,0.0139172,0.00365708,0.0106072,0,0.0342579,0,0.00190079,0.00932249,0.00254721,0.0187069,0.00694927,0.00528674,0.00168385,0.00873144,0,0,0.0179528,0,0.014754,0.0125304,0.0603693,0.0170457,0.0217143,0.00885502,0.00293833,0.00958075,0.0039118,0.0495116,0.007455,0.00536678,0.0087279,0.0198293,0.00490051,0.00972623,0.025483,0.0097356,0.00772301,0.00681195,0.0121544,0.00744913,0,0,0,0
