Timestep,,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LTIBI
19,0,0.0227563,0.029863,0,0,0,0.00948377,0.00991863,0.0242954,0.00324026,0,0,0,0,0.00591749,0,0.00752744,0.0320068,0.0389851,0.0224466,0.0260162,0,0,0.0287559,0.00862749,0.0126697,0.0216928,0.0255805,0.0545554,0.0290677,0.0281347,0.0707286,0,0.0175378,0,0.0102534,0.00909491,0.00656465,0.0173862,0.00893306,0.0105258,0.0170746,0.0179456,0,0,0.0242086,0,0.0123774,0.0181356,0.0577089,0.0144481,0.0216266,0.0148532,0.0250409,0.0296307,0.0122717,0.0540815,0.0120356,0.0115202,0.00239847,0.0137291,0.00488407,0.00716244,0.0189267,0.00659546,0.00685109,0.00835231,0.0289326,0.00855333,0,0,0,0,0
20,0,0.0224265,0.0297967,0,0,0,0.0100696,0.00989416,0.0238909,0.00378577,0,0,0,0,0.00667647,0,0.00785854,0.0319926,0.038478,0.0223668,0.0265204,0,0,0.0289065,0.00818297,0.0130586,0.0219072,0.026331,0.0541728,0.0299272,0.0276494,0.0708704,0,0.0176727,0,0.0103727,0.00902336,0.00651254,0.014115,0.00896292,0.0110618,0.0174622,0.0180151,0,0,0.0242558,0,0.0124162,0.0180316,0.0577476,0.0153396,0.0216985,0.0144253,0.0246095,0.0298079,0.0122444,0.054028,0.0113643,0.0109498,0.00244586,0.0133876,0.00510926,0.00637814,0.01437,0.00623357,0.00652456,0.00823483,0.0291497,0.00824885,0,0,0,0,0
21,0,0.022031,0.0296647,0,0,0,0.0107212,0.00983712,0.0233959,0.00429334,0,0,0,0,0.0074496,0,0.00821041,0.0320595,0.0381082,0.022365,0.0267939,0,0,0.0290025,0.00763219,0.0132225,0.0218989,0.0263507,0.0536811,0.03174,0.0272909,0.0708596,0,0.0177687,0,0.0104899,0.00890132,0.00644907,0.0112052,0.00901632,0.0119658,0.0178268,0.0180905,0,0,0.0242114,0,0.0124511,0.0178884,0.0576841,0.016278,0.0217856,0.0141076,0.0241621,0.0299576,0.0125369,0.0541063,0.0109818,0.0108128,0.00280208,0.0131915,0.00533511,0.00551832,0.00981408,0.00588847,0.00648097,0.00811473,0.0293395,0.00805891,0,0,0,0,0
22,0,0.0215663,0.0295244,0,0,0,0.0107894,0.00976499,0.0227898,0.00473749,0,0,0,0,0.00810024,0,0.0084851,0.0321134,0.0378831,0.022393,0.0265441,0,0,0.0290831,0.00718892,0.0129252,0.0215798,0.0263235,0.0531007,0.0323664,0.0277433,0.0705353,0,0.0181914,0,0.0105681,0.00874548,0.00637398,0.009297,0.00906369,0.013076,0.0181071,0.0181839,0,0,0.0242116,0,0.0124519,0.0177747,0.0574991,0.0173247,0.0218917,0.0140057,0.0237509,0.0301291,0.0132337,0.0542856,0.01116,0.0112365,0.00338219,0.0131448,0.00544977,0.00446563,0.0055944,0.00562294,0.0063837,0.00798775,0.0296367,0.00785384,0,0,0,0,0
23,0,0.0211255,0.0294206,0,0,0,0.0101352,0.0097543,0.0220727,0.00506348,0,0,0,0,0.00874307,0,0.00884365,0.0322018,0.0378103,0.0223539,0.0258815,0,0,0.0290687,0.00692135,0.0123186,0.0210153,0.0262352,0.0523643,0.0319804,0.0293961,0.0702652,0,0.019195,0,0.010644,0.00864193,0.00638935,0.00870131,0.00907744,0.014159,0.0181706,0.0182901,0,0,0.0242835,0,0.0124212,0.0177026,0.0572203,0.0182233,0.0220569,0.0138814,0.0233448,0.0302993,0.0142229,0.0545287,0.0119521,0.0121571,0.00399508,0.0132988,0.00545359,0.00317773,0.00294216,0.00551543,0.00613339,0.00787314,0.0299672,0.00766258,0,0,0,0,0
24,0,0.0208458,0.0293184,0,0,0,0.00934862,0.00980784,0.0213755,0.00524867,0,0,0,0,0.009425,0,0.00922124,0.0325276,0.0374484,0.0221369,0.0258848,0,0,0.0289979,0.00676045,0.0119085,0.0204517,0.0260185,0.0516033,0.031489,0.0298825,0.0710687,0,0.0203844,0,0.010827,0.00861597,0.00655508,0.00933143,0.0091219,0.014901,0.0180491,0.0184023,0,0,0.0244131,0,0.012441,0.0176872,0.056848,0.0188424,0.0221856,0.0138313,0.0230475,0.0304879,0.0153465,0.0548332,0.0134575,0.0134693,0.00487363,0.0137381,0.00521136,0.00207597,0.00505823,0.00553626,0.00593328,0.00780716,0.0301953,0.00757937,0,0,0,0,0
25,0,0.0206144,0.0294153,0,0,0,0.00924754,0.00983669,0.0207767,0.00551247,0,0,0,0,0.00990091,0,0.00966367,0.0326316,0.0368367,0.022062,0.02571,0,0,0.0291324,0.00689239,0.0115041,0.0197019,0.0254096,0.0511011,0.0307278,0.0291161,0.0706949,0,0.021678,0,0.0109458,0.0086076,0.00681023,0.0088221,0.00913507,0.012916,0.0177405,0.0184995,0,0,0.0247628,0,0.0125309,0.0178555,0.0561805,0.0167835,0.0222722,0.0132651,0.0229634,0.0307436,0.0168528,0.0555133,0.0155798,0.0156568,0.00781102,0.0157477,0.00467352,0.00474363,0.011586,0.00569505,0.0059307,0.00783702,0.0305639,0.00745264,0,0,0,0,0
26,0,0.0206698,0.0304749,0,0,0,0.0109916,0.00982195,0.0203674,0.00714849,0,0,0,0,0.0101925,0,0.0104151,0.0316441,0.0374553,0.0227341,0.0243888,0,0,0.0298163,0.00815851,0.0107288,0.0187088,0.0236504,0.0517254,0.0286674,0.0271698,0.0604924,0,0.0264794,0,0.0111378,0.00865738,0.0073295,0.0160737,0.00891216,0.0147444,0.0167939,0.0185609,0,0,0.0261317,0,0.0128133,0.0186779,0.0555237,0.0179984,0.0226101,0.0132336,0.0229924,0.0313513,0.0184757,0.0561952,0.017705,0.01811,0.0101313,0.0178526,0.00689794,0.00784787,0.0193122,0.00637397,0.0061533,0.00824633,0.0318305,0.00660109,0,0,0,0,0
27,0,0.0212923,0.0327514,0,0,0,0.0262687,0.00976296,0.0252549,0.0116505,0,0,0,0,0.0110789,0,0.0115767,0.0297486,0.0426226,0.0247708,0.0239598,0,0,0.0307954,0.0109457,0.0129376,0.0218339,0.0213811,0.0543483,0.0267449,0.0271852,0.0392776,0,0.0402214,0,0.011859,0.0087937,0.00820121,0.0217491,0.0083778,0.0167655,0.0147711,0.0188247,0,0,0.0286869,0,0.0133804,0.0203315,0.0551413,0.0192258,0.0233517,0.0135553,0.0225466,0.0324913,0.0199097,0.0565739,0.0189034,0.0203058,0.0118479,0.0192433,0.00870656,0.0101803,0.0246529,0.00773108,0.00671968,0.00919329,0.0341972,0.00497664,0,0,0,0,0
28,0,0.0216765,0.0340621,0,0,0,0.0308874,0.00971723,0.0280081,0.0139105,0,0,0,0,0.0122059,0,0.0123921,0.028374,0.0431332,0.025936,0.0223077,0,0,0.0314676,0.0126039,0.0138798,0.0218369,0.0192662,0.0556985,0.026715,0.0284765,0.0323347,0,0.0433833,0,0.012557,0.00895892,0.00877209,0.0225561,0.00812403,0.0168078,0.0138952,0.0190398,0,0,0.0295501,0,0.013705,0.0209535,0.054974,0.0193812,0.0237696,0.0136161,0.0224929,0.033179,0.0202154,0.0566171,0.0185564,0.0205739,0.0120743,0.0193441,0.00885361,0.0103848,0.0256006,0.00830461,0.00691708,0.00968831,0.0356962,0.00471288,0,0,0,0,0.0282319
