Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,
9,0.0117074,0.00453363,0,0,0,0.0113918,0.0162222,0.0050689,0.00231441,0,0,0,0,0.022195,0,0.0187239,0.00756808,0.0454957,0.0180072,0.0168451,0.0145821,0,0,0.0036035,0.0145591,0.00820656,0.00575369,0.012786,0.0405139,0.00954152,0.00845773,0.0102906,0.0168871,0,0.0134772,0,0.0159045,0.0095089,0.00180026,0.0169631,0.0122291,0.00977379,0.00357224,0.013704,0,0,0.00632439,0,0.0119367,0.00201299,0.0631934,0.00923803,0.0224804,0.0135171,0.00585891,0.00835124,0.0107745,0.0467791,0.0103265,0.00815641,0.0140822,0.0229639,0.00775958,0.0127227,0.01963,0.00613113,0.00300419,0.00174154,0.00243132,0.0114502,0,0,0,0
10,0.0124195,0.00512362,0,0,0,0.0119119,0.0161469,0.00589068,0.00252261,0,0,0,0,0.0210481,0,0.0187061,0.00736643,0.0453377,0.0193936,0.0171937,0.0134514,0,0,0.00309197,0.0150635,0.00811054,0.00749655,0.0110881,0.0409682,0.00875522,0.00851278,0.0103481,0.0164757,0,0.0141401,0,0.0154512,0.00957352,0.00164315,0.0135156,0.0121412,0.00782613,0.00322065,0.0143586,0,0,0.00533842,0,0.0117786,0.00175172,0.0637586,0.0107715,0.0229569,0.0141881,0.00595105,0.00804922,0.00910189,0.0462377,0.00970922,0.0057913,0.0124084,0.0206079,0.00449951,0.0117895,0.0166377,0.00521254,0.00179972,0.00163422,0.00315998,0.0117981,0,0,0,0
11,0.0136371,0.0050997,0,0,0,0.0115092,0.0158262,0.00654963,0.00300133,0,0,0,0,0.0175425,0,0.0193602,0.00571463,0.0450838,0.0201473,0.01759,0.0115258,0,0,0.00242841,0.0159998,0.0081355,0.00886945,0.00937999,0.0416228,0.008031,0.00884184,0.0103014,0.0158556,0,0.0135698,0,0.0143762,0.010007,0.00183108,0.0140085,0.0120524,0.010329,0.00307576,0.0156412,0,0,0.0069876,0,0.011759,0.00417682,0.0641818,0.0152042,0.0239464,0.0146518,0.00579931,0.00977274,0.00793989,0.0458758,0.00981177,0.004941,0.0111958,0.0194078,0.00430009,0.0116573,0.0182913,0.00701654,0.0021188,0.00156609,0.00402136,0.0127339,0,0,0,0
12,0.0157328,0.00486565,0,0,0,0.0102092,0.0157466,0.00696541,0.0030926,0,0,0,0,0.016333,0,0.0194524,0.00586332,0.0447767,0.0203837,0.0177143,0.00880351,0,0,0.00212342,0.019114,0.00848652,0.0100953,0.00759612,0.0423454,0.00722934,0.00908559,0.010029,0.0150825,0,0.0121897,0,0.0146357,0.0100145,0.0017775,0.0133875,0.0118378,0.00910165,0.00272217,0.0183655,0,0,0.00197952,0,0.0117448,0.00223094,0.0641809,0.0160677,0.0244951,0.0142243,0.00602189,0.00936281,0.00666163,0.0458698,0.00959846,0.00500013,0.0108848,0.0197144,0.00443172,0.0116204,0.0176643,0.00322316,0.00168056,0.00156942,0.00478419,0.014623,0,0,0,0
13,0.0168057,0.0059111,0,0,0,0.00862254,0.0157836,0.00703194,0.00291019,0,0,0,0,0.0160833,0,0.0195538,0.00613925,0.0444386,0.0198816,0.0177431,0.0062874,0,0,0.00200958,0.0212022,0.00953795,0.0115195,0.00598203,0.0431901,0.00625441,0.00919539,0.00940021,0.0141627,0,0.0106102,0,0.0150846,0.0100259,0.00176351,0.0148835,0.0115736,0.00984816,0.002265,0.0191683,0,0,0.00111228,0,0.0115843,0.00250052,0.063995,0.0199214,0.0246889,0.0139381,0.00635115,0.00915624,0.00535902,0.046015,0.00905242,0.00500723,0.0113241,0.0205747,0.00486578,0.0121443,0.0175351,0.0026605,0.00311211,0.00138375,0.00598675,0.0152929,0,0,0,0
14,0.0180704,0.00715014,0,0,0,0.00656917,0.0158918,0.00646597,0.00261048,0,0,0,0,0.0154688,0,0.0194866,0.00619783,0.0440926,0.0181393,0.0177404,0.00344366,0,0,0.00200489,0.0233844,0.0112099,0.0128118,0.00550016,0.0443056,0.00506889,0.00911276,0.00820776,0.0132388,0,0.00883291,0,0.0152612,0.009964,0.00179785,0.0180236,0.0113715,0.0128997,0.00168748,0.0202338,0,0,0.000401357,0,0.0115088,0.00274011,0.0636478,0.0248723,0.0247035,0.0142542,0.00655343,0.00896095,0.004093,0.0460691,0.00811071,0.00408486,0.0129576,0.0214233,0.00554555,0.0136367,0.0190827,0.00223528,0.00505901,0.0012507,0.00715573,0.016081,0,0,0,0
15,0.019466,0.00891176,0,0,0,0.00603787,0.0159377,0.00408672,0.00266636,0,0,0,0,0.0147902,0,0.0190487,0.00601398,0.0437361,0.0130252,0.0177741,0.00198436,0,0,0.00180917,0.0258682,0.0122847,0.0141535,0.00734214,0.0459759,0.00323028,0.00894318,0.00538035,0.0131444,0,0.00900903,0,0.0156407,0.00975518,0.00173018,0.0209756,0.0110942,0.0163213,0.00119304,0.0211994,0,0,0.000175363,0,0.0114838,0.0026368,0.0633493,0.0290942,0.0247056,0.0154957,0.00645971,0.00838096,0.00291202,0.0459741,0.00765988,0.00260263,0.0152027,0.0218939,0.00608812,0.0156956,0.0211432,0.00213925,0.00660026,0.00127545,0.00872948,0.017024,0,0,0,0
16,0.0210543,0.0107536,0,0,0,0.00633591,0.0158942,0.00370535,0.00281085,0,0,0,0,0.0141717,0,0.0186806,0.00583308,0.0434488,0.0113225,0.0179011,0.00512189,0,0,0.0015878,0.0281281,0.0130001,0.0156248,0.00991105,0.0477353,0.00250577,0.00822141,0.00415472,0.013775,0,0.00860703,0,0.0159765,0.0096169,0.00150124,0.0230289,0.0108381,0.0188888,0.00217502,0.0220279,0,0,0.000343769,0,0.0114367,0.00261363,0.063425,0.0317984,0.0249721,0.0171777,0.00599924,0.00766093,0.00237927,0.0458303,0.00817639,0.00185044,0.0170944,0.0219954,0.00637703,0.0175278,0.0228703,0.00188282,0.00779604,0.00152485,0.0102392,0.0180089,0,0,0,0
17,0.0222063,0.0114401,0,0,0,0.00986785,0.0157313,0.0064039,0.00289436,0,0,0,0,0.0129132,0,0.0187083,0.00547596,0.0432561,0.0127233,0.018188,0.00716601,0,0,0.00120263,0.0292634,0.01415,0.0173063,0.0120683,0.0493182,0.00228892,0.00729614,0.00442981,0.0140104,0,0.00965633,0,0.0155677,0.0097108,0.00132274,0.0240931,0.0107436,0.0205502,0.00392333,0.0229233,0,0,0.002468,0,0.011262,0.0024081,0.063718,0.0327999,0.025337,0.0184996,0.00551651,0.0070628,0.0021923,0.0455325,0.00895,0.00243074,0.0179591,0.0220071,0.00659385,0.0185396,0.0234954,0.00324074,0.00753477,0.00163748,0.010758,0.0186489,0,0,0,0
18,0.0209801,0.010253,0,0,0,0,0.0156256,0.00186176,0.00374539,0,0,0,0,0.011591,0,0.0188581,0.005218,0.0428014,0.00453533,0.0185661,0.00991942,0,0,0.000917378,0.0268079,0.0149068,0.0180565,0.0155871,0.051749,0.00293095,0.00626064,0.00320385,0.0175628,0,0.014877,0,0.0138151,0.00975557,0.00137848,0.0238878,0.0106283,0.0211102,0.00609997,0.022059,0,0,0.0034305,0,0.0112934,0.00250339,0.0640083,0.0319895,0.025995,0.0190337,0.00551398,0.006883,0.00189289,0.0451462,0.0093981,0.00347031,0.0177021,0.0217832,0.00663397,0.0184876,0.0224188,0.00393182,0.00783768,0.00164414,0.00952039,0.0173598,0,0,0,0
