Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x75,x73,
26,0.00521457,0.0128108,0,0,0,0.0356411,0.0151073,0.0147474,0.00403803,0,0,0,0,0.0112149,0,0.0200115,0.00968159,0.045915,0.0099228,0.0204476,0,0,0.00413382,0.0135986,0.0108381,0.0109408,0.0173245,0.0394245,0.00867947,0.0102165,0.00470541,0.0146555,0,0.0444681,0,0.0106172,0.00939296,0.00421529,0.0172246,0.00859211,0.00759885,0.00291186,0.00856139,0,0,0.013475,0,0.0142154,0.00779264,0.0597639,0.0197385,0.0197555,0.00791014,0.00600455,0.0123938,0.00249528,0.0502174,0.00607786,0.00324497,0.0108697,0.0203892,0.00717014,0.0133247,0.0246044,0.00797099,0.00146552,0.0035677,0.0143533,0.00367072,0,0,0,0,0,0
27,0.00490806,0.013968,0,0,0,0.0362981,0.0152328,0.0150743,0.00402916,0,0,0,0,0.0109953,0,0.0199901,0.00956337,0.0460013,0.00953026,0.0202237,0,0,0.00427258,0.0134991,0.0112258,0.0112995,0.0172113,0.039388,0.00858885,0.0102173,0.00446349,0.0146663,0,0.0455319,0,0.0106177,0.00935471,0.00417423,0.0127837,0.0083236,0.010016,0.00320454,0.0101086,0,0,0.0148099,0,0.0142365,0.0101486,0.0598544,0.0214225,0.0199357,0.00608611,0.00607513,0.0139918,0.00284832,0.0497134,0.00420887,0.00266558,0.00974011,0.0204244,0.00798172,0.0134825,0.0201272,0.0116553,0.00218114,0.00388576,0.0156935,0.00373708,0,0,0,0,0,0
28,0.00533414,0.0142483,0,0,0,0.036844,0.0152442,0.0153377,0.00398681,0,0,0,0,0.0108642,0,0.0200429,0.00961161,0.0461178,0.00931781,0.0199528,0,0,0.00431094,0.0135296,0.0116725,0.0115085,0.017011,0.0393068,0.00841516,0.0101058,0.00406874,0.0146824,0,0.0462621,0,0.0105068,0.00940369,0.0041681,0.00909527,0.00828655,0.01259,0.00374002,0.0101135,0,0,0.0146849,0,0.0142673,0.00942361,0.0600394,0.0235234,0.0201585,0.00575854,0.00593758,0.0141805,0.00414145,0.0491704,0.0030854,0.00333854,0.00833272,0.0202191,0.00851307,0.0132527,0.0157722,0.0108712,0.00182111,0.00383412,0.016007,0.00362932,0,0,0,0,0,0
29,0.00570518,0.0145188,0,0,0,0.0375664,0.0152493,0.0150459,0.00392312,0,0,0,0,0.0104697,0,0.0200926,0.00956612,0.0462142,0.00888069,0.0196112,0,0,0.00421692,0.0136113,0.0119857,0.0114324,0.0172405,0.0390708,0.00814787,0.00989014,0.0036057,0.0147798,0,0.0470805,0,0.0101711,0.00945075,0.00413834,0.0064944,0.00836602,0.0145626,0.00421885,0.0101633,0,0,0.0145296,0,0.0143482,0.00878951,0.0602603,0.0251963,0.0204,0.00665373,0.00567724,0.0144026,0.0058421,0.0485854,0.00339202,0.00465763,0.00691322,0.0198886,0.00863614,0.0125972,0.0116673,0.0102793,0.0015216,0.00368852,0.0163536,0.00359401,0,0,0,0,0,0
30,0.00600263,0.0149098,0,0,0,0.0382865,0.0153087,0.0147866,0.00391602,0,0,0,0,0.00993789,0,0.0201301,0.00945103,0.0462141,0.00842527,0.0191869,0,0,0.0040569,0.0137226,0.0121435,0.0111705,0.0172249,0.0387129,0.00779117,0.00957013,0.00319532,0.0148705,0,0.0479916,0,0.00975102,0.00948675,0.00410506,0.00569559,0.0084503,0.016012,0.00458729,0.0103236,0,0,0.0143194,0,0.0143628,0.00832607,0.0604037,0.0261855,0.0206011,0.00741074,0.00541726,0.014704,0.00754592,0.0482864,0.00464194,0.00577666,0.00598807,0.0196328,0.00850319,0.0117239,0.00755412,0.00984055,0.00136669,0.00357985,0.0167932,0.00362295,0,0,0,0,0,0
31,0.00621595,0.0153706,0,0,0,0.0393662,0.0153874,0.0146405,0.00384553,0,0,0,0,0.00945811,0,0.0201468,0.00928717,0.0462558,0.00784736,0.0187289,0,0,0.0039242,0.0139166,0.0121338,0.0104164,0.0166169,0.0384612,0.00722549,0.00923499,0.00282323,0.0148291,0,0.0495933,0,0.00933944,0.00949321,0.00404592,0.0073808,0.00855082,0.0172806,0.00493352,0.0105919,0,0,0.0141495,0,0.0143745,0.00797128,0.0604365,0.0267745,0.0207497,0.00797533,0.00529036,0.015042,0.00898861,0.0483117,0.00677084,0.00660648,0.00591905,0.0195991,0.0083595,0.0109779,0.0044424,0.00937761,0.00134896,0.00349962,0.0173251,0.00362238,0,0,0,0,0,0
32,0.00649667,0.0157953,0,0,0,0.0398136,0.0154742,0.0142107,0.00386269,0,0,0,0,0.00919505,0,0.0200677,0.00917943,0.0462215,0.00741865,0.0184173,0,0,0.0040344,0.0141703,0.0121967,0.00997361,0.0157719,0.0382864,0.00681242,0.00903782,0.00255126,0.0147564,0,0.0504642,0,0.00908617,0.00946646,0.00394877,0.0117257,0.00863433,0.0177959,0.00506035,0.0108695,0,0,0.0140202,0,0.0143676,0.0078044,0.0600064,0.0267198,0.0208499,0.00721946,0.00528899,0.0153891,0.0109482,0.0489589,0.0100663,0.00873545,0.00755122,0.0213544,0.00821158,0.00969836,0.0159833,0.00932024,0.0014276,0.00345331,0.0178523,0.00368835,0,0,0,0,0,0
33,0.00643551,0.0165182,0,0,0,0.0420277,0.0155466,0.0139521,0.00379821,0,0,0,0,0.00857232,0,0.0200765,0.00885237,0.0462048,0.00634645,0.0184309,0,0,0.00400684,0.0142176,0.0117414,0.00899686,0.0147436,0.0379368,0.00591929,0.00881447,0.00247811,0.0149558,0,0.0529416,0,0.00857944,0.00938769,0.00383928,0.022668,0.00855524,0.0212808,0.00488833,0.0118293,0,0,0.0148467,0,0.0144557,0.00951143,0.0594801,0.0276649,0.0208606,0.00709426,0.00529901,0.0163236,0.0132376,0.0497435,0.0138375,0.0119146,0.00992054,0.0241301,0.01082,0.010204,0.0262638,0.0123822,0.00150688,0.00353953,0.0188701,0.00373118,0,0,0,0,0,0
34,0.00679239,0.016657,0,0,0,0.0419643,0.0156581,0.0133093,0.00397318,0,0,0,0,0.00838767,0,0.0199409,0.0088116,0.0461432,0.0060757,0.0184983,0,0,0.00409454,0.0144305,0.0117879,0.00903638,0.0142982,0.0377326,0.00517377,0.00877819,0.00200379,0.0150327,0,0.0526969,0,0.00860138,0.00923664,0.0037326,0.029373,0.00855892,0.0244913,0.00465194,0.0118555,0,0,0.0147994,0,0.0145938,0.00959079,0.0591927,0.0289774,0.0210266,0.00744539,0.00531624,0.0164807,0.0147821,0.0503199,0.0159542,0.0138236,0.0117542,0.0260666,0.0132065,0.0117397,0.0325715,0.0130428,0.00194276,0.00356272,0.019169,0.00396077,0,0,0,0,0,0
35,0.00662349,0.0170216,0,0,0,0.0409839,0.0155605,0.012553,0.00421218,0,0,0,0,0.00849751,0,0.019939,0.00899685,0.0458515,0.00667886,0.0182569,0,0,0.00415418,0.0146689,0.0117898,0.0092038,0.0137274,0.0377144,0.00455718,0.00854234,0.00153728,0.0146342,0,0.0520828,0,0.00878517,0.00922935,0.0037919,0.0304753,0.00844403,0.0243728,0.00440673,0.0121768,0,0,0.0148863,0,0.0145348,0.00961594,0.0592395,0.0272776,0.0212449,0.00772415,0.00524688,0.016768,0.0152431,0.0503629,0.0157376,0.0139141,0.0122503,0.0262193,0.0132414,0.0121733,0.0337444,0.0125595,0.00166278,0.00376566,0.0197505,0.0040312,0,0,0,0,0,0
