Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,L5FT,RFHD,RHEE,LMR,LBR
70,0.00622694,0.00516955,0,0,0,0.0148389,0.0101427,0.00193442,0,0,0,0.00751291,0,0.0198468,0.00483403,0.0448147,0.0114694,0.020449,0.00524798,0,0.00220461,0.00763232,0.00543113,0.0037229,0.00647996,0.045378,0.00556095,0.0126269,0.00625919,0.0133031,0,0.0186183,0,0.00638669,0.00976655,0.00223995,0.0495502,0.0103462,0.0131474,0.00466622,0.00330401,0,0,0.0113446,0.0129959,0.00538108,0.0603888,0.0213984,0.0134955,0.00278962,0.00502665,0.00490205,0.0503154,0.0078322,0.00777832,0.0246952,0.0192469,0.0096068,0.0296133,0.0651895,0.00959773,0.00257407,0.00170594,0.00503876,0.00305978,0,0,0,0.0154607,0,0.0340899,0,0
71,0.0057497,0.00470394,0,0,0,0.0147992,0.00999219,0.00227036,0,0,0,0.00786126,0,0.0196605,0.00501674,0.0446162,0.0109463,0.0204459,0.00614504,0,0.00214056,0.00704399,0.00574096,0.00344569,0.00729229,0.0450144,0.00600349,0.0128535,0.00637499,0.0137771,0,0.0197433,0,0.00608229,0.00969935,0.00236949,0.0485418,0.01017,0.0132726,0.00444778,0.00268309,0,0,0.0118078,0.0131112,0.00570976,0.0602879,0.0212803,0.014271,0.00295028,0.00462483,0.00550761,0.0505021,0.00883996,0.0080926,0.024661,0.019006,0.0100245,0.0293531,0.0637866,0.00968529,0.00206527,0.00191527,0.00480879,0.00277715,0,0,0,0.0163322,0,0.0345224,0,0
72,0.00521431,0.00428903,0,0,0,0.0147954,0.00985576,0.00264752,0,0,0,0.00819585,0,0.0195553,0.00523588,0.0444792,0.0101212,0.0204525,0.00696956,0,0.00206389,0.00644589,0.00607831,0.00388557,0.00815557,0.0446606,0.00651951,0.0129319,0.00647653,0.0146443,0,0.0207606,0,0.00559573,0.00967851,0.00255987,0.0468378,0.00998725,0.0131621,0.00412424,0.0021956,0,0,0.0121637,0.0131855,0.00594288,0.0601257,0.0211224,0.014981,0.00314319,0.00419096,0.00633131,0.0507206,0.00989288,0.00874724,0.0244235,0.0188037,0.0103677,0.0288406,0.061532,0.00970885,0.00162465,0.00209702,0.00465677,0.00242373,0,0,0,0.0171867,0,0.0342425,0,0
73,0.00463728,0.00391424,0,0,0,0.0148237,0.0101432,0.00293825,0,0,0,0.00846185,0,0.0194609,0.00549918,0.0442848,0.00993932,0.0204114,0.00786192,0,0.0019016,0.00584967,0.00626365,0.00413886,0.00877762,0.0442898,0.00646315,0.012878,0.00653237,0.0148261,0,0.0218496,0,0.00563507,0.0096536,0.0027366,0.0448038,0.00980078,0.0128747,0.00376541,0.0018483,0,0,0.0125179,0.0132553,0.00617104,0.0599478,0.0209446,0.015452,0.00336637,0.00382468,0.00711564,0.0509632,0.0107129,0.00945655,0.0237692,0.0186377,0.0104354,0.0278783,0.0589327,0.00976617,0.00148098,0.0022817,0.00454438,0.00201278,0,0,0,0.0180588,0,0.0333883,0,0
74,0.00373411,0.00309887,0,0,0,0.01448,0.010674,0.00317438,0,0,0,0.00382157,0,0.0202685,0.00239748,0.0439775,0.010077,0.0202802,0.00879966,0,0.00165435,0.00507096,0.00644966,0.00415872,0.00927353,0.0438142,0.00635627,0.012677,0.00658588,0.0148396,0,0.022838,0,0.00346184,0.0101494,0.00207112,0.0424712,0.00970607,0.0125475,0.00342155,0.00249698,0,0,0.0133653,0.0132403,0.0084168,0.059838,0.0208443,0.0155899,0.0036081,0.00351685,0.00776069,0.0512437,0.0113548,0.0100729,0.0227119,0.0186532,0.0102822,0.0265193,0.0560463,0.0100587,0.000961077,0.00267815,0.00483018,0.0018355,0,0,0,0.0188433,0,0.0325598,0,0
75,0.00337575,0.00294189,0,0,0,0.0145831,0.0108615,0.00340094,0,0,0,0.00585734,0,0.0197711,0.00397647,0.0438342,0.0100765,0.0202718,0.009765,0,0.00156013,0.00466495,0.00646438,0.00398109,0.00965435,0.0434835,0.00630013,0.0126339,0.00653271,0.0148639,0,0.0237747,0,0.00387836,0.00988964,0.00252761,0.0400388,0.00947958,0.0120201,0.00293129,0.00213211,0,0,0.013338,0.0133792,0.00762938,0.0598262,0.0208059,0.0154023,0.00378791,0.00314647,0.0081466,0.0514859,0.0117562,0.0104591,0.0213426,0.0188977,0.0100259,0.0247869,0.0528196,0.00970984,0.00100655,0.0027754,0.00458324,0.00129388,0,0,0,0.0193722,0,0.0316588,0,0
76,0.00278726,0.00250101,0,0,0,0.0145485,0.011081,0.00350723,0,0,0,0.00578122,0,0.0197664,0.00389283,0.0438105,0.00996772,0.0202936,0.0106987,0,0.00149197,0.00410356,0.00640205,0.00384255,0.0100484,0.043241,0.00643904,0.0126658,0.00631015,0.014847,0,0.0244981,0,0.00388033,0.0099119,0.00261533,0.0371846,0.00932052,0.0112263,0.00245679,0.00241084,0,0,0.0137771,0.0135121,0.00800113,0.0597998,0.0208113,0.015071,0.00397775,0.00286479,0.00819086,0.0516037,0.0118668,0.010483,0.0198606,0.0191775,0.00977562,0.0228183,0.0491214,0.00979176,0.0011447,0.00291126,0.0045806,0.000904735,0,0,0,0.0197521,0,0.0303212,0,0
77,0.00219085,0.00211564,0,0,0,0.0145223,0.0112174,0.00359713,0,0,0,0.00574027,0,0.0197522,0.00376876,0.0439711,0.00985729,0.0201851,0.0113413,0,0.00153947,0.0036632,0.00636893,0.00385096,0.0105914,0.0428995,0.00651976,0.0126957,0.00593964,0.0146895,0,0.0259919,0,0.00389612,0.00991654,0.00269817,0.0340541,0.00917867,0.0105342,0.00214143,0.00267665,0,0,0.0141127,0.0136776,0.00821498,0.0597456,0.0208164,0.0144771,0.00425787,0.0026384,0.00787662,0.0515998,0.011546,0.0100859,0.0182501,0.0196064,0.00936564,0.0208906,0.0450713,0.00980406,0.0013416,0.00295831,0.00455373,0.000692264,0,0,0,0.0208689,0,0.0289622,0,0
78,0.00167778,0.00187053,0,0,0,0.0145455,0.0116121,0.00363366,0,0,0,0.00625995,0,0.019644,0.00403189,0.0441126,0.00970106,0.0200388,0.0119684,0,0.00171454,0.00336155,0.00654126,0.00402362,0.0108257,0.0425398,0.00648413,0.0126906,0.00564177,0.0144369,0,0.027836,0,0.0040823,0.00988872,0.00292411,0.0305586,0.00907494,0.00963786,0.00183888,0.00301245,0,0,0.0146388,0.0138376,0.0083957,0.0596772,0.0208965,0.0135136,0.00448853,0.00245,0.00717162,0.0514701,0.010823,0.0093252,0.0164631,0.0200362,0.00886468,0.0189194,0.0407348,0.00994842,0.00182212,0.0030117,0.00454957,0.000824739,0,0,0,0.0224126,0,0.0271165,0,0
79,0.00112299,0.00183412,0,0,0,0.0145724,0.0121465,0.00367664,0,0,0,0.00668939,0,0.0195537,0.00432208,0.0442126,0.00947698,0.019888,0.0126333,0,0.00190125,0.00313444,0.00693698,0.00434984,0.0110825,0.0422729,0.00640473,0.0126078,0.00532588,0.0142648,0,0.0292687,0,0.00420939,0.00986594,0.00310344,0.0267726,0.00895327,0.00872232,0.00167555,0.00339435,0,0,0.0151526,0.0139715,0.00862878,0.0596538,0.0210343,0.0122219,0.00473023,0.00230473,0.0062417,0.0511338,0.00987856,0.00845115,0.0146076,0.0205196,0.00843513,0.0170374,0.0361096,0.0100902,0.00240102,0.00314063,0.00465934,0.00113592,0,0,0,0.0234681,0,0.0250016,0,0
