Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,STRN,LASI,LMR,LBR
19,0.0105929,0.0135714,0,0,0,0.0188913,0.0153575,0.0100378,0,0,0,0.011893,0,0.0192351,0.00755064,0.0486067,0.0166608,0.0257673,0.0190748,0,0.0323813,0.00590914,0.0209314,0.0262303,0.0179092,0.0480299,0.0124123,0.0162723,0.0113427,0.00988817,0,0.0300631,0,0.00835237,0.00940254,0.00164889,0.00795385,0.0134931,0.00941378,0.0261236,0.0120253,0,0,0.021275,0,0.0124373,0.00942728,0.0503058,0.0157196,0.0231621,0.00854504,0.0264283,0.0110896,0.0104436,0.0557828,0.0105205,0.0140781,0.00405111,0.0142103,0.00603285,0.00538507,0.00965711,0.0105726,0.0171096,0.00347744,0.0203427,0,0,0,0.0240032,0.0234643,0,0
20,0.0108497,0.0132339,0,0,0,0.0207916,0.0152603,0.0109731,0,0,0,0.0125415,0,0.0195807,0.00768808,0.0484409,0.0160414,0.0253328,0.0201457,0,0.0319723,0.00560064,0.0208084,0.0270987,0.0182057,0.0483587,0.013516,0.017322,0.0115689,0.00967322,0,0.0318212,0,0.00816219,0.00958626,0.00183249,0.0113491,0.0133776,0.00868379,0.0265155,0.0125291,0,0,0.0211337,0,0.0123795,0.0094191,0.0501284,0.015858,0.023392,0.00850098,0.0262301,0.0108645,0.0111297,0.0559574,0.0106346,0.0152327,0.00339969,0.0146661,0.0056114,0.004509,0.0115376,0.0109399,0.0183104,0.00369343,0.0207465,0,0,0,0.0233056,0.0236169,0,0
21,0.0110442,0.0131564,0,0,0,0.0222882,0.0151753,0.0118877,0,0,0,0.013072,0,0.019734,0.00769217,0.0484807,0.016181,0.0250637,0.0210994,0,0.0319089,0.00539749,0.0203641,0.0276038,0.0182442,0.0482502,0.0139167,0.0182326,0.0119303,0.00972406,0,0.0333658,0,0.00797521,0.00966544,0.00186671,0.0151769,0.0132614,0.00832002,0.0270779,0.0128816,0,0,0.0212618,0,0.0124738,0.00952953,0.0502658,0.015122,0.02362,0.0083996,0.0263411,0.0106041,0.0120266,0.0562731,0.0108262,0.0163703,0.00302115,0.0151725,0.00517244,0.00415816,0.0144005,0.0113453,0.0188065,0.00399388,0.0207394,0,0,0,0.0226135,0.0237477,0,0
22,0.0112424,0.0132389,0,0,0,0.0227608,0.0150671,0.012442,0,0,0,0.0132921,0,0.0197775,0.00756061,0.0486562,0.016397,0.0248563,0.0215327,0,0.0319816,0.00542244,0.019735,0.0274245,0.0180108,0.0478223,0.0139876,0.0185699,0.0119549,0.00987136,0,0.0338676,0,0.00778472,0.00971802,0.00179266,0.018057,0.0131844,0.00752046,0.0277498,0.0130378,0,0,0.021476,0,0.0126944,0.00961208,0.0502322,0.0139024,0.023724,0.00822249,0.02654,0.0105218,0.0128951,0.0567849,0.0110906,0.0172793,0.00323568,0.0156806,0.00473121,0.00471828,0.017405,0.0117872,0.0195292,0.00425031,0.0203647,0,0,0,0.0221537,0.0237664,0,0
23,0.0116041,0.0132873,0,0,0,0.0222857,0.0149006,0.0122009,0,0,0,0.0134944,0,0.0197953,0.00742549,0.0488617,0.0165975,0.024692,0.0212952,0,0.0320537,0.00563364,0.0190043,0.0266287,0.0176639,0.0473434,0.0135286,0.0183655,0.0116587,0.0100788,0,0.0333823,0,0.00761803,0.00975477,0.00166938,0.0203564,0.0131265,0.00641692,0.0284504,0.0131459,0,0,0.0217243,0,0.0129684,0.009677,0.0500229,0.0127983,0.0237642,0.00785178,0.0267881,0.0105467,0.0133356,0.0572255,0.0113817,0.0184923,0.00424284,0.0162824,0.00438322,0.00613274,0.0207484,0.0122906,0.0199331,0.00433641,0.0199574,0,0,0,0.0219493,0.0237056,0,0
24,0.0120303,0.0133181,0,0,0,0.0209899,0.0147155,0.0114059,0,0,0,0.0134036,0,0.0198422,0.00728258,0.0490215,0.0168835,0.024677,0.0206925,0,0.0318923,0.0059713,0.0183073,0.0255237,0.0174724,0.0469447,0.0130664,0.0178697,0.0113465,0.0103875,0,0.0320528,0,0.00778642,0.00979474,0.0015294,0.0240229,0.012681,0.00684555,0.0288631,0.0132179,0,0,0.0220655,0,0.0130035,0.00988816,0.0497115,0.0102771,0.0238216,0.00733244,0.0269547,0.0105824,0.013653,0.0571879,0.0114978,0.0191225,0.00546199,0.0168284,0.00475461,0.00739471,0,0.0129463,0.0200994,0.004346,0.019698,0,0,0,0.0218495,0.0236599,0,0
25,0.0124466,0.0132511,0,0,0,0.0194258,0.0145709,0.0104866,0,0,0,0.0135152,0,0.0199018,0.00716974,0.0490363,0.0172352,0.0248131,0.0200346,0,0.031548,0.00621098,0.0177526,0.0244192,0.01739,0.0467383,0.0128641,0.0172994,0.0111321,0.0108322,0,0.0304683,0,0.00810999,0.00984573,0.00141338,0.0251118,0.0123012,0.00414484,0.0292107,0.013365,0,0,0.0222274,0,0.0129318,0.0102277,0.0496755,0.0125955,0.0237323,0.00667667,0.0268942,0.0105733,0.0141388,0.0571643,0.0114782,0.0198244,0.00756302,0.0174939,0.00445815,0.0104864,0.0296537,0.013603,0.0201649,0.00436133,0.0197483,0,0,0,0.0217581,0.0237294,0,0
26,0.0127042,0.0131563,0,0,0,0.0178392,0.0144727,0.00983715,0,0,0,0.0134211,0,0.0200097,0.00703127,0.0490185,0.0175588,0.0248441,0.0194863,0,0.0312118,0.00636585,0.0174406,0.0237529,0.0174905,0.0465991,0.0125102,0.0165648,0.0109075,0.0112625,0,0.028748,0,0.00824392,0.00988649,0.00127783,0.0274371,0.0121775,0.00315357,0.0293683,0.0135212,0,0,0.0224817,0,0.012988,0.0105792,0.0496982,0.0135506,0.023705,0.00606489,0.0267754,0.0104241,0.014119,0.0572732,0.0114227,0.0198379,0.00936364,0.0177811,0.00464763,0.0129367,0.0337654,0.0139484,0.0197828,0.00429756,0.0199885,0,0,0,0.021799,0.024,0,0
27,0.0128855,0.0131167,0,0,0,0.0168015,0.0143582,0.00989291,0,0,0,0.0132639,0,0.0200579,0.00697382,0.0489474,0.0178631,0.0247876,0.0192373,0,0.0309302,0.00650412,0.0172503,0.0230484,0.0179427,0.0465763,0.0122045,0.0162047,0.0108008,0.0115838,0,0.027596,0,0.00833235,0.00990868,0.0012855,0.0300869,0.0121177,0.00265741,0.0294176,0.0137726,0,0,0.0226914,0,0.0130636,0.0109704,0.0497951,0.014862,0.0237079,0.00558166,0.026656,0.0102088,0.013676,0.0573437,0.0114717,0.019581,0.0110326,0.0178445,0.00497055,0.0151644,0.0372485,0.0141912,0.0189754,0.00417153,0.0202906,0,0,0,0.0219766,0.0241572,0,0
28,0.0130307,0.0131614,0,0,0,0.0163943,0.014198,0.0104275,0,0,0,0.0131773,0,0.0200894,0.00697101,0.0488191,0.018268,0.0248027,0.0192646,0,0.0306379,0.00661164,0.0171883,0.0222568,0.0184166,0.0466273,0.0120089,0.0162344,0.0107851,0.0118296,0,0.0270306,0,0.00835475,0.00991607,0.0013343,0.0328391,0.012086,0.00243181,0.0294587,0.0139946,0,0,0.0229426,0,0.0132148,0.0115214,0.0499329,0.0160786,0.0236879,0.00525854,0.0266041,0.00993147,0.012892,0.0572948,0.0114549,0.0191146,0.0124212,0.0178205,0.00532907,0.0169484,0.0407577,0.0144434,0.0178246,0.00410034,0.0204839,0,0,0,0.021935,0.0240067,0,0
29,0.0131488,0.013179,0,0,0,0.0162836,0.0141147,0.0111422,0,0,0,0.0132537,0,0.0201217,0.00698972,0.0486674,0.0186977,0.0247874,0.0194371,0,0.0304403,0.00656676,0.0172803,0.0215283,0.0184521,0.0467038,0.0118575,0.0163954,0.0107355,0.0120614,0,0.0265782,0,0.00831319,0.00993873,0.00140014,0.0354504,0.0119352,0.00209995,0.029574,0.0141089,0,0,0.0229608,0,0.0131747,0.0120007,0.0500744,0.0173005,0.0236943,0.0050923,0.026678,0.00951627,0.012139,0.0571687,0.0113106,0.0185448,0.0134972,0.0177587,0.00563636,0.0184606,0.0441473,0.0145285,0.0166056,0.00408809,0.0205172,0,0,0,0.0216543,0.0239511,0,0
30,0.0133844,0.012917,0,0,0,0.0160106,0.013981,0.0117208,0,0,0,0.0131143,0,0.0200302,0.00703405,0.0485826,0.0190038,0.0246667,0.0194951,0,0.0303734,0.0064599,0.0174872,0.0210484,0.0184914,0.0468038,0.0118497,0.0164471,0.0106645,0.0123246,0,0.0258355,0,0.0082438,0.00993621,0.00147433,0.037918,0.0117034,0.0017326,0.029853,0.0142546,0,0,0.0228857,0,0.0130552,0.0123056,0.050177,0.0186619,0.0237065,0.00503792,0.0268851,0.00901859,0.0114731,0.0570312,0.0111342,0.0178873,0.0143894,0.0176618,0.00598701,0.0198429,0.0473448,0.0144707,0.0153171,0.0040778,0.0205382,0,0,0,0.0211811,0.0241056,0,0
31,0.0137219,0.0126995,0,0,0,0.0155749,0.0138831,0.0121527,0,0,0,0.0130141,0,0.0198796,0.00698335,0.0484916,0.0188311,0.0245525,0.0195071,0,0.030347,0.00642048,0.0178645,0.0209353,0.018737,0.0468289,0.0118423,0.016399,0.0105735,0.0125519,0,0.0248864,0,0.00820101,0.00989273,0.00151303,0.0402155,0.011443,0.00174393,0.0300848,0.0143943,0,0,0.0227901,0,0.0129984,0.0125393,0.0504157,0.0200743,0.0237138,0.00503205,0.0271629,0.00853829,0.0109043,0.0569817,0.0109806,0.0171353,0.0151856,0.0175273,0.00626187,0.0209828,0.0505656,0.0145266,0.0142672,0.00397652,0.0205827,0,0,0,0.0207665,0.024128,0,0
