Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
185,0.0185762,0.00525803,0,0,0,0.0897827,0.0178519,0.0438212,0.0118242,0,0,0,0,0.00946661,0,0.019163,0.00508677,0.0419319,0.0477948,0.0247323,0.0183779,0,0,0.014931,0.0148916,0.0178671,0.0342431,0.00781166,0.060517,0.0248672,0.0399672,0.0177865,0.0151549,0,0.112912,0,0.00773839,0.00905533,0.0044528,0.0109396,0.0124806,0.0121345,0.0123945,0.0255586,0,0,0.00960089,0,0.00951421,0.00895734,0.0603593,0.00975616,0.0279388,0.00320933,0.00784601,0.0181198,0.00250963,0.0485226,0.00344523,0.00501209,0.00691014,0.0160808,0.00442529,0.00876321,0.013128,0.00771974,0.00487214,0.00377494,0.00869967,0.0216823,0,0,0,0
186,0.0188822,0.00533245,0,0,0,0.0897429,0.0178655,0.0436387,0.0110941,0,0,0,0,0.00936266,0,0.0192195,0.00498377,0.0422208,0.0473707,0.0244868,0.0180722,0,0,0.0151406,0.0151082,0.0180073,0.0339071,0.00844079,0.0603244,0.0248458,0.040313,0.0178746,0.0151649,0,0.112698,0,0.00780585,0.00906144,0.00456369,0.0106419,0.0124867,0.0122283,0.0129354,0.0257625,0,0,0.00879186,0,0.0094761,0.00838354,0.0602319,0.00991996,0.0278904,0.00303553,0.00805717,0.0187286,0.00363648,0.0485498,0.00289164,0.0048039,0.00728753,0.0158074,0.00433115,0.00844849,0.0128458,0.00821048,0.00576008,0.00403733,0.00874781,0.0212,0,0,0,0
187,0.0192909,0.00547529,0,0,0,0.0893358,0.0176425,0.0437054,0.0105557,0,0,0,0,0.00959848,0,0.0193017,0.00516391,0.0423347,0.0467878,0.0243101,0.0176654,0,0,0.0153618,0.0151951,0.0180357,0.0333524,0.00833512,0.0599915,0.0247106,0.0397039,0.0181613,0.0151441,0,0.111929,0,0.0078776,0.00912675,0.00515273,0.0101312,0.0125435,0.012216,0.0134775,0.0259226,0,0,0.00817445,0,0.0094129,0.00772406,0.0602199,0.0101437,0.0279297,0.00312576,0.00837756,0.0191681,0.00440367,0.0485962,0.00244195,0.00464725,0.00754121,0.0154776,0.00442759,0.00818795,0.0122831,0.00866197,0.00644558,0.00439213,0.00865678,0.020894,0,0,0,0
188,0,0.00622475,0,0,0,0.0887955,0.0172216,0.0444996,0.0100726,0,0,0,0,0.0103964,0,0.0195008,0.00578449,0.042447,0.0464022,0.0241949,0.0169673,0,0,0.0153993,0.0161469,0.0179406,0.0324906,0.00811909,0.0594942,0.024081,0.0387649,0.0183208,0.0152213,0,0.110894,0,0.00801521,0.00923507,0.00619921,0.00929467,0.0123904,0.0120375,0.0139403,0.0285766,0,0,0.00670611,0,0.00948435,0.00698965,0.0601174,0.0105756,0.0277208,0.00341427,0.00864891,0.0220437,0.00425566,0.0487267,0.00227103,0.00480333,0.00789394,0.0151332,0.0048314,0.00854653,0.011183,0.00917035,0.00662295,0.00471064,0.00893763,0.022723,0,0,0,0
189,0.0203149,0.00588352,0,0,0,0.0883678,0.0168573,0.0446047,0.0093083,0,0,0,0,0.0107713,0,0.0194001,0.00618027,0.0426489,0.0459816,0.0236625,0.0161915,0,0,0.0152328,0.0153996,0.0177079,0.0311421,0.00847514,0.0591168,0.0235175,0.0380368,0.0177736,0.0152243,0,0.109626,0,0.00841318,0.00932223,0.00677311,0.0082538,0.0126881,0.0118341,0.0143249,0.0263548,0,0,0.00723879,0,0.00923398,0.00689272,0.0601209,0.011225,0.027571,0.00373676,0.00901489,0.0198907,0.00334231,0.0488841,0.00237376,0.00522348,0.00830606,0.0148843,0.00518498,0.00932493,0.00972949,0.00918749,0.0068964,0.00479784,0.00824292,0.0212033,0,0,0,0
190,0.0203442,0.00613925,0,0,0,0.0877499,0.0167378,0.0444545,0.00828963,0,0,0,0,0.0107001,0,0.0192762,0.00609143,0.0430348,0.0457449,0.0231176,0.0152725,0,0,0.0145666,0.0148411,0.0171738,0.0295968,0.00910882,0.0586663,0.0231049,0.0374224,0.0168577,0.0152568,0,0.10832,0,0.00812607,0.00929577,0.00680891,0.00719772,0.0128427,0.0117401,0.0147075,0.0261529,0,0,0.00700768,0,0.00918985,0.00642718,0.0600922,0.0121433,0.0273857,0.00420609,0.00901866,0.0199495,0.00154945,0.0489649,0.00252011,0.00576602,0.00890664,0.014641,0.00570038,0.0103235,0.00814163,0.00953835,0.00701012,0.00479806,0.0078312,0.0213494,0,0,0,0
191,0.0199355,0.00651006,0,0,0,0.0868346,0.0166235,0.0436471,0.00769886,0,0,0,0,0.0106838,0,0.0191647,0.00593312,0.043496,0.0452866,0.022674,0.0143108,0,0,0.0142391,0.0143069,0.0165997,0.0279314,0.00932484,0.058092,0.0224865,0.0365518,0.0157253,0.0151885,0,0.106635,0,0.00793379,0.00926692,0.00678867,0.00646167,0.0130336,0.0118717,0.0153299,0.02596,0,0,0.00663828,0,0.0091874,0.00587869,0.0600931,0.0131848,0.0271649,0.00458775,0.00923764,0.0200667,0.00138185,0.0489415,0.0025178,0.00620994,0.0095354,0.0143732,0.0062306,0.0111604,0.00691263,0.00995671,0.00697384,0.00483476,0.00769328,0.021513,0,0,0,0
192,0.0206668,0.0104435,0,0,0,0.088501,0.0180367,0.0459361,0.00905005,0,0,0,0,0.0186476,0,0.0195306,0.0087145,0.0445809,0.0473936,0.0209161,0.0115665,0,0,0.0193674,0.0230269,0.0142032,0.0235399,0.00629422,0.055217,0.0230138,0.036699,0.0163352,0.0153609,0,0.107708,0,0.0134536,0.00887532,0.00741497,0.0137328,0.0141726,0.0193407,0.0134307,0.0254728,0,0,0.0109447,0,0.00879639,0.00595584,0,0.0199258,0.0234233,0.0117407,0.0216328,0.020746,0.0123543,0.0347607,0.0125091,0.00836439,0.00805043,0.0219107,0.00708265,0.00931166,0.0165579,0.0146695,0.0064799,0.00445072,0.0137988,0.0208607,0,0,0,0
193,0.0197655,0.00726927,0,0,0,0.0839106,0.0163436,0.0420699,0.00744926,0,0,0,0,0.0105373,0,0.0191617,0.0056787,0.0435562,0.0438666,0.0220973,0.012495,0,0,0.0141806,0.0131771,0.0153088,0.0242133,0.00966455,0.0568336,0.020598,0.0346269,0.0145894,0.0149428,0,0.102575,0,0.00747248,0.00938053,0.00653554,0.00614545,0.0133547,0.0125359,0.0163249,0.02543,0,0,0.00574301,0,0.00915925,0.00405943,0.0598862,0.0156852,0.0271179,0.00516356,0.00992907,0.020113,0.00181669,0.0490171,0.00212953,0.00695937,0.010699,0.0140479,0.00696167,0.0128736,0.0065324,0.0111002,0.00585587,0.00447786,0.00769448,0.0215929,0,0,0,0
194,0.0201927,0.00757424,0,0,0,0.0820478,0.0161442,0.0402654,0.00724119,0,0,0,0,0.0108498,0,0.0190518,0.00590132,0.0434533,0.0436293,0.0218916,0.0118349,0,0,0.0138666,0.0128746,0.0144978,0.0223986,0.00976081,0.0563409,0.0196418,0.0333169,0.0145168,0.0148204,0,0.100204,0,0.00735933,0.00941025,0.00498811,0.00606051,0.0133914,0.0125645,0.0164996,0.0253126,0,0,0.00628173,0,0.00915682,0.00364586,0.0597038,0.0168632,0.0270492,0.0054683,0.00987125,0.0202141,0.00211551,0.0489865,0.00216131,0.00749885,0.0112609,0.0139381,0.00739694,0.0138401,0.00703144,0.0111626,0.00570317,0.0044188,0.00747382,0.0218952,0,0,0,0
