Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LTHIP
19,0.0226917,0.0191431,0,0,0,0.0113721,0.014259,0.0129675,0.0274701,0,0,0,0,0.0140678,0,0.0179024,0.0081264,0.0399966,0.0075631,0.0323068,0.0207554,0,0,0.0410354,0.00957038,0.0221003,0.0268632,0.0177276,0.0190739,0.0238899,0.015359,0.0131849,0,0.0136685,0,0.00722099,0.00962665,0.00358171,0.0060442,0.0104804,0.0160327,0.0224715,0.0217982,0,0,0.0157476,0,0.0107951,0.0109531,0.049112,0.0214411,0.0218279,0.00894227,0.0379453,0.0238017,0.0045827,0.053432,0.00503072,0.00465506,0.0136439,0.00845504,0.0120798,0.0137061,0.0120064,0.010665,0.00688117,0.00742553,0.0255475,0.0241035,0,0,0,0.0592225
20,0.0224658,0.0183555,0,0,0,0.014406,0.0142933,0.0118547,0.0275194,0,0,0,0,0.0143784,0,0.017918,0.00847656,0.0401154,0.00852052,0.03212,0.0211722,0,0,0.0410727,0.00907069,0.0218771,0.0262118,0.0170323,0.0191492,0.0241692,0.0147562,0.0123821,0,0.0170217,0,0.00752932,0.00964542,0.00383608,0.00679494,0.0102511,0.0170637,0.0234757,0.0213888,0,0,0.0164169,0,0.0110317,0.0114614,0.0491018,0.0203596,0.0216135,0.00868217,0.0379495,0.0233624,0.00598074,0.0541059,0.0052719,0.00618973,0.0136897,0.00823779,0.0119835,0.013515,0.0125455,0.0104002,0.00722419,0.00776842,0.0252248,0.0235857,0,0,0,0.0595416
21,0.0222879,0.0177255,0,0,0,0.0163032,0.0143477,0.0116588,0.0277162,0,0,0,0,0.014703,0,0.0178267,0.00885037,0.0401813,0.00975135,0.031895,0.0215713,0,0,0.0411475,0.00889989,0.0204633,0.0242934,0.0162568,0.0188611,0.0241232,0.0144117,0.0123321,0,0.019926,0,0.00783102,0.00960536,0.00407995,0.00782096,0.0100415,0.0180822,0.0245576,0.0211523,0,0,0.0169927,0,0.0112734,0.0118923,0.0492009,0.0187018,0.0214447,0.00869413,0.0378137,0.022898,0.00718035,0.054908,0.00591768,0.00763157,0.0138005,0.00810068,0.0119766,0.0138162,0.0128877,0.0100838,0.00777637,0.00807644,0.0247352,0.0231545,0,0,0,0.0593799
22,0.0222329,0.0171359,0,0,0,0.0169224,0.0144156,0.0117782,0.0278843,0,0,0,0,0.0149266,0,0.017706,0.00918815,0.0401557,0.0115336,0.0315638,0.0218796,0,0,0.0412111,0.00881351,0.0180681,0.0217936,0.0155784,0.0185214,0.0238617,0.0144797,0.012957,0,0.0221356,0,0.00813556,0.00951999,0.0043641,0.00896768,0.00979165,0.0190202,0.0256719,0.0210569,0,0,0.0174794,0,0.0114278,0.0122365,0.0493605,0.0166465,0.0212745,0.00902037,0.0375764,0.022471,0.00820328,0.055809,0.00696289,0.00887059,0.0139575,0.00797923,0.0121903,0.0145275,0.0128309,0.00989802,0.00794027,0.00830046,0.0239924,0.0229841,0,0,0,0.0587372
23,0.0222274,0.0165783,0,0,0,0.0171787,0.0145082,0.0117374,0.0280029,0,0,0,0,0.0150407,0,0.0177302,0.00949523,0.0401368,0.0135077,0.0310645,0.0220306,0,0,0.0413299,0.00887857,0.0157247,0.019923,0.0152482,0.018371,0.0237019,0.0146663,0.0137275,0,0.024183,0,0.00858121,0.00946718,0.004658,0.00966278,0.00963299,0.0196474,0.026827,0.0211816,0,0,0.0180384,0,0.0115612,0.0125317,0.0494797,0.0144092,0.0211036,0.00971799,0.0373362,0.0221266,0.00910876,0.056763,0.00824253,0.0099347,0.0141805,0.00786828,0.0124294,0.0153359,0.0123227,0.0098502,0.0077996,0.0084211,0.023056,0.0231977,0,0,0,0.0578554
24,0.0222302,0.0159321,0,0,0,0.0175873,0.014593,0.0114938,0.0280959,0,0,0,0,0.0151719,0,0.017784,0.00985408,0.0402648,0.0147578,0.0303715,0.0217523,0,0,0.041419,0.00905869,0.0141976,0.0189961,0.015367,0.0183567,0.023556,0.014658,0.0141221,0,0.0254846,0,0.0092078,0.00944036,0.00490495,0.00994951,0.00957258,0.0196427,0.0280143,0.0215836,0,0,0.0186524,0,0.0116655,0.0127754,0.0495147,0.0118236,0.0209389,0.0107199,0.0370425,0.0218513,0.00995065,0.0578062,0.00959145,0.0108916,0.0144319,0.00778692,0.0125989,0.0160796,0.0114894,0.00994755,0.00748974,0.00840889,0.0223403,0.0237651,0,0,0,0.0572175
25,0.0222207,0.0151601,0,0,0,0.0185836,0.0146282,0.0108556,0.0280183,0,0,0,0,0.0153016,0,0.0177429,0.0102292,0.0404345,0.0151624,0.0297734,0.0213773,0,0,0.041053,0.0093412,0.0140055,0.0193291,0.0155123,0.0183515,0.023368,0.0144746,0.0138778,0,0.0263549,0,0.00984011,0.00939871,0.00510564,0.0102615,0.00954111,0.0190268,0.0290176,0.0221499,0,0,0.0192662,0,0.0117168,0.0130358,0.0493874,0.00901057,0.020831,0.0118725,0.0364693,0.0216063,0.0108155,0.0589147,0.0109069,0.0117378,0.0145937,0.00773397,0.0128242,0.0165193,0.0102251,0.0100751,0.00702839,0.00832262,0.0217944,0.0244015,0,0,0,0.0567879
26,0.0223306,0.0143522,0,0,0,0.0193951,0.0146136,0.00973063,0.0278634,0,0,0,0,0.0155322,0,0.0177097,0.0105738,0.0405435,0.0148575,0.0291991,0.0211628,0,0,0.0402833,0.00957991,0.014584,0.020398,0.0152796,0.0181743,0.0229557,0.0142881,0.0130035,0,0.026969,0,0.010447,0.00936424,0.00526862,0.0104974,0.00953136,0.0180481,0.0298436,0.022832,0,0,0.0199806,0,0.0117676,0.0134482,0.049149,0.00682848,0.0208062,0.0130427,0.035676,0.0213879,0.0116927,0.0599953,0.0121991,0.0125908,0.0145279,0.0076502,0.0129257,0.0164732,0.00893751,0.0101733,0.00653034,0.00821941,0.0212506,0.0250447,0,0,0,0.0565555
27,0.0224605,0.0134684,0,0,0,0.0199694,0.014614,0.00852646,0.0277669,0,0,0,0,0.0159995,0,0.017765,0.0109732,0.0405656,0.0142606,0.0286326,0.0210567,0,0,0.0393801,0.0096868,0.0150265,0.0211243,0.0148312,0.0177933,0.022591,0.0138731,0.0117052,0,0.0273461,0,0.0109428,0.00936367,0.00541604,0.0118045,0.00952227,0.0169961,0.0305442,0.0234342,0,0,0.0206727,0,0.0118446,0.0138999,0.0489069,0.00658289,0.0208724,0.0140758,0.0348558,0.0210254,0.0125778,0.0609842,0.0134728,0.013504,0.0142145,0.00762654,0.0128767,0.0159979,0.00844765,0.0102729,0.00611011,0.00810578,0.0207329,0.0256611,0,0,0,0.0566737
28,0.022476,0.0125538,0,0,0,0.0210109,0.0146635,0.00735407,0.0277357,0,0,0,0,0.0165412,0,0.0177802,0.0113582,0.0405316,0.0133863,0.0280851,0.0212317,0,0,0.0385197,0.00961124,0.0151043,0.0211466,0.0141871,0.0173284,0.0222766,0.0133166,0.0104306,0,0.0279801,0,0.0112134,0.00934123,0.00546107,0.0136489,0.00947072,0.015931,0.0310973,0.0238638,0,0,0.021239,0,0.0119419,0.014359,0.0487799,0.00782964,0.0210076,0.0147844,0.0341551,0.0203906,0.0133868,0.0618147,0.0146318,0.0144722,0.0136379,0.00761075,0.012759,0.0152403,0.0104806,0.0103977,0.00576515,0.00802647,0.0204513,0.0262527,0,0,0,0.0570132
