Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,
566,0.02366,0.0462153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414777,0,0,0.0573182,0,0,0.0178167,0,0,0.0570826,0,0.0653275,0.0118658,0.0121806,0.0419558,0.0542558,0.0412439,0.0503953,0,0.0694265,0.0526542,0.0487407,0.0616521,0.0611406,0.0149558,0.0418803,0.0123218,0.0149297,0.0340473,0,0.022832,0.0688428,0.0143263,0,0,0.0206956,0,0,0.0382692,0.0425526,0.0366288,0.00768369,0.0328385,0.0392751,0.0247861,0.0748232,0.0903315,0.0582805,0.031878,0.0604362,0.0399777,0.0406955,0.0649699,0.0185183,0.0225095,0.0145092,0.012718,0.0263738,0.0287438,0,0,0,0
567,0.0236864,0.0462076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408204,0,0,0.0572332,0,0,0.0177988,0,0,0.0570063,0,0.0651607,0.0119441,0.0126408,0.0417751,0.0543788,0.041074,0.0507298,0,0.0693927,0.0531849,0.0490108,0.0618175,0.0613525,0.015809,0.041937,0.0126789,0.0141861,0.0339563,0,0.0229745,0.0691042,0.0143198,0,0,0.0206086,0,0,0.0381654,0.0424981,0.0368072,0.00800196,0.0328196,0.0390555,0.0244817,0.0747502,0.0903296,0.058342,0.032087,0.0604035,0.0400329,0.0406304,0.0649008,0.0187052,0.0223664,0.0144472,0.0128413,0.0264381,0.0286776,0,0,0,0
568,0.0237434,0.0461374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040255,0,0,0.057186,0,0,0.0178832,0,0,0.0569214,0,0.0652583,0.0116603,0.0128727,0.0417136,0.0543187,0.0408656,0.0509556,0,0.0692807,0.0535594,0.0493396,0.0620579,0.0615697,0.0165655,0.0419718,0.0127099,0.014271,0.0336797,0,0.0230963,0.0692119,0.014359,0,0,0.0204495,0,0,0.0380965,0.0424542,0.0368979,0.00830984,0.0327562,0.0390378,0.0241101,0.0747402,0.0903205,0.0583079,0.0322741,0.060394,0.0401478,0.040691,0.0648333,0.0189808,0.0222438,0.0144538,0.0129567,0.0263783,0.0286823,0,0,0,0
569,0.0237888,0.0460167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394895,0,0,0.0594011,0,0,0.0179128,0,0,0.0566578,0.0347273,0.0651917,0.00955305,0.0141545,0.0410375,0.0536376,0.0399467,0.0533493,0,0.0681216,0.0540013,0.0497439,0.0621919,0.0616795,0.0169757,0.0420728,0.0127647,0.01412,0.0335856,0,0.0233621,0.0664495,0.014593,0,0,0.020524,0,0,0.0382513,0.0440079,0.0369682,0.00739757,0.032346,0.0394927,0.0246087,0.074996,0.0900026,0.0582149,0.0338423,0.0609558,0.0406094,0.0412042,0.0652511,0.0188629,0.0223939,0.014212,0.0129697,0.026282,0.0283221,0,0,0,0
570,0.023859,0.0459717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393094,0,0,0.0594322,0,0,0.0180554,0,0,0.0568021,0.0341984,0.0651502,0.0101606,0.014567,0.0411151,0.0536899,0.0397995,0.0536087,0,0.0679895,0.0543841,0.0501016,0.0625011,0.0619624,0.0171897,0.0423006,0.0127493,0.0142039,0.0333533,0,0.0233822,0.0664555,0.0146684,0,0,0.0203892,0,0,0.0381217,0.0439854,0.0370078,0.007411,0.0322418,0.0395544,0.0243298,0.0750052,0.089995,0.0582426,0.0339459,0.0609935,0.0406122,0.0411335,0.0652634,0.0189555,0.0222457,0.0142391,0.0130374,0.0262966,0.028418,0,0,0,0
571,0.0239878,0.0459588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393312,0,0,0.0596059,0,0,0.0181879,0,0,0.0570881,0.0337161,0.065195,0.011748,0.0151254,0.041001,0.0537787,0.0397505,0.053815,0,0.0679218,0.054878,0.0505268,0.0629627,0.062372,0.0172129,0.0424433,0.012765,0.0143508,0.0330261,0,0.0235251,0.0664277,0.0147364,0,0,0.0202593,0,0,0.038029,0.0439817,0.0371991,0.00742627,0.0323649,0.0394536,0.0239892,0.0750011,0.0899936,0.0580954,0.0339437,0.0609413,0.0405334,0.040983,0.0652541,0.0192279,0.0221611,0.0142533,0.013094,0.0264656,0.0285359,0,0,0,0
572,0.0241115,0.04595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394819,0,0,0.0596964,0,0,0.0183829,0,0,0.0571508,0.0333809,0.0653663,0.0123961,0.0157979,0.0409159,0.0537733,0.0397813,0.0541335,0,0.0679028,0.0554483,0.0509709,0.0633999,0.0628574,0.0170368,0.0425713,0.0127805,0.0144624,0.0327223,0,0.0236842,0.066494,0.0148045,0,0,0.0201493,0,0,0.0379372,0.0440234,0.0374235,0.00748581,0.0324834,0.0393293,0.0235076,0.0749603,0.0899477,0.0580033,0.0340661,0.0609192,0.0404772,0.0409375,0.0652446,0.0195451,0.0220824,0.0142809,0.0132345,0.0265823,0.0285924,0,0,0,0
573,0.0241919,0.0459229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397186,0,0,0.0596778,0,0,0.0185556,0,0,0.0566859,0.0331079,0.0654133,0.0126181,0.0166029,0.0408696,0.0537162,0.0398479,0.0543877,0,0.0679691,0.0559647,0.0513204,0.0637629,0.0633635,0.0167037,0.0427675,0.0127477,0.0143842,0.0324383,0,0.0238198,0.0666694,0.014871,0,0,0.0200766,0,0,0.0378315,0.0441453,0.0376254,0.00762171,0.0325433,0.0391734,0.0232005,0.0748849,0.0898824,0.0579679,0.0343533,0.0609108,0.0404743,0.0410714,0.0652445,0.0198861,0.0219649,0.0143657,0.0133157,0.0266711,0.0286733,0,0,0,0
574,0.0242352,0.0459476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397674,0,0,0.0595964,0,0,0.018731,0,0,0.0563466,0.0323973,0.0653563,0.0129427,0.0175058,0.0408349,0.0536778,0.0399369,0.05447,0,0.0680854,0.0563673,0.0515773,0.0640218,0.0637617,0.0165751,0.0429834,0.0127626,0.014331,0.0321896,0,0.0239306,0.0669453,0.0148904,0,0,0.0200045,0,0,0.0377321,0.0443467,0.0377536,0.00781667,0.0326041,0.0389823,0.022971,0.0748093,0.0898256,0.0580173,0.0345459,0.0608854,0.0405119,0.0410877,0.0652377,0.0201822,0.0218695,0.0144665,0.0133537,0.0267961,0.0287643,0,0,0,0
575,0.0242832,0.0459702,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395122,0,0,0.0595246,0,0,0.0188125,0,0,0.0562329,0.0314831,0.0651144,0.0134067,0.0183793,0.0407459,0.0536822,0.0400343,0.0543891,0,0.0681506,0.0566932,0.05177,0.0641602,0.0638223,0.016719,0.0431544,0.0127957,0.0143572,0.0319467,0,0.0240426,0.06723,0.0149111,0,0,0.0199082,0,0,0.0376114,0.0444591,0.0378066,0.00798486,0.0327231,0.038814,0.02266,0.0747324,0.0897906,0.0579589,0.0344041,0.0608434,0.0405313,0.0410372,0.0652264,0.0203633,0.0218446,0.0145437,0.0133804,0.0269304,0.0287715,0,0,0,0
