Timestep,,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,R5FT
350,0,0.0206374,0.0469974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365502,0,0.0578783,0.0640943,0,0,0.0195296,0,0,0.0533761,0.038301,0.0917154,0.00811714,0.0272324,0.0373284,0.0512161,0.0449042,0.0521696,0,0.0734935,0.178219,0.0312427,0.0448087,0.0493203,0.100364,0.0431178,0,0.0191244,0,0.0200911,0.0609176,0.00966539,0,0,0.0150367,0,0,0.041624,0.0397213,0.0346685,0.0016271,0.0235368,0.0411382,0.0215218,0.0753057,0.0924857,0.0559337,0.0310761,0.0625043,0.0439312,0.0424142,0.0658952,0.0378934,0.0186685,0.0257844,0,0.028011,0.0251798,0,0,0,0.0177191
351,0,0.0207102,0.0470051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370684,0,0.0584391,0.0636983,0,0,0.0199001,0,0,0.0536641,0.0379109,0.0928094,0.00780693,0.0271618,0.0376307,0.0511769,0.0449051,0.0518666,0,0.0734277,0.176001,0.0308524,0.0453566,0.0503173,0.101818,0.0433543,0,0.0197874,0,0.0200738,0.0610724,0.00951978,0,0,0.0150079,0,0,0.0415746,0.0395075,0.0345884,0.00204062,0.0236726,0.0409983,0.0215257,0.0753345,0.0923009,0.0557853,0.0314503,0.0626362,0.0437322,0.0424225,0.0659843,0.0364523,0.018621,0.0258173,0,0.0282777,0.025242,0,0,0,0.0188018
352,0,0.0207457,0.0470075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371231,0,0.058764,0.0635097,0,0,0.0200051,0,0,0.0538424,0.0375634,0.093334,0.00773277,0.027183,0.0379433,0.0514012,0.0448477,0.0516666,0,0.0732251,0.174504,0.0303787,0.0455722,0.0506799,0.10205,0.0433286,0,0.0200963,0,0.0201189,0.0612105,0.0092138,0,0,0.0150613,0,0,0.0415232,0.0393283,0.0344473,0.00241173,0.0238815,0.0408158,0.0217178,0.0753253,0.0920352,0.0556257,0.0315184,0.0628639,0.0436055,0.0425094,0.0661921,0.0348956,0.0186782,0.0258723,0,0.0284615,0.0253765,0,0,0,0.0199153
353,0,0.0207708,0.0469916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369575,0,0.0587563,0.063455,0,0,0.0200457,0,0,0.054035,0.0372525,0.093102,0.0083754,0.0271128,0.0380736,0.0515853,0.0446508,0.0514616,0,0.0728232,0.173207,0.0301347,0.0453353,0.0503655,0.100941,0.0433233,0,0.0204616,0,0.0199924,0.0613113,0.00896253,0,0,0.0151771,0,0,0.0413998,0.0391815,0.0343493,0.00274837,0.0241245,0.0405904,0.0218135,0.0752152,0.0917208,0.0555645,0.0314079,0.0630855,0.0435359,0.0426316,0.0663736,0.0331468,0.0186545,0.0258684,0,0.0285994,0.0253927,0,0,0,0.0210093
354,0,0.0207999,0.0469243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362931,0,0.0586885,0.0633145,0,0,0.019877,0,0,0.0541024,0.0370478,0.0924019,0.00891825,0.0268131,0.0383207,0.0517918,0.0443214,0.0510083,0,0.0723322,0.172129,0.0296685,0.0447067,0.0494424,0.0984143,0.0432588,0,0.0208279,0,0.0199162,0.0614889,0.00900838,0,0,0.015245,0,0,0.0413525,0.0391451,0.0342503,0.00305469,0.0245,0.0405061,0.0219451,0.0750015,0.0913094,0.0555827,0.0315815,0.063183,0.0434446,0.0427753,0.0666176,0.0315676,0.0185852,0.0257957,0,0.0286099,0.0253241,0,0,0,0.0220429
355,0,0.0208186,0.0468746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352277,0,0.058421,0.0629077,0,0,0.0190673,0,0,0.0537948,0.0370041,0.0912025,0.00896909,0.0263537,0.0388818,0.052375,0.0439987,0.0504169,0,0.0719654,0.171158,0.0291255,0.0436927,0.0479442,0.0949809,0.0429221,0,0.0209881,0,0.0203819,0.061926,0.00907406,0,0,0.0154521,0,0,0.0412755,0.0390157,0.0343826,0.00337077,0.0250292,0.0403892,0.0221191,0.0747309,0.0908826,0.0556073,0.0316665,0.0630763,0.0432729,0.0428539,0.0668291,0.030065,0.0183836,0.0259291,0,0.0285537,0.0253975,0,0,0,0.0230267
356,0,0.0203061,0.0471772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334354,0,0.0582715,0.0631219,0,0,0.0194362,0,0,0.0582493,0.036358,0.089936,0.00920424,0.0261221,0.039013,0.0550834,0.0433081,0.0499708,0,0.0714326,0.170416,0.0290592,0.0428361,0.0466106,0.0901457,0.0410648,0.0142356,0.0164931,0,0.0203395,0.0617408,0.00957695,0,0,0.0149208,0,0,0.041415,0.0396211,0.0339947,0.00332607,0.0254133,0.0403692,0.023249,0.074193,0.0902214,0.0558124,0.0321804,0.063224,0.0431925,0.0430581,0.0671865,0.0290497,0.0189295,0.0256397,0,0.0284623,0.025235,0,0,0,0.0237675
357,0,0.0201148,0.0471218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032054,0,0.0577343,0.0628178,0,0,0.0190089,0,0,0.0581479,0.0357951,0.0880565,0.00886753,0.0251412,0.0396594,0.0548557,0.0429213,0.0495091,0,0.0708202,0.169894,0.0286887,0.0417951,0.0450698,0.0853841,0.0410295,0.0144018,0.0163524,0,0.0205449,0.0620167,0.00982893,0,0,0.0149228,0,0,0.0414572,0.0398043,0.034131,0.00347062,0.0259547,0.040272,0.0235534,0.0737891,0.0897892,0.0560363,0.0321842,0.0631921,0.0430838,0.043032,0.0672516,0.0276666,0.0189002,0.0255215,0,0.0281704,0.0253064,0,0,0,0.0248794
358,0,0.0198839,0.0471165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295757,0,0,0.0624476,0,0,0.018709,0,0,0.0581527,0.0361979,0.0946813,0.00777308,0.0288352,0.0402916,0.0541954,0.0445717,0.0496381,0,0.0721134,0.164059,0.0227628,0.0412216,0.0442915,0.0766899,0.0413084,0.014011,0.0161349,0,0.0208927,0.0622259,0.00997037,0,0,0.015316,0,0,0.0414909,0.0396946,0.0342727,0.00378788,0.0262145,0.04012,0.0236341,0.07366,0.0894583,0.05598,0.0322399,0.0632491,0.0432355,0.0430621,0.0672712,0.0257975,0.0187476,0.0258393,0,0.0279667,0.0255606,0,0,0,0.0265303
359,0,0.0196613,0.0469794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288834,0,0,0.0622191,0,0,0.0182855,0,0,0.0579425,0.0356693,0.0928411,0.00747221,0.0284242,0.0408298,0.0534931,0.0441418,0.049478,0,0.0715064,0.164455,0.0224186,0.0402596,0.0426269,0.0720708,0.0411895,0.0140964,0.0160917,0,0.0211077,0.0623879,0.0103804,0,0,0.0153516,0,0,0.0417078,0.0400458,0.0343839,0.0038328,0.0266954,0.0402693,0.0237418,0.0731962,0.0890341,0.0562986,0.0324377,0.0632738,0.0431536,0.0430527,0.0672935,0.0246418,0.0188114,0.0258779,0,0.027638,0.0257506,0,0,0,0.0273666
