Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76
645,0.026295,0.0505183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412426,0,0.0274099,0.0618233,0,0,0.0170279,0,0,0.0559427,0.0320556,0.0349155,0.0163828,0.0277638,0.0377689,0.0529681,0.0349304,0.0507353,0.0757792,0.0614679,0.0645143,0.0600014,0.0603735,0.0614979,0.0171384,0.0440607,0.0135861,0.01455,0.02536,0,0.0209647,0.0634836,0.01529,0,0,0.0254911,0,0,0.0371018,0.0440508,0.0313016,0.00253044,0.0320897,0.0414786,0.025544,0.0706045,0.0867564,0.0570049,0.0329728,0.0619053,0.0426201,0.0426608,0.0670163,0.0260466,0.0240226,0.0202655,0.01002,0.0361043,0.0220572,0,0,0
646,0.0263416,0.050507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412803,0,0.0275019,0.0618647,0,0,0.0170712,0,0,0.0559046,0.0323695,0.0349381,0.0164046,0.0278411,0.0377371,0.0529056,0.0349118,0.0506549,0.0757889,0.061401,0.0644742,0.0599353,0.060353,0.0614645,0.017202,0.0440944,0.0135994,0.0145202,0.0253851,0,0.0209476,0.0634545,0.0152713,0,0,0.0255563,0,0,0.0370597,0.0439613,0.0312727,0.00251396,0.0320617,0.0415046,0.0255722,0.0705925,0.0867358,0.0569308,0.0330161,0.0619163,0.042702,0.0427108,0.0671561,0.0260031,0.0240631,0.0204234,0.00986871,0.0361403,0.0218927,0,0,0
647,0.0263764,0.050484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413217,0,0.0275404,0.0619156,0,0,0.0170919,0,0,0.0558501,0.0323475,0.0349113,0.0163412,0.0278695,0.0377759,0.0528496,0.0348728,0.0506586,0.0757894,0.0614493,0.0644941,0.0599278,0.0603514,0.0614752,0.0171211,0.0441512,0.0136149,0.0144546,0.0253842,0,0.0209642,0.0634194,0.0153608,0,0,0.0256064,0,0,0.0370087,0.0438408,0.0312374,0.00253017,0.0320555,0.0414909,0.0255432,0.0706404,0.0867025,0.056995,0.0328474,0.0619248,0.0427572,0.0427616,0.0672614,0.0259818,0.0240594,0.0205863,0.00973935,0.036197,0.0221926,0,0,0
648,0.0263914,0.050385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413574,0,0.0275268,0.061925,0,0,0.0171297,0,0,0.0558034,0.0323364,0.0349228,0.0162945,0.0278635,0.0376207,0.0527812,0.0348565,0.0506625,0.075771,0.0614872,0.0645265,0.0599532,0.0603644,0.0615068,0.017028,0.044164,0.0136349,0.0143926,0.0253723,0,0.0209876,0.0634052,0.0154145,0,0,0.0256397,0,0,0.0369743,0.043729,0.0312324,0.00254406,0.0320219,0.0414673,0.0255125,0.0706582,0.0867031,0.0569884,0.0329333,0.0619363,0.0427959,0.0428126,0.0672682,0.0259645,0.0240152,0.0207495,0.00963192,0.0362304,0.0223353,0,0,0
649,0.0264331,0.0503926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413695,0,0.0275142,0.0619313,0,0,0.0172736,0,0,0.0557351,0.0324161,0.0349566,0.016281,0.0278398,0.0374532,0.0526849,0.0348798,0.0506661,0.0757488,0.0614816,0.0645573,0.0599869,0.0603861,0.0615235,0.0170032,0.044083,0.0136372,0.0143893,0.0253712,0,0.0210081,0.0634074,0.0154168,0,0,0.0256663,0,0,0.0369413,0.0436587,0.0312546,0.00255143,0.0319532,0.0414349,0.0254854,0.0706393,0.0867496,0.05686,0.0331675,0.0619481,0.0428812,0.0428061,0.0672427,0.0259505,0.0239207,0.0208952,0.00951975,0.036252,0.022295,0,0,0
650,0.0265118,0.0505017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413491,0,0.0275335,0.0619362,0,0,0.0174345,0,0,0.0556814,0.0325091,0.034984,0.0162686,0.0277818,0.0374058,0.0526119,0.0349134,0.0506733,0.0757158,0.0614684,0.0645819,0.0600295,0.060403,0.0615446,0.0170627,0.0441508,0.0136804,0.0143946,0.0254153,0,0.0209823,0.0634047,0.0154106,0,0,0.0256787,0,0,0.0368384,0.0436642,0.0312268,0.0026217,0.0318847,0.0413905,0.0254723,0.0706586,0.0867696,0.0567758,0.0331048,0.061963,0.0429398,0.0428475,0.0672464,0.0259003,0.023933,0.0210691,0.00935433,0.0362675,0.02223,0,0,0
651,0.0266055,0.0505224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413026,0,0.0276014,0.0619416,0,0,0.0172703,0,0,0.0557103,0.0325844,0.0349569,0.0162595,0.0277452,0.0374444,0.0525857,0.0349219,0.0506854,0.0757024,0.0614606,0.0645844,0.0600689,0.0604149,0.0615935,0.0172019,0.0442363,0.0138081,0.0142818,0.0254978,0,0.020954,0.0634003,0.0154505,0,0,0.0256849,0,0,0.0367258,0.0437381,0.0311533,0.00274349,0.0318413,0.0413322,0.0255164,0.0707122,0.0867546,0.0566667,0.0329284,0.0619908,0.0429813,0.0428894,0.0672997,0.0258012,0.0239072,0.0212636,0.0091569,0.0362923,0.0221837,0,0,0
652,0.0266412,0.0504989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412878,0,0.0275885,0.0619399,0,0,0.0171755,0,0,0.0557099,0.0326711,0.0349323,0.0162682,0.0277321,0.0373831,0.0525531,0.0349487,0.0507058,0.0756976,0.0614932,0.0645833,0.0601087,0.0604164,0.0616128,0.0172345,0.0443077,0.0139126,0.0142191,0.0255024,0,0.0209722,0.0634144,0.0154538,0,0,0.0256924,0,0,0.0367303,0.0437542,0.0311156,0.00279893,0.0318388,0.0412996,0.0255376,0.070719,0.0867092,0.0565305,0.0327391,0.0619945,0.0430143,0.0429207,0.0673508,0.0257866,0.0239961,0.0213441,0.00919026,0.0363151,0.0219762,0,0,0
653,0.0266723,0.0505024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412886,0,0.0275411,0.0619291,0,0,0.0171819,0,0,0.0556708,0.0327709,0.0349193,0.0162577,0.0277222,0.0373693,0.052537,0.0350092,0.050723,0.0756936,0.0614989,0.0646052,0.0601491,0.0604412,0.061622,0.0171911,0.0443814,0.0139987,0.0141641,0.0254567,0,0.0210196,0.0634396,0.0153809,0,0,0.0256764,0,0,0.036732,0.0437349,0.0311241,0.00283528,0.0318379,0.0412416,0.0255346,0.0706962,0.086648,0.0564071,0.0326493,0.0620179,0.0430408,0.0429541,0.0673638,0.0258476,0.0240654,0.0213707,0.0092522,0.0363383,0.0215164,0,0,0
654,0.0266986,0.0505315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413353,0,0.0275216,0.0618968,0,0,0.0172075,0,0,0.0556105,0.0329358,0.0348859,0.0162345,0.0277635,0.0372554,0.0525497,0.0350551,0.0506918,0.0756879,0.0614849,0.0646396,0.0601966,0.060496,0.0616428,0.017132,0.0444406,0.0140751,0.0140778,0.0254314,0,0.0210851,0.0634766,0.0153515,0,0,0.0256509,0,0,0.0366655,0.0438341,0.0311696,0.00287543,0.0318172,0.0412232,0.0255315,0.0706639,0.0865796,0.0563336,0.0329065,0.0621386,0.0430539,0.0429484,0.0673479,0.0258858,0.0240546,0.0214185,0.00925781,0.0363499,0.0212571,0,0,0
