Timestep,,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,L5HD
20,0,0.0267554,0.0479791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374175,0.0264876,0.0640464,0,0,0.0107336,0,0,0.0426543,0.0276228,0.0369928,0.0108714,0.0206225,0.0347606,0.0476802,0.0328594,0.0508934,0.0746224,0.0604055,0.0641214,0.059454,0.061777,0.0619401,0.0198658,0.0430399,0.0230978,0.0120931,0.022345,0,0.0248706,0.0629157,0.0195268,0,0,0.0133261,0,0,0.0373527,0.0408235,0.0558275,0.0048645,0.021712,0.0429416,0.0320067,0.0710046,0.0942136,0.0650669,0.0172819,0.0593392,0.036639,0.03633,0.0623456,0.0680218,0.0187662,0.0192523,0.0143943,0.0331695,0.0172859,0,0,0,0
21,0,0.0270112,0.0479543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380967,0.0265312,0.0642281,0,0,0.0107467,0,0,0.0425642,0.0280811,0.0370873,0.0108278,0.0206127,0.0347322,0.0471011,0.0330853,0.0503884,0.074327,0.0603521,0.0640785,0.0590848,0.0616722,0.061923,0.0191513,0.0430064,0.0230577,0.0122702,0.0221108,0,0.0247409,0.0626674,0.0197743,0,0,0.0134292,0,0,0.0374323,0.040365,0.0553705,0.00455152,0.0212198,0.0433827,0.0323478,0.0707119,0.0936206,0.0646987,0.0178883,0.0592328,0.0363796,0.0361613,0.0622866,0.0666586,0.0186782,0.0191627,0.0142745,0.0331891,0.016989,0,0,0,0
22,0,0.0279537,0.0477777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383785,0.0286739,0.0632509,0,0,0.0107051,0,0,0.0423667,0.0310518,0.0391734,0.0123988,0.0221805,0.0355325,0.0469105,0.0358133,0.0504115,0.0766274,0,0.0613818,0.0560417,0.0593799,0.0598902,0.0186606,0.0433803,0.0230851,0.0123902,0.0216322,0,0.0247005,0.0650138,0.0199415,0,0,0.0131975,0,0,0.036922,0.0401239,0.0547033,0.00477807,0.0211814,0.0430772,0.0312326,0.0702576,0.0931932,0.0646864,0.0178982,0.0591026,0.0362965,0.0361208,0.0622438,0.0649792,0.0186813,0.0198933,0.0148625,0.0328683,0.0167666,0,0,0,0
23,0,0.0278364,0.0478412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413559,0.029296,0.0627377,0,0,0.0104136,0,0,0.0430927,0.0314772,0.0387598,0.0113121,0.0232023,0.0363667,0.0470836,0.0364105,0.0507255,0.0769969,0,0.0610082,0.0556168,0.0588966,0.0594665,0.0159316,0.0430425,0.0225339,0.0116459,0.026288,0,0.0216012,0.065847,0.0193085,0,0,0.0138359,0,0,0.0362215,0.0394501,0.0528528,0.00513694,0.0167744,0.0429487,0.0311283,0.0689598,0.0907688,0.0638237,0.0208155,0.0593956,0.0357597,0.0354698,0.0619839,0.073675,0.0184946,0.0202575,0.0155375,0.0328641,0.0174986,0,0,0,0
24,0,0.0279861,0.0478804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421468,0.0293641,0.0628219,0,0,0.0104004,0,0,0.043201,0.0320181,0.0387866,0.0112505,0.0235624,0.0363995,0.0468031,0.0365189,0.0504638,0.0771256,0,0.0609395,0.0555343,0.0586676,0.0593913,0.0152942,0.0427129,0.0225437,0.0116253,0.0256154,0,0.0217666,0.0658814,0.019319,0,0,0.0139987,0,0,0.0362862,0.0390988,0.0525044,0.00502193,0.0167483,0.0433618,0.0312549,0.0690943,0.0906327,0.0633609,0.0212493,0.0591566,0.0355309,0.0353378,0.0618596,0.0722162,0.0183665,0.0202213,0.0154219,0.0328087,0.0175223,0,0,0,0
25,0,0.0275302,0.0479355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407272,0.0264196,0.0640802,0,0,0.0110672,0,0,0.0427882,0.0309891,0.0369529,0.0108023,0.0211282,0.0350382,0.0462427,0.0337956,0.0481047,0.0745982,0.0614711,0.0639138,0.058957,0.0616014,0.0621975,0.0163752,0.0419616,0.0226511,0.012269,0.020814,0,0.0250168,0.0631522,0.0198035,0,0,0.0141368,0,0,0.0375068,0.0383897,0.0539036,0.00415706,0.0205048,0.0449043,0.0326938,0.0712289,0.0925909,0.0628247,0.0198859,0.0583679,0.035529,0.0355056,0.0616766,0.0617623,0.018156,0.019095,0.0142008,0.0329856,0.0170419,0,0,0,0
26,0,0.0273307,0.0479453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447302,0.0271494,0.0640055,0,0,0.0106975,0,0,0.043564,0.0312222,0.036494,0.00967978,0.0218167,0.0357783,0.0463971,0.0342268,0.0489035,0.0753363,0.0618418,0.0632944,0.0584153,0.0609378,0.0615859,0.0137315,0.0415378,0.0222713,0.0113403,0.024539,0,0.021974,0.0630195,0.0190826,0,0,0.0146199,0,0,0.0367061,0.0383314,0.0520647,0.00515406,0.0167583,0.0448914,0.0325711,0.0699781,0.0906503,0.061965,0.0221642,0.0589243,0.035167,0.0350837,0.0616971,0.0698074,0.018023,0.0195356,0.0147625,0.0328438,0.017821,0,0,0,0
27,0,0.0274143,0.0479796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457169,0.027169,0.0642404,0,0,0.0107345,0,0,0.0436169,0.031491,0.0364608,0.00983732,0.0218108,0.0355923,0.0462644,0.0342608,0.0485541,0.0752629,0.0620968,0.0633955,0.0583957,0.0609731,0.0614697,0.0132798,0.0412873,0.0223373,0.0111645,0.0240379,0,0.0217829,0.0630152,0.0190475,0,0,0.0146856,0,0,0.0366319,0.0380433,0.0514101,0.00516288,0.0170719,0.0452865,0.0325478,0.070381,0.090644,0.0614766,0.0216271,0.0590201,0.0352914,0.035236,0.0617977,0.068424,0.0179929,0.0195873,0.0147113,0.0327509,0.0178997,0,0,0,0
28,0,0.0274771,0.0480252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464821,0.0272018,0.0644594,0,0,0.0108037,0,0,0.0436187,0.0316529,0.0364531,0.0100357,0.0220153,0.0353614,0.0461472,0.0342551,0.0481994,0.0750808,0.0621219,0.063365,0.0584062,0.0610578,0.0613182,0.0129788,0.0411101,0.0223512,0.0110103,0.0235414,0,0.0215382,0.0630239,0.0189439,0,0,0.0147168,0,0,0.0366017,0.0377181,0.0506088,0.00513828,0.0175369,0.0456304,0.0324445,0.0708352,0.0907506,0.0609948,0.0209518,0.0591798,0.0355294,0.035473,0.0619759,0.0668853,0.0179987,0.0196217,0.0147307,0.0326371,0.018023,0,0,0,0
29,0,0.027501,0.0479958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471643,0.0272367,0.0646912,0,0,0.0109292,0,0,0.0435994,0.0318359,0.0364548,0.0102476,0.0222796,0.0351298,0.0460536,0.0342129,0.0478655,0.0750419,0.061963,0.0630844,0.0582563,0.0611891,0.0613107,0.0127819,0.0410763,0.0223876,0.0108534,0.0230575,0,0.0213021,0.0629191,0.0188063,0,0,0.0146643,0,0,0.0364777,0.0374728,0.0498613,0.00515333,0.0180045,0.0458947,0.0323046,0.0712214,0.0908929,0.0605699,0.020939,0.0593499,0.0357199,0.0356739,0.0621577,0.0652528,0.0180099,0.0196876,0.0147691,0.0324931,0.0182051,0,0,0,0
