Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x77,x76
23,0.0256579,0.0483475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353637,0,0.0277754,0.0600952,0,0,0.0104447,0,0,0.0457815,0,0.0352413,0.0147365,0.0272075,0.0378359,0.0526235,0.0356694,0.0511784,0.0761005,0.0611218,0.0661396,0.0619216,0.06262,0.0631946,0.0249452,0.0419411,0.0227349,0.0117596,0.0313685,0,0.0209486,0.0653904,0.0170121,0,0,0.0162016,0,0,0.0360667,0.0385969,0.0363052,0.00739346,0.0276757,0.0414007,0.0306749,0.0757359,0.0930588,0.0585081,0.0292535,0.0594778,0.0403836,0.0394105,0.0632628,0.0228729,0.0224742,0.0199378,0.0127869,0.0309735,0.021385,0,0,0,0
24,0.0258603,0.048289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361772,0,0.0271517,0.0621799,0,0,0.0103818,0,0,0.045435,0.0290628,0.034836,0.0142495,0.0266721,0.0374529,0.0520339,0.0353945,0.0528912,0.076589,0.0606455,0.0662467,0.0620915,0.0628359,0.0633108,0.0236888,0.0421942,0.0230291,0.011497,0.0318731,0,0.0209258,0.0631937,0.0172177,0,0,0.0162248,0,0,0.0361914,0.0400762,0.0358482,0.00603352,0.0270558,0.0418203,0.030993,0.0755405,0.0925752,0.058424,0.0303687,0.0598756,0.0408762,0.0398693,0.063724,0.0221825,0.0225193,0.0198621,0.0128039,0.0309455,0.0210125,0,0,0,0
25,0.0258415,0.0483129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036217,0,0.0270005,0.0621699,0,0,0.0104778,0,0,0.045311,0.0289556,0.0348482,0.0141717,0.0265691,0.0375128,0.051916,0.0353968,0.0530183,0.0766008,0.0606781,0.0662857,0.0621352,0.0628143,0.063339,0.0235408,0.0421722,0.0231321,0.0112131,0.0319106,0,0.0208892,0.0632132,0.0172242,0,0,0.0161691,0,0,0.0361419,0.0400331,0.0357929,0.0060229,0.0270286,0.0417964,0.0309832,0.0755402,0.0925522,0.0585269,0.0303336,0.0598462,0.0409337,0.0399394,0.0637587,0.0221338,0.0225567,0.0198686,0.0128362,0.0309444,0.0210422,0,0,0,0
26,0.0256063,0.0483636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353821,0,0.0274442,0.0600783,0,0,0.0105765,0,0,0.0455362,0,0.0352307,0.0146147,0.0271628,0.0379556,0.0524593,0.0356397,0.0512837,0.0761343,0.0613225,0.0661834,0.0619561,0.0626772,0.0631879,0.0248333,0.0418866,0.0228942,0.0112933,0.0313449,0,0.0209162,0.065453,0.0170169,0,0,0.0161596,0,0,0.0360638,0.0385898,0.0362132,0.00741883,0.0276823,0.0413346,0.0306763,0.0757041,0.092969,0.0586921,0.0291649,0.0593305,0.0404748,0.0394863,0.0633581,0.0228468,0.0225254,0.0199577,0.0128398,0.0309873,0.0214193,0,0,0,0
27,0.0258041,0.0482716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362096,0,0.0267746,0.062136,0,0,0.0104769,0,0,0.0452607,0.0289988,0.0347201,0.0141795,0.0266676,0.0375154,0.0519866,0.0353945,0.0530652,0.076657,0.0607403,0.0662204,0.0620657,0.0626456,0.0632632,0.0236413,0.042168,0.0231158,0.0112813,0.0317781,0,0.0209407,0.0633089,0.0171972,0,0,0.0161389,0,0,0.0361428,0.0400849,0.0358373,0.00612594,0.0271235,0.0417382,0.0310113,0.0755168,0.0924863,0.0585802,0.0305919,0.0598328,0.0408739,0.0398774,0.0637857,0.0222178,0.0226162,0.0198581,0.01284,0.0309466,0.0208851,0,0,0,0
28,0.0257619,0.0482075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361851,0,0.0268122,0.0621213,0,0,0.0104515,0,0,0.0452721,0.0290704,0.0347637,0.0142386,0.02654,0.037415,0.0520347,0.035393,0.0529883,0.076631,0.0607559,0.0662305,0.0621199,0.0626479,0.0633121,0.0237195,0.0422092,0.0231033,0.011306,0.0319222,0,0.0208832,0.0632792,0.0171151,0,0,0.0161096,0,0,0.036119,0.0400397,0.0358245,0.00609618,0.0270161,0.0418188,0.0310849,0.0754887,0.0925054,0.0584752,0.0307368,0.0598308,0.0408539,0.0398882,0.0638016,0.0220802,0.0226628,0.0198428,0.0128458,0.0308572,0.0204633,0,0,0,0
29,0.0257261,0.0482129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362168,0,0.0268572,0.062072,0,0,0.0104371,0,0,0.0453174,0.0291286,0.0348132,0.0142849,0.0265637,0.0369868,0.0520685,0.0353937,0.0529183,0.0766242,0.0608111,0.0662183,0.0621205,0.0626464,0.0633128,0.0236742,0.0422599,0.0230717,0.0113756,0.0319469,0,0.020887,0.0632931,0.0170838,0,0,0.0160759,0,0,0.036075,0.0400088,0.0358328,0.0060802,0.0270382,0.0419063,0.0311105,0.075463,0.0925022,0.0585269,0.0306536,0.0598243,0.0408467,0.0399446,0.0637994,0.0220544,0.0226972,0.0198373,0.0128435,0.0307866,0.0204603,0,0,0,0
30,0.0257325,0.0482519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363275,0,0.0268316,0.0620664,0,0,0.0104134,0,0,0.0453529,0.029108,0.0347698,0.0143062,0.026533,0.0367591,0.0520727,0.0353523,0.0530178,0.07663,0.0608082,0.0662234,0.0620858,0.0626675,0.0633156,0.0235599,0.0423624,0.0230509,0.0114229,0.031917,0,0.0209071,0.0632918,0.0171002,0,0,0.0161039,0,0,0.0360867,0.0399869,0.0358098,0.0060742,0.0270893,0.041936,0.0310509,0.0754605,0.092465,0.0586615,0.0304604,0.0598329,0.0408699,0.0399986,0.0637979,0.0220559,0.0226712,0.0198742,0.0128379,0.0307764,0.0206906,0,0,0,0
31,0.0255305,0.0483251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353621,0,0.0274548,0.0599937,0,0,0.0105143,0,0,0.0456285,0,0.0351534,0.0148027,0.0271605,0.0370976,0.0526189,0.0355939,0.0512205,0.0761329,0.0614663,0.0661298,0.0618276,0.0625874,0.0631858,0.0248862,0.0420904,0.0227936,0.0114806,0.0313588,0,0.0209613,0.0655075,0.0169269,0,0,0.0161292,0,0,0.0360573,0.0385183,0.0362469,0.00747901,0.0277515,0.0414839,0.0306652,0.075611,0.0929134,0.0587056,0.0292363,0.0592639,0.0404402,0.0394928,0.063381,0.0227787,0.0225657,0.0199548,0.0128518,0.0309451,0.0214363,0,0,0,0
32,0.0257596,0.0482652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361071,0,0.0268261,0.0620972,0,0,0.0104529,0,0,0.0453534,0.0292243,0.0347139,0.0143192,0.0265985,0.036887,0.0520367,0.0353409,0.0529824,0.0766026,0.0608347,0.0662302,0.0619817,0.0626888,0.0633149,0.0237847,0.042322,0.0230026,0.0114491,0.0319261,0,0.0209471,0.0632982,0.0171713,0,0,0.0161141,0,0,0.0361463,0.040012,0.0358135,0.00614355,0.0271393,0.0419138,0.0309264,0.075441,0.0924397,0.0584098,0.0301916,0.0597778,0.0409666,0.0399545,0.0638207,0.0220266,0.0226002,0.019837,0.0128677,0.0311924,0.0212365,0,0,0,0
