Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIB,
1612,0.0676747,0.0536934,0,0,0,0,0,0,0.0418052,0,0.0285322,0.0549575,0,0,0.0175603,0,0,0.0319029,0.07885,0.0426818,0.0395198,0.037414,0.118338,0.0548855,0.0363568,0.0545435,0.0584297,0.0307838,0.0366456,0.0289976,0.0554813,0.0650246,0.0768117,0.0219064,0.00934743,0.0124494,0.0301105,0,0.0407556,0.0416135,0.0279548,0,0,0.0208324,0,0,0.0345271,0.0684275,0.0614509,0.052796,0.0262329,0.123904,0.051154,0.0412417,0.0708094,0.0711293,0.0316711,0.123202,0.0393003,0,0.0653436,0.0180554,0.0102103,0.00864791,0.0475737,0.0338758,0,0,0,0,0,0,0,0,0,0,0
1613,0.0677198,0.0536209,0,0,0,0,0,0,0.0418446,0,0.028456,0.0550192,0,0,0.017516,0,0,0.0320351,0.078843,0.0422981,0.0394656,0.0372952,0.117918,0.0549042,0.0361943,0.0545107,0.0584726,0.0307374,0.0365695,0.0289182,0.0553751,0.0648994,0.0766086,0.0217885,0.00950436,0.0124252,0.0302169,0,0.0405513,0.0417773,0.0279263,0,0,0.0210046,0,0,0.0346427,0.0684383,0.0612975,0.0527302,0.0262908,0.12352,0.0511545,0.0414849,0.0707745,0.071101,0.0316618,0.123346,0.0393733,0,0.0652577,0.0178938,0.0103985,0.00857746,0.0474895,0.0338558,0,0,0,0,0,0,0,0,0,0,0
1614,0.0677521,0.0535431,0,0,0,0,0,0,0.0418839,0,0.0283661,0.0550206,0,0,0.0174705,0,0,0.032143,0.0787912,0.0419272,0.0394501,0.0371663,0.117526,0.054957,0.0360196,0.0542911,0.0585071,0.0306707,0.0364602,0.0288432,0.0552175,0.0647379,0.0764701,0.0216845,0.00964143,0.0123754,0.0303139,0,0.040473,0.041929,0.0279173,0,0,0.0211462,0,0,0.0346812,0.0684761,0.0611256,0.0526197,0.0263398,0.123163,0.0511581,0.0414076,0.0707487,0.0710841,0.0315662,0.123418,0.0394734,0,0.0651561,0.0177461,0.0105526,0.00849533,0.0473607,0.0338615,0,0,0,0,0,0,0,0,0,0,0
1615,0.0677541,0.0534754,0,0,0,0,0,0,0.0418458,0,0.0282637,0.0550293,0,0,0.0174567,0,0,0.0322417,0.078771,0.0415923,0.0394306,0.0370407,0.117161,0.0549738,0.0358615,0.0538816,0.0585207,0.0306068,0.0363261,0.0287306,0.0550518,0.0645533,0.076312,0.0215889,0.00978722,0.0123232,0.0304612,0,0.040329,0.0421146,0.0278857,0,0,0.021215,0,0,0.0346276,0.068506,0.06098,0.0525103,0.026429,0.122823,0.0511633,0.0416485,0.0706961,0.0710528,0.0315058,0.123427,0.0395388,0,0.0650789,0.017662,0.0106326,0.00844936,0.047195,0.0338829,0,0,0,0,0,0,0,0,0,0,0
1616,0.0678512,0.0534148,0,0,0,0,0,0,0.0417954,0,0.0282091,0.0550621,0,0,0.0175187,0,0,0.0322471,0.0787466,0.0412717,0.0394307,0.0368489,0.116814,0.0549959,0.0357108,0.0536219,0.0585894,0.0305128,0.0362324,0.028614,0.0548981,0.0643832,0.0761215,0.0216658,0.0098814,0.0123126,0.0305458,0,0.040021,0.0422532,0.0278518,0,0,0.0212143,0,0,0.0346484,0.0685572,0.0608015,0.0524185,0.0264598,0.122506,0.0511572,0.0415637,0.0706559,0.0710681,0.0314413,0.123487,0.0396261,0,0.0649953,0.0176768,0.01076,0.00843713,0.0471696,0.0339311,0,0,0,0,0,0,0,0,0,0,0
1617,0.0679226,0.0533697,0,0,0,0,0,0,0.0417697,0,0.0281998,0.0550632,0,0,0.017579,0,0,0.0322108,0.0787107,0.0409597,0.0394634,0.0366206,0.116507,0.0550435,0.035564,0.0534907,0.0587151,0.0304852,0.0361739,0.0285189,0.0547524,0.064222,0.0759189,0.0217411,0.00993886,0.0123265,0.0306504,0,0.0398451,0.0423563,0.0278313,0,0,0.0211375,0,0,0.0347094,0.0686157,0.060572,0.0523045,0.0264706,0.1222,0.0511289,0.0411318,0.0706413,0.071084,0.0313331,0.123602,0.0397145,0,0.0649687,0.0177614,0.0108551,0.00847459,0.0472338,0.0340095,0,0,0,0,0,0,0,0,0,0,0
1618,0.0679194,0.0533249,0,0,0,0,0,0,0.0417701,0,0.028178,0.055049,0,0,0.0176077,0,0,0.0321703,0.0786548,0.0406163,0.0395493,0.036418,0.116215,0.0550816,0.0354176,0.0533966,0.0588367,0.0305087,0.0361335,0.0284343,0.0546005,0.0640531,0.0757507,0.0218257,0.0100132,0.0123215,0.0307674,0,0.0397256,0.0425146,0.0278087,0,0,0.0210323,0,0,0.0347368,0.0686623,0.0603484,0.052231,0.026637,0.121936,0.0511072,0.0411302,0.0706612,0.0711414,0.0313112,0.123717,0.0398082,0,0.0648971,0.0178309,0.0108826,0.00852601,0.0472336,0.0340466,0,0,0,0,0,0,0,0,0,0,0
1619,0.0683813,0.0528983,0,0,0,0,0,0,0.0473989,0,0.0253518,0.0544197,0,0,0.0182547,0,0,0.0315236,0.0801136,0.0360431,0.0395327,0.0344584,0.115687,0.0552657,0.0362102,0.0530784,0.0572722,0.0288505,0.0364529,0.0307632,0.0527241,0.0618856,0.0836069,0.0217315,0.0101839,0.0126005,0.0374998,0,0.0359966,0.0424906,0.0280999,0,0,0.0214336,0,0,0.03427,0.0690871,0.057652,0.0513075,0.0236459,0.121569,0.0512137,0.0417342,0.0713585,0.0712797,0.0304813,0.121744,0.0340149,0,0.0745704,0.0181976,0.0109061,0.00855953,0.0466924,0.0346777,0,0,0,0,0,0,0,0,0,0.0570287,0
1620,0.0684415,0.0528472,0,0,0,0,0,0,0.0473377,0,0.0253841,0.0543966,0,0,0.0182078,0,0,0.0315073,0.0799868,0.0356997,0.0396203,0.0342503,0.115467,0.0553221,0.0360493,0.053017,0.057374,0.0288805,0.036265,0.0306938,0.0526444,0.0617442,0.0834681,0.0218572,0.0100816,0.0127024,0.0375607,0,0.0359048,0.0426456,0.0280666,0,0,0.0213086,0,0,0.0342871,0.0691232,0.0573654,0.0512866,0.0238932,0.121347,0.0512209,0.041546,0.0713545,0.0713206,0.0304821,0.12182,0.0340941,0,0.0745064,0.0182416,0.0108432,0.00864077,0.0466429,0.0347262,0,0,0,0,0,0,0,0,0,0.0571945,0
1621,0.0679642,0.0532983,0,0,0,0,0,0,0.0418492,0,0.0279809,0.0545674,0,0,0.0175061,0,0,0.0321448,0.0780766,0.0395891,0.039777,0.0353217,0.115533,0.0554013,0.035534,0.0538202,0.0596559,0.0309779,0.0352973,0.0279238,0.0539759,0.0632821,0.0755881,0.0221209,0.00990671,0.0121967,0.0344644,0,0.0388624,0.0431411,0.0277249,0,0,0.0210424,0,0,0.0347223,0.0677113,0.0612365,0.0515947,0.0239695,0.121302,0.0511508,0.0420913,0.0729473,0.0742015,0.0330911,0.119695,0.033528,0,0.0674561,0.0178933,0.0107791,0.00829692,0.047174,0.0342327,0,0,0,0,0,0,0,0,0,0.0565501,0
1622,0.0678469,0.0532246,0,0,0,0,0,0,0.0418816,0,0.0279032,0.0546131,0,0,0.0175275,0,0,0.0321072,0.0780006,0.0392142,0.0398435,0.0348992,0.115261,0.0555092,0.0353588,0.0535954,0.0596278,0.0307888,0.035247,0.0278426,0.053773,0.0631233,0.0754616,0.0222319,0.00978662,0.0122736,0.0346025,0,0.0386361,0.0432629,0.0276241,0,0,0.0210225,0,0,0.0347098,0.0678526,0.060772,0.0515858,0.0228732,0.12099,0.05119,0.0421518,0.072869,0.0743055,0.033095,0.119867,0.0337459,0,0.067352,0.0178654,0.0106994,0.00836122,0.0470162,0.0342873,0,0,0,0,0,0,0,0,0,0.0569327,0
