Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIBA,RTIB
667,0.0712182,0.046966,0,0,0,0,0,0,0.0352345,0,0.0276675,0.0633738,0,0,0.021487,0,0,0.0289873,0.0720831,0.0218417,0.042049,0.00975106,0.0868197,0.0611743,0.0347682,0.0524788,0.0590113,0.0383907,0.0148389,0.0118493,0.0354393,0.0380337,0.0408641,0.0217406,0.00750725,0.0171007,0.0443054,0,0.0271173,0.0605054,0.0330262,0,0,0.0231883,0,0,0.0330675,0.0700666,0.026967,0.0485232,0.0294408,0.0917928,0.0617787,0.041779,0.0717893,0.0706699,0.0291387,0.0537865,0.0902196,0.0251272,0.021369,0.00755017,0.0152894,0.0323279,0.0403598,0,0,0,0,0,0,0,0,0,0,0
668,0.0711174,0.047073,0,0,0,0,0,0,0.0353843,0,0.0276558,0.0635968,0,0,0.0218983,0,0,0.0289104,0.0721302,0.0223186,0.0417071,0.00956529,0.0861732,0.0613367,0.0347883,0.0523486,0.058859,0.0384482,0.0146964,0.0117756,0.0353717,0.0379201,0.0402858,0.021481,0.00792987,0.0165262,0.0451609,0,0.0270706,0.0607655,0.0330765,0,0,0.0239624,0,0,0.0328764,0.0698809,0.0266642,0.0486003,0.0293328,0.0913078,0.0619035,0.0421557,0.0717658,0.0705008,0.0290176,0.0539886,0.0905249,0.0243695,0.0213101,0.00774249,0.0149983,0.0323048,0.04017,0,0,0,0,0,0,0,0,0,0,0
669,0.0705531,0.0469009,0,0,0,0,0,0,0.0353543,0,0.0277123,0.0635179,0,0,0.0213315,0,0,0.0290731,0.0720457,0.0231789,0.0411451,0.00900549,0.0858746,0.06002,0.0354793,0.0526157,0.0592079,0.0389481,0.0144417,0.0118583,0.0353712,0.0377121,0.0399173,0.0209692,0.00776667,0.0164987,0.0432278,0,0.0274695,0.062199,0.033055,0,0,0.0234188,0,0,0.0330388,0.0686041,0.0285736,0.0503779,0.026238,0.0919889,0.0618039,0.0435555,0.0729458,0.0720041,0.0304913,0.0527144,0.0894462,0.0261223,0.0215051,0.00759072,0.0153334,0.0324722,0.0390706,0,0,0,0,0,0,0,0,0,0.0447438,0
670,0.0709752,0.0469378,0,0,0,0,0,0,0.0356907,0,0.0276441,0.0639135,0,0,0.0217189,0,0,0.0290498,0.0721525,0.0231808,0.0411761,0.00887458,0.0850989,0.0612406,0.034926,0.0521167,0.0586958,0.0386344,0.0145567,0.0118706,0.0351747,0.0375112,0.0391636,0.0216198,0.00761334,0.0170293,0.0468092,0,0.0267754,0.0613113,0.0331137,0,0,0.0238651,0,0,0.033031,0.0695246,0.0261328,0.0488011,0.0291124,0.0905135,0.0622809,0.0430356,0.0717242,0.0701628,0.0287061,0.0543753,0.0910909,0.0230987,0.021503,0.0075613,0.0154757,0.0321529,0.0398107,0,0,0,0,0,0,0,0,0,0,0
671,0.0708762,0.0469684,0,0,0,0,0,0,0.0358258,0,0.0276774,0.0641641,0,0,0.0216883,0,0,0.0290527,0.072141,0.0236296,0.0408868,0.0087704,0.0846058,0.0612106,0.035056,0.0519994,0.0585708,0.0387078,0.0145646,0.0121312,0.0351342,0.0374597,0.0387327,0.0215537,0.00756774,0.0170935,0.0476347,0,0.0265566,0.0615827,0.0330918,0,0,0.0237199,0,0,0.0330798,0.0693384,0.0258451,0.048926,0.0290664,0.0901086,0.0624347,0.042931,0.0716828,0.0699115,0.0285124,0.0545903,0.0914202,0.0224875,0.0216327,0.00760883,0.0156315,0.0321166,0.039622,0,0,0,0,0,0,0,0,0,0,0
672,0.0707686,0.0471092,0,0,0,0,0,0,0.036024,0,0.0276833,0.064361,0,0,0.0216841,0,0,0.0290589,0.0721367,0.024042,0.040622,0.00869283,0.0841232,0.0611623,0.0351489,0.0518727,0.0584233,0.0387898,0.0146409,0.012285,0.0351576,0.0375229,0.0383208,0.0214949,0.00758165,0.0171177,0.0485406,0,0.0262431,0.0619039,0.0330752,0,0,0.0236602,0,0,0.0331167,0.0691167,0.0256237,0.0490731,0.0289729,0.0897273,0.0625101,0.0425524,0.0715999,0.0696898,0.0282941,0.0547623,0.0917042,0.0219991,0.0216867,0.00754837,0.0158335,0.0320662,0.0394473,0,0,0,0,0,0,0,0,0,0,0
673,0.070619,0.0473596,0,0,0,0,0,0,0.0362003,0,0.0276572,0.0644777,0,0,0.0216377,0,0,0.0290974,0.072181,0.0244531,0.0403637,0.00880946,0.0836916,0.0609954,0.0352431,0.0516898,0.0582159,0.0388638,0.0147667,0.0124753,0.0352114,0.037666,0.0379328,0.0214681,0.00752561,0.0172892,0.0494346,0,0.0260776,0.0621924,0.0330516,0,0,0.0233484,0,0,0.0331692,0.068873,0.0253171,0.0492671,0.0289616,0.0894564,0.0625959,0.0418947,0.071521,0.0694454,0.0280617,0.0549735,0.0920395,0.0215302,0.0218222,0.0075021,0.0160766,0.0320712,0.0392954,0,0,0,0,0,0,0,0,0,0,0
674,0.0700169,0.04741,0,0,0,0,0,0,0.036303,0,0.0276262,0.064632,0,0,0.0213322,0,0,0.0291731,0.072157,0.0252746,0.0397572,0.00887432,0.0833169,0.0596937,0.0360405,0.051899,0.0584775,0.0393715,0.0148332,0.0128462,0.0354415,0.0379086,0.0377728,0.0205784,0.00786721,0.0164877,0.0472342,0,0.0264284,0.0638803,0.0330188,0,0,0.023374,0,0,0.0330889,0.0674852,0.0269778,0.0512972,0.0261959,0.090156,0.0623686,0.0425305,0.0726828,0.0708578,0.0295021,0.053895,0.0911719,0.0221675,0.0220983,0.00758388,0.0157342,0.0323071,0.0380602,0,0,0,0,0,0,0,0,0,0.0458718,0
675,0.069948,0.0475204,0,0,0,0,0,0,0.0365467,0,0.0276142,0.0649227,0,0,0.0212793,0,0,0.0292164,0.0722298,0.0256671,0.0394929,0.00890501,0.0828219,0.0595761,0.0361348,0.0517067,0.0583018,0.0394473,0.0150461,0.0129922,0.0354802,0.0379524,0.0374394,0.0205272,0.00784132,0.0165459,0.0481086,0,0.0263983,0.0642162,0.0329708,0,0,0.0231427,0,0,0.0332275,0.0672957,0.0266279,0.0514678,0.0261499,0.0898009,0.0624197,0.042668,0.0725913,0.0706659,0.0294239,0.0541188,0.0914797,0.0216791,0.0222803,0.00747666,0.015988,0.0322613,0.0378686,0,0,0,0,0,0,0,0,0,0.0460713,0
676,0.06985,0.047649,0,0,0,0,0,0,0.0368019,0,0.0276798,0.0652583,0,0,0.0212287,0,0,0.0292523,0.0723271,0.026054,0.0392321,0.00884584,0.0823517,0.0594322,0.0362131,0.0515292,0.0581458,0.0395012,0.0152068,0.0130919,0.0355066,0.0378716,0.0371049,0.0204191,0.00785174,0.0165539,0.0489419,0,0.0262784,0.0644658,0.0329127,0,0,0.0229892,0,0,0.0332284,0.0671422,0.0263618,0.0516446,0.0261522,0.0894641,0.0623977,0.0427455,0.072458,0.0704262,0.0292889,0.0543834,0.091831,0.0212318,0.0223284,0.00751401,0.0160575,0.0322807,0.0376894,0,0,0,0,0,0,0,0,0,0.0462713,0
