Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,x80
125,0.00330772,0.00153361,0,0,0,0,0,0.0184698,0.019259,0.0157063,0.00732457,0,0,0.00556993,0,0.0290032,0.00265726,0.0329414,0.0181218,0.0162607,0.0159913,0.00775326,0.00951463,0.00818517,0.0105196,0.0116761,0.0458434,0.0169666,0.0184801,0.0170919,0.0348032,0.0296303,0.0125271,0.0190094,0.00669368,0.0204424,0.00521435,0.0192294,0.00754569,0.00645561,0,0,0.00814952,0,0.00753822,0.00526644,0.0866501,0.0164307,0.0834626,0.0169078,0.00707684,0.00633267,0,0.0151677,0.0372415,0.0144602,0.00865557,0.0319199,0.00552995,0.0106015,0.0325809,0.00442373,0.00225001,0.00313263,0.00226275,0.00550968,0,0,0,0,0,0,0,0,0,0
126,0.00450113,0.00248844,0,0,0,0,0,0.0182563,0.0193382,0.0160369,0.00699155,0,0,0.00581137,0,0.0290274,0.00270653,0.0334889,0.0189039,0.0161734,0.0162672,0.00854639,0.0102818,0.00880804,0.0100682,0.0118436,0.0465309,0.0174507,0.0188881,0.0172554,0.0342572,0.028012,0.0129209,0.0190287,0.00678143,0.0200277,0.00508303,0.0197024,0.00774733,0.007679,0,0,0.00865716,0,0.00751945,0.00510056,0.0869816,0.0180421,0.083935,0.0168928,0.00744617,0.00520167,0.00901131,0.0153022,0.0371929,0.0144062,0.00819531,0.0321715,0.0058305,0.0108738,0.0306345,0.00456152,0.0024978,0.00350687,0.00327789,0.00682097,0,0,0,0,0,0,0,0,0,0
127,0.00408055,0.00143342,0,0,0,0,0,0.016396,0.0192774,0.0164925,0.00678462,0,0,0.00612233,0,0.0291993,0.00287883,0.0340854,0.0203236,0.0160737,0.0161799,0.00899445,0.0106663,0.00964292,0.00946038,0.01165,0.0471737,0.0180004,0.0192096,0.0176061,0.0337138,0.0263208,0.0132373,0.01908,0.00693484,0.0198332,0.00509517,0.020205,0.00799727,0.0072969,0,0,0.00791072,0,0.00770884,0.00556675,0.0871771,0.0198784,0.0843855,0.0168388,0.00758793,0.0063894,0.0102621,0.0151543,0.0373149,0.0147797,0.00793784,0.0323761,0.00611157,0.011126,0.0291379,0.00429027,0.00202612,0.00346983,0.00200622,0.00617449,0,0,0,0,0,0,0,0,0,0
128,0.00529504,0.00237656,0,0,0,0,0,0.0153278,0.0192629,0.0168924,0.00677154,0,0,0.00616934,0,0.0293647,0.0029455,0.0347014,0.0212386,0.0159196,0.0158133,0.00954407,0.0113134,0.010962,0.00925746,0.0114276,0.0478282,0.0183914,0.0193635,0.0179154,0.0330675,0.0242732,0.0134403,0.0191777,0.00688615,0.0197989,0.00487909,0.0206882,0.00842063,0.00863025,0,0,0.00825865,0,0.00756756,0.00505488,0.0873263,0.0219494,0.0847217,0.0166623,0.00786529,0.00533483,0.0109222,0.015156,0.0373701,0.0150976,0.00781201,0.0325104,0.00646427,0.0115926,0.0278279,0.00446606,0.00253971,0.00371815,0.00293277,0.0077592,0,0,0,0,0,0,0,0,0,0
129,0.00564986,0.00215257,0,0,0,0,0,0.0136241,0.0192163,0.0173878,0.00677971,0,0,0.00625714,0,0.0295318,0.00307894,0.0353483,0.0223363,0.0157891,0.0153074,0.00996911,0.0117795,0.0126618,0.00928471,0.0111467,0.0481554,0.0187158,0.0193615,0.0181528,0.0323332,0.0228066,0.0135445,0.0192594,0.00678445,0.0201276,0.00476638,0.0212471,0.00884611,0.009087,0,0,0.00803514,0,0.00758273,0.00490989,0.0872862,0.0238724,0.0850967,0.0166599,0.00800728,0.00557107,0.0108023,0.0155487,0.0374721,0.0155223,0.00793616,0.0326216,0.00690819,0.0121743,0.0269255,0.00439199,0.00264829,0.00366824,0.00260056,0.00844156,0,0,0,0,0,0,0,0,0,0
130,0.00597734,0.00184586,0,0,0,0,0,0.0124783,0.0191624,0.0179648,0.00679848,0,0,0.00634305,0,0.0296438,0.00316346,0.0359931,0.023235,0.0156818,0.0147724,0.0104191,0.0121896,0.0133778,0.00942127,0.0108707,0.0483775,0.0191057,0.0193889,0.0184652,0.031508,0.0217473,0.0135913,0.019289,0.00676745,0.0204952,0.00470338,0.0218813,0.00933769,0.00949435,0,0,0.00795341,0,0.00760019,0.00484452,0.0871094,0.0253204,0.0854039,0.0169354,0.00806988,0.00583952,0.0105821,0.0159613,0.0376186,0.0158613,0.0081019,0.0327296,0.00722914,0.0126242,0.0261854,0.00424383,0.00269912,0.00372095,0.00231071,0.00897955,0,0,0,0,0,0,0,0,0,0
131,0.00628189,0.00150177,0,0,0,0,0,0.0118765,0.019188,0.018696,0.00679169,0,0,0.0064553,0,0.0297041,0.00323136,0.0365994,0.023967,0.0155494,0.0141641,0.0108815,0.0124285,0.0137378,0.00964945,0.0105703,0.0484855,0.0194396,0.0195277,0.01882,0.0307305,0.0212463,0.0135736,0.0193123,0.00680998,0.0204909,0.00471119,0.0222618,0.00983498,0.00986086,0,0,0.00794606,0,0.00765972,0.00497881,0.0869591,0.0266631,0.0855758,0.016873,0.00801306,0.00616634,0.0106467,0.0162827,0.0378905,0.0157491,0.00821312,0.0327099,0.00756597,0.0130168,0.0252647,0.00410255,0.0025763,0.0037951,0.00196654,0.00938778,0,0,0,0,0,0,0,0,0,0
132,0.00626443,0.00110941,0,0,0,0,0,0.0116168,0.0191774,0.0194452,0.00680153,0,0,0.00664825,0,0.0297982,0.00327878,0.0372621,0.0247326,0.0153877,0.0134723,0.011352,0.0124676,0.0143405,0.0104462,0.0104409,0.048579,0.0197006,0.019664,0.019235,0.0301258,0.0213829,0.0136264,0.0193557,0.00676323,0.0203566,0.00478499,0.0227093,0.0102169,0.00968369,0,0,0.00764291,0,0.00781114,0.00539015,0.0868007,0.0283424,0.0858314,0.0163996,0.00793743,0.00706685,0.0103583,0.0165868,0.0383196,0.0152825,0.00826465,0.0327052,0.00803199,0.0134956,0.0241598,0.00378278,0.00218937,0.00368433,0.00110531,0.00934978,0,0,0,0,0,0,0,0,0,0
133,0.00697103,0.00104911,0,0,0,0,0,0.01174,0.0193154,0.0199914,0.00668742,0,0,0.00637181,0,0.0297738,0.00321942,0.037801,0.0253949,0.0152603,0.0127435,0.0116962,0.0126352,0.0150701,0.0107348,0.0103516,0.0487419,0.019752,0.0195677,0.0194419,0.0299434,0.02203,0.0133776,0.0193936,0.0066633,0.0204344,0.00480206,0.0230985,0.0103288,0.0104273,0,0,0.00771958,0,0.00781378,0.00544428,0.0866013,0.0297158,0.0859122,0.0163294,0.00796615,0.006906,0.0106218,0.0170895,0.0386834,0.0151348,0.00842857,0.0326471,0.00827319,0.0140049,0.02337,0.00370609,0.00219689,0.00371398,0.00112122,0.0100587,0,0,0,0,0,0,0,0,0,0
134,0.00716301,0.00148712,0,0,0,0,0,0.0124312,0.0192957,0.020211,0.00654977,0,0,0.00692794,0,0.0296311,0.00322693,0.0383763,0.0258345,0.0151541,0.0122747,0.011924,0.0129605,0.0158466,0.0111021,0.0101853,0.0489935,0.019586,0.0193013,0.0194416,0.0303751,0.0228908,0.0138566,0.0193064,0.00685842,0.0206579,0.0047433,0.0232852,0.0103619,0.0110074,0,0,0.0081298,0,0.00773874,0.00503883,0.0863879,0.0308103,0.08595,0.0166248,0.00788375,0.00632095,0.0111076,0.0176444,0.0389996,0.0153055,0.00863373,0.0325149,0.00865864,0.0144173,0.023166,0.00422988,0.00260914,0.00401249,0.00179158,0.0102792,0,0,0,0,0,0,0,0,0,0
