Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75
57,0.0414826,0.0234991,0,0,0,0,0,0,0.0301292,0.0142912,0.0174553,0.0270864,0,0,0.0398832,0,0.038266,0.0146687,0.0305457,0.037684,0.0348037,0.0256499,0.0453102,0.0299838,0.0356228,0.0274617,0.0355489,0.0300189,0.0223177,0.0205226,0.022388,0.0102979,0.0445755,0.0302821,0.0246651,0.0100521,0.0382633,0.00236819,0.0324106,0.0790944,0.0349794,0,0,0.0138402,0,0.00490252,0.00992627,0.0552824,0.0327551,0.0290346,0.0464992,0.0266806,0.0256556,0.0503571,0.0293216,0.0176401,0.0551022,0.0299282,0.040277,0.0266787,0.0301483,0.0394083,0.0152905,0.0102388,0.00724974,0.0179216,0.0359957,0,0,0,0,0,0,0,0,0
58,0.0404886,0.0232381,0,0,0,0,0,0,0.0293096,0.0142502,0.0171568,0.0261999,0,0,0.0403494,0,0.0384217,0.0149218,0.0304886,0.0388534,0.0355457,0.0251979,0.044585,0.0296339,0.0356493,0.0274252,0.0356983,0.0300738,0.0227021,0.0209764,0.0226547,0.0100165,0.0442414,0.0304061,0.0247382,0.0101312,0.0393001,0.00226606,0.0321915,0.0780422,0.0344138,0,0,0.0143888,0,0.00491925,0.0100366,0.0550332,0.0343623,0.0294163,0.0432617,0.0270911,0.025901,0.0496085,0.0281479,0.0172672,0.0542149,0.0283043,0.0400037,0.025773,0.0284854,0.0411217,0.0159457,0.0103273,0.00725899,0.0179644,0.0351269,0,0,0,0,0,0,0,0,0
59,0.0393613,0.0229465,0,0,0,0,0,0,0.0283274,0.0142474,0.0169442,0.0255642,0,0,0.0405672,0,0.0385979,0.0150637,0.0304613,0.0395168,0.035853,0.0246382,0.0439022,0.0292507,0.035598,0.0273061,0.0357243,0.0300361,0.0231065,0.0213723,0.0228823,0.00982595,0.0436338,0.0304593,0.0248316,0.0102429,0.0402285,0.00216738,0.0314091,0.077066,0.0338109,0,0,0.0145289,0,0.00490043,0.0101392,0.0546981,0.0358466,0.0299603,0.0416522,0.0273817,0.0261642,0.048944,0.0270923,0.0166215,0.0534037,0.0276814,0.0396134,0.025083,0.0278609,0.0426815,0.0165953,0.0103999,0.00725782,0.0180264,0.0341254,0,0,0,0,0,0,0,0,0
60,0.0382405,0.0227264,0,0,0,0,0,0,0.0273046,0.0142285,0.016828,0.0250741,0,0,0.0406138,0,0.0388525,0.0151076,0.0305239,0.0396038,0.0358993,0.024076,0.0432561,0.0289555,0.0355377,0.0271275,0.0356815,0.0299712,0.023561,0.0217846,0.0230815,0.0097231,0.0428361,0.030539,0.0249479,0.0103547,0.0410524,0.00205832,0.0306029,0.0761519,0.0332575,0,0,0.0146651,0,0.0048805,0.0103039,0.054511,0.0376671,0.0307084,0.0416884,0.0275964,0.026464,0.0484115,0.0266621,0.0152366,0.0526117,0.0278724,0.039329,0.0247489,0.028115,0.0442231,0.0171683,0.0104229,0.00725216,0.0180937,0.0331236,0,0,0,0,0,0,0,0,0
61,0.0368435,0.022423,0,0,0,0,0,0,0.0263653,0.0142115,0.0167561,0.0256247,0,0,0.040602,0,0.0391476,0.0151257,0.0306133,0.0392853,0.0360055,0.0239016,0.0436621,0.0283188,0.0358429,0.0271359,0.0359634,0.0302689,0.0243727,0.0225,0.0234301,0.00947309,0.042116,0.0303836,0.0250679,0.0104874,0.0415194,0.00202372,0.0302414,0.076836,0.0324457,0,0,0.0149064,0,0.00481831,0.0102864,0.0541456,0.0400834,0.0309483,0.0429148,0.0274344,0.0265163,0.0482503,0.0270888,0.0133455,0.052042,0.0287917,0.0394755,0.0250813,0.029076,0.04509,0.0173676,0.0103777,0.00721029,0.0182119,0.0319781,0,0,0,0,0,0,0,0,0
62,0.0354318,0.0221913,0,0,0,0,0,0,0.0252825,0.0142083,0.0165946,0.026497,0,0,0.0407234,0,0.039361,0.0151136,0.0307649,0.0385429,0.0361856,0.0235038,0.0444562,0.0275345,0.0360862,0.0271565,0.0362581,0.0306674,0.0252195,0.0231757,0.0237999,0.00921072,0.041173,0.0300235,0.0251493,0.0105498,0.0410712,0.00203634,0.0297393,0.0777568,0.0314874,0,0,0.014649,0,0.00474038,0.00999663,0.0536958,0.0421655,0.0310813,0.0437198,0.0271389,0.0264565,0.0484155,0.0277658,0.0119117,0.0517275,0.0296524,0.0397935,0.0255832,0.0300044,0.0447407,0.0172621,0.010238,0.00712596,0.0184612,0.0308636,0,0,0,0,0,0,0,0,0
63,0.0342581,0.0221752,0,0,0,0,0,0,0.0237778,0.0142336,0.01626,0.0273985,0,0,0.040753,0,0.0394426,0.0152939,0.0309856,0.0374126,0.0364171,0.0227412,0.0453164,0.0268342,0.0362044,0.0272738,0.0365917,0.0311862,0.0259773,0.0237102,0.0241399,0.0089604,0.0397402,0.0295382,0.0251918,0.0105564,0.0398471,0.00207209,0.0288535,0.0784942,0.0305859,0,0,0.0139906,0,0.00467311,0.00957756,0.0533623,0.0428907,0.0310642,0.0436623,0.0270305,0.0264168,0.0483536,0.0278809,0.0117336,0.0515413,0.029719,0.039751,0.0255998,0.0301319,0.0434668,0.0170773,0.0100148,0.00703204,0.0189424,0.0299792,0,0,0,0,0,0,0,0,0
64,0.0335007,0.0223294,0,0,0,0,0,0,0.0220798,0.014263,0.0160758,0.0281905,0,0,0.0406889,0,0.0395237,0.0154049,0.0313375,0.0358911,0.0366739,0.0215676,0.0460472,0.0263314,0.0364704,0.0274995,0.0369898,0.031875,0.0265544,0.0241425,0.0244206,0.00875906,0.0376502,0.0290385,0.0252398,0.0105532,0.0381128,0.00211624,0.0276265,0.0791713,0.0300044,0,0,0.0132583,0,0.00464493,0.00911587,0.0534905,0.041985,0.0308961,0.0430141,0.0272061,0.0264688,0.0477236,0.0270868,0.012387,0.051042,0.0288672,0.0389928,0.024837,0.0291666,0.0415429,0.0169143,0.00980753,0.00693708,0.0195742,0.0294127,0,0,0,0,0,0,0,0,0
65,0.0331396,0.0225588,0,0,0,0,0,0,0.0202725,0.0142514,0.0161019,0.0288092,0,0,0.0405873,0,0.0395861,0.0153634,0.0317742,0.0340025,0.0369116,0.0201987,0.0464874,0.0260127,0.0368679,0.0277173,0.0374402,0.0326902,0.0268736,0.0244497,0.0247065,0.00864753,0.0346983,0.0285562,0.02527,0.0105642,0.0361174,0.0021524,0.026333,0.0797734,0.0297112,0,0,0.0126464,0,0.0046433,0.00876565,0.0540058,0.0401381,0.0307073,0.0422567,0.0274962,0.0266032,0.0465142,0.0258395,0.012545,0.0498861,0.0277141,0.0377111,0.0237262,0.0277891,0.0388869,0.0167195,0.00964174,0.0068993,0.0202034,0.0291498,0,0,0,0,0,0,0,0,0
66,0.0330345,0.0227695,0,0,0,0,0,0,0.0185684,0.0141773,0.0164236,0.0295724,0,0,0.0403394,0,0.0396662,0.0152902,0.0321663,0.0319166,0.0370977,0.018872,0.0467154,0.0257838,0.0373786,0.0279382,0.0379603,0.0337033,0.0269331,0.0246264,0.025006,0.00865606,0.0309111,0.0280617,0.0252815,0.0104855,0.034147,0.00217939,0.0251762,0.0805804,0.0295787,0,0,0.0120895,0,0.0046356,0.00845234,0.0545991,0.0381682,0.0305308,0.041691,0.0276416,0.0266809,0.0452009,0.0246196,0.0119197,0.0485293,0.0268993,0.0363393,0.0227428,0.0268017,0.0359444,0.0164569,0.00945025,0.00685616,0.0207153,0.0290391,0,0,0,0,0,0,0,0,0
67,0.0331873,0.0229983,0,0,0,0,0,0,0.0171156,0.0141526,0.0172975,0.0306784,0,0,0.0399346,0,0.0396697,0.015056,0.0324662,0.0299242,0.037192,0.0176199,0.0468065,0.0255535,0.0378547,0.0283381,0.0385582,0.0349113,0.0267639,0.0247797,0.025235,0.00888954,0.0263626,0.0276034,0.0252679,0.0103435,0.0320552,0.00218365,0.0241976,0.081741,0.0295952,0,0,0.0115731,0,0.00459851,0.00819007,0.05515,0.0366465,0.0304591,0.0418601,0.0276527,0.026714,0.0442391,0.0237576,0.0116365,0.0474325,0.0266952,0.0351719,0.0221269,0.0265029,0.0328406,0.0161464,0.00931437,0.00682406,0.0210873,0.0290514,0,0,0,0,0,0,0,0,0
68,0.033519,0.0232281,0,0,0,0,0,0,0.0159972,0.0141684,0.0188736,0.032046,0,0,0.0394259,0,0.0395204,0.0147297,0.0328654,0.0284641,0.0372088,0.0163836,0.0468768,0.0254236,0.0381696,0.0292774,0.0390541,0.0357938,0.0263778,0.0248343,0.0252791,0.00936832,0.0203141,0.0270625,0.0252003,0.01019,0.0298389,0.00217241,0.0235071,0.0831476,0.0296736,0,0,0.0109378,0,0.00452948,0.00795704,0.0555122,0.0358685,0.0304032,0.0429743,0.0276729,0.0266474,0.0437056,0.0233843,0.0117618,0.0468278,0.0270723,0.0343595,0.0218979,0.0268325,0.0296678,0.0157034,0.00922429,0.0068511,0.021377,0.0291722,0,0,0,0,0,0,0,0,0
69,0.0338437,0.0233456,0,0,0,0,0,0,0.0160179,0.0141871,0.0207691,0.033188,0,0,0.038746,0,0.0392698,0.0144141,0.0334264,0.0274135,0.0371043,0.0151486,0.0471433,0.0252139,0.0384006,0.0301629,0.0395586,0.0363281,0.0259038,0.0249536,0.025147,0.010024,0.0129082,0.0264018,0.0250787,0.0099684,0.0276564,0.00215325,0.0234494,0.0847784,0.0296677,0,0,0.00995127,0,0.00440407,0.00763451,0.0556604,0.036037,0.0303024,0.0447427,0.0276811,0.026282,0.043457,0.0234157,0.0119559,0.046545,0.027962,0.0339507,0.0221459,0.0277204,0.0264517,0.0149029,0.00913194,0.00692529,0.0215684,0.02939,0,0,0,0,0,0,0,0,0
