Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M,LANK,RTHIP,IMUR_M,IMUR_B,
189,0.0285408,0.017222,0,0,0,0.0225279,0.0147248,0.0115588,0,0,0.0256193,0,0.0289171,0.00303268,0.043936,0.0283843,0.0278058,0.00918491,0.0137365,0.0230678,0.0147513,0.0107149,0.0163826,0.0532333,0.0132541,0.0115827,0.00956563,0.047241,0.0280633,0.0195642,0.0216571,0.00404271,0.0204858,0.00380026,0.0247359,0.00923572,0.0225264,0,0,0.0382383,0,0.00755061,0.0124318,0.0809637,0.0555364,0.0854682,0.0138041,0.00326526,0.0172548,0.0200893,0.0426038,0.0635373,0.0197068,0.0218118,0.0189163,0.0268154,0.0497606,0.0225242,0.00691306,0.00715497,0.0134943,0.0214239,0,0,0,0,0,0,0,0,0,0.00935203,0.0159364,0,0,0
190,0.0284351,0.0177396,0,0,0,0.0201675,0.0146899,0.0117193,0,0,0.0255978,0,0.0288943,0.00316645,0.0437343,0.0279395,0.0280322,0.00918151,0.0129423,0.0234815,0.0153968,0.0114454,0.0166526,0.0534461,0.0128263,0.0112746,0.00881577,0.0458197,0.025719,0.019906,0.0217016,0.00407282,0.0213302,0.0039732,0.0258854,0.00872105,0.0228327,0,0,0.0383563,0,0.00775861,0.012592,0.080857,0.0539738,0.0856963,0.0150433,0.00284521,0.0176077,0.0191813,0.0431073,0.0636368,0.0210032,0.0208934,0.0193868,0.0272922,0.0518506,0.0226161,0.00700878,0.00720013,0.0137717,0.0214198,0,0,0,0,0,0,0,0,0,0.008256,0.0145797,0,0,0
191,0.02518,0.016339,0,0,0,0.0166023,0.0153957,0.0101041,0,0,0.0246805,0,0.0279769,0.00320454,0.0447463,0.027871,0.0285374,0.0115571,0.0117666,0.0212041,0.017126,0.0131334,0.0180667,0.0548351,0.0133436,0.0120477,0.00840232,0.0447495,0.0225898,0.0190718,0.0213284,0.00318003,0.0265925,0.00374878,0.0238978,0.00839906,0.0206745,0,0,0.037565,0,0.00738604,0.0120291,0.0828879,0.0506467,0.0881211,0.0270396,0.00122334,0.016578,0.0243832,0,0.074059,0.0276635,0.0258329,0.0184702,0.0331422,0.0593154,0.0213612,0.00685205,0.00676461,0.0128997,0.0186709,0,0,0,0,0,0,0,0,0,0.00763006,0.0202173,0,0,0
192,0.024816,0.016028,0,0,0,0.0149424,0.0153583,0.0100857,0,0,0.0243643,0,0.0280863,0.00298919,0.0444076,0.0262697,0.0283314,0.0136547,0.011297,0.0215344,0.0181833,0.0140238,0.0186797,0.0552509,0.0127453,0.0117944,0.00731357,0.0429828,0.0208284,0.019181,0.0213398,0.00324954,0.0280107,0.00383134,0.0250385,0.00744904,0.0203829,0,0,0.0370879,0,0.0074547,0.0116872,0.0827952,0.0494776,0.0882409,0.0295826,0.00140405,0.0168745,0.0237301,0,0.0747121,0.0287292,0.0249772,0.0184706,0.0333097,0.0611137,0.020891,0.0068819,0.00691058,0.0125762,0.0183262,0,0,0,0,0,0,0,0,0,0.00622684,0.0201171,0,0,0
193,0.0245407,0.0157093,0,0,0,0.0139467,0.0153071,0.00990514,0,0,0.0241128,0,0.0280535,0.0028613,0.0441248,0.0238311,0.0279966,0.01548,0.0108333,0.0216175,0.0190253,0.0146696,0.0192656,0.0556768,0.0122058,0.0115181,0.00651548,0.0413467,0.0193542,0.0192626,0.0213347,0.0033213,0.029274,0.00389925,0.0259702,0.00641609,0.020135,0,0,0.0365585,0,0.00754558,0.0114963,0.0826958,0.0478174,0.088226,0.0318138,0.00162822,0.017114,0.0232156,0,0.0754995,0.0294755,0.0241449,0.0181948,0.0331253,0.0625701,0.0205334,0.00694457,0.00701475,0.0123135,0.0181077,0,0,0,0,0,0,0,0,0,0.00483089,0.020285,0,0,0
194,0.0245078,0.0156341,0,0,0,0.0135712,0.0152004,0.0097179,0,0,0.0239829,0,0.027952,0.00290766,0.0440255,0.0209992,0.0276928,0.0159398,0.0106687,0.0216976,0.0195389,0.0149525,0.0196844,0.0560581,0.0118395,0.0111203,0.00626878,0.0402627,0.0182519,0.0193233,0.0213325,0.00344709,0.0304668,0.00396445,0.0269172,0.00604295,0.0201715,0,0,0.0363626,0,0.00764325,0.0114039,0.0824099,0.046636,0.0884958,0.0336694,0.00226466,0.0174879,0.0227894,0,0.0761983,0.0298978,0.0233984,0.0178802,0.0327496,0.0642927,0.0203313,0.00702269,0.0071179,0.0123017,0.0181417,0,0,0,0,0,0,0,0,0,0.00361331,0.0206776,0,0,0
195,0.0245152,0.0156015,0,0,0,0.0134889,0.0151169,0.00935402,0,0,0.0238655,0,0.0278828,0.0029256,0.0439435,0.0181788,0.0272866,0.0150553,0.010303,0.021765,0.0197655,0.0150206,0.019944,0.0562988,0.0114922,0.0107229,0.00626701,0.039816,0.0174477,0.0193038,0.0213167,0.00359604,0.031304,0.00399219,0.0278132,0.00542281,0.0201713,0,0,0.0361897,0,0.00770904,0.0114012,0.0821573,0.0458941,0.0885502,0.0351903,0.00276986,0.0178377,0.0225671,0,0.0768904,0.0299998,0.0227157,0.0174606,0.0321661,0.0658343,0.0200886,0.00707603,0.00717714,0.0123045,0.0181605,0,0,0,0,0,0,0,0,0,0.00292509,0.0213624,0,0,0
196,0.0245288,0.0155794,0,0,0,0.0134037,0.0151063,0.00882369,0,0,0.0236518,0,0.0278702,0.00288121,0.0437213,0.0157949,0.0267815,0.0135039,0.00966572,0.0217274,0.01975,0.015131,0.0201014,0.0563267,0.0111222,0.0101679,0.00631059,0.0397577,0.0165976,0.0192204,0.0213,0.00358318,0.0317344,0.00400498,0.028732,0.00451477,0.0201044,0,0,0.0357815,0,0.00772806,0.0114237,0.0820459,0.0455407,0.0883373,0.0364397,0.00314588,0.0180583,0.0225263,0,0.0774711,0.0299624,0.0220908,0.0170041,0.0312862,0.066769,0.019786,0.00714194,0.00714174,0.0123085,0.0181227,0,0,0,0,0,0,0,0,0,0.0029034,0.0222406,0,0,0
197,0.0246118,0.0156943,0,0,0,0.0130045,0.0151244,0.00816846,0,0,0.0234211,0,0.0279199,0.00286774,0.0434725,0.0141558,0.0263359,0.0121982,0.00913297,0.0216958,0.019613,0.0153963,0.0199868,0.0559433,0.0107635,0.00949535,0.00621536,0.0401372,0.0156911,0.0190795,0.0213127,0.00360205,0.0316891,0.00402135,0.0296676,0.00423677,0.020145,0,0,0.0355654,0,0.00772378,0.0112467,0.0819369,0.0460609,0.0883044,0.0375559,0.00354023,0.0182686,0.0225028,0,0.0779313,0.029796,0.021576,0.0166148,0.0302898,0.0669311,0.0194478,0.00721841,0.00714475,0.0124609,0.0181638,0,0,0,0,0,0,0,0,0,0.00365976,0.0231151,0,0,0
198,0.0306216,0.030152,0,0,0,0.0105535,0.0196063,0.0354387,0,0,0.0126634,0,0.0215686,0.00519285,0.0327615,0.0131301,0.0411261,0.00893303,0.0118782,0.017869,0.0215419,0.0200667,0.0188157,0.0514662,0.00740462,0.00851645,0.00371582,0.0374467,0.00897178,0.0139487,0.0186645,0.00476047,0.0290168,0.00704032,0.0193888,0.0422609,0.0303532,0,0,0.0115689,0,0.00369279,0.00687736,0.106631,0.0379946,0,0.0320827,0.060089,0.0256515,0.0369166,0,0.087615,0.0243757,0.0233038,0.0143108,0.0260115,0.0668851,0.0147731,0.00843884,0.00771895,0.0325384,0.0343853,0,0,0,0,0,0,0,0,0,0.00336202,0.0357637,0,0,0
