Timestep,C7,CLAV,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B,IMUL_L
140,0.0278622,0.0280105,0,0,0,0,0.0396813,0.0202566,0.0314748,0.0455592,0,0,0.0469816,0,0.0236234,0.0225321,0.0293454,0.04223,0.0289285,0.0446745,0.0462014,0.0494592,0.0402648,0.0437541,0.0284923,0.0476983,0.0343359,0.0341823,0.0313241,0.0164005,0.0588691,0.0503485,0.0188362,0.00615336,0.0242154,0.017198,0.0210636,0.0999625,0.029749,0,0,0.0625221,0,0.0199508,0.0250164,0.0473258,0.0189278,0.031406,0.0664515,0.0422862,0.0402917,0.0444533,0.0278629,0.021481,0.052419,0.0289087,0.0343855,0.0228839,0.0285338,0.0226002,0.0426577,0.0149614,0.0104008,0.027468,0.0334645,0,0,0,0,0,0,0,0,0,0
141,0.0276947,0.0280676,0,0,0,0,0.0404418,0.0201827,0.0319149,0.0446341,0,0,0.0469612,0,0.0238142,0.0225584,0.0294538,0.0444986,0.029232,0.0448469,0.0455556,0.0497115,0.0399191,0.0434361,0.0281074,0.0474311,0.0348694,0.034821,0.0317846,0.0167605,0.060024,0.050258,0.0188814,0.00608159,0.0239301,0.0172023,0.020783,0.0993498,0.0295201,0,0,0.0624603,0,0.0199243,0.0251196,0.0475811,0.0199983,0.0315121,0.0659361,0.0424432,0.0401613,0.0435451,0.0272911,0.0221879,0.0515342,0.0270306,0.0329096,0.02123,0.0265712,0.0220814,0.0424042,0.0152818,0.010414,0.0275241,0.0333714,0,0,0,0,0,0,0,0,0,0
142,0.0275441,0.0281521,0,0,0,0,0.0411451,0.0201167,0.0324009,0.0436453,0,0,0.0468799,0,0.0240049,0.0226604,0.0295749,0.0465239,0.0295152,0.0449384,0.0447678,0.0500511,0.0395119,0.0431257,0.0277495,0.0471802,0.0354943,0.0354807,0.0322269,0.0170873,0.0611066,0.0500845,0.0189056,0.0060544,0.0239929,0.0171635,0.0209372,0.0986754,0.029291,0,0,0.0624704,0,0.0198644,0.0251769,0.0479599,0.021798,0.0314474,0.0652878,0.0424758,0.0400505,0.042434,0.0266428,0.0231048,0.0505136,0.024469,0.0306792,0.0190005,0.0238145,0.0216089,0.0422473,0.0157029,0.0104396,0.0275888,0.0332806,0,0,0,0,0,0,0,0,0,0
143,0.0273925,0.0282667,0,0,0,0,0.0414346,0.0200879,0.0329816,0.042628,0,0,0.0466655,0,0.0241606,0.0225602,0.0297944,0.0481721,0.0297199,0.0449944,0.0441863,0.0504146,0.0391039,0.0428,0.0273758,0.0468927,0.0362474,0.0361897,0.0327105,0.0173421,0.0621863,0.049788,0.0189412,0.00606631,0.024346,0.0171694,0.0211743,0.0979799,0.0290305,0,0,0.0625765,0,0.0199175,0.0252611,0.0481816,0.0235509,0.0311667,0.0648819,0.0423211,0.0399618,0.041217,0.0260612,0.0245019,0.0494832,0.0217557,0.0281559,0.016444,0.0208874,0.0217378,0.0421157,0.0160867,0.0105216,0.0276584,0.0331505,0,0,0,0,0,0,0,0,0,0
144,0.0272443,0.0283691,0,0,0,0,0.0415191,0.0200712,0.0330644,0.0417631,0,0,0.0463629,0,0.0242861,0.0223825,0.0300787,0.049353,0.0298617,0.0450575,0.0439677,0.0507654,0.0386355,0.0424045,0.0269607,0.0465132,0.0370469,0.0369504,0.0332459,0.017523,0.0630577,0.0494053,0.0189713,0.00610131,0.0254507,0.0171564,0.021612,0.0974354,0.028793,0,0,0.0628296,0,0.0198931,0.0253578,0.0480921,0.0255857,0.0307008,0.0645784,0.0423988,0.0398811,0.0400912,0.0257274,0.0261916,0.0485478,0.019007,0.0260928,0.0141033,0.017974,0.0231128,0.041949,0.016555,0.0106534,0.0277237,0.0330934,0,0,0,0,0,0,0,0,0,0
145,0.0270777,0.0284305,0,0,0,0,0.0413065,0.0200339,0.0332615,0.0411866,0,0,0.0460595,0,0.0244354,0.0222284,0.0303812,0.0500833,0.0300333,0.0451133,0.0440326,0.0511224,0.0381157,0.0419757,0.0265559,0.0461046,0.0378078,0.0377258,0.0336905,0.0176027,0.0636741,0.0490487,0.0189964,0.00594631,0.0276033,0.017173,0.0223499,0.0971565,0.0285416,0,0,0.0629381,0,0.0198248,0.0255979,0.047657,0.0278873,0.0303329,0.0634726,0.0427451,0.0398083,0.0391194,0.0256994,0.0274579,0.047768,0.0164616,0.0251085,0.0124774,0.0153643,0.0261482,0.0417387,0.0170295,0.0107919,0.027757,0.0330556,0,0,0,0,0,0,0,0,0,0
146,0.0268814,0.0285364,0,0,0,0,0.0406474,0.0199631,0.0332593,0.0409697,0,0,0.0459162,0,0.024608,0.0222892,0.0306953,0.0503077,0.0303548,0.0450473,0.043957,0.0515245,0.0375913,0.0415768,0.0262098,0.0456844,0.0384968,0.038403,0.0340164,0.0175028,0.0638555,0.0488173,0.0189985,0.00580548,0.0306647,0.0171799,0.0231059,0.0972156,0.0282877,0,0,0.0628886,0,0.0197446,0.0258064,0.0469643,0.0299159,0.0306737,0.0609941,0.043176,0.0396346,0.0383828,0.0256696,0.0276388,0.0467592,0.0149752,0.0250328,0.0120596,0.0139224,0.0305812,0.0414624,0.0174459,0.0109383,0.0278153,0.0330268,0,0,0,0,0,0,0,0,0,0
147,0.0265929,0.0286005,0,0,0,0,0.0395133,0.0198704,0.0331132,0.0411069,0,0,0.0458684,0,0.0247913,0.0224528,0.0311244,0.0500798,0.0306418,0.0448532,0.0438986,0.0518824,0.0371127,0.0411864,0.0259423,0.0452054,0.0391139,0.0388984,0.0342666,0.0171798,0.063494,0.0486288,0.0190008,0.00573771,0.0339782,0.0171697,0.023135,0.0977205,0.0280668,0,0,0.0627588,0,0.0196941,0.0258387,0.0460242,0.031042,0.0312922,0.0581125,0.0433963,0.039336,0.0380222,0.0253979,0.0267055,0.0453945,0.0147549,0.0251123,0.0121238,0.0137663,0.0354315,0.0411256,0.0179322,0.0110805,0.0278249,0.0329532,0,0,0,0,0,0,0,0,0,0
148,0.026166,0.0286144,0,0,0,0,0.0378987,0.0197959,0.0326674,0.0414042,0,0,0.0458816,0,0.0249913,0.0225699,0.0316891,0.049381,0.0308749,0.0444391,0.0436878,0.0521853,0.0366576,0.0408711,0.0257181,0.044738,0.0396419,0.039264,0.0343329,0.016627,0.0626133,0.0484846,0.0190548,0.00570264,0.0362184,0.0171601,0.0223614,0.0984488,0.0278343,0,0,0.0625044,0,0.0196828,0.0257858,0.0451506,0.0317188,0.0321368,0.0565115,0.043464,0.0388857,0.0379512,0.0249801,0.0250134,0.0438904,0.0152849,0.0248581,0.0122557,0.0142965,0.0387005,0.040748,0.0184444,0.0112373,0.0277507,0.0327338,0,0,0,0,0,0,0,0,0,0
149,0.025489,0.0286253,0,0,0,0,0.0357509,0.0197573,0.0319574,0.0418181,0,0,0.0458432,0,0.0251517,0.0225289,0.0324512,0.0482054,0.0310015,0.0436898,0.0433532,0.0523651,0.0362327,0.0405922,0.0255326,0.0444023,0.04004,0.0395972,0.0342423,0.0159489,0.0611307,0.0483063,0.0191392,0.00565003,0.0362697,0.0171546,0.0209374,0.0993274,0.0275365,0,0,0.0621596,0,0.0196952,0.0258155,0.0442923,0.0326042,0.0328847,0.0568568,0.0432339,0.0384093,0.037981,0.0241918,0.0232311,0.0425715,0.0163265,0.024323,0.0122738,0.0152453,0.0391571,0.0402468,0.0188944,0.0114024,0.0276683,0.0323219,0,0,0,0,0,0,0,0,0,0
