Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74
159,0.0460349,0.0320798,0,0,0,0,0,0,0.0167939,0.0269199,0.0175727,0.0558915,0,0,0.0264496,0,0.00955721,0.0100142,0.0353337,0.0148846,0.0236635,0.0392114,0.040267,0.0274842,0.028559,0.0218135,0.0262808,0.0483153,0.0261944,0.0247157,0.0214579,0.0137815,0.0275558,0.0297401,0.0171826,0,0.0482333,0.0143664,0.0523909,0.113609,0.0448063,0,0,0.0401824,0,0.0156873,0.0218189,0.0498976,0.0357636,0.0297435,0.0722129,0.0431685,0.0379105,0.00694501,0.0451685,0.0712422,0.0343617,0.0396998,0.0180893,0.0266656,0.0230079,0.0450849,0.0321481,0.00852161,0.00769171,0.0310005,0.0460091,0,0,0,0,0,0,0,0
160,0.0461572,0.0319853,0,0,0,0,0,0,0.0173408,0.0269771,0.0178844,0.0548651,0,0,0.0263043,0,0.00951065,0.00971422,0.0350631,0.0150931,0.0236249,0.0391055,0.0403495,0.0274648,0.0284443,0.0218977,0.0261737,0.0480159,0.0263011,0.0248647,0.0216998,0.0137015,0.0284917,0.0297502,0.0171654,0.00670055,0.0478963,0.014362,0.0516437,0.11308,0.0449141,0,0,0.0400375,0,0.0156171,0.0218709,0.0496418,0.0345687,0.0299322,0.0715849,0.0435161,0.0378804,0.00686998,0.0451524,0.0705738,0.0334521,0.0389396,0.0179916,0.0268672,0.0224634,0.0448215,0.0320201,0.0085355,0.00770317,0.0309597,0.0461066,0,0,0,0,0,0,0,0
161,0.0463653,0.0317924,0,0,0,0,0,0,0.0178933,0.0269497,0.0181744,0.0538224,0,0,0.0263647,0,0.00948971,0.0097034,0.0348273,0.0154642,0.0237155,0.0390036,0.0404394,0.0275323,0.0282879,0.0217283,0.0260173,0.0477135,0.0263971,0.0249681,0.0220215,0.0136122,0.0292967,0.0298316,0.0171519,0.00669272,0.0472444,0.0143687,0.0506522,0.112431,0.0450498,0,0,0.0399533,0,0.015611,0.0218588,0.0495015,0.0331986,0.0300831,0.0708755,0.0440655,0.0378235,0.00691623,0.0449895,0.070032,0.0326206,0.0384715,0.0176885,0.0271344,0.0220016,0.04438,0.0319618,0.0085566,0.00777649,0.0309689,0.0462672,0,0,0,0,0,0,0,0
162,0.0466349,0.0319171,0,0,0,0,0,0,0.018523,0.0268939,0.0184485,0.0526969,0,0,0.0264663,0,0.00951198,0.00978941,0.0345947,0.0158888,0.0240029,0.0389013,0.0402199,0.0279182,0.0281163,0.0217778,0.0258687,0.0474971,0.0265295,0.025085,0.0222856,0.0135105,0.0300353,0.0299876,0.0171778,0.00667883,0.0464779,0.0143794,0.0489844,0.111496,0.0451964,0,0,0.0401553,0,0.0156819,0.0218911,0.0494591,0.0317943,0.0303353,0.0700435,0.0447524,0.0378896,0.0069818,0.04485,0.0696488,0.031764,0.0374261,0.0173738,0.0271671,0.0213255,0.0440134,0.0321069,0.00858412,0.00781871,0.0312792,0.0465136,0,0,0,0,0,0,0,0
163,0.0467608,0.0320584,0,0,0,0,0,0,0.0190402,0.0268817,0.0186982,0.0518107,0,0,0.026553,0,0.00952221,0.00985864,0.0343639,0.0162955,0.0240308,0.0388588,0.0400547,0.0284143,0.0279751,0.0218518,0.0257347,0.0472107,0.026651,0.0252344,0.0225515,0.0134578,0.0306211,0.0300586,0.0171927,0.00670111,0.045768,0.0143972,0.0470305,0.110471,0.0452554,0,0,0.0402806,0,0.0157551,0.0219595,0.0494976,0.0302173,0.0306091,0.069337,0.045155,0.0379214,0.00711774,0.0446721,0.0687628,0.0310229,0.0357115,0.0170132,0.0269997,0.0205524,0.0437513,0.0321473,0.00858436,0.00787685,0.0313893,0.0466813,0,0,0,0,0,0,0,0
164,0.0467898,0.0319622,0,0,0,0,0,0,0.0195529,0.0269244,0.0189656,0.0511821,0,0,0.026568,0,0.00952437,0.00990214,0.0340933,0.0165788,0.0238717,0.038935,0.0401858,0.028605,0.0277854,0.0219509,0.0255804,0.046816,0.0267425,0.0253606,0.0227729,0.0134224,0.0310473,0.0300663,0.0171915,0.00681025,0.0448825,0.0144076,0.0450784,0.109818,0.0452176,0,0,0.0401246,0,0.0157566,0.0218866,0.0495873,0.0285397,0.0307333,0.0687847,0.0453314,0.0378397,0.00731839,0.0443786,0.0678333,0.030355,0.0338351,0.0165162,0.0267631,0.0197086,0.043425,0.0319379,0.00859987,0.00791363,0.0312219,0.0467782,0,0,0,0,0,0,0,0
165,0.0467889,0.0318879,0,0,0,0,0,0,0.0198195,0.0269629,0.0192996,0.0506787,0,0,0.0266302,0,0.0095288,0.00988696,0.0338321,0.0171317,0.0236687,0.0390479,0.0402947,0.0285195,0.0275769,0.0223979,0.0253658,0.0464349,0.0267907,0.0255145,0.0229329,0.0134056,0.0315129,0.0301435,0.017183,0.00694733,0.0439012,0.0144037,0.0432204,0.109232,0.0451303,0,0,0.0400468,0,0.015757,0.0219795,0.0496966,0.0269021,0.0308559,0.0682894,0.0454371,0.0377508,0.00747816,0.0440492,0.0669643,0.0295323,0.0323816,0.0159851,0.0264023,0.0186683,0.042834,0.0318036,0.00858467,0.00790777,0.0310849,0.0468141,0,0,0,0,0,0,0,0
166,0.04681,0.0317798,0,0,0,0,0,0,0.0199865,0.0269671,0.0195948,0.0503105,0,0,0.0267572,0,0.00951983,0.00978797,0.0335723,0.01787,0.0235191,0.0389967,0.0403374,0.0288039,0.0273451,0.0225178,0.0251082,0.0461338,0.0269143,0.0255176,0.0229878,0.0134434,0.0319459,0.0303065,0.0171798,0.00680378,0.0429084,0.0143889,0.0415092,0.108739,0.0450766,0,0,0.040074,0,0.0157341,0.0223338,0.0497697,0.025257,0.0310173,0.0678418,0.0455308,0.037714,0.00778154,0.043624,0.0661849,0.0286767,0.0313429,0.0153398,0.0259559,0.0176248,0.0424232,0.0317578,0.00854392,0.00792374,0.0310253,0.0468192,0,0,0,0,0,0,0,0
167,0.0468098,0.031689,0,0,0,0,0,0,0.0203519,0.0269798,0.019869,0.050061,0,0,0.0269172,0,0.00951153,0.0097394,0.0332822,0.0187586,0.0234227,0.0388399,0.0404718,0.0292011,0.0270904,0.0223909,0.0248122,0.0457969,0.0269689,0.0253488,0.0229096,0.0134687,0.0323633,0.0305183,0.0171958,0.00677894,0.0419976,0.0144013,0.0396285,0.10839,0.0450409,0,0,0.0401131,0,0.0157344,0.0228531,0.0497536,0.0236892,0.0310046,0.0676432,0.0456716,0.0377178,0.00819291,0.0430129,0.0655078,0.027886,0.0303417,0.0146386,0.0255212,0.0169524,0.0423358,0.0317055,0.00857024,0.00796322,0.0310172,0.0468625,0,0,0,0,0,0,0,0
168,0.0468639,0.0317294,0,0,0,0,0,0,0.0207337,0.0270059,0.0203119,0.0497937,0,0,0.0271428,0,0.00950565,0.00986096,0.0329537,0.0197999,0.0233693,0.0387096,0.0404538,0.0295061,0.0268173,0.0222453,0.0244914,0.0454467,0.0270156,0.025328,0.0230396,0.0134808,0.0330426,0.0308182,0.0172105,0.00685233,0.04126,0.0143912,0.0376095,0.108027,0.0450733,0,0,0.0401187,0,0.015651,0.0229811,0.0496809,0.0224883,0.0310159,0.0675237,0.0458796,0.0378472,0.00881863,0.0421873,0.0643883,0.0271546,0.0287803,0.0137877,0.0248852,0.0163632,0.0422601,0.0317385,0.00862827,0.00794793,0.0311058,0.0470047,0,0,0,0,0,0,0,0
