Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII
103,0.0453197,0.0310502,0,0,0,0,0,0,0.0418666,0.024583,0.0332044,0.0509342,0,0,0.0424483,0,0.0178008,0.0160338,0.0295335,0.0313818,0.017065,0.0393559,0.032566,0.0400326,0.0235436,0.0240519,0.0145107,0.0407664,0.0308721,0.0313051,0.0297922,0.0189424,0.0510552,0.0419613,0.0167331,0.00317196,0.036719,0.00945846,0.0275709,0.101233,0.0428753,0,0,0.0300291,0,0.0112401,0.0153519,0.0511479,0.0232367,0.0261598,0.0643328,0.0457102,0.0228888,0.0369327,0.0233378,0.0418813,0.0213369,0.0176795,0.0161216,0.0194752,0.0462848,0.0241982,0.00821401,0.00358237,0.0308358,0.0479021,0,0,0,0,0,0,0,0,0.0202387
104,0.0455071,0.0314375,0,0,0,0,0,0,0.0415635,0.0244692,0.0331187,0.0504961,0,0,0.0427449,0,0.0178969,0.0164713,0.0294073,0.0326119,0.0171736,0.0397016,0.0321642,0.0402211,0.0237083,0.0243687,0.0144129,0.0404322,0.0312576,0.0316971,0.0300452,0.0188711,0.0512299,0.0422163,0.0167737,0.0033495,0.0339679,0.00941691,0.0274928,0.100842,0.043036,0,0,0.0305253,0,0.0112371,0.0156917,0.0505616,0.0255344,0.0263603,0.0642208,0.0464387,0.0232038,0.0380854,0.0239232,0.042528,0.022243,0.0204384,0.0173639,0.0215642,0.0425324,0.0245937,0.00829265,0.00347388,0.031262,0.0480836,0,0,0,0,0,0,0,0,0.0175022
105,0.0456798,0.0319237,0,0,0,0,0,0,0.0413638,0.0243693,0.0332027,0.0501264,0,0,0.0431249,0,0.0179694,0.0168003,0.0293214,0.0339785,0.0173509,0.0401366,0.0318131,0.0404387,0.0238302,0.0246167,0.0142258,0.0400568,0.0316987,0.0321158,0.0302957,0.0187675,0.0515057,0.0425085,0.0167734,0.00340983,0.0312615,0.00937971,0.0278579,0.100562,0.0432279,0,0,0.0309675,0,0.0112167,0.0159092,0.0500509,0.0279778,0.0265331,0.0640864,0.0471912,0.0235808,0.0392513,0.0248917,0.0432965,0.0234033,0.0231301,0.0188555,0.0235885,0.0386096,0.024977,0.00846886,0.00349274,0.031765,0.0482772,0,0,0,0,0,0,0,0,0.0147645
106,0.0458529,0.0324282,0,0,0,0,0,0,0.0412502,0.0243113,0.0334113,0.0497665,0,0,0.0435195,0,0.0180383,0.0168633,0.029309,0.0353552,0.017593,0.0406118,0.0314688,0.0407083,0.0238948,0.0247435,0.014077,0.0396685,0.0321845,0.032535,0.0305571,0.0186917,0.0518345,0.0428188,0.0167781,0.00357658,0.0288535,0.00934709,0.0283123,0.100233,0.0434344,0,0,0.0313665,0,0.0112072,0.0159149,0.049465,0.0302583,0.0268095,0.0640077,0.047864,0.0239799,0.0403958,0.0259776,0.0441188,0.0247687,0.0257748,0.0204474,0.0255715,0.0348335,0.0253347,0.00862778,0.0035901,0.0322329,0.0484776,0,0,0,0,0,0,0,0,0.0123264
107,0.0459675,0.0328603,0,0,0,0,0,0,0.0410237,0.0242739,0.0335122,0.0493916,0,0,0.0438219,0,0.0180998,0.0167498,0.0292948,0.0367886,0.0177702,0.0410793,0.0312009,0.0409455,0.0239721,0.0249506,0.0139573,0.0392555,0.0326584,0.0329046,0.0307891,0.0186613,0.0518709,0.0430938,0.0167963,0.00359309,0.0265767,0.0093623,0.028221,0.0998262,0.0435466,0,0,0.0317573,0,0.0112569,0.0159664,0.0488169,0.031433,0.0270747,0.0639839,0.0484833,0.0242718,0.0414367,0.0270086,0.0448007,0.0262197,0.0282237,0.0218275,0.0274667,0.0313638,0.0256191,0.00867919,0.00355322,0.0325922,0.0486011,0,0,0,0,0,0,0,0,0.0102273
108,0.0460104,0.0330935,0,0,0,0,0,0,0.0406644,0.0242621,0.033659,0.0490524,0,0,0.0440109,0,0.0181522,0.0166124,0.029315,0.0383323,0.0178428,0.0416344,0.0310339,0.0411499,0.0240933,0.0252426,0.0138771,0.0388539,0.0331473,0.0333047,0.0310538,0.0186506,0.0516485,0.0432799,0.0168157,0.0034766,0.0247355,0.00936914,0.0278109,0.0994541,0.043567,0,0,0.0319964,0,0.0112748,0.0160194,0.0481515,0.0313435,0.0273404,0.0640508,0.048941,0.0244343,0.0421675,0.0278173,0.0452727,0.0277859,0.0303137,0.02324,0.0292986,0.0288857,0.0257615,0.00864396,0.00353106,0.0327715,0.0486734,0,0,0,0,0,0,0,0,0.00859741
109,0.0459825,0.0331884,0,0,0,0,0,0,0.0401625,0.0242406,0.0338436,0.0487362,0,0,0.0440907,0,0.0182143,0.0166133,0.0293596,0.0400171,0.0178958,0.0422145,0.0309565,0.0412834,0.0243273,0.0255586,0.0138001,0.0384944,0.0336461,0.0337355,0.0313321,0.0186423,0.0515376,0.0433221,0.016819,0.00342371,0.0234223,0.00934318,0.0273373,0.099136,0.0434915,0,0,0.0320412,0,0.0112256,0.0160834,0.0475598,0.0298522,0.0276071,0.0641851,0.0492747,0.024469,0.0424481,0.0283404,0.0455302,0.0291061,0.0318907,0.0242595,0.0307439,0.0278277,0.0257686,0.00854142,0.00357609,0.0327695,0.0487305,0,0,0,0,0,0,0,0,0.00763751
110,0.0459007,0.0332265,0,0,0,0,0,0,0.0395106,0.0241959,0.0341206,0.0483834,0,0,0.0441032,0,0.0183365,0.016776,0.0293471,0.0418294,0.0178658,0.0428625,0.0309069,0.0413759,0.0246853,0.0258096,0.0137871,0.0381579,0.034127,0.0341814,0.0315421,0.01864,0.0512393,0.0432481,0.0168398,0.00332203,0.0227143,0.00933088,0.0265486,0.0988387,0.0433428,0,0,0.0320123,0,0.0112007,0.0161879,0.0470919,0.0270824,0.0278051,0.0643294,0.049517,0.0244046,0.042579,0.0286458,0.0456278,0.0297669,0.0328635,0.0247386,0.0313571,0.0279328,0.0256993,0.00852114,0.00367072,0.0326574,0.0487885,0,0,0,0,0,0,0,0,0.00724927
111,0.0457929,0.0332874,0,0,0,0,0,0,0.0389827,0.0241312,0.0342861,0.0480032,0,0,0.0441056,0,0.0184637,0.0169881,0.0293413,0.0436877,0.0179021,0.0434621,0.0308522,0.0414314,0.0248918,0.0260934,0.0138421,0.0378983,0.0346544,0.0346997,0.0318069,0.0186495,0.0509033,0.0431194,0.0168864,0.00329624,0.0228395,0.00932037,0.0255947,0.0985877,0.0431906,0,0,0.0319511,0,0.0112007,0.0163274,0.0467926,0.0241411,0.0278777,0.0645918,0.0497267,0.0243078,0.0425486,0.0286816,0.0455787,0.0297441,0.0331784,0.0245075,0.031141,0.028876,0.0256444,0.00849026,0.00368086,0.0324944,0.0488372,0,0,0,0,0,0,0,0,0.00742756
112,0.0456835,0.0333722,0,0,0,0,0,0,0.0384779,0.0240681,0.0343514,0.0476076,0,0,0.0441411,0,0.0185931,0.017181,0.0293313,0.0456167,0.0179689,0.0440125,0.030776,0.0415093,0.0250169,0.0263883,0.0139111,0.0376994,0.0352125,0.0352897,0.03209,0.0186723,0.0507111,0.0430263,0.0169367,0.00336641,0.0234554,0.00930506,0.0247267,0.0983142,0.0430537,0,0,0.0318571,0,0.0111584,0.0164524,0.0466597,0.0217356,0.0277887,0.0648341,0.0499502,0.0242266,0.0423893,0.0284903,0.04536,0.0289776,0.0328357,0.0239933,0.0300929,0.030186,0.0255922,0.00835044,0.00362408,0.0323528,0.0488714,0,0,0,0,0,0,0,0,0.00806305
113,0.0455461,0.0334758,0,0,0,0,0,0,0.0379637,0.0239948,0.0344805,0.0471872,0,0,0.0441686,0,0.0186953,0.0172949,0.0293796,0.0474676,0.0180445,0.0446486,0.0307672,0.0416111,0.0251343,0.0267249,0.0139652,0.0375021,0.0358111,0.035903,0.0323992,0.0186955,0.0507632,0.0429589,0.0169478,0.00363366,0.024199,0.00929003,0.0240541,0.0980809,0.0428843,0,0,0.0316014,0,0.0110995,0.0164011,0.0466473,0.0205657,0.0276565,0.065146,0.0501411,0.0241516,0.0420745,0.0281567,0.0450036,0.0276388,0.031982,0.022991,0.02837,0.0311745,0.0254953,0.00830169,0.00362284,0.0322817,0.0488628,0,0,0,0,0,0,0,0,0.00918781
114,0.0453382,0.0335138,0,0,0,0,0,0,0.0376327,0.023965,0.0347919,0.0467682,0,0,0.0440194,0,0.0187555,0.0172828,0.0294657,0.0491108,0.0180677,0.0452351,0.0308996,0.0416799,0.0252454,0.0270343,0.013979,0.0373007,0.0363894,0.0365314,0.0327159,0.0187116,0.0509333,0.0427931,0.0169309,0.00397682,0.0250151,0.00934639,0.0235843,0.0978954,0.0426451,0,0,0.031285,0,0.0111773,0.0162046,0.0467471,0.0207206,0.0274613,0.0653697,0.0501904,0.024015,0.0414893,0.0277464,0.0446265,0.0257239,0.0306732,0.0211821,0.0260384,0.0321273,0.0253631,0.00829,0.00352439,0.0321997,0.048751,0,0,0,0,0,0,0,0,0.0104304
